pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"reactome_ABC transporter disorders"	0.421294593600588	0.619789161739327	-0.233156307083322	-1.01307029177712	9163	58	RPS27A UBA52 PSMB7 RNF5 PSMB5 PSMA2 PSMC5 PSMD9
"reactome_ABC-family proteins mediated transport"	0.534689328503762	0.716603602497158	-0.207622065753944	-0.967650150423622	9594	83	RPS27A UBA52 EIF2S3 PSMB7 RNF5 PSMB5 PSMA2 PSMC5 PSMD9 ABCC5
"reactome_ADP signalling through P2Y purinoceptor 1"	0.738839352279844	0.841590387870876	0.293049646005912	0.800208820424683	49550	16	GNB1 P2RY1 GNA15 GNG11 GNG5 GNG10 GNAQ MAPK14 GNB2
"reactome_APC-Cdc20 mediated degradation of Nek2A"	0.000937843606493758	0.0124368773031254	-0.605106658114414	-2.04318176481293	28	21	RPS27A ANAPC16 UBA52 BUB3 ANAPC5 ANAPC7 ANAPC15 CDC23 ANAPC11 CDC16 ANAPC10 ANAPC2 UBE2E1
"reactome_APC/C-mediated degradation of cell cycle proteins"	0.00548638953365689	0.0399722666023573	-0.339640365353645	-1.55768458190858	103	76	RPS27A ANAPC16 UBA52 BUB3 PSMB7 PSMB5 ANAPC5 PSMA2 ANAPC7 PSMC5 ANAPC15 PSMD9 SKP1 CDC23 PSMA1 ANAPC11 PSMB9 CDC16 ANAPC10 SKP2 ANAPC2 UBE2E1 PSMD3 PSMC3 PSMD4 UBB CDC26 PSMA7 PSMB8 PSMC4 PSMB10 PSME1 PSMC6
"reactome_APC/C:Cdc20 mediated degradation of Cyclin B"	0.00245747295183991	0.0240037621906311	-0.586735278738173	-1.95503342273372	76	20	RPS27A ANAPC16 UBA52 ANAPC5 ANAPC7 ANAPC15 CDC23 ANAPC11 CDC16 ANAPC10 ANAPC2 UBE2E1
"reactome_APC/C:Cdc20 mediated degradation of Securin"	0.00415949512335055	0.0328042656635378	-0.370570549615378	-1.63741029261527	86	63	RPS27A ANAPC16 UBA52 PSMB7 PSMB5 ANAPC5 PSMA2 ANAPC7 PSMC5 ANAPC15 PSMD9 CDC23 PSMA1 ANAPC11 PSMB9 CDC16 ANAPC10 ANAPC2 UBE2E1 PSMD3 PSMC3 PSMD4 UBB CDC26 PSMA7 PSMB8 PSMC4 PSMB10 PSME1 PSMC6 PSMF1 ANAPC4 CDC27
"reactome_APC/C:Cdc20 mediated degradation of mitotic proteins"	0.00313848568065908	0.027408008512605	-0.36876070388608	-1.64423930943592	63	66	RPS27A ANAPC16 UBA52 BUB3 PSMB7 PSMB5 ANAPC5 PSMA2 ANAPC7 PSMC5 ANAPC15 PSMD9 CDC23 PSMA1 ANAPC11 PSMB9 CDC16 ANAPC10 ANAPC2 UBE2E1 PSMD3 PSMC3 PSMD4 UBB CDC26 PSMA7 PSMB8 PSMC4 PSMB10 PSME1 PSMC6 PSMF1 ANAPC4 CDC27
"reactome_APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	0.00473489519112207	0.0357218424182287	-0.360935374139892	-1.6144452709759	95	67	RPS27A ANAPC16 UBA52 PSMB7 PSMB5 ANAPC5 PSMA2 ANAPC7 PSMC5 ANAPC15 PSMD9 CDC23 PSMA1 ANAPC11 PSMB9 CDC16 ANAPC10 SKP2 ANAPC2 UBE2E1 PSMD3 PSMC3 PSMD4 UBB CDC26 PSMA7 PSMB8 PSMC4 PSMB10 PSME1 PSMC6 PSMF1 ANAPC4 CDC27
"reactome_APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	0.00294032584594621	0.026277444768094	-0.376401295410703	-1.66942476935941	60	64	RPS27A ANAPC16 UBA52 BUB3 PSMB7 PSMB5 ANAPC5 PSMA2 ANAPC7 PSMC5 ANAPC15 PSMD9 CDC23 PSMA1 ANAPC11 PSMB9 CDC16 ANAPC10 ANAPC2 UBE2E1 PSMD3 PSMC3 PSMD4 UBB CDC26 PSMA7 PSMB8 PSMC4 PSMB10 PSME1 PSMC6 PSMF1 ANAPC4 CDC27
