pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"reactome_ABC transporter disorders"	0.941206513248813	0.988422473895267	-0.179333513636844	-0.695978331359667	62657	59	PSMA2 PSMB5 UBA52 RPS27A RNF5
"reactome_ABC-family proteins mediated transport"	0.984620098933329	0.994693674923586	-0.156399740337307	-0.644473370047156	67476	82	PSMA2 PSMB5 UBA52 RPS27A RNF5 PSMC5 PSMB7 RNF185 ABCD2 PSMA1 ABCB10 PEX19 PSMD9 ABCC5
"reactome_APC-Cdc20 mediated degradation of Nek2A"	0.137363079249168	0.424766952230029	-0.408596098686831	-1.29744307832314	8539	24	CDC20 UBA52 RPS27A UBE2D1 ANAPC16 ANAPC2 UBE2E1 ANAPC10 UBE2C MAD2L1 CDC26 BUB3
"reactome_APC/C-mediated degradation of cell cycle proteins"	0.314339441116019	0.648571408057887	-0.262280974380275	-1.08301744749549	21563	83	PSMA2 AURKA CDC20 PSMB5 UBA52 RPS27A UBE2D1 ANAPC16 AURKB ANAPC2 CDK1 CCNA2 UBE2E1 PSMC5 PSMB7 PSMA1 ANAPC10 UBE2C PSMD9
"reactome_APC/C:Cdc20 mediated degradation of Cyclin B"	0.0420355772810411	0.216231166860402	-0.481755420944936	-1.49679296043926	2596	22	CDC20 UBA52 RPS27A UBE2D1 ANAPC16 ANAPC2 CDK1 UBE2E1 ANAPC10 UBE2C
"reactome_APC/C:Cdc20 mediated degradation of Securin"	0.405409833623784	0.734712315156685	-0.260884175714185	-1.03102513430025	27217	65	PSMA2 CDC20 PSMB5 UBA52 RPS27A UBE2D1 ANAPC16 ANAPC2 UBE2E1 PSMC5 PSMB7 PSMA1 ANAPC10 UBE2C PSMD9
"reactome_APC/C:Cdc20 mediated degradation of mitotic proteins"	0.35219430189347	0.683195670921558	-0.263677367116458	-1.06215572663872	23882	72	PSMA2 CDC20 PSMB5 UBA52 RPS27A UBE2D1 ANAPC16 ANAPC2 CDK1 CCNA2 UBE2E1 PSMC5 PSMB7 PSMA1 ANAPC10 UBE2C PSMD9 MAD2L1 PSMC2 PTTG1 CDC26 BUB3 PSMF1 PSMA8 PSMD6 ANAPC15 CCNB1 PSMB9 ANAPC4 ANAPC11
"reactome_APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	0.213230400638893	0.531628169376209	-0.290244106978864	-1.16320542646445	14417	70	PSMA2 AURKA CDC20 PSMB5 UBA52 RPS27A UBE2D1 ANAPC16 AURKB ANAPC2 UBE2E1 PSMC5 PSMB7 PSMA1 ANAPC10 UBE2C PSMD9
"reactome_APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	0.319327979650088	0.656122174596138	-0.270389198414148	-1.08363331171997	21591	70	PSMA2 CDC20 PSMB5 UBA52 RPS27A UBE2D1 ANAPC16 ANAPC2 CDK1 CCNA2 UBE2E1 PSMC5 PSMB7 PSMA1 ANAPC10 UBE2C PSMD9
"reactome_ATF4 activates genes"	0.331100703801575	0.664889587973454	0.323125109865496	1.08385951788711	12654	22	EXOSC6 DIS3 PARN DCP2 EXOSC1 KHSRP ATF6 EXOSC9 ATF4 EXOSC7
"reactome_AUF1 (hnRNP D0) binds and destabilizes mRNA"	0.361215748222857	0.690847607005088	-0.279184604182364	-1.06079337572133	23780	53	HSPA8 PSMA2 PABPC1 PSMB5 UBA52 RPS27A HSPA1A
"reactome_AURKA Activation by TPX2"	0.521134542775578	0.823116922315263	0.220510609711401	0.966791934686849	16976	68	HSP90AA1 PCM1 PCNT HAUS3 NEDD1 DYNC1H1 ALMS1 AKAP9 PAFAH1B1 CDK5RAP2 CSNK1E CKAP5 OFD1 CNTRL DCTN1 CEP192 NDE1 CENPJ CEP78 HAUS2 TPX2 CEP135
"reactome_Abortive elongation of HIV-1 transcript in the absence of Tat"	0.413282400738091	0.740437520451448	-0.333158961771477	-1.03511028004353	25532	22	POLR2E SUPT4H1 POLR2L POLR2C POLR2G POLR2K NELFE POLR2I NELFA NCBP2
"reactome_Activated NOTCH1 Transmits Signal to the Nucleus"	0.555724045720622	0.845785515044172	-0.311516030661558	-0.932149035311996	34081	19	UBA52 RPS27A DTX2 ARRB2 NEURL1B ARRB1 APH1A NOTCH1 NUMB
"reactome_Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3"	0.00745192307692308	0.0720592919058974	0.489200854483902	1.73519311819558	278	27	HIST2H2AC HIST1H2AB HIST1H2BD HIST1H2BH HIST1H2AJ NCOA2 HIST1H2BO HIST3H2BB HIST1H2BK HIST1H2BC HIST1H2BJ HIST1H2AC KDM4C HIST1H2BL
"reactome_Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins"	0.364214805431997	0.693131259676752	-0.26115909371325	-1.05460543082941	24727	73	PSMA2 CDC20 PSMB5 UBA52 RPS27A UBE2D1 ANAPC16 ANAPC2 CDK1 CCNA2 UBE2E1 PSMC5 PSMB7 PSMA1 ANAPC10 UBE2C PSMD9 MAD2L1 PSMC2 PTTG1 CDC26 BUB3 PSMF1 PSMA8 PSMD6 ANAPC15 CCNB1 PSMB9 ANAPC4 ANAPC11
"reactome_Activation of ATR in response to replication stress"	0.686301673501053	0.905975745508285	0.229509376232326	0.868439767603308	24769	35	MCM4 HUS1 ATRIP CLSPN CHEK1 DBF4 CDC6
"reactome_Activation of BH3-only proteins"	0.080931911054503	0.317480913285315	0.399381109017207	1.38775332891724	3049	25	DYNLL2 YWHAZ TP53BP2 TFDP2 PMAIP1 BCL2L11 BCL2 YWHAB
"reactome_Activation of E2F1 target genes at G1/S"	0.66366563606363	0.894899897868087	-0.26771462893583	-0.866947774189116	41427	26	TK1 CDT1 TYMS CDK1 RRM2 TFDP1 E2F4
"reactome_Activation of HOX genes during differentiation"	0.0385402976863596	0.207792931051574	0.318014540441495	1.39014179897957	1260	67	HIST2H2AC SUZ12 YY1 CREBBP HIST1H2AB HIST1H2BD KDM6A KMT2C HIST1H2BH HIST1H2AJ HIST1H2BO HIST3H2BB HIST1H2BK HIST1H2BC HIST1H2BJ HIST1H2AC JUN RBBP7 HIST1H2BL CTCF POLR2B PIAS2 EP300 RBBP4 ZNF335 HIST1H4A CNOT6 HIST1H2BB NCOR1
"reactome_Activation of NF-kappaB in B cells"	0.471230792636543	0.78747376569832	0.227518165660743	0.988216008967599	15486	65	NFKBIA SEM1 UBC PSMD11 MALT1 PSMD5 PSMB4 NFKB1 UBB NFKBIB PSMD7 REL CARD11 PSME4 PSMD14 PSME2 CHUK PSMD12 PSMD1 PSMB10 PSMD2 PSMD13
"reactome_Activation of NMDA receptors and postsynaptic events"	0.180233846835864	0.487536616531114	0.318787580145242	1.20625926731599	6504	35	CALM1 CAMK2D PRKACB RPS6KA3 GIT1 PRKAR2A NRAS PRKX
"reactome_Activation of anterior HOX genes in hindbrain development during early embryogenesis"	0.0385402976863596	0.207792931051574	0.318014540441495	1.39014179897957	1260	67	HIST2H2AC SUZ12 YY1 CREBBP HIST1H2AB HIST1H2BD KDM6A KMT2C HIST1H2BH HIST1H2AJ HIST1H2BO HIST3H2BB HIST1H2BK HIST1H2BC HIST1H2BJ HIST1H2AC JUN RBBP7 HIST1H2BL CTCF POLR2B PIAS2 EP300 RBBP4 ZNF335 HIST1H4A CNOT6 HIST1H2BB NCOR1
"reactome_Activation of gene expression by SREBF (SREBP)"	0.932366472172352	0.988331099667406	0.181338805938454	0.699498075608211	33236	38	CREBBP CHD9 TBL1X NCOA2 MED1 NCOA1 MTF1 TBL1XR1 SREBF2 IDI1 HMGCR HELZ2
"reactome_Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S"	1.50541195598175e-05	0.000850035614918125	-0.703456751096944	-2.72079739048897	0	58	EIF3L RPS17 PABPC1 RPS10 EIF3E EIF3F RPS27 EIF4E RPS6 RPS2 RPS9 RPS15A RPS5 RPS13 RPSA RPS3A RPS14 RPS3 RPS29 RPS18 RPS19 RPS16 RPS4Y1 RPS25 RPS27A RPS23 RPS15 RPS7 RPS4X RPS28 RPS27L EIF3H RPS21 EIF3D RPS12 EIF3K EIF3M
