pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"reactome_ABC transporter disorders"	0.148517921369217	0.317670906200318	-0.280594214041129	-1.20943254060845	4789	58	PSMA2 RPS27A RNF5 PSMB5 PSMB7 UBA52 PSMD9 PSMA1 PSMB9 PSMA7 PSMC2 PSMB3 PSMA4 DERL2
"reactome_ABC-family proteins mediated transport"	0.744887086240676	0.822036262980358	-0.188701073141821	-0.875109114424473	21670	82	PSMA2 RPS27A RNF5 PSMB5 PSMB7 UBA52 PSMD9 PSMA1 PSMB9 PSMA7 PSMC2 PSMB3 PSMA4 DERL2
"reactome_APC-Cdc20 mediated degradation of Nek2A"	0.00260344957068115	0.0233644645881976	-0.570941685363109	-1.88167944401675	103	20	RPS27A ANAPC16 CDC26 UBA52 ANAPC10 UBE2D1 ANAPC15 ANAPC2 ANAPC11
"reactome_APC/C-mediated degradation of cell cycle proteins"	0.014421632448673	0.0736448839337493	-0.32607227359796	-1.4868229607773	431	75	PSMA2 RPS27A ANAPC16 PSMB5 CDC26 PSMB7 UBA52 ANAPC10 PSMD9 SKP2 PSMA1 UBE2D1 ANAPC15 PSMB9 PSMA7 ANAPC2 ANAPC11 PSMC2 PSMB3 SKP1 PSMA4
"reactome_APC/C:Cdc20 mediated degradation of Cyclin B"	0.000895299676697339	0.010290146629313	-0.609640551354634	-1.9784225404141	35	19	RPS27A ANAPC16 CDC26 UBA52 ANAPC10 UBE2D1 ANAPC15 ANAPC2 ANAPC11
"reactome_APC/C:Cdc20 mediated degradation of Securin"	0.00170379251593362	0.016958570439416	-0.395908410701403	-1.7323183334996	53	62	PSMA2 RPS27A ANAPC16 PSMB5 CDC26 PSMB7 UBA52 ANAPC10 PSMD9 PSMA1 UBE2D1 ANAPC15 PSMB9 PSMA7 ANAPC2 ANAPC11 PSMC2 PSMB3 PSMA4
"reactome_APC/C:Cdc20 mediated degradation of mitotic proteins"	0.00467409399410936	0.0357494389065249	-0.366402358635843	-1.62780708926132	145	66	PSMA2 RPS27A ANAPC16 PSMB5 CDC26 PSMB7 UBA52 ANAPC10 PSMD9 PSMA1 UBE2D1 ANAPC15 PSMB9 PSMA7 ANAPC2 ANAPC11 PSMC2 PSMB3 PSMA4
"reactome_APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	0.00140270339199184	0.0145185795530095	-0.392804993219202	-1.73854565346484	43	65	PSMA2 RPS27A ANAPC16 PSMB5 CDC26 PSMB7 UBA52 ANAPC10 PSMD9 SKP2 PSMA1 UBE2D1 ANAPC15 PSMB9 PSMA7 ANAPC2 ANAPC11 PSMC2 PSMB3 PSMA4
"reactome_APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	0.00394051099529681	0.031463464716293	-0.375156313469306	-1.65416842157456	123	64	PSMA2 RPS27A ANAPC16 PSMB5 CDC26 PSMB7 UBA52 ANAPC10 PSMD9 PSMA1 UBE2D1 ANAPC15 PSMB9 PSMA7 ANAPC2 ANAPC11 PSMC2 PSMB3 PSMA4
"reactome_ATF4 activates genes"	0.755107429288095	0.829544992622815	0.257221052768015	0.796293631870841	45757	22	DIS3 DCP2 EXOSC6 PARN EXOSC9 ATF6 KHSRP ATF3
