pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"reactome_ABC transporter disorders"	8.35840855901036e-05	0.00165025355155489	0.530804880857947	2.42142560598537	0	59	PSME2 ERLEC1 PSMB6 DERL1 OS9 DERL3 PSMB3 PSMB2 PSMD1 PSMB7 DERL2 PSMD14 SEL1L PSMD7 PSMD12 PSMB1 PSMD8 PSMA4 PSMA5 PSMA3 PSMD6 PSMD10 ERLIN1 PSMA6 SEM1 UBC PSMC5 PSME4 PSMB10 PSME3 PSMD2 PSMC3
"reactome_ABC-family proteins mediated transport"	0.000112485939257593	0.00181303756244443	0.482807334244637	2.34057571706175	0	81	PSME2 ERLEC1 PSMB6 DERL1 EIF2S1 OS9 DERL3 ABCB9 EIF2S2 PSMB3 PSMB2 PSMD1 PSMB7 DERL2 PSMD14 SEL1L PSMD7 PSMD12 PSMB1 ABCA7 PSMD8 PSMA4 PSMA5 PSMA3 ABCC4 ABCF1 PSMD6 PSMD10 ERLIN1 PSMA6 SEM1 UBC PSMC5 PSME4 PSMB10 PSME3 PSMD2 PSMC3
"reactome_ADP signalling through P2Y purinoceptor 1"	0.601639388464961	0.793089636722918	-0.345480641575677	-0.907540990328093	44625	15	GNB5 GNG2 PLA2G4A GNG7 GNAQ GNG11 MAPK14 GNA15 GNG3 GNG10 GNB2
"reactome_APC-Cdc20 mediated degradation of Nek2A"	0.938405014047979	0.983356139700333	-0.212589236142924	-0.62323888230859	73813	24	RPS27A ANAPC10 ANAPC16 UBE2E1
"reactome_APC/C-mediated degradation of cell cycle proteins"	0.000115433452614568	0.00182860460772691	0.424470607136103	2.06790566444755	0	83	PSME2 PSMB6 AURKB CCNB1 PSMB3 PSMB2 PSMD1 PSMB7 CCNA2 PSMD14 PSMD7 FBXO5 PTTG1 PSMD12 PSMB1 ANAPC11 PSMD8 PSMA4 UBE2C ANAPC5 PSMA5 PSMA3 MAD2L1 CDK1 CDC20 BUB1B PSMD6 PSMD10 PLK1 PSMA6 SEM1 UBC PSMC5 PSME4 ANAPC2 PSMB10 PSME3 PSMD2 AURKA PSMC3
"reactome_APC/C:Cdc20 mediated degradation of Cyclin B"	0.763283286883035	0.890535546106538	0.226835353289396	0.812473736855724	16979	22	CCNB1 ANAPC11 UBE2C ANAPC5 CDK1 CDC20 UBC ANAPC2 UBB CDC27 CDC23
"reactome_APC/C:Cdc20 mediated degradation of Securin"	9.03097624853247e-05	0.00165837479270315	0.422096595845915	1.96337325514722	0	65	PSME2 PSMB6 PSMB3 PSMB2 PSMD1 PSMB7 PSMD14 PSMD7 PTTG1 PSMD12 PSMB1 ANAPC11 PSMD8 PSMA4 UBE2C ANAPC5 PSMA5 PSMA3 CDC20 PSMD6 PSMD10 PSMA6 SEM1 UBC PSMC5 PSME4 ANAPC2 PSMB10 PSME3 PSMD2 PSMC3 UBB PSMD9 PSMC2 CDC27 CDC23 PSMD4 PSMB8
"reactome_APC/C:Cdc20 mediated degradation of mitotic proteins"	9.97804829375374e-05	0.00168856262558999	0.445829136791986	2.11236772011363	0	72	PSME2 PSMB6 CCNB1 PSMB3 PSMB2 PSMD1 PSMB7 CCNA2 PSMD14 PSMD7 PTTG1 PSMD12 PSMB1 ANAPC11 PSMD8 PSMA4 UBE2C ANAPC5 PSMA5 PSMA3 MAD2L1 CDK1 CDC20 BUB1B PSMD6 PSMD10 PSMA6 SEM1 UBC PSMC5 PSME4 ANAPC2 PSMB10 PSME3 PSMD2 PSMC3
"reactome_APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	9.706853038245e-05	0.00165870345204455	0.42382070729537	1.99671495660766	0	70	PSME2 PSMB6 AURKB PSMB3 PSMB2 PSMD1 PSMB7 PSMD14 PSMD7 PTTG1 PSMD12 PSMB1 ANAPC11 PSMD8 PSMA4 UBE2C ANAPC5 PSMA5 PSMA3 CDC20 PSMD6 PSMD10 PLK1 PSMA6 SEM1 UBC PSMC5 PSME4 ANAPC2 PSMB10 PSME3 PSMD2 AURKA PSMC3
"reactome_APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	9.706853038245e-05	0.00165870345204455	0.428587413145327	2.01917198312979	0	70	PSME2 PSMB6 PSMB3 PSMB2 PSMD1 PSMB7 CCNA2 PSMD14 PSMD7 PSMD12 PSMB1 ANAPC11 PSMD8 PSMA4 UBE2C ANAPC5 PSMA5 PSMA3 MAD2L1 CDK1 CDC20 BUB1B PSMD6 PSMD10 PSMA6 SEM1 UBC PSMC5 PSME4 ANAPC2 PSMB10 PSME3 PSMD2 PSMC3
