pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"reactome_ABC transporter disorders"	0.185125215889465	0.753554564678269	0.265667754574012	1.14070296472764	1714	57	PSMA6 PSMD12 VCP SEM1 PSME4 PSMB3 PSMD10 PSMD9 PSMC1 UBB PSMB1 PSMD5 PSMA7 DERL1 PSMC4 PSMC6 RNF185 PSMB6
"reactome_ABC-family proteins mediated transport"	0.991141042255316	0.997424028260104	-0.178130283469488	-0.588653057924433	93307	83	RNF5 PSMA2 PSMD14 ABCA5 ABCA3 ABCC1 SEL1L PSMA5 PSMA1 ABCC6 ABCD1 EIF2S3 EIF2S1 PSMF1 PSMB7 RPS27A PSMB5 PSMB2 ABCB9 PSME3 ABCA7 PSMD2 PSMB4
"reactome_ADP signalling through P2Y purinoceptor 1"	0.763682684705262	0.984742613299548	0.255947247613537	0.802886341024601	17385	16	GNA15 GNG2 GNG10
"reactome_APC-Cdc20 mediated degradation of Nek2A"	0.716855895196507	0.984742613299548	-0.31071627895566	-0.831907729799029	57455	21	CDC23 ANAPC2 ANAPC10 ANAPC4 RPS27A BUB3 UBE2E1 CDC27
"reactome_APC/C-mediated degradation of cell cycle proteins"	0.941217941185896	0.992753031424168	-0.210505803968243	-0.691055919018795	88113	78	CDC23 PSMA2 CCNB1 SKP2 ANAPC2 PSMD14 ANAPC10 PSMA5 CDK1 PSMA1 FBXO5 PSMF1 CDK2 ANAPC4 PSMB7 RPS27A PSMB5 PSMB2 BUB3 PSME3 CUL1 UBE2E1 CDC27 PSMD2 PSMB4
"reactome_APC/C:Cdc20 mediated degradation of Cyclin B"	0.428334526815664	0.913203699049467	-0.391817084059884	-1.0378866008433	34094	20	CDC23 CCNB1 ANAPC2 ANAPC10 CDK1
"reactome_APC/C:Cdc20 mediated degradation of Securin"	0.191516709511568	0.761296901296602	0.260061135285294	1.13539762135314	1638	62	UBE2D1 PSMA6 PSMD12 SEM1 PSME4 PSMB3 PSMD10 PSMD9 PSMC1 ANAPC15 ANAPC7 UBB PSMB1 PSMD5
"reactome_APC/C:Cdc20 mediated degradation of mitotic proteins"	0.435291093689757	0.918813887511343	0.227050363777407	1.00659356273901	3386	67	UBE2D1 PSMA6 PSMD12 SEM1 PSME4 PSMB3 PSMD10 PSMD9 PSMC1 ANAPC15 ANAPC7 UBB PSMB1 PSMD5
"reactome_APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	0.353167973268218	0.875570367202333	0.234619837344063	1.04015168279113	2747	67	UBE2D1 PSMA6 PSMD12 SEM1 PSME4 PSMB3 PSMD10 PSMD9 PSMC1 ANAPC15 ANAPC7 UBB PSMB1 PSMD5
"reactome_APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	0.290222772277228	0.829415532492977	0.243060059389375	1.07078913817411	2344	65	UBE2D1 PSMA6 PSMD12 SEM1 PSME4 PSMB3 PSMD10 PSMD9 PSMC1 ANAPC15 ANAPC7 UBB PSMB1 PSMD5
"reactome_ATF4 activates genes"	0.722190692395006	0.984742613299548	-0.304010083669618	-0.828802178843582	58534	23	ATF3 EXOSC3 NFYB EXOSC4 ATF6 NFYC KHSRP
"reactome_AUF1 (hnRNP D0) binds and destabilizes mRNA"	0.408479532163743	0.900119732529705	0.241168272286228	1.01839989292046	4190	52	PSMA6 PSMD12 HSPB1 SEM1 PSME4 PSMB3 PSMD10 PSMD9 PSMC1 UBB PSMB1 PSMD5 PSMA7 HNRNPD PSMC4
"reactome_AURKA Activation by TPX2"	0.158385972554999	0.711616221031304	-0.379752196198964	-1.21956380817614	14542	64	CKAP5 TUBB ODF2 DYNLL1 CLASP1 CEP78 MAPRE1 YWHAG CDK1 CEP152 CEP57 NEDD1 OFD1 HAUS8 CEP76 DYNC1I2 TUBA4A CNTRL PPP2R1A PRKACA HAUS2 CEP41 FGFR1OP SDCCAG8 YWHAE
"reactome_Abortive elongation of HIV-1 transcript in the absence of Tat"	0.417588637884012	0.906043684702782	0.295281734341979	1.01638277509499	8114	22	GTF2F1 NCBP2 SUPT5H POLR2D NCBP1 POLR2F POLR2H POLR2L
"reactome_Activated NOTCH1 Transmits Signal to the Nucleus"	0.28380545822435	0.829415532492977	-0.421537671788018	-1.14920971247203	23002	23	NEURL1 ARRB1 APH1A NCSTN ARRB2 DTX2 MIB2 PSEN2 RPS27A JAG1
"reactome_Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3"	0.0168245013096917	0.323675832633641	0.48386669378996	1.64499331523044	333	21	HIST2H2AC H2AFJ KDM4C H2AFV HIST1H2AC
