pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"reactome_ABC transporter disorders"	0.0556971846597207	0.177860465366206	0.304909125123668	1.33203524351224	1004	58	PSMC5 PSMA6 PSMD12 ERLEC1 PSME1 UBB PSMB6 PSMD5 RPS27A PSMD13 PSMF1 PSMD7 UBA52 SEM1 PSMC3 PSMD4 DERL1 PSMB10 PSMB9 PSMA7 PSMD14 PSMB4 PSMA4 UBC
"reactome_ABC-family proteins mediated transport"	0.424643584521385	0.634618799462782	0.216229977551367	1.01326744278341	5837	84	PSMC5 PSMA6 PSMD12 ERLEC1 PSME1 UBB ABCF1 ABCB1 PSMB6 PSMD5 RPS27A PEX19 PSMD13 EIF2S2 ABCA5 PSMF1 ABCD2 ABCB8 PSMD7 UBA52 SEM1 PSMC3 PSMD4 DERL1 PSMB10 PSMB9
"reactome_ADP signalling through P2Y purinoceptor 1"	0.30661087623791	0.518448998279168	-0.430925787783274	-1.13534654565612	21176	15	GNB4 GNA15 GNG11 SRC GNB1 GNB2 GNAQ GNB5 MAPK14
"reactome_APC-Cdc20 mediated degradation of Nek2A"	0.708730243676193	0.84977803601372	0.2475267404994	0.839492110437402	19864	21	CDC26 UBB ANAPC16 RPS27A MAD2L1
"reactome_APC/C-mediated degradation of cell cycle proteins"	0.0784937682312384	0.224945641924844	0.274086136079447	1.25891450599779	1183	75	PSMC5 PSMA6 PSMD12 BTRC CDC26 CDC14A PSME1 UBB ANAPC16 PSMB6 PSMD5 RPS27A PSMD13 CDK1 MAD2L1 PSMF1 SKP1 PSMD7 UBA52 PTTG1 SEM1 PSMC3 PSMD4 CCNA2 PSMB10 PSMB9
"reactome_APC/C:Cdc20 mediated degradation of Cyclin B"	0.666149889010253	0.824672615520073	0.257979621004054	0.86239182630804	18905	20	CDC26 UBB ANAPC16 RPS27A CDK1
"reactome_APC/C:Cdc20 mediated degradation of Securin"	0.156726849155504	0.342845851567852	0.265084382815672	1.17860762880187	2690	63	PSMC5 PSMA6 PSMD12 CDC26 PSME1 UBB ANAPC16 PSMB6 PSMD5 RPS27A PSMD13 PSMF1 PSMD7 UBA52 PTTG1 SEM1 PSMC3 PSMD4 PSMB10 PSMB9 PSMA7 PSMD14 PSMB4 ANAPC15
"reactome_APC/C:Cdc20 mediated degradation of mitotic proteins"	0.0644927972997408	0.197205362597449	0.287584934697439	1.29541605183665	1069	67	PSMC5 PSMA6 PSMD12 CDC26 PSME1 UBB ANAPC16 PSMB6 PSMD5 RPS27A PSMD13 CDK1 MAD2L1 PSMF1 PSMD7 UBA52 PTTG1 SEM1 PSMC3 PSMD4 CCNA2 PSMB10 PSMB9 PSMA7 PSMD14 PSMB4 ANAPC15
"reactome_APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	0.490708306121237	0.690661536487524	0.219737162595102	0.982946772693672	8264	65	PSMC5 PSMA6 PSMD12 CDC26 PSME1 UBB ANAPC16 PSMB6 PSMD5 RPS27A PSMD13 PSMF1 PSMD7 UBA52 PTTG1 SEM1 PSMC3 PSMD4 PSMB10 PSMB9 PSMA7 PSMD14 PSMB4 ANAPC15
"reactome_APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	0.0857467687888942	0.235207703116644	0.280700213147032	1.26026722846221	1432	66	PSMC5 PSMA6 PSMD12 CDC26 PSME1 UBB ANAPC16 PSMB6 PSMD5 RPS27A PSMD13 CDK1 MAD2L1 PSMF1 PSMD7 UBA52 SEM1 PSMC3 PSMD4 CCNA2 PSMB10 PSMB9 PSMA7 PSMD14 PSMB4 ANAPC15
"reactome_ATF4 activates genes"	0.440143131484782	0.646606489200222	-0.354255536542967	-1.02309423925457	31857	22	ATF3 CXCL8 DDIT3 NFYC HERPUD1 EXOSC1 EXOSC3 EXOSC5 ATF6 KHSRP EXOSC9 EXOSC4 NFYA DIS3 PARN EXOSC7
"reactome_AUF1 (hnRNP D0) binds and destabilizes mRNA"	0.0284971398855954	0.114711199252821	0.336733135471025	1.43514834358596	547	52	PSMC5 HSPB1 PSMA6 PSMD12 PSME1 UBB PSMB6 PSMD5 RPS27A PSMD13 HSPA8 PSMF1 PSMD7 UBA52 SEM1 PSMC3 PSMD4 PSMB10 PSMB9 PSMA7 PSMD14 PSMB4 PSMA4 UBC
