pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"reactome_ABC transporter disorders"	0.467217217217217	0.64793003842744	0.292322538004508	0.998189350104598	35472	58	SEM1 UBC PSME2 PSME4 PSMD1 VCP DERL1 PSMD8 PSMD7 SEL1L OS9 PSMD2 PSMA5 PSMD11 PSMD10 PSMB4 PSME3 ERLIN2 PSMD13 PSMB3 PSMB8 PSMB1 PSMA3 PSMB6 PSMB2
"reactome_ABC-family proteins mediated transport"	0.628263494139544	0.763562919357624	0.25389531582144	0.912468946747061	49956	81	SEM1 UBC ABCF1 PSME2 PSME4 PSMD1 VCP DERL1 PSMD8 PSMD7 SEL1L OS9 ABCC4 PSMD2 PSMA5 PSMD11 PSMD10 ABCD3 PSMB4 PSME3 ERLIN2 ABCA3 ABCG1 PSMD13 PSMB3 PSMB8 PSMB1 ABCC1 PSMA3 PSMB6 PSMB2
"reactome_ADP signalling through P2Y purinoceptor 1"	0.0881386690028472	0.235036450674259	0.535992803855384	1.40183603107797	5633	16	GNB1 GNA15 GNB4 GNG2 GNG5 P2RY1 GNG11 GNGT2
"reactome_APC-Cdc20 mediated degradation of Nek2A"	0.0614882962617911	0.187979435849738	-0.463054839169125	-1.44827202272295	2111	20	RPS27A ANAPC16 UBA52 UBE2E1 ANAPC5 ANAPC2 ANAPC11 ANAPC10 CDC23 CDC26 ANAPC15
"reactome_APC/C-mediated degradation of cell cycle proteins"	0.787841888347696	0.867485203320658	-0.20195771850297	-0.862979952915682	16821	75	RPS27A ANAPC16 PSMA2 PSMB5 PSMB7 PSMD9 AURKA UBA52 PSMC6 UBE2E1 ANAPC5 PSMA1 PSMC3 SKP2 ANAPC2 ANAPC11 PSMD4
"reactome_APC/C:Cdc20 mediated degradation of Cyclin B"	0.0829956605454493	0.22682647241975	-0.4545717334942	-1.40228149973545	2887	19	RPS27A ANAPC16 UBA52 UBE2E1 ANAPC5 ANAPC2 ANAPC11 ANAPC10 CDC23 CDC26 ANAPC15
"reactome_APC/C:Cdc20 mediated degradation of Securin"	0.642150592649441	0.770075970960551	-0.223145431439228	-0.918330887709068	15060	62	RPS27A ANAPC16 PSMA2 PSMB5 PSMB7 PSMD9 UBA52 PSMC6 UBE2E1 ANAPC5 PSMA1 PSMC3 ANAPC2 ANAPC11 PSMD4
"reactome_APC/C:Cdc20 mediated degradation of mitotic proteins"	0.677983090734769	0.787976483018932	-0.217045135725666	-0.905020209874458	15556	66	RPS27A ANAPC16 PSMA2 PSMB5 PSMB7 PSMD9 UBA52 PSMC6 UBE2E1 ANAPC5 PSMA1 PSMC3 ANAPC2 ANAPC11 PSMD4
"reactome_APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	0.450056506998174	0.633538474056209	-0.241217002551618	-1.00175018278877	10353	65	RPS27A ANAPC16 PSMA2 PSMB5 PSMB7 PSMD9 AURKA UBA52 PSMC6 UBE2E1 ANAPC5 PSMA1 PSMC3 SKP2 ANAPC2 ANAPC11 PSMD4
"reactome_APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	0.603169120504296	0.750146416179777	-0.225869695401358	-0.93566199871228	13969	64	RPS27A ANAPC16 PSMA2 PSMB5 PSMB7 PSMD9 UBA52 PSMC6 UBE2E1 ANAPC5 PSMA1 PSMC3 ANAPC2 ANAPC11 PSMD4
"reactome_ATF4 activates genes"	0.751917079711346	0.84157046429047	0.283833586580854	0.799597384189098	49909	22	ATF3 CXCL8 ATF6 ATF4 KHSRP DIS3 EXOSC6 PARN DCP2
"reactome_AUF1 (hnRNP D0) binds and destabilizes mRNA"	0.242832852228242	0.438756605452963	-0.282936919005681	-1.12134548354892	6140	52	HSPA8 RPS27A PSMA2 PABPC1 PSMB5 HSPA1A PSMB7 PSMD9 UBA52 PSMC6
"reactome_AURKA Activation by TPX2"	0.160866384490777	0.337259715183806	0.355010496595666	1.22507221275231	12313	62	PAFAH1B1 DYNC1H1 PCM1 PRKACA PRKAR2B DCTN1 CENPJ PCNT AKAP9 CDK5RAP2 TUBA1A HSP90AA1 CEP164 TUBB4B CEP135 NDE1 CKAP5 CNTRL MAPRE1 CEP63 HAUS2 CEP78 CEP192
"reactome_Abortive elongation of HIV-1 transcript in the absence of Tat"	0.213234200743494	0.405416271744374	-0.370928399549019	-1.19166093274152	7169	22	POLR2L POLR2E SUPT4H1 POLR2F POLR2G POLR2J POLR2I NELFE NELFCD POLR2H
