pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"reactome_ABC transporter disorders"	0.0112780818190064	0.0710169491525424	-0.366601312841641	-1.55898905667614	372	58	PSMA2 PSMB7 PSMB5 PSMD11 PSMD2 PSMA5 PSMA1 PSMD14 PSMC3 SEL1L PSMB2 RPS27A PSMB1 PSMC4 PSMD10 PSMD12 PSMC2 PSMD3 SEM1 OS9 PSMD8 PSMC6 UBA52 PSMC5 PSMC1 DERL2 PSMA4
"reactome_ABC-family proteins mediated transport"	0.0097068080172271	0.0642181983034445	-0.331847053674288	-1.51008148040113	292	82	PSMA2 PSMB7 PSMB5 PSMD11 ABCD1 EIF2S3 PSMD2 PSMA5 PSMA1 PSMD14 PSMC3 SEL1L PSMB2 ABCB7 RPS27A ABCD3 ABCB10 PSMB1 PSMC4 PSMD10 EIF2S1 PSMD12 PSMC2 PSMD3 SEM1 ABCB8 OS9 ABCC1 PSMD8 PSMC6 UBA52 PSMC5 PSMC1 DERL2 ABCC10 PSMA4
"reactome_ADP signalling through P2Y purinoceptor 1"	0.34023798287602	0.598348880409482	0.384204064126418	1.09591462860835	20186	16	GNG10 P2RY1 GNG7 GNG5 MAPK14 GNG2 GNB2 GNG11 GNAQ GNGT2
"reactome_APC-Cdc20 mediated degradation of Nek2A"	0.188823544259068	0.438965048960468	-0.375001242197106	-1.2247876092071	7480	20	CDC16 ANAPC10 RPS27A UBE2E1 CDC23 ANAPC5 ANAPC7 UBA52 CDC26 BUB3 ANAPC16
"reactome_APC/C-mediated degradation of cell cycle proteins"	0.00784695201037614	0.0562362174896859	-0.345159396681906	-1.54988412644795	241	76	PSMA2 PSMB7 CDC16 CUL1 PSMB5 ANAPC10 PSMD11 PSMD2 PSMA5 PSMA1 PSMD14 PSMC3 PSMB2 RPS27A PSMB1 PSMC4 UBE2E1 CDC23 PSMD10 PSMD12 PSMC2 SKP1 PSMD3 ANAPC5 SEM1 BTRC ANAPC7 SKP2 PSMD8 PSMC6 UBA52 PSMC5 PSMC1 CDC26 PSMA4 FZR1
"reactome_APC/C:Cdc20 mediated degradation of Cyclin B"	0.0923092259382944	0.290808764422145	-0.437343176803903	-1.38677867920441	3703	18	CDC16 ANAPC10 RPS27A UBE2E1 CDC23 ANAPC5 ANAPC7 UBA52 CDC26
"reactome_APC/C:Cdc20 mediated degradation of Securin"	0.000977129072643439	0.0118863023643175	-0.413260987853494	-1.78425960537381	31	62	PSMA2 PSMB7 CDC16 PSMB5 ANAPC10 PSMD11 PSMD2 PSMA5 PSMA1 PSMD14 PSMC3 PSMB2 RPS27A PSMB1 PSMC4 UBE2E1 CDC23 PSMD10 PSMD12 PSMC2 PSMD3 ANAPC5 SEM1 ANAPC7 PSMD8 PSMC6 UBA52 PSMC5 PSMC1 CDC26 PSMA4
"reactome_APC/C:Cdc20 mediated degradation of mitotic proteins"	0.0112994350282486	0.0710169491525424	-0.351150262966207	-1.53516418409188	363	66	PSMA2 PSMB7 CDC16 PSMB5 ANAPC10 PSMD11 PSMD2 PSMA5 PSMA1 PSMD14 PSMC3 PSMB2 RPS27A PSMB1 PSMC4 UBE2E1 CDC23 PSMD10 PSMD12 PSMC2 PSMD3 ANAPC5 SEM1
"reactome_APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	0.0010864841373316	0.0129040689060466	-0.402299725375363	-1.75878019981917	34	66	PSMA2 PSMB7 CDC16 PSMB5 ANAPC10 PSMD11 PSMD2 PSMA5 PSMA1 PSMD14 PSMC3 PSMB2 RPS27A PSMB1 PSMC4 UBE2E1 CDC23 PSMD10 PSMD12 PSMC2 PSMD3 ANAPC5 SEM1 ANAPC7 SKP2 PSMD8 PSMC6 UBA52 PSMC5 PSMC1 CDC26 PSMA4 FZR1
"reactome_APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	0.00735771478035057	0.054085657771349	-0.363137251556768	-1.582696282056	237	65	PSMA2 PSMB7 CDC16 PSMB5 ANAPC10 PSMD11 PSMD2 PSMA5 PSMA1 PSMD14 PSMC3 PSMB2 RPS27A PSMB1 PSMC4 UBE2E1 CDC23 PSMD10 PSMD12 PSMC2 PSMD3 ANAPC5 SEM1 ANAPC7 PSMD8 PSMC6 UBA52 PSMC5 PSMC1 CDC26 PSMA4
"reactome_ATF4 activates genes"	0.806815576589264	0.895891300765242	0.24427753732736	0.765208768730341	49268	23	CXCL8 DCP2 CCL2
"reactome_AUF1 (hnRNP D0) binds and destabilizes mRNA"	0.000264690312334569	0.00407407007270881	-0.465142568811818	-1.93193675179292	8	52	PABPC1 HSPA8 PSMA2 PSMB7 PSMB5 PSMD11 PSMD2 PSMA5 PSMA1 PSMD14 PSMC3 PSMB2 RPS27A PSMB1 PSMC4 PSMD10 PSMD12 PSMC2 PSMD3 SEM1
"reactome_AURKA Activation by TPX2"	0.785672505618324	0.88567470641087	-0.194622436117246	-0.845587511792303	25520	64	DYNLL1 TUBB YWHAG YWHAE DCTN2 DYNC1I2 CEP192 HSP90AA1 HAUS7 CSNK1D PRKACA PPP2R1A TUBB4B CEP250 CEP57 CSNK1E CCP110 CEP78 CKAP5 ODF2 SFI1 HAUS1 SSNA1
