pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"reactome_ABC transporter disorders"	0.27606075216972	0.593413467598029	-0.280020544121909	-1.10165471566876	11450	57	PSMB5 RNF5 RNF185 PSMA2 PSMD9 PSMA5 PSMC2 PSMD5 PSME3 PSMB7 DERL2 PSMA1 PSMC4 PSMC3 DERL1 ERLIN2 PSMD3 DERL3
"reactome_ABC-family proteins mediated transport"	0.139732131554295	0.44122647822566	-0.287274872271568	-1.20048672276615	5518	78	PSMB5 PEX3 RNF5 RNF185 PSMA2 PSMD9 ABCA2 PSMA5 PSMC2 PEX19 EIF2S1 PSMD5 PSME3 PSMB7 DERL2 PSMA1 ABCB10 PSMC4 PSMC3 DERL1 ABCB7 ERLIN2 PSMD3 DERL3
"reactome_ADP signalling through P2Y purinoceptor 1"	0.4506103146369	0.729799595718123	-0.355705171820293	-1.00165002839464	21152	15	MAPK14 P2RY1 GNG11 GNB2 GNG7
"reactome_APC-Cdc20 mediated degradation of Nek2A"	0.799337806046876	0.905090791035331	-0.253031312508693	-0.773420179812909	36695	20	BUB3 ANAPC2 CDC26 UBE2D1
"reactome_APC/C-mediated degradation of cell cycle proteins"	0.943565572742999	0.971786134291436	-0.179555825696852	-0.740931457509956	37635	73	PSMB5 BUB3 PSMA2 ANAPC2 PSMD9 PSMA5 PSMC2 CDC26 UBE2D1 PSMD5 PSME3 PSMB7 FZR1 SKP1 PSMA1 PSMC4 PSMC3
"reactome_APC/C:Cdc20 mediated degradation of Cyclin B"	0.983768525052929	0.991050271068151	0.184417571903745	0.532150103264471	52971	19	ANAPC15 UBC ANAPC5
"reactome_APC/C:Cdc20 mediated degradation of Securin"	0.94605596723869	0.973236701565688	-0.18147925203689	-0.726228309746991	38810	62	PSMB5 PSMA2 ANAPC2 PSMD9 PSMA5 PSMC2 CDC26 UBE2D1 PSMD5 PSME3 PSMB7 PSMA1 PSMC4 PSMC3
"reactome_APC/C:Cdc20 mediated degradation of mitotic proteins"	0.875040035477593	0.940433532769027	-0.195879332939705	-0.790982159152084	35516	65	PSMB5 BUB3 PSMA2 ANAPC2 PSMD9 PSMA5 PSMC2 CDC26 UBE2D1 PSMD5 PSME3 PSMB7 PSMA1 PSMC4 PSMC3
"reactome_APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	0.910657652120467	0.954911612906278	-0.189601406037269	-0.763194992703945	37040	64	PSMB5 PSMA2 ANAPC2 PSMD9 PSMA5 PSMC2 CDC26 UBE2D1 PSMD5 PSME3 PSMB7 FZR1 PSMA1 PSMC4 PSMC3
"reactome_APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	0.751652872324796	0.885685940174754	-0.214034615190594	-0.85888249745424	30695	63	PSMB5 BUB3 PSMA2 ANAPC2 PSMD9 PSMA5 PSMC2 CDC26 UBE2D1 PSMD5 PSME3 PSMB7 PSMA1 PSMC4 PSMC3
"reactome_ATF4 activates genes"	0.0454261457605939	0.256270651887338	0.501758158093676	1.50276645754971	2471	22	DCP2 EXOSC9 DIS3 CXCL8 ATF3 KHSRP EXOSC6 EXOSC2
"reactome_AUF1 (hnRNP D0) binds and destabilizes mRNA"	0.301519422810454	0.620910595447115	-0.281535217729918	-1.08555777619959	12620	52	HSPA8 PSMB5 HSPA1A PSMA2 PSMD9 PSMA5 PSMC2 PABPC1 PSMD5 PSME3 PSMB7 PSMA1 PSMC4 PSMC3
"reactome_AURKA Activation by TPX2"	0.629656658916176	0.82627719376846	0.242828195727046	0.904833169734883	37099	60	DYNC1H1 HAUS3 HSP90AA1 DCTN1 PCM1 CEP76 AKAP9 PRKAR2B PAFAH1B1 CEP290 DCTN3 HAUS2 MAPRE1 CCP110
"reactome_Abortive elongation of HIV-1 transcript in the absence of Tat"	0.937410415671285	0.968032121421583	0.213791218692804	0.640305029799317	51011	22	GTF2F1 SUPT5H POLR2B NCBP1 POLR2J GTF2F2 NCBP2 POLR2A POLR2D
"reactome_Activated NOTCH1 Transmits Signal to the Nucleus"	0.597755438079556	0.811094886719294	-0.299432188758513	-0.902975071943879	27589	19	NCSTN MIB2 NUMB DTX2 APH1A
"reactome_Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3"	0.0388091042033822	0.237481651522981	0.559318369898968	1.54479110670904	2069	16	HIST2H2AC HIST1H2BC KDM4C KDM1A HIST1H2AC HIST1H2BD
"reactome_Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins"	0.875040035477593	0.940433532769027	-0.195879332939705	-0.790982159152084	35516	65	PSMB5 BUB3 PSMA2 ANAPC2 PSMD9 PSMA5 PSMC2 CDC26 UBE2D1 PSMD5 PSME3 PSMB7 PSMA1 PSMC4 PSMC3
"reactome_Activation of ATR in response to replication stress"	0.438267629094947	0.723393669950899	-0.30677672719582	-1.0062631131515	19732	26	RPA2 MCM7 RPA3 ORC5 RFC5 RAD9A RAD17 MCM3 MCM8
"reactome_Activation of BH3-only proteins"	0.0309030246677241	0.212872500236372	0.50764174052079	1.55315230428918	1694	24	TP53BP2 YWHAZ BCL2L11 MAPK8 TFDP2 PMAIP1 AKT2 BID BMF BCL2
"reactome_Activation of E2F1 target genes at G1/S"	0.928145894051089	0.962714733143739	-0.224364350047356	-0.643613652152313	43310	16	DHFR LIN52 PCNA TFDP1 RBL2 E2F5 RBBP4 FBXO5
"reactome_Activation of HOX genes during differentiation"	0.994839547520591	0.997967973770655	0.15628044079422	0.576330095626108	58219	57	HIST2H2AC YY1 HIST1H2BC HIST1H2AC HIST1H2BD SUZ12 RBBP7 POLR2B JUN POLR2J H3F3A KDM6A EP300 NCOA3 H2AFJ RBBP5 CTCF CREBBP KMT2C HIST1H2BK
"reactome_Activation of NF-kappaB in B cells"	0.934923171481254	0.966497615017786	-0.184038401397105	-0.740802451559352	38027	64	PSMB5 IKBKB PSMA2 MAP3K7 PSMD9 PSMA5 PSMC2 PSMD5 PSME3 PSMB7 SKP1 PSMA1 PSMC4 PSMC3 PSMD3 CHUK IKBKG
"reactome_Activation of NMDA receptors and postsynaptic events"	0.74151405845357	0.88112862550409	-0.231503780486802	-0.842297383939262	32068	40	PRKAG1 PPM1F MAPK3 CAMK2G NRGN MAPK1 CAMK4 CAMKK1 RPS6KA1 GRIA3 PRKAB2
"reactome_Activation of anterior HOX genes in hindbrain development during early embryogenesis"	0.994839547520591	0.997967973770655	0.15628044079422	0.576330095626108	58219	57	HIST2H2AC YY1 HIST1H2BC HIST1H2AC HIST1H2BD SUZ12 RBBP7 POLR2B JUN POLR2J H3F3A KDM6A EP300 NCOA3 H2AFJ RBBP5 CTCF CREBBP KMT2C HIST1H2BK
"reactome_Activation of gene expression by SREBF (SREBP)"	0.0165391487607092	0.155450712708292	-0.444920954904807	-1.57874727612675	721	36	GGPS1 NFYC FDFT1 MVD SC5D FASN LSS MTF1 MVK FDPS NCOA6 HMGCS1
"reactome_Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S"	0.763423076267285	0.890723927317238	0.225328761023252	0.833549383711176	44773	58	RPS11 RPS24 FAU RPSA RPS12 EIF3G EIF3I RPS7 EIF4H EIF4B RPS8 EIF2S3 EIF3F EIF3J RPS20 RPS23 EIF3B EIF3A
"reactome_Activation of the pre-replicative complex"	0.701610216546363	0.859619500649856	-0.258968126457642	-0.849445378462296	31589	26	RPA2 MCM7 RPA3 ORC5 POLA2 MCM3 MCM8 RPA1 GMNN ORC6 PRIM1 POLE PRIM2 CDK2
"reactome_Amino acid synthesis and interconversion (transamination)"	0.0985024391283045	0.370863797104314	-0.492204567791102	-1.38602628907798	4623	15	PYCR2 GOT1 NAT8L GOT2
"reactome_Amino acid transport across the plasma membrane"	0.893722173700019	0.945548527174625	-0.24060508892752	-0.677533286690309	41953	15	SLC1A5 SLC7A1 SLC7A6 SLC36A4 SLC7A7
"reactome_Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal"	0.869066720149753	0.936837446738437	0.20316094259984	0.777173674520145	51997	69	DYNC1H1 CENPC RANBP2 CLASP2 XPO1 ZWILCH KIF2A B9D2 PAFAH1B1 SGO2 SGO1 PPP2R5C DYNC1LI2 MAPRE1
"reactome_Amplification of signal from the kinetochores"	0.869066720149753	0.936837446738437	0.20316094259984	0.777173674520145	51997	69	DYNC1H1 CENPC RANBP2 CLASP2 XPO1 ZWILCH KIF2A B9D2 PAFAH1B1 SGO2 SGO1 PPP2R5C DYNC1LI2 MAPRE1
"reactome_Amyloid fiber formation"	0.883720519700607	0.941789535227801	0.2146646273241	0.733076288153318	50060	39	HIST2H2AC HIST1H2BC UBC ITM2B HIST1H2AC HIST1H2BD USP9X SIAH1 SIAH2 H3F3A
"reactome_Anchoring of the basal body to the plasma membrane"	0.65954915052555	0.839277245983778	0.229042088757526	0.896936113582305	39907	79	DYNC1H1 HAUS3 HSP90AA1 DCTN1 PCM1 CEP76 SEPT2 AKAP9 PRKAR2B B9D2 TTBK2 PAFAH1B1 SCLT1 CEP290 DCTN3 HAUS2 RAB8A MAPRE1 CCP110
"reactome_Antigen Presentation: Folding, assembly and peptide loading of class I MHC"	0.0196993641809695	0.168597729051273	0.5404203149343	1.61855967693125	1071	22	HLA-A HLA-F HLA-B HSPA5 PDIA3 CALR CANX HLA-C SEC31A
"reactome_Antigen activates B Cell Receptor (BCR) leading to generation of second messengers"	0.347644385576286	0.65796542448184	-0.302132988047614	-1.06505838623066	15222	35	CD79A BLNK BTK ORAI2 PTPN6 IGHD
"reactome_Antigen processing-Cross presentation"	0.740811339198436	0.88112862550409	0.215090332839463	0.862769841150775	45470	91	HLA-A HLA-F HLA-B PDIA3 PSME1 UBC CYBB SEM1 PSMA3 PSMD12 CALR HLA-C PSME2 VAMP3 SEC61A2 PSME4
"reactome_Antigen processing: Ubiquitination & Proteasome degradation"	0.120172786177106	0.406144933341493	0.255439627993083	1.17380408231926	8345	252	HERC5 SOCS3 RBBP6 FBXW7 TRIP12 MEX3C RNF213 RNF4 ELOB MYLIP RNF114 RNF138 VHL NEDD4L UBR2 ELOC ASB8 PSME1 SOCS1 RNF6 PJA2 UBC RNF19A UBE2V1 SEM1 PSMA3 KLHL5 FBXO6 HUWE1 PSMD12 ITCH RLIM PSME2 UBAC1 PSME4 ARIH2 UBE2H UBE2G2 UBE2D3 CUL5 FBXO9 FBXO11 TRIM37 ANAPC5 RNF126 FBXO7 KLHL21 TRIM21 ZNRF2 KLHL42 CUL3 CUL1 DTX3L UBE2M SIAH1 TRIM11 FBXW11 UBE2K PSMD2 RNF7 TRIM36 PJA1 LRRC41 UBE2Q1 HERC2 KCTD6 SIAH2 PSMA6 TPP2 FBXO41 SH3RF1 FBXO44 KLHL22
"reactome_Antimicrobial peptides"	0.013586490656609	0.141050283177636	-0.586796749603908	-1.68329058963228	633	16	RNASE6 PDZD11 CCR2 S100A9 S100A8 GNLY TLR2 SLC11A1 LYZ
"reactome_Antiviral mechanism by IFN-stimulated genes"	0.0112566618518703	0.129083746530107	0.396198489368051	1.53434605279155	677	74	EIF2AK2 HERC5 MX1 STAT1 RANBP2 ISG15 MX2 USP18 ABCE1 UBC NUP54 JAK1 TPR TRIM25 EIF4G3 POM121C KPNA5 NUP153 POM121 IFIT1 ARIH1 EIF4A3 EIF4G2 EIF4E2 KPNA2
reactome_Apoptosis	0.0164630085644814	0.155450712708292	0.328562181154972	1.41249354307661	1062	145	HIST1H1C HIST1H1E HIST1H1D HMGB1 TP53BP2 HMGB2 YWHAZ BCL2L11 PAK2 TNFSF10 HIST1H1B CFLAR APPL1 MAPK8 STAT3 DAPK1 TFDP2 PSME1 UBC SEM1 PSMA3 PMAIP1 PSMD12 AVEN PSME2 PSME4 AKT2 SATB1 BID LMNB1 BMF BCL2 DNM1L AKT1 SPTAN1 STK24 PSMD2 HIST1H1A VIM CASP8 KPNA1 ROCK1 YWHAB PTK2 PSMA6 OCLN
"reactome_Apoptotic cleavage of cellular proteins"	0.509103807046583	0.764745401937697	0.308565753599666	0.961997575304384	27988	26	SATB1 LMNB1 SPTAN1 STK24 VIM CASP8 ROCK1 PTK2 OCLN CTNNB1 DSG2 CDH1 CASP3
"reactome_Apoptotic execution phase"	0.00203008049710493	0.050165862424938	0.525866856591927	1.79582695155097	114	39	HIST1H1C HIST1H1E HIST1H1D HMGB1 HMGB2 PAK2 HIST1H1B SATB1 LMNB1 DNM1L SPTAN1 STK24 HIST1H1A VIM CASP8 KPNA1 ROCK1 PTK2 OCLN CTNNB1 DSG2
"reactome_Aquaporin-mediated transport"	0.356259560273493	0.661086619248909	0.36322128354002	1.07490498356671	19330	21	GNG5 GNAS RAB11FIP2 PRKACB PRKAR2B GNB4 GNB1
"reactome_Arachidonic acid metabolism"	0.0377341990774141	0.234768270501146	-0.49075975192833	-1.5211134098421	1725	21	LTA4H PTGS2 GPX4 DPEP2 CYP1B1 TBXAS1 PTGR1 AKR1C3 ALOX5 CBR1 PON2 GPX1 ALOX5AP FAAH
"reactome_Asparagine N-linked glycosylation"	0.00516977278529487	0.0859750365099512	-0.279602655216797	-1.37921824493666	161	233	DYNLL1 MGAT2 SYVN1 BET1 FUCA1 PREB RNF5 RNF185 COPB2 ST3GAL1 TMED9 CAPZA2 SEC22B MVD COG8 NAGK COPB1 ST3GAL2 DPM1 DYNC1I2 TRAPPC1 SEC24C MANEA SEC22A SEC23IP LMAN2L SERPINA1 ENGASE AMFR SEC24B ALG8 CHST10 ASGR1 TMED2 TRAPPC3 GMPPA DPAGT1 ARF4 NPL SRD5A3 PPP6C STX5 RFT1 CNIH3 STT3A PMM1 ARF5 CMAS MGAT1 ARFGAP2 ALG3 SLC35C1 CAPZB USO1 COG6 ARFGAP1 ST6GALNAC6 GORASP1 TRAPPC4 DERL2 TRAPPC5 COPG1 DCTN5 MARCH6 SEC24D EDEM3 KDELR2 ST3GAL6 DOLPP1 DERL1 ASGR2 SEC24A NEU1 ALG10B CTSC ST6GAL1 ALG1 CNIH1 LMAN2 BET1L
