pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"reactome_ABC transporter disorders"	0.682771722505756	0.854964680507481	-0.232946178999642	-0.8757688234174	42408	57	PSME2 PSME3 RNF5 PSMB9 SEM1 UBB PSMB10 PSMC4 PSMC3 PSMD3 PSMC2 PSMD9 PSMA4 PSME4 PSMD14 PSMA5 PSMB8
"reactome_ABC-family proteins mediated transport"	0.329710942660334	0.646384212119948	-0.272190516828368	-1.07401678698515	20964	74	PSME2 PSME3 RNF5 ABCF1 PSMB9 SEM1 UBB ABCD1 ABCB8 PSMB10 PSMC4 PSMC3 PSMD3 PSMC2 ABCB10 ABCC3 PSMD9 PSMA4 PSME4 ABCD3 PSMD14 PSMA5 PSMB8 ABCG1 PSME1 EIF2S1 PSMA3
"reactome_APC-Cdc20 mediated degradation of Nek2A"	0.861145030997558	0.939870170795024	0.233748897926707	0.714411235464763	36670	18	UBE2D1 ANAPC16 UBA52 CDC27 RPS27A ANAPC7 CDC26 ANAPC15
"reactome_APC/C-mediated degradation of cell cycle proteins"	0.685272104528733	0.856784442221746	-0.226331093534893	-0.877312985298702	43215	67	PSME2 CUL1 PSME3 BUB3 PSMB9 SEM1 UBB PSMB10 PSMC4 PSMC3 PSMD3 PSMC2 PSMD9 PSMA4 ANAPC2 PSME4 PSMD14 PSMA5 BTRC PSMB8 CDC16 PSME1 PSMA3 ANAPC5 FZR1
"reactome_APC/C:Cdc20 mediated degradation of Cyclin B"	0.54144587875534	0.790104612205319	0.31148037774947	0.936787177629699	23194	17	UBE2D1 ANAPC16 UBA52 CDC27 RPS27A ANAPC7 CDC26 ANAPC15
"reactome_APC/C:Cdc20 mediated degradation of Securin"	0.84617969437555	0.933064751252992	-0.205365972823404	-0.782070231823464	52881	61	PSME2 PSME3 PSMB9 SEM1 UBB PSMB10 PSMC4 PSMC3 PSMD3 PSMC2 PSMD9 PSMA4 ANAPC2 PSME4 PSMD14 PSMA5 PSMB8 CDC16 PSME1 PSMA3 ANAPC5
"reactome_APC/C:Cdc20 mediated degradation of mitotic proteins"	0.738560107368825	0.883333915033889	-0.221615013538691	-0.84671614441498	46224	62	PSME2 PSME3 BUB3 PSMB9 SEM1 UBB PSMB10 PSMC4 PSMC3 PSMD3 PSMC2 PSMD9 PSMA4 ANAPC2 PSME4 PSMD14 PSMA5 PSMB8 CDC16 PSME1 PSMA3 ANAPC5
"reactome_APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	0.860803987984917	0.939808117618396	-0.202398236151337	-0.773295326043122	53875	62	PSME2 PSME3 PSMB9 SEM1 UBB PSMB10 PSMC4 PSMC3 PSMD3 PSMC2 PSMD9 PSMA4 ANAPC2 PSME4 PSMD14 PSMA5 PSMB8 CDC16 PSME1 PSMA3 ANAPC5 FZR1
"reactome_APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	0.713385070805665	0.868138810772725	-0.2257702308854	-0.859773283664742	44582	61	PSME2 PSME3 BUB3 PSMB9 SEM1 UBB PSMB10 PSMC4 PSMC3 PSMD3 PSMC2 PSMD9 PSMA4 ANAPC2 PSME4 PSMD14 PSMA5 PSMB8 CDC16 PSME1 PSMA3 ANAPC5
"reactome_ATF4 activates genes"	0.176614599496569	0.483497086535723	-0.411287173669884	-1.25296506870329	10243	22	ATF3 KHSRP EXOSC6 EXOSC5 EXOSC9
"reactome_AUF1 (hnRNP D0) binds and destabilizes mRNA"	0.375486696950032	0.683022280975664	-0.284387736666877	-1.05040817526655	23144	52	PSME2 HSPA1A PSME3 PSMB9 SEM1 UBB PSMB10 PSMC4 PSMC3 PSMD3 PSMC2 PSMD9 PSMA4 PSME4 PABPC1 PSMD14 PSMA5 PSMB8
"reactome_AURKA Activation by TPX2"	0.544018204412311	0.790104612205319	-0.254184588475656	-0.949430318848049	33708	55	HAUS3 CEP164 CEP192 PPP2R1A PRKACA SDCCAG8 CLASP1 CNTRL CEP290 TUBB AKAP9 PRKAR2B CKAP5 CSNK1D DYNLL1 CEP63 DYNC1H1 HAUS7
"reactome_Abortive elongation of HIV-1 transcript in the absence of Tat"	0.613875383607462	0.818780499315152	-0.29355645561678	-0.894304534951042	35605	22	POLR2B NELFCD POLR2H GTF2F1 GTF2F2 POLR2G POLR2I POLR2K POLR2F NCBP2
"reactome_Activated NOTCH1 Transmits Signal to the Nucleus"	0.993028405355845	0.998463039377252	-0.162516435533884	-0.483513944469625	57402	20	UBB PSENEN NCSTN JAG1 ARRB1
"reactome_Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3"	0.0138047060450324	0.123384224029519	0.590051128840921	1.71464669643415	598	15	HIST1H2AC HIST2H2AC H3F3A H2AFZ H2AFX H2AFJ HIST1H2BK
"reactome_Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins"	0.738560107368825	0.883333915033889	-0.221615013538691	-0.84671614441498	46224	62	PSME2 PSME3 BUB3 PSMB9 SEM1 UBB PSMB10 PSMC4 PSMC3 PSMD3 PSMC2 PSMD9 PSMA4 ANAPC2 PSME4 PSMD14 PSMA5 PSMB8 CDC16 PSME1 PSMA3 ANAPC5
"reactome_Activation of ATR in response to replication stress"	0.833265619755878	0.92843982632503	-0.263314055221981	-0.723906039582646	47171	15	RAD9A MCM5 RPA1 RPA3 ORC3 DBF4
"reactome_Activation of BH3-only proteins"	0.287996019832215	0.616043232590644	-0.363864792146181	-1.13212469663686	16786	24	PMAIP1 TP53 BMF BCL2
"reactome_Activation of HOX genes during differentiation"	0.15611450660816	0.462193977934811	0.302766853748341	1.21061973934904	5976	53	HIST1H2AC HIST2H2AC H3F3A MAFB PAXIP1 POLR2C H2AFZ H2AFX HDAC3 H2AFJ POLR2L POLR2D HIST1H2BK KDM6A
"reactome_Activation of IRF3/IRF7 mediated by TBK1/IKK epsilon"	0.463973432725089	0.748468361961887	-0.362999233192013	-0.99796168134678	26265	15	IRF7 UBB TICAM1 IRF3
"reactome_Activation of NF-kappaB in B cells"	0.265945894151841	0.591447930033718	-0.293358651127867	-1.12382704474528	16652	63	PSME2 NFKBIE CUL1 PSME3 PSMB9 SEM1 UBB PSMB10 PSMC4 NFKBIB PSMC3 PSMD3 PSMC2 PSMD9 PSMA4 FBXW11 REL NFKBIA PSME4 PSMD14 PSMA5 BTRC PSMB8 PSME1 MALT1 PSMA3
"reactome_Activation of NMDA receptors and postsynaptic events"	0.142573960554371	0.444803856182363	-0.370693012583959	-1.26894470057236	8558	36	SRC CAMK1 DLG1 CAMK2D PDPK1 GRIN2C PRKAG2 ARHGEF7 GIT1 PRKACA
"reactome_Activation of anterior HOX genes in hindbrain development during early embryogenesis"	0.15611450660816	0.462193977934811	0.302766853748341	1.21061973934904	5976	53	HIST1H2AC HIST2H2AC H3F3A MAFB PAXIP1 POLR2C H2AFZ H2AFX HDAC3 H2AFJ POLR2L POLR2D HIST1H2BK KDM6A
"reactome_Activation of gene expression by SREBF (SREBP)"	0.763384713226557	0.894266116415241	-0.239796690232633	-0.810503440347918	45612	34	CARM1 CHD9 HELZ2 TGS1 PMVK NCOA6 SREBF2 PPARA HMGCS1
"reactome_Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S"	0.995440387888129	0.998587525109039	-0.149850360109477	-0.565292474956683	62001	58	RPS19 EIF4A2 EIF4A1 EIF3J RPS18 RPS21 EIF4E RPS27L RPS29 EIF3A PABPC1
"reactome_Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal"	0.23004542504867	0.556103614658786	-0.313590588857847	-1.1582711761189	14179	52	RCC2 RANBP2 NSL1 XPO1 BUB3 SEH1L PPP2R1A CENPT MAD1L1 CLASP1 CKAP5 NUDC DYNLL1 DYNC1LI2 DYNC1H1 NUP133 NUP107
"reactome_Amplification of signal from the kinetochores"	0.23004542504867	0.556103614658786	-0.313590588857847	-1.1582711761189	14179	52	RCC2 RANBP2 NSL1 XPO1 BUB3 SEH1L PPP2R1A CENPT MAD1L1 CLASP1 CKAP5 NUDC DYNLL1 DYNC1LI2 DYNC1H1 NUP133 NUP107
"reactome_Amyloid fiber formation"	0.213560170127596	0.536594885180805	0.320649469148454	1.17360009469071	8535	36	HIST1H2AC HIST2H2AC SORL1 H3F3A APP SIAH2 H2AFZ H2AFX HIST1H2BK UBA52
