pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"reactome_ABC transporter disorders"	0.390295358649789	0.95269954295855	0.292405460324717	1.04892882858977	29969	52	PSMD14 PSMB1 DERL1 PSMC5 OS9 PSMD13 PSMC1 UBC PSMA3 PSMB3 PSMB10 PSMB4 PSMC4 PSMB8 PSMB6 UBA52 PSMD6 PSMD11 PSMC3
"reactome_ABC-family proteins mediated transport"	0.741436050860135	1	0.22349138444671	0.8469725368197	59477	71	EIF2S2 PSMD14 PSMB1 DERL1 PSMC5 OS9 PSMD13 PSMC1 UBC PSMA3 PSMB3 PSMB10 PSMB4 PSMC4 PSMB8 PSMB6 ABCA7 UBA52 PSMD6 PSMD11 PSMC3 ABCA5
"reactome_APC-Cdc20 mediated degradation of Nek2A"	0.272666071506974	0.898885356152848	0.400838899874073	1.15809263547964	18630	19	CDC23 ANAPC2 ANAPC11 UBC BUB3 UBE2D1 ANAPC15 ANAPC10 CDC16 UBA52
"reactome_APC/C-mediated degradation of cell cycle proteins"	0.105271149125693	0.732951617478423	0.345936244736635	1.28844624674725	8319	64	PSMD14 PSMB1 CDC23 PSMC5 ANAPC2 PSMD13 PSMC1 ANAPC11 BTRC UBC BUB3 UBE2D1 ANAPC15 PSMA3 PSMB3 PSMB10 PSMB4 PSMC4 SKP1 ANAPC10 PSMB8 PSMB6 CDC16 UBA52 PSMD6 PSMD11 PSMC3
"reactome_APC/C:Cdc20 mediated degradation of Cyclin B"	0.373844160433477	0.9509976418252	0.375729615675438	1.07055801580402	25389	18	CDC23 ANAPC2 ANAPC11 UBC UBE2D1 ANAPC15 ANAPC10 CDC16 UBA52
"reactome_APC/C:Cdc20 mediated degradation of Securin"	0.181106591972987	0.845293624424365	0.328629999880936	1.20650603599563	14159	59	PSMD14 PSMB1 CDC23 PSMC5 ANAPC2 PSMD13 PSMC1 ANAPC11 UBC UBE2D1 ANAPC15 PSMA3 PSMB3 PSMB10 PSMB4 PSMC4 ANAPC10 PSMB8 PSMB6 CDC16 UBA52 PSMD6 PSMD11 PSMC3
"reactome_APC/C:Cdc20 mediated degradation of mitotic proteins"	0.140148423951851	0.800159070593171	0.33907335578155	1.24923357069089	10990	60	PSMD14 PSMB1 CDC23 PSMC5 ANAPC2 PSMD13 PSMC1 ANAPC11 UBC BUB3 UBE2D1 ANAPC15 PSMA3 PSMB3 PSMB10 PSMB4 PSMC4 ANAPC10 PSMB8 PSMB6 CDC16 UBA52 PSMD6 PSMD11 PSMC3
"reactome_APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	0.181106591972987	0.845293624424365	0.328629999880936	1.20650603599563	14159	59	PSMD14 PSMB1 CDC23 PSMC5 ANAPC2 PSMD13 PSMC1 ANAPC11 UBC UBE2D1 ANAPC15 PSMA3 PSMB3 PSMB10 PSMB4 PSMC4 ANAPC10 PSMB8 PSMB6 CDC16 UBA52 PSMD6 PSMD11 PSMC3
"reactome_APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	0.140148423951851	0.800159070593171	0.33907335578155	1.24923357069089	10990	60	PSMD14 PSMB1 CDC23 PSMC5 ANAPC2 PSMD13 PSMC1 ANAPC11 UBC BUB3 UBE2D1 ANAPC15 PSMA3 PSMB3 PSMB10 PSMB4 PSMC4 ANAPC10 PSMB8 PSMB6 CDC16 UBA52 PSMD6 PSMD11 PSMC3
"reactome_ATF4 activates genes"	0.731443185047201	1	-0.248140125291797	-0.822804569595663	23166	19	EXOSC8 KHSRP EXOSC7
"reactome_AUF1 (hnRNP D0) binds and destabilizes mRNA"	0.453850390809421	0.977131608245809	0.284024605635697	1.00798982027565	34606	49	PSMD14 PSMB1 PSMC5 PSMD13 PSMC1 UBC PSMA3 PSMB3 PSMB10 PSMB4 PSMC4 PSMB8 PSMB6 UBA52 PSMD6 PSMD11 PSMC3
"reactome_AURKA Activation by TPX2"	0.292354013824689	0.902760170920913	-0.256303367970219	-1.0878953419712	6893	50	CCP110 CEP290 NEDD1 CEP152 CSNK1D MAPRE1 CEP135 HAUS3 AKAP9 PCNT DYNC1H1 CEP78 YWHAG CSNK1E DCTN3 PCM1 ALMS1
"reactome_Abortive elongation of HIV-1 transcript in the absence of Tat"	0.385198286026515	0.9509976418252	0.35427828530069	1.06191525686326	26788	22	SUPT4H1 POLR2K POLR2L POLR2G POLR2J SUPT5H POLR2H NCBP2
"reactome_Activated NOTCH1 Transmits Signal to the Nucleus"	0.885551134465267	1	-0.220913528399846	-0.695243431492637	29154	16	UBB ARRB2
"reactome_Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins"	0.140148423951851	0.800159070593171	0.33907335578155	1.24923357069089	10990	60	PSMD14 PSMB1 CDC23 PSMC5 ANAPC2 PSMD13 PSMC1 ANAPC11 UBC BUB3 UBE2D1 ANAPC15 PSMA3 PSMB3 PSMB10 PSMB4 PSMC4 ANAPC10 PSMB8 PSMB6 CDC16 UBA52 PSMD6 PSMD11 PSMC3
"reactome_Activation of ATR in response to replication stress"	0.230440452042886	0.886650820672728	0.404406378118515	1.19755531970376	15904	21	RFC2 RPA2 MCM5 HUS1 ORC4
"reactome_Activation of BH3-only proteins"	0.840228526398739	1	-0.219773465765481	-0.757804867500852	25589	22	PMAIP1 AKT2 TFDP2 MAPK8 YWHAG
"reactome_Activation of HOX genes during differentiation"	0.645024718628379	1	0.252407479037806	0.892273029366549	49057	48	HIST2H2BE H2AFZ EZH2 POLR2K POLR2L H3F3A H2AFV POLR2G POLR2J HDAC3 ASH2L POLR2H RARA
"reactome_Activation of NF-kappaB in B cells"	0.874471660640628	1	0.203325114034415	0.751205176063351	68687	61	IKBKG PSMD14 PSMB1 PSMC5 PSMD13 PSMC1 BTRC UBC PSMA3 PSMB3 PSMB10 PSMB4 PSMC4 SKP1 PSMB8 PSMB6 UBA52 PSMD6 PSMD11 PSMC3
"reactome_Activation of NMDA receptors and postsynaptic events"	0.246730589401108	0.893418003602613	0.366814014697535	1.17110290672714	17677	29	CAMKK2 PRKACA PPM1F PRKAB2 PDPK1 LRRC7 GIT1 RAC1
"reactome_Activation of anterior HOX genes in hindbrain development during early embryogenesis"	0.645024718628379	1	0.252407479037806	0.892273029366549	49057	48	HIST2H2BE H2AFZ EZH2 POLR2K POLR2L H3F3A H2AFV POLR2G POLR2J HDAC3 ASH2L POLR2H RARA
"reactome_Activation of gene expression by SREBF (SREBP)"	0.903981179876945	1	-0.189653282713255	-0.724673288581701	24976	32	SP1 IDI1 TBL1X
"reactome_Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S"	0.806928275897515	1	0.218621584248508	0.797814655695211	62799	57	EIF2S2 EIF3H RPS27L RPS10 EIF3L RPSA RPS16 EIF4B EIF3J RPS5 RPS3 EIF3K RPS9 EIF3A RPS29 RPS28 RPS4X EIF3B RPS7 PABPC1 RPS21 EIF4A1 EIF4A2 EIF3C EIF3I RPS13 EIF2S1 RPS14 RPS3A
"reactome_Activation of the pre-replicative complex"	0.551618241178312	0.995499704259265	0.339309999246246	0.938095783715161	37001	16	RPA2 MCM5 ORC4 POLE4 RPA1 POLE ORC3 PRIM2
"reactome_Adaptive Immune System"	0.768886892975974	1	0.197562874982317	0.903712234730257	75333	476	IGLC3 LILRB2 IGLC2 IGHM AP2S1 CYBB IGKC UBA1 FKBP1A CUL5 PLCG2 NCF1 IKBKG PAK2 LONRF1 OSBPL1A SYK FBXO41 PSMD14 MICB CTSO PRKACA STUB1 RNF14 FBXW4 AP1B1 SIAH1 PAG1 PAK1 PSMB1 PPP2R5D VHL VAMP3 UBE2Z CDC23 GRB2 FBXW2 UBE2D2 SEC24D MLST8 AP2B1 CD160 SEC61G KLHL11 SEC22B BTBD6 HACE1 BTN2A2 HECTD3 FBXL15 PSMC5 MGRN1 ITPR3 RAP1A DCTN2 TRAF6 ANAPC2 PSMD13 PSMC1 AP1M1 LCK ACTR1A CD8B ANAPC11 VASP FBXL3 VAMP8 BTN2A1 BTRC SOCS3 UBC PDPK1 UBE2V1 UBE2D1 SEC61A2 DAPP1 ANAPC1 CD4 FBXL22 AP1S2 PPP2R1A CDC42 CTLA4 KLC1 PPP2CA ICAM3 ITGA4 UBE3B UBE2W AP2A2 UBA5 PSMA3 LAIR1 RAC1 FBXL8 KIF22 UBE2K TAP1 PSMB3 SAR1B PSMB10 CLEC2D UBE2L3 PTPRC RAF1 PSMB4 PSMC4 PRR5 CD81 RASGRP3 ELOC SKP1 SEC61B ANAPC10 PSMB8 PSMB6
"reactome_Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal"	0.883688402512465	1	0.204052562830841	0.737214126948601	68233	54	ITGB3BP PPP2R5D B9D2 RANGAP1 DSN1 MAD1L1 BUB3 PPP2R1A PPP2CA PMF1 CENPF NUDC CENPK NUP37 NSL1 TAOK1 CENPL
"reactome_Amplification of signal from the kinetochores"	0.883688402512465	1	0.204052562830841	0.737214126948601	68233	54	ITGB3BP PPP2R5D B9D2 RANGAP1 DSN1 MAD1L1 BUB3 PPP2R1A PPP2CA PMF1 CENPF NUDC CENPK NUP37 NSL1 TAOK1 CENPL
"reactome_Amyloid fiber formation"	0.670535156521136	1	0.267415827634933	0.865639911206586	48301	31	SIAH1 HIST2H2BE H2AFZ TSPAN14 LYZ UBC H3F3A GSN
"reactome_Anchoring of the basal body to the plasma membrane"	0.643464820237003	1	0.240039549491036	0.901202790939612	51204	67	TUBA1A PRKACA TCTN3 TTBK2 HAUS2 DCTN2 B9D2 FBF1 HAUS5 PPP2R1A CEP89 HAUS1 CEP164 IQCB1 AHI1 ODF2 CEP97
