pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"reactome_ABC transporter disorders"	2.4500796275879e-05	0.00054792633950619	0.589576519383696	2.42366954901667	0	57	RPS27A PSMA1 ERLEC1 DERL2 PSMD2 PSMA7 UBA52 PSME1 PSMD14 PSMC3 PSMA2 UBB PSMD4 PSMB3 PSMD7 PSMB7 PSMB5 PSMA5 PSMF1 PSMB4 PSMA3 PSMD8 PSMB1 SEM1 PSMC4 PSMB2 PSMD11
"reactome_ABC-family proteins mediated transport"	2.53049243382762e-05	0.00054792633950619	0.510244660863118	2.24830349298115	0	81	EIF2S2 RPS27A PSMA1 ERLEC1 DERL2 PSMD2 PSMA7 UBA52 PSME1 PSMD14 PSMC3 PSMA2 UBB PSMD4 APOA1 PSMB3 PSMD7 PSMB7 PSMB5 PSMA5 PSMF1 PSMB4 PSMA3 PSMD8 PSMB1 SEM1 PSMC4 PSMB2
"reactome_APC-Cdc20 mediated degradation of Nek2A"	0.033271551918991	0.144642828305428	0.486393490139541	1.55437408663801	1471	20	RPS27A UBA52 UBB ANAPC16 CDC26 CDC23 BUB3 UBC ANAPC5 ANAPC15
"reactome_APC/C-mediated degradation of cell cycle proteins"	2.50269039217158e-05	0.00054792633950619	0.51445972536794	2.22984282152246	0	74	RPS27A PSMA1 SKP1 PSMD2 PSMA7 UBA52 PSME1 PSMD14 PSMC3 PSMA2 UBB ANAPC16 PSMD4 PSMB3 SKP2 CDC26 PSMD7 PSMB7 PSMB5 PSMA5 PSMF1 PSMB4 PSMA3 PSMD8 PSMB1 SEM1 PSMC4 CDK2 PSMB2 CDC23 PSMD11 BTRC
"reactome_APC/C:Cdc20 mediated degradation of Cyclin B"	0.0559080273578114	0.19706376271371	0.467616427287466	1.47417218078974	2484	19	RPS27A UBA52 UBB ANAPC16 CDC26 CDC23 UBC ANAPC5 ANAPC15
"reactome_APC/C:Cdc20 mediated degradation of Securin"	2.4612355402412e-05	0.00054792633950619	0.547890302134604	2.29314461959243	0	62	RPS27A PSMA1 PSMD2 PSMA7 UBA52 PSME1 PSMD14 PSMC3 PSMA2 UBB ANAPC16 PSMD4 PSMB3 CDC26 PSMD7 PSMB7 PSMB5 PSMA5 PSMF1 PSMB4 PSMA3 PSMD8 PSMB1 SEM1 PSMC4 PSMB2 CDC23 PSMD11
"reactome_APC/C:Cdc20 mediated degradation of mitotic proteins"	2.47641217404225e-05	0.00054792633950619	0.529527297875523	2.2452845536635	0	66	RPS27A PSMA1 PSMD2 PSMA7 UBA52 PSME1 PSMD14 PSMC3 PSMA2 UBB ANAPC16 PSMD4 PSMB3 CDC26 PSMD7 PSMB7 PSMB5 PSMA5 PSMF1 PSMB4 PSMA3 PSMD8 PSMB1 SEM1 PSMC4 PSMB2 CDC23 PSMD11
"reactome_APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	2.46755169520801e-05	0.00054792633950619	0.551840237923433	2.32597869118288	0	64	RPS27A PSMA1 PSMD2 PSMA7 UBA52 PSME1 PSMD14 PSMC3 PSMA2 UBB ANAPC16 PSMD4 PSMB3 SKP2 CDC26 PSMD7 PSMB7 PSMB5 PSMA5 PSMF1 PSMB4 PSMA3 PSMD8 PSMB1 SEM1 PSMC4 PSMB2 CDC23 PSMD11
"reactome_APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	2.46755169520801e-05	0.00054792633950619	0.535399303576292	2.25668098447978	0	64	RPS27A PSMA1 PSMD2 PSMA7 UBA52 PSME1 PSMD14 PSMC3 PSMA2 UBB ANAPC16 PSMD4 PSMB3 CDC26 PSMD7 PSMB7 PSMB5 PSMA5 PSMF1 PSMB4 PSMA3 PSMD8 PSMB1 SEM1 PSMC4 PSMB2 CDC23 PSMD11
"reactome_ATF4 activates genes"	0.674944183715314	0.819958098143959	0.26241476129033	0.859839153834059	29625	22	EXOSC2 EXOSC7 EXOSC3 ATF6 CXCL8 NFYB DDIT3 KHSRP NFYC
"reactome_AUF1 (hnRNP D0) binds and destabilizes mRNA"	2.41995982866684e-05	0.00054792633950619	0.580285895556952	2.33959720996184	0	52	RPS27A PSMA1 PSMD2 PSMA7 UBA52 PSME1 PSMD14 PSMC3 PSMA2 UBB PSMD4 PSMB3 PSMD7 PSMB7 PSMB5 PSMA5 PSMF1 PSMB4 HSPB1 PSMA3 PSMD8 PSMB1 SEM1 PSMC4 PSMB2 PSMD11
"reactome_AURKA Activation by TPX2"	0.000570670873965659	0.00683361516895467	-0.451029577996882	-1.80919523085544	33	65	CLASP1 CNTRL ALMS1 CEP135 CEP78 ODF2 CEP63 HAUS6 SFI1 CEP192 CEP164 PCM1 CEP72 NEDD1 DYNC1H1 OFD1 CEP250 PCNT PRKACA AKAP9 CKAP5 TUBA4A CSNK1D
"reactome_Abortive elongation of HIV-1 transcript in the absence of Tat"	0.00462477787396911	0.0362257099838516	0.549492716865679	1.80049075892125	202	22	POLR2L SUPT4H1 POLR2J POLR2F POLR2K POLR2I NELFE POLR2E NCBP2 GTF2F1 NELFB POLR2G
"reactome_Activated NOTCH1 Transmits Signal to the Nucleus"	0.0896450039696042	0.263571919996069	0.42642261395078	1.38032494652824	3951	21	RPS27A ARRB2 UBA52 UBB DLL1 APH1B APH1A UBC PSEN2 MIB2
