pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"reactome_ABC transporter disorders"	5.82021360183919e-05	0.00148551858103192	0.49172765990051	2.07294484208954	1	57	PSMA7 DERL3 PSMB8 RPS27A SEM1 PSMB7 UBA52 PSMB1 PSMC4 UBB ERLIN2 PSMD8 UBC VCP PSMB6 PSME2 PSMF1 PSMD6 DERL2 PSMB2 PSMC3 PSME1 PSMB3 PSMD7 PSMB4 PSMD13 PSMA1 ERLEC1 PSME3 PSMA3 RNF5
"reactome_ABC-family proteins mediated transport"	0.000123571207908557	0.00249201935948924	0.419471788356256	1.87887910473268	3	77	PSMA7 DERL3 PSMB8 RPS27A SEM1 PSMB7 UBA52 PSMB1 ABCD3 PSMC4 UBB ERLIN2 PSMD8 UBC VCP PSMB6 PSME2 PSMF1 EIF2S3 PSMD6 DERL2 PSMB2 PSMC3 PSME1 PSMB3 PSMD7 PSMB4 PSMD13 ABCD1 EIF2S1 ABCB7 PEX3 PSMA1 ERLEC1 EIF2S2 PSME3 PSMA3
"reactome_APC-Cdc20 mediated degradation of Nek2A"	0.144449453962529	0.343254052360737	0.394898067640374	1.28693963440327	5766	20	CDC26 RPS27A UBA52 UBB UBC MAD2L1 ANAPC11
"reactome_APC/C-mediated degradation of cell cycle proteins"	0.0092282390205275	0.0635739357275312	0.344375948671624	1.52238165633849	302	72	CDC26 PSMA7 PSMB8 RPS27A SEM1 PSMB7 UBA52 PSMB1 PSMC4 UBB PSMD8 UBC MAD2L1 PSMB6 PSME2 PSMF1 PSMD6 PSMB2 PSMC3 ANAPC11 PSME1 PSMB3 PSMD7 SKP1 PSMB4 PSMD13
"reactome_APC/C:Cdc20 mediated degradation of Cyclin B"	0.247204135394403	0.470364537177353	0.362394248434718	1.16494103728578	9946	19	CDC26 RPS27A UBA52 UBB UBC ANAPC11
"reactome_APC/C:Cdc20 mediated degradation of Securin"	0.00313795145056246	0.0306020519074256	0.387386307097038	1.6619033767535	105	62	CDC26 PSMA7 PSMB8 RPS27A SEM1 PSMB7 UBA52 PSMB1 PSMC4 UBB PSMD8 UBC PSMB6 PSME2 PSMF1 PSMD6 PSMB2 PSMC3 ANAPC11 PSME1 PSMB3 PSMD7 PSMB4 PSMD13
"reactome_APC/C:Cdc20 mediated degradation of mitotic proteins"	0.00214624258502996	0.0230650477805687	0.392438187085357	1.70074314149491	71	65	CDC26 PSMA7 PSMB8 RPS27A SEM1 PSMB7 UBA52 PSMB1 PSMC4 UBB PSMD8 UBC MAD2L1 PSMB6 PSME2 PSMF1 PSMD6 PSMB2 PSMC3 ANAPC11 PSME1 PSMB3 PSMD7 PSMB4 PSMD13
"reactome_APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	0.00550218600362847	0.0466031345769794	0.370348041695636	1.59933556667462	184	64	CDC26 PSMA7 PSMB8 RPS27A SEM1 PSMB7 UBA52 PSMB1 PSMC4 UBB PSMD8 UBC PSMB6 PSME2 PSMF1 PSMD6 PSMB2 PSMC3 ANAPC11 PSME1 PSMB3 PSMD7 PSMB4 PSMD13
"reactome_APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	0.001513353115727	0.0179136058761406	0.399124826601041	1.71833679634165	50	63	CDC26 PSMA7 PSMB8 RPS27A SEM1 PSMB7 UBA52 PSMB1 PSMC4 UBB PSMD8 UBC MAD2L1 PSMB6 PSME2 PSMF1 PSMD6 PSMB2 PSMC3 ANAPC11 PSME1 PSMB3 PSMD7 PSMB4 PSMD13
"reactome_ATF4 activates genes"	0.264332659251769	0.488212977151013	0.341511654001095	1.14215301355921	10456	22	DDIT3 EXOSC8 NFYB NFYC NFYA HERPUD1 EXOSC1 EXOSC4 EXOSC7 CXCL8
