pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"reactome_ABC transporter disorders"	0.0171214865891428	0.198046260462039	0.381889211529937	1.51635065795501	878	59	PSMD5 DERL1 PSMC2 VCP PSMA2 PSMC1 UBA52 ERLEC1 PSMD13 PSMB6 PSMB2 RPS27A PSMA8 PSMD14 PSME3 PSMD1 SEL1L PSMD4 PSMD11 PSMD9 PSMB1 RNF5 DERL3 PSMC4 PSMD12 PSMC6 PSMB5
"reactome_ABC-family proteins mediated transport"	0.00848435876717073	0.134892649525987	0.367197409564906	1.55373741959783	440	82	ABCD3 PSMD5 DERL1 PSMC2 ABCC1 VCP EIF2S2 ABCD2 EIF2S3 PSMA2 PSMC1 UBA52 ABCA7 ERLEC1 PSMD13 PSMB6 PSMB2 ABCB10 RPS27A PSMA8 PSMD14 ABCB8 ABCF1 PSME3 PSMD1 SEL1L PSMD4 PSMD11 PSMD9 PSMB1 RNF5 DERL3 PSMC4 EIF2S1 PSMD12 PSMC6 PSMB5 ABCA5 PSMA4 PEX19
"reactome_ADP signalling through P2Y purinoceptor 1"	0.276325872151644	0.649266691002333	-0.393108603531537	-1.14807922502878	13702	16	GNB5 GNG7 GNG3 GNGT2
"reactome_APC-Cdc20 mediated degradation of Nek2A"	0.576961250987462	0.834125879759733	-0.28150593327789	-0.917967225914529	28483	24	UBE2E1 UBE2C BUB3 BUB1B UBC NEK2
"reactome_APC/C-mediated degradation of cell cycle proteins"	0.150136575231793	0.519047582714756	0.28358856914475	1.20279488740328	7804	83	PSMD5 PSMC2 ANAPC4 CCNA2 FBXO5 SKP2 PSMA2 PSMC1 UBA52 PSMD13 SKP1 PSMB6 PSMB2 RPS27A PSMA8 PSMD14 MAD2L1 CDC23 PSME3 PSMD1 CDC26 ANAPC11 CCNB1 PSMD4 PSMD11 PSMD9 PSMB1 PSMC4 ANAPC15 PSMD12 PSMC6 PSMB5
"reactome_APC/C:Cdc20 mediated degradation of Cyclin B"	0.788230884557721	0.908631255623353	0.247065485685971	0.780434955078129	39956	22	ANAPC4 UBA52 RPS27A CDC23 CDC26 ANAPC11 CCNB1 ANAPC15
"reactome_APC/C:Cdc20 mediated degradation of Securin"	0.112515484670177	0.462646727110039	0.311383380314864	1.2614879740503	5812	65	PSMD5 PSMC2 ANAPC4 PSMA2 PSMC1 UBA52 PSMD13 PSMB6 PSMB2 RPS27A PSMA8 PSMD14 CDC23 PSME3 PSMD1 CDC26 ANAPC11 PSMD4 PSMD11 PSMD9 PSMB1 PSMC4 ANAPC15 PSMD12 PSMC6 PSMB5 PSMA4 PSMA7 ANAPC5
"reactome_APC/C:Cdc20 mediated degradation of mitotic proteins"	0.145403522353397	0.51125310463841	0.294271979092254	1.21538329018066	7512	72	PSMD5 PSMC2 ANAPC4 CCNA2 PSMA2 PSMC1 UBA52 PSMD13 PSMB6 PSMB2 RPS27A PSMA8 PSMD14 MAD2L1 CDC23 PSME3 PSMD1 CDC26 ANAPC11 CCNB1 PSMD4 PSMD11 PSMD9 PSMB1 PSMC4 ANAPC15 PSMD12 PSMC6 PSMB5 PSMA4 PSMA7 ANAPC5
"reactome_APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	0.152775357689106	0.522334164916804	0.29445212074749	1.20973764982844	7890	70	PSMD5 PSMC2 ANAPC4 SKP2 PSMA2 PSMC1 UBA52 PSMD13 PSMB6 PSMB2 RPS27A PSMA8 PSMD14 CDC23 PSME3 PSMD1 CDC26 ANAPC11 PSMD4 PSMD11 PSMD9 PSMB1 PSMC4 ANAPC15 PSMD12 PSMC6 PSMB5 PSMA4 PSMA7 ANAPC5
"reactome_APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	0.158196356314495	0.529651100988026	0.292989562144402	1.20372882162662	8170	70	PSMD5 PSMC2 ANAPC4 CCNA2 PSMA2 PSMC1 UBA52 PSMD13 PSMB6 PSMB2 RPS27A PSMA8 PSMD14 MAD2L1 CDC23 PSME3 PSMD1 CDC26 ANAPC11 PSMD4 PSMD11 PSMD9 PSMB1 PSMC4 ANAPC15 PSMD12 PSMC6 PSMB5 PSMA4 PSMA7 ANAPC5
"reactome_ATF4 activates genes"	0.470553640235246	0.780273213670654	-0.309523635342622	-0.986017201044909	23202	22	EXOSC5 PARN DDIT3 EXOSC2 NFYC EXOSC9 EXOSC8 ATF4 EXOSC4 HERPUD1
"reactome_AUF1 (hnRNP D0) binds and destabilizes mRNA"	0.0866626409801897	0.414662868504439	0.339183920535177	1.31848987460483	4448	53	PSMD5 PSMC2 PSMA2 PSMC1 UBA52 PSMD13 HSPB1 PSMB6 PSMB2 RPS27A PSMA8 PSMD14 PSME3 PSMD1 PSMD4 PSMD11 PSMD9 HNRNPD PSMB1 PSMC4 PSMD12 PSMC6 PSMB5 PSMA4 PSMA7
"reactome_AURKA Activation by TPX2"	0.454305182737972	0.774488128331539	-0.240651209950306	-0.997470475349065	22001	69	PCM1 SFI1 TUBG1 HAUS8 CEP70 CKAP5 CEP192 CLASP1 HMMR CEP164 TUBB4B CEP290 TUBB DYNLL1 CEP41 CDK5RAP2 NEK2 SSNA1 DYNC1H1 PAFAH1B1 CEP72 CEP250 CEP152 AURKA HAUS1 CNTRL
"reactome_Abortive elongation of HIV-1 transcript in the absence of Tat"	0.0951037639075199	0.430634482181246	0.434649977440133	1.3729802634163	4820	22	GTF2F1 POLR2L POLR2F NELFB NELFE POLR2A SUPT5H POLR2D POLR2J SUPT4H1 POLR2C
"reactome_Activated NOTCH1 Transmits Signal to the Nucleus"	0.356161404479943	0.72303296601095	0.348665484741415	1.07399521976334	18014	20	ARRB2 PSENEN ITCH UBA52 RPS27A APH1B DTX1
"reactome_Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3"	0.0475730642650218	0.326783621096985	0.442601313665954	1.47388524422978	2413	27	KDM1A HIST1H2BN HIST3H2BB HIST1H2BJ NCOA2 HIST1H2BK H3F3A H2AFV HIST1H2BH HIST1H3A HIST2H2AC HIST1H2BC HIST2H2BE H2AFZ HIST1H2AB H2AFJ HIST1H4A HIST1H2BB PKN1
