pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"reactome_ABC transporter disorders"	0.534742761164056	0.784699547276495	0.2193625498689	0.960850561423369	14644	58	DERL3 PSMB2 PSMD10 RNF5 PSMD11 PSMD2 PSME4 PSMA7 VCP PSMD6 PSMD13 ERLEC1 DERL2 PSMC4 SEL1L OS9 PSMD5 PSMA2 PSMD3 PSMA6 PSMD9
"reactome_ABC-family proteins mediated transport"	0.959946146078761	1	0.156414678262016	0.738209326195518	22815	84	DERL3 ABCC4 ABCA3 PSMB2 PSMD10 RNF5 ABCC3 ABCD3 PSMD11 ABCA6 PSMD2 PSME4 APOA1 PSMA7 VCP ABCD1 PSMD6 PSMD13 ERLEC1 DERL2
"reactome_ADP signalling through P2Y purinoceptor 1"	0.00442357053137458	0.0447395008464857	0.594754495186578	1.86705809623948	161	16	GNA15 P2RY1 SRC GNB5 PLA2G4A GNG7 GNG11 GNB4 GNAQ GNB2 GNG5 GNG8
"reactome_APC-Cdc20 mediated degradation of Nek2A"	0.761128741744575	0.924681264161494	0.237193608535457	0.805770039239201	26621	21	UBE2C CDC27 ANAPC11
"reactome_APC/C-mediated degradation of cell cycle proteins"	0.986456341618866	1	0.147118627441172	0.677527409613222	24763	74	UBE2C CDC27 CCNA2 CDK2 PSMB2 PSMD10 ANAPC11 PSMD11 PSMD2 PSME4 PSMA7 PSMD6 PSMD13 ANAPC5 CUL1
"reactome_APC/C:Cdc20 mediated degradation of Cyclin B"	0.737675707780638	0.910616957667699	0.244175041128482	0.818211362809772	26081	20	UBE2C CDC27 ANAPC11
"reactome_APC/C:Cdc20 mediated degradation of Securin"	0.990894039735099	1	0.142485698814913	0.635189127973487	26333	63	UBE2C CDC27 PSMB2 PSMD10 ANAPC11 PSMD11 PSMD2 PSME4 PSMA7 PSMD6 PSMD13 ANAPC5
"reactome_APC/C:Cdc20 mediated degradation of mitotic proteins"	0.95994469833711	1	0.160006872033168	0.722496766567037	24995	67	UBE2C CDC27 CCNA2 PSMB2 PSMD10 ANAPC11 PSMD11 PSMD2 PSME4 PSMA7 PSMD6 PSMD13
"reactome_APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	0.997276441216523	1	0.130673027344094	0.584340309866469	26363	64	UBE2C CDC27 PSMB2 PSMD10 ANAPC11 PSMD11 PSMD2 PSME4 PSMA7 PSMD6 PSMD13
"reactome_APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	0.862157207241616	0.976396389289806	0.179350729704428	0.807345253606339	22572	66	UBE2C CDC27 CCNA2 PSMB2 PSMD10 ANAPC11 PSMD11 PSMD2 PSME4 PSMA7 PSMD6 PSMD13
"reactome_ATF4 activates genes"	0.384182776801406	0.659932917452895	-0.343881297664813	-1.05772070735945	25138	22	EXOSC8 EXOSC6 EXOSC1 HERPUD1 EXOSC5 ATF3 KHSRP EXOSC2 NFYA EXOSC9
"reactome_AUF1 (hnRNP D0) binds and destabilizes mRNA"	0.987046998867497	1	0.148890222206798	0.636442396370319	27889	52	PSMB2 PSMD10 PSMD11 PSMD2 PSME4 HSPB1 PSMA7 PSMD6 PSMD13 HSPA1A PSMC4 PSMD5 PSMA2 PSMD3 PSMA6 PSMD9 PSMA4 PSMB5 PSMD8 PSMD7 PSMC1
"reactome_AURKA Activation by TPX2"	0.777922701997666	0.932943530294302	-0.214909125525817	-0.818208115977908	56659	59	CEP78 CSNK1E CKAP5 CLASP1 CEP192 CEP164 PCNT NEDD1 NDE1 CNTRL HAUS4 CEP57 DYNC1H1 CSNK1D SFI1 CEP250 ODF2
"reactome_Abortive elongation of HIV-1 transcript in the absence of Tat"	0.400962787499045	0.675882180224084	-0.339691353093958	-1.04483314654886	26236	22	POLR2F POLR2K POLR2I POLR2A SUPT5H POLR2D
"reactome_Activated NOTCH1 Transmits Signal to the Nucleus"	0.0556891138954097	0.215069576563074	0.439693755418463	1.47337920033598	1968	20	PSEN2 DTX2 APH1B ARRB1 NUMB DTX4 ITCH
"reactome_Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3"	0.547054365825592	0.793583933984165	0.282640815485056	0.933034128914314	19490	19	HIST1H2BD HIST1H2BH HIST1H2BJ HIST1H2AC HIST2H2BE H3F3A H2AFZ H2AFJ
"reactome_Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins"	0.95994469833711	1	0.160006872033168	0.722496766567037	24995	67	UBE2C CDC27 CCNA2 PSMB2 PSMD10 ANAPC11 PSMD11 PSMD2 PSME4 PSMA7 PSMD6 PSMD13
"reactome_Activation of ATR in response to replication stress"	0.0704381586245147	0.24538795565465	-0.43714337545855	-1.41240468216729	4698	27	RAD9A RAD17 MCM3 HUS1 MCM8 RFC5 RPA3 RPA2 MCM4 RAD1 DBF4 CHEK1 ORC3 MCM5 ORC5 ORC2 MCM7
"reactome_Activation of BH3-only proteins"	0.0713522497922356	0.247286910982235	0.39271230374344	1.40066815947201	2403	25	YWHAG E2F1 BBC3 YWHAH DYNLL1 YWHAE PPP3R1 BAD TP53 YWHAZ BID
"reactome_Activation of E2F1 target genes at G1/S"	0.430226958507449	0.704025328505897	-0.345701125214919	-1.02445136867494	27694	19	RBL2 LIN52 POLA1 E2F4 E2F6 FBXO5 LIN9 RBL1 TFDP2
"reactome_Activation of GABAB receptors"	0.278603025503796	0.54942767517298	0.361570319513667	1.13504445594163	10202	16	GNAL GNG7 ADCY6 GNAI1 GNB2 GNG5 GNG8 GNAI3 KCNJ4
"reactome_Activation of HOX genes during differentiation"	0.656306104129264	0.862086832774589	0.20430149813524	0.907804796562978	17546	62	MAFB PBX1 MEIS1 RARG HIST1H2BD HDAC3 HIST1H2BH HIST1H2BJ POLR2E HIST1H2AC EZH2 HIST2H2BE POLR2J EGR2 NCOA3 POLR2G H3F3A
