pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"reactome_ABC transporter disorders"	0.000185942729639271	0.00864832977583241	0.54202879851467	2.89608115722964	0	58	PSMA7 PSMA5 PSMC4 PSMD2 PSMD14 PSMD11 PSMD7 UBB VCP PSMB3 PSMB4 PSME4 PSMA6 PSMB6 PSMD1 PSMD8 PSMD6 PSMD13 UBA52 PSMB7 PSMA4 DERL1 ERLIN2 PSMB8 UBC RPS27A PSMD4 PSMA1 PSMB2 PSMA3 SEL1L DERL2 PSMD5 OS9 PSMD3 PSMB1
"reactome_ABC-family proteins mediated transport"	0.000325520833333333	0.00864832977583241	0.356000725770264	2.06003429656887	0	83	PSMA7 PSMA5 PSMC4 PSMD2 PSMD14 PSMD11 PSMD7 UBB VCP PSMB3 PSMB4 PSME4 PSMA6 PSMB6 PSMD1 PSMD8 PSMD6 PSMD13 UBA52 PSMB7 PSMA4 DERL1 ERLIN2 PSMB8 UBC ABCD3 RPS27A PSMD4 PSMA1 PSMB2 PSMA3 SEL1L ABCB7 DERL2 PSMD5 OS9 PSMD3 PSMB1
"reactome_ADP signalling through P2Y purinoceptor 1"	0.126128820046648	0.444199191471543	0.341087234090466	1.30282432006632	2108	17	GNB2 GNAQ GNG10 GNB4 GNG5 GNG2
"reactome_APC-Cdc20 mediated degradation of Nek2A"	0.0144053601340034	0.102086694233777	0.416254688145448	1.67692725307262	214	20	UBB ANAPC16 ANAPC7 UBA52 UBE2E1 BUB3 UBC ANAPC10 RPS27A ANAPC5 CDC26 ANAPC15
"reactome_APC/C-mediated degradation of cell cycle proteins"	0.000294204177699323	0.00864832977583241	0.411496383770743	2.34445158865972	0	78	PSMA7 SKP1 PSMA5 PSMC4 PSMD2 PSMD14 PSMD11 PSMD7 UBB ANAPC16 PSMB3 PSMB4 PSME4 PSMA6 PTTG1 PSMB6 PSMD1 PSMD8 ANAPC7 PSMD6 PSMD13 UBA52 UBE2E1 PSMB7 PSMA4
"reactome_APC/C:Cdc20 mediated degradation of Cyclin B"	0.108408710217755	0.406593713068743	0.329972658204145	1.32933071763506	1617	20	UBB ANAPC16 ANAPC7 UBA52 UBE2E1 UBC ANAPC10 RPS27A
"reactome_APC/C:Cdc20 mediated degradation of Securin"	0.000201531640467553	0.00864832977583241	0.537943351247239	2.91755997110442	0	62	PSMA7 PSMA5 PSMC4 PSMD2 PSMD14 PSMD11 PSMD7 UBB ANAPC16 PSMB3 PSMB4 PSME4 PSMA6 PTTG1 PSMB6 PSMD1 PSMD8 ANAPC7 PSMD6 PSMD13 UBA52 UBE2E1 PSMB7 PSMA4 PSMB8 UBC ANAPC10 RPS27A PSMD4 PSMA1 PSMB2 PSMA3 PSMD5 PSMD3 PSMB1
"reactome_APC/C:Cdc20 mediated degradation of mitotic proteins"	0.000224517287831163	0.00864832977583241	0.497036070378696	2.74750308106657	0	67	PSMA7 PSMA5 PSMC4 PSMD2 PSMD14 PSMD11 PSMD7 UBB ANAPC16 PSMB3 PSMB4 PSME4 PSMA6 PTTG1 PSMB6 PSMD1 PSMD8 ANAPC7 PSMD6 PSMD13 UBA52 UBE2E1 PSMB7 PSMA4 BUB3 PSMB8 UBC ANAPC10 RPS27A PSMD4 PSMA1 PSMB2 PSMA3 PSMD5 PSMD3 PSMB1
"reactome_APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	0.000224517287831163	0.00864832977583241	0.478545836073012	2.64529324409075	0	67	PSMA7 PSMA5 PSMC4 PSMD2 PSMD14 PSMD11 PSMD7 UBB ANAPC16 PSMB3 PSMB4 PSME4 PSMA6 PTTG1 PSMB6 PSMD1 PSMD8 ANAPC7 PSMD6 PSMD13 UBA52 UBE2E1 PSMB7 PSMA4 PSMB8 UBC ANAPC10 RPS27A PSMD4 PSMA1 PSMB2 PSMA3 PSMD5 PSMD3 PSMB1 ANAPC5 FZR1 CDC26 PSMC1 PSMB5 PSMC3 ANAPC15 PSME3 PSMD12
"reactome_APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	0.000217060994139353	0.00864832977583241	0.50106750463283	2.74412286149559	0	65	PSMA7 PSMA5 PSMC4 PSMD2 PSMD14 PSMD11 PSMD7 UBB ANAPC16 PSMB3 PSMB4 PSME4 PSMA6 PSMB6 PSMD1 PSMD8 ANAPC7 PSMD6 PSMD13 UBA52 UBE2E1 PSMB7 PSMA4 BUB3 PSMB8 UBC ANAPC10 RPS27A PSMD4 PSMA1 PSMB2 PSMA3 PSMD5 PSMD3 PSMB1
