pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"reactome_ABC transporter disorders"	5.29380624669137e-05	0.00186180511454284	0.423906956353531	2.05716595397973	0	58	DERL2 ERLIN1 SEL1L PSMB9 PSME1 PSMB3 PSMD12 PSMA6 UBC PSMB7 PSMB6 PSMD14 VCP PSMB10 PSMA4 PSME2 PSMD9 PSMC6 PSMB8 PSMC1 PSMA2
"reactome_ABC-family proteins mediated transport"	0.15816488181991	0.386149332324032	0.224301662301545	1.17073723930099	2495	81	DERL2 ERLIN1 SEL1L PSMB9 PSME1 PSMB3 PSMD12 PSMA6 UBC PSMB7 PSMB6 PSMD14 ABCA2 VCP PSMB10 PSMA4 PSME2 PSMD9 PSMC6 PSMB8 PSMC1 ABCA7 PSMA2
"reactome_ADP signalling through P2Y purinoceptor 1"	0.0946146671733048	0.275812845454274	0.411978617171895	1.3935362888821	2738	15	GNG5 MAPK14 GNG10 GNB2 GNG2 GNAQ GNB4
"reactome_APC-Cdc20 mediated degradation of Nek2A"	0.691827251605849	0.870059432687086	-0.268439440532159	-0.842296652767538	50620	20	ANAPC2 CDC16 ANAPC5 RPS27A CDC23
"reactome_APC/C-mediated degradation of cell cycle proteins"	0.171672555948174	0.404608651470011	0.230745628633916	1.17020051691458	2914	71	PSMB9 PSME1 UBE2D1 PSMB3 PSMD12 PSMA6 UBC PSMB7 PSMB6 PSMD14 CDC26 PSMB10 PSMA4 SKP1 PSME2 PSMD9 PSMC6 PSMB8 PSMC1 PSMA2
"reactome_APC/C:Cdc20 mediated degradation of Cyclin B"	0.456471271038886	0.714735303241955	-0.331401824413347	-1.01039771964378	33032	18	ANAPC2 CDC16 ANAPC5 RPS27A CDC23
"reactome_APC/C:Cdc20 mediated degradation of Securin"	0.0338198453327524	0.13890018481766	0.285682387523035	1.40951716535187	620	62	PSMB9 PSME1 UBE2D1 PSMB3 PSMD12 PSMA6 UBC PSMB7 PSMB6 PSMD14 CDC26 PSMB10 PSMA4 PSME2 PSMD9 PSMC6 PSMB8 PSMC1 PSMA2
"reactome_APC/C:Cdc20 mediated degradation of mitotic proteins"	0.0701162147205313	0.225146099984181	0.263211227819632	1.30799281543586	1266	64	PSMB9 PSME1 UBE2D1 PSMB3 PSMD12 PSMA6 UBC PSMB7 PSMB6 PSMD14 CDC26 PSMB10 PSMA4 PSME2 PSMD9 PSMC6 PSMB8 PSMC1 PSMA2
"reactome_APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	0.0381294964028777	0.152602623783326	0.278890437454121	1.38590854009361	688	64	PSMB9 PSME1 UBE2D1 PSMB3 PSMD12 PSMA6 UBC PSMB7 PSMB6 PSMD14 CDC26 PSMB10 PSMA4 PSME2 PSMD9 PSMC6 PSMB8 PSMC1 PSMA2
"reactome_APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	0.0545474480565759	0.191674799092174	0.27133443814599	1.3436153402105	994	63	PSMB9 PSME1 UBE2D1 PSMB3 PSMD12 PSMA6 UBC PSMB7 PSMB6 PSMD14 CDC26 PSMB10 PSMA4 PSME2 PSMD9 PSMC6 PSMB8 PSMC1 PSMA2
"reactome_ATF4 activates genes"	0.729517639564669	0.885797037190575	-0.253603852921238	-0.815095443797718	53825	22	EXOSC3 EXOSC5 EXOSC6 DIS3
"reactome_AUF1 (hnRNP D0) binds and destabilizes mRNA"	0.00365816482064831	0.025465911859571	0.358743528177741	1.69772002855084	71	52	PSMB9 PSME1 PSMB3 PSMD12 PSMA6 UBC HSPA1A PSMB7 PSMB6 PSMD14 PSMB10 PSMA4 PSME2 PSMD9 PSMC6 PSMB8 PSMC1 PSMA2
"reactome_AURKA Activation by TPX2"	0.377518374405534	0.644264674920187	-0.266585977149945	-1.05814935659325	30561	57	PCM1 CKAP5 CNTRL PRKAR2B CEP290 HAUS3 HAUS6 CEP152 CEP164 ALMS1 HAUS5 CEP135 AKAP9
"reactome_Abortive elongation of HIV-1 transcript in the absence of Tat"	0.895450171448708	0.961868727507906	-0.210990252394252	-0.678133204331468	66068	22	NELFA POLR2H NELFCD POLR2L NELFB
"reactome_Activated NOTCH1 Transmits Signal to the Nucleus"	0.00167710196779964	0.0139184333759046	0.54053589512357	1.99184988153657	44	20	ARRB2 PSENEN NUMB MIB1 UBC ITCH JAG1 DTX2 NOTCH1 APH1B ARRB1
"reactome_Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3"	0.00663800256468281	0.0415566618893163	0.480934014529272	1.79952701233281	175	21	H3F3A HIST1H2BD HIST1H2AC HIST1H2BC H2AFZ HIST2H2BE
"reactome_Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins"	0.0701162147205313	0.225146099984181	0.263211227819632	1.30799281543586	1266	64	PSMB9 PSME1 UBE2D1 PSMB3 PSMD12 PSMA6 UBC PSMB7 PSMB6 PSMD14 CDC26 PSMB10 PSMA4 PSME2 PSMD9 PSMC6 PSMB8 PSMC1 PSMA2
"reactome_Activation of ATR in response to replication stress"	0.729812256653688	0.885797037190575	-0.24413470714266	-0.819025225768056	54732	26	HUS1 RFC5 RAD1 RFC3 MCM3 ORC5 RFC4 CHEK1 RAD17 MCM2 ATRIP RPA1 RAD9A MCM7
"reactome_Activation of BH3-only proteins"	0.893231572604941	0.961422994607525	-0.20611111164706	-0.684161984273281	66710	25	BMF AKT3 BBC3 BCL2 TP53
"reactome_Activation of E2F1 target genes at G1/S"	0.402886901864805	0.664901678775509	-0.350322443569695	-1.05108142200966	28971	17	RBL1 DHFR POLA1 RBBP4 TFDP1 CDT1 FBXO5 E2F6 HDAC1 RBL2 LIN52
"reactome_Activation of HOX genes during differentiation"	0.0804839842272997	0.249061810602042	0.263037744094604	1.29283623911198	1489	61	H3F3A HIST1H2BD HIST1H2AC HIST1H2BC H2AFZ POLR2J RARA HIST2H2BE CREBBP RXRA EP300 EGR2 JUN POLR2A KMT2D POLR2K
"reactome_Activation of IRF3/IRF7 mediated by TBK1/IKK epsilon"	0.133821548240008	0.348419135706477	0.389380129243878	1.31709588229562	3873	15	LY96 TLR4 UBC TBK1 IRF7
