pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"reactome_ABC transporter disorders"	0.000907075186454344	0.0207240681134505	0.423325949508584	1.80929044118076	26	57	UBC PSMD5 PSMB1 PSMD8 RPS27A PSMC5 PSMB6 UBA52 PSMA7 PSMD6 UBB PSMD7 PSMD13 PSMB3 PSMD14 PSMC1 PSMC3 PSMD1 DERL1 PSMB4 RNF185 PSMA1 PSMD2 PSMF1 OS9 PSMB7 ERLEC1 PSMC4 PSMB2
"reactome_ABC-family proteins mediated transport"	0.0603368154949998	0.310959995949087	0.284523644676098	1.30353869768272	1622	80	UBC PSMD5 PSMB1 PSMD8 RPS27A PSMC5 PSMB6 UBA52 ABCG1 PSMA7 PSMD6 UBB PSMD7 ABCA2 PSMD13 PSMB3 PSMD14 PSMC1 PSMC3 PSMD1 DERL1 PSMB4
"reactome_ADP signalling through P2Y purinoceptor 1"	0.718708005375312	0.865108498692173	-0.288234353088494	-0.814765267118502	44924	16	SRC GNB5 MAPK14
"reactome_APC-Cdc20 mediated degradation of Nek2A"	0.00208321912175868	0.0391230732447559	0.588527209954942	1.94130223267249	75	20	UBC ANAPC11 RPS27A CDC26 UBA52 ANAPC16 UBB ANAPC15 ANAPC2 CDC27 BUB3
"reactome_APC/C-mediated degradation of cell cycle proteins"	0.000108952242600327	0.00389887490231074	0.423241509564921	1.90852325542612	2	74	UBC PSMD5 PSMB1 PSMD8 ANAPC11 RPS27A CDC26 PSMC5 PSMB6 PTTG1 UBA52 ANAPC16 PSMA7 PSMD6 UBB PSMD7 PSMD13 FBXO5 PSMB3 ANAPC15 PSMD14 ANAPC2 PSMC1 CDC27 PSMC3 BUB3 PSMD1 AURKA PSMB4
"reactome_APC/C:Cdc20 mediated degradation of Cyclin B"	0.000887526222365661	0.0207240681134505	0.633214552943141	2.02941101421762	32	18	UBC ANAPC11 RPS27A CDC26 UBA52 ANAPC16 UBB ANAPC15 ANAPC2 CDC27
"reactome_APC/C:Cdc20 mediated degradation of Securin"	3.41856967044988e-05	0.00299494691421109	0.497229785307543	2.16534570411298	0	62	UBC PSMD5 PSMB1 PSMD8 ANAPC11 RPS27A CDC26 PSMC5 PSMB6 PTTG1 UBA52 ANAPC16 PSMA7 PSMD6 UBB PSMD7 PSMD13 PSMB3 ANAPC15 PSMD14 ANAPC2 PSMC1 CDC27 PSMC3 PSMD1 PSMB4
"reactome_APC/C:Cdc20 mediated degradation of mitotic proteins"	3.47922900285297e-05	0.00299494691421109	0.476683229252561	2.09424594662697	0	65	UBC PSMD5 PSMB1 PSMD8 ANAPC11 RPS27A CDC26 PSMC5 PSMB6 PTTG1 UBA52 ANAPC16 PSMA7 PSMD6 UBB PSMD7 PSMD13 PSMB3 ANAPC15 PSMD14 ANAPC2 PSMC1 CDC27 PSMC3 BUB3 PSMD1 PSMB4
"reactome_APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	3.47922900285297e-05	0.00299494691421109	0.492319515053695	2.16294194042283	0	65	UBC PSMD5 PSMB1 PSMD8 ANAPC11 RPS27A CDC26 PSMC5 PSMB6 PTTG1 UBA52 ANAPC16 PSMA7 PSMD6 UBB PSMD7 PSMD13 PSMB3 ANAPC15 PSMD14 ANAPC2 PSMC1 CDC27 PSMC3 PSMD1 AURKA PSMB4
"reactome_APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	6.92544755704838e-05	0.00322332512000978	0.467208160581464	2.0469214844634	1	64	UBC PSMD5 PSMB1 PSMD8 ANAPC11 RPS27A CDC26 PSMC5 PSMB6 UBA52 ANAPC16 PSMA7 PSMD6 UBB PSMD7 PSMD13 PSMB3 ANAPC15 PSMD14 ANAPC2 PSMC1 CDC27 PSMC3 BUB3 PSMD1 PSMB4
"reactome_ATF4 activates genes"	0.28383106160262	0.611472683464623	0.327646428308783	1.12294707584512	10140	23	CXCL8 ATF3 DIS3 CCL2 EXOSC8 EXOSC7 NFYB EXOSC9 EXOSC6 EXOSC1
