pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"reactome_ABC transporter disorders"	0.593836493576238	0.739184061041669	-0.233240004161749	-0.926504200697454	28749	58	RPS27A PSME3 PSMD2 UBA52 RNF5 PSMF1 ERLIN1 PSMD8 SEL1L PSME4 VCP PSMD4 PSMA8
"reactome_ABC-family proteins mediated transport"	0.518974535181155	0.694570092928046	0.229635321810731	0.964032068696889	27186	86	ABCC1 PSMA3 PSMC1 PSMA7 ABCA7 PSMD5 ABCB7 PSMC4 PSMD14 PSMA1 PSMB4 PEX19 SEM1 PSMD12
"reactome_APC-Cdc20 mediated degradation of Nek2A"	0.364118320380746	0.61081941223391	-0.336994596172928	-1.06528226058645	18131	22	RPS27A UBA52 BUB3 CDC26 MAD2L1 CDC16 ANAPC5 CDC23 UBC UBE2E1
"reactome_APC/C-mediated degradation of cell cycle proteins"	0.191778722752174	0.496636777691005	0.284813800069977	1.17186048651261	10011	77	ANAPC2 PSMA3 PSMC1 PSMA7 PSMD5 PSMC4 SKP1 PSMD14 PSMA1 PSMB4 SEM1 ANAPC7 PSMD12 AURKB CDK2 ANAPC4 PSME2 SKP2 PSMC2
"reactome_APC/C:Cdc20 mediated degradation of Cyclin B"	0.632835284247533	0.76223941148794	-0.288769759657521	-0.8783581672927	31680	19	RPS27A UBA52 CDC26 CDC16 ANAPC5 CDC23 UBC UBE2E1
"reactome_APC/C:Cdc20 mediated degradation of Securin"	0.27963109456096	0.557267876679815	0.278352917441294	1.10705036267446	14492	64	ANAPC2 PSMA3 PSMC1 PSMA7 PSMD5 PSMC4 PSMD14 PSMA1 PSMB4 SEM1 ANAPC7 PSMD12 ANAPC4 PSME2 PSMC2 PSMD1 UBB PSMD9 PSME1
"reactome_APC/C:Cdc20 mediated degradation of mitotic proteins"	0.369880167995993	0.612604240982356	0.260569536849697	1.04510279055025	19198	67	ANAPC2 PSMA3 PSMC1 PSMA7 PSMD5 PSMC4 PSMD14 PSMA1 PSMB4 SEM1 ANAPC7 PSMD12 ANAPC4 PSME2
"reactome_APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	0.20618675695433	0.509540488443045	0.2898323886999	1.16546050873027	10717	68	ANAPC2 PSMA3 PSMC1 PSMA7 PSMD5 PSMC4 PSMD14 PSMA1 PSMB4 SEM1 ANAPC7 PSMD12 AURKB ANAPC4 PSME2 SKP2 PSMC2 PSMD1 UBB PSMD9 PSME1
"reactome_APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	0.351780864138077	0.601568755603187	0.264115787106909	1.05667830725447	18261	66	ANAPC2 PSMA3 PSMC1 PSMA7 PSMD5 PSMC4 PSMD14 PSMA1 PSMB4 SEM1 ANAPC7 PSMD12 ANAPC4 PSME2
"reactome_ATF4 activates genes"	0.103805602972186	0.404515073243996	-0.435881299929451	-1.3599594450238	5168	21	EXOSC1 NFYC NFYA DCP2 EXOSC5 EXOSC9 DDIT3
"reactome_AUF1 (hnRNP D0) binds and destabilizes mRNA"	0.558938238547063	0.716674412636016	0.244449606951267	0.93650389132848	28805	53	PSMA3 PSMC1 PSMA7 PSMD5 PSMC4 PSMD14 PSMA1 PSMB4 SEM1 PSMD12 PSME2 PSMC2 PSMD1 UBB PSMD9 PSME1
"reactome_AURKA Activation by TPX2"	0.246214310484337	0.53672555224199	0.281893058159054	1.13062802843568	12779	67	DCTN3 CEP192 CEP164 NDE1 PCNT NEDD1 HAUS6 YWHAE PCM1 TUBA1A CSNK1D TUBA4A DCTN2 HAUS3 PRKACA CEP57 CNTRL CLASP1 DYNC1H1 CDK5RAP2 SDCCAG8 FGFR1OP TPX2 PRKAR2B TUBB4B ALMS1
"reactome_Abortive elongation of HIV-1 transcript in the absence of Tat"	0.015675729509013	0.204567967024529	0.541912694034534	1.69327087812703	786	22	POLR2E GTF2F2 SUPT4H1 GTF2F1 NELFE POLR2A POLR2F NELFB SUPT5H POLR2D
"reactome_Activated NOTCH1 Transmits Signal to the Nucleus"	0.710608926630982	0.804528119421854	-0.255628769369616	-0.835353239137447	35312	25	RPS27A UBA52
"reactome_Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3"	0.0623426950581279	0.343499469109009	-0.48146639384351	-1.4644883169587	3120	19	HIST1H2BD H2AFV H2AFX HIST2H2BE H2AFZ HIST1H2BN HIST1H2BO
"reactome_Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins"	0.366492247316379	0.611709581123893	0.260249260585079	1.04650221115287	19050	68	ANAPC2 PSMA3 PSMC1 PSMA7 PSMD5 PSMC4 PSMD14 PSMA1 PSMB4 SEM1 ANAPC7 PSMD12 ANAPC4 PSME2
"reactome_Activation of ATR in response to replication stress"	0.159535307156428	0.471175240969628	0.37599726145777	1.25968768058455	8060	29	MCM2 MCM6 RAD9A MCM8 CDK2 RFC2 ORC3 MCM5 ORC2 DBF4 RFC3 MCM4 CDC7
"reactome_Activation of BH3-only proteins"	0.614619917852253	0.750669097295665	0.271552599179293	0.893317470244649	30974	27	BCL2 TFDP2 YWHAE BID YWHAQ
"reactome_Activation of E2F1 target genes at G1/S"	0.149961882598403	0.460118340960747	-0.417596661987353	-1.28750009973957	7474	20	PCNA LIN9 TFDP1 RBL2 LIN54 E2F4 HDAC1 E2F5
"reactome_Activation of GABAB receptors"	0.0918216356728654	0.393605472771796	-0.484678597125191	-1.40388400881286	4591	16	GNAI3 GNG2 ADCY7
"reactome_Activation of HOX genes during differentiation"	0.516884621751366	0.694097867736778	-0.239956883847078	-0.966106875817514	24979	62	HIST1H2BD POLR2K H2AFV RXRA HOXB2 H2AFX HIST2H2BE H2AFZ HOXB4 PAXIP1 POLR2J HIST1H2BN HIST1H2BO KMT2D HOXB3 YY1 RBBP5
