pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"reactome_ABC transporter disorders"	0.0488796746670919	0.18505844828961	0.365806508541594	1.39564017214527	3064	59	PSMD7 PSMC2 RNF185 PSMC3 PSMD11 PSMB1 PSMD3 PSMA1 PSME2 PSMB4 UBC PSMB9 PSMD13 PSMC4 OS9
"reactome_ABC-family proteins mediated transport"	0.0620917046715149	0.21566898521684	0.325929438617557	1.32842302276009	4029	85	PSMD7 PSMC2 ABCC3 RNF185 PSMC3 ABCF1 PSMD11 PSMB1 PSMD3 PSMA1 ABCA7 PSME2 ABCB1 PSMB4 UBC PSMB9 PSMD13 PSMC4 OS9 ABCA2 ABCC10 ABCA5
"reactome_ADP signalling through P2Y purinoceptor 1"	0.652990264255911	0.816680824812185	0.311004410053428	0.861262279283229	37559	15	GNA15 SRC GNG2 MAPK14 GNB2
"reactome_APC-Cdc20 mediated degradation of Nek2A"	0.00894924739482825	0.0602078230185859	-0.540348703262436	-1.7296826917892	370	21	UBA52 RPS27A CDC16 ANAPC16 CDC26 UBE2D1 ANAPC10 ANAPC7 ANAPC4 BUB3 ANAPC5
"reactome_APC/C-mediated degradation of cell cycle proteins"	0.474961568919737	0.695184735761355	0.24628509982913	0.989209601899584	30587	78	PSMD7 PSMC2 PSMC3 PSMD11 PSMB1 PSMD3 CDC23 PSMA1 BTRC PSME2 PSMB4 UBC PSMB9 ANAPC2 PSMD13 PSMC4 FBXO5 CDC27
"reactome_APC/C:Cdc20 mediated degradation of Cyclin B"	0.00913822464202624	0.0610348041715763	-0.55058341013881	-1.74032326468448	380	20	UBA52 RPS27A CDC16 ANAPC16 CDC26 UBE2D1 ANAPC10 ANAPC7 ANAPC4 ANAPC5 CDK1
"reactome_APC/C:Cdc20 mediated degradation of Securin"	0.41220986498707	0.652981819598764	0.265716047646357	1.02618822712627	25981	63	PSMD7 PSMC2 PSMC3 PSMD11 PSMB1 PSMD3 CDC23 PSMA1 PSME2 PSMB4 UBC PSMB9 ANAPC2 PSMD13 PSMC4
"reactome_APC/C:Cdc20 mediated degradation of mitotic proteins"	0.49798887597021	0.714043482498254	0.249334025348011	0.977399107096663	31694	68	PSMD7 PSMC2 PSMC3 PSMD11 PSMB1 PSMD3 CDC23 PSMA1 PSME2 PSMB4 UBC PSMB9 ANAPC2 PSMD13 PSMC4
"reactome_APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	0.47539178047706	0.695184735761355	0.253422617849076	0.990548328295987	30213	67	PSMD7 PSMC2 PSMC3 PSMD11 PSMB1 PSMD3 CDC23 PSMA1 PSME2 PSMB4 UBC PSMB9 ANAPC2 PSMD13 PSMC4
"reactome_APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	0.472943808188535	0.694825478386416	0.254243534860009	0.991220272811145	30021	66	PSMD7 PSMC2 PSMC3 PSMD11 PSMB1 PSMD3 CDC23 PSMA1 PSME2 PSMB4 UBC PSMB9 ANAPC2 PSMD13 PSMC4
"reactome_ATF4 activates genes"	0.408379099858875	0.650566446482651	0.334649925222142	1.03669996645918	24017	23	HERPUD1 DDIT3 CCL2 CXCL8 KHSRP ATF3 ATF4 EXOSC9 NFYC EXOSC6 EXOSC4
"reactome_AUF1 (hnRNP D0) binds and destabilizes mRNA"	0.250136616413257	0.49955601573916	0.305453183228692	1.1406396866306	15562	53	PSMD7 PSMC2 PSMC3 PSMD11 PSMB1 PSMD3 PSMA1 PSME2 PSMB4 UBC
"reactome_AURKA Activation by TPX2"	0.984659260071768	0.993317335100376	0.162491566503019	0.640482812414614	62837	70	PLK4 YWHAE NINL PCNT DCTN1 SSNA1 DCTN3 TPX2 HMMR TUBG1 TUBA1A CKAP5 TUBB4B CEP131 HAUS7 CDK5RAP2 NEDD1
"reactome_Abortive elongation of HIV-1 transcript in the absence of Tat"	0.450551702934445	0.679261056552234	0.332120721684571	1.00597709367012	26377	21	GTF2F1 POLR2I NELFA NELFB POLR2A SUPT5H POLR2J
"reactome_Activated NOTCH1 Transmits Signal to the Nucleus"	0.240997324334918	0.487922925097327	0.385146492246972	1.17988714409426	14140	22	DLL1 NCSTN PSEN2 UBC PSENEN DTX2 NOTCH1 APH1A
"reactome_Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3"	0.55602532004346	0.75429578834513	-0.311666020398688	-0.924964153903109	23540	16	H3F3A HIST1H2BD HIST1H2BJ NCOA2 KDM1A H2AFV HIST1H2AC
"reactome_Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins"	0.510911485278901	0.724298154011615	0.246943483735619	0.970977107010508	32588	69	PSMD7 PSMC2 PSMC3 PSMD11 PSMB1 PSMD3 CDC23 PSMA1 PSME2 PSMB4 UBC PSMB9 ANAPC2 PSMD13 PSMC4
"reactome_Activation of ATR in response to replication stress"	0.845836754528545	0.929301559437417	0.227711836725049	0.747435873931064	50476	29	MCM6 CHEK1 RAD9A RFC3 CLSPN MCM2 DBF4
"reactome_Activation of BH3-only proteins"	0.0270825960193471	0.123263231158755	0.478935644804325	1.54278255900198	1606	27	AKT2 PPP3R1 BBC3 YWHAH YWHAE MAPK8 BCL2L11 TP53BP2 PPP1R13B YWHAZ TFDP2
"reactome_Activation of E2F1 target genes at G1/S"	0.0526265452024006	0.192320559977113	-0.476110268844582	-1.48500935369391	2200	19	E2F5 DHFR HDAC1 RBL2 RBBP4 PCNA
"reactome_Activation of GABAB receptors"	0.9102223066692	0.95919222707233	-0.221294082307411	-0.668121742637091	38323	17	GABBR1 GNG5 GNAI2 GNG7 ADCY3
"reactome_Activation of HOX genes during differentiation"	0.662468244417703	0.821007144393238	-0.219974297982363	-0.895518754993315	24772	57	H3F3A HOXC4 EP300 SUZ12 RBBP7 RBBP4 POLR2H PIAS2 HIST1H2BD HOXB2
"reactome_Activation of IRF3/IRF7 mediated by TBK1/IKK epsilon"	0.475695410292072	0.695360163461693	0.356809140343235	0.988108989928186	27361	15	IRF7 UBC TRAF3 TICAM1 IKBKE IRF3 TANK
"reactome_Activation of NF-kappaB in B cells"	0.0133033835835297	0.0786978285113182	0.396561597355411	1.53639161957616	840	64	PSMD7 PSMC2 NFKBIB PSMC3 NFKBIE NFKB1 NFKBIA PSMD11 PSMB1 PSMD3 PSMA1 BTRC PSME2 PSMB4 UBC RELA PSMB9
"reactome_Activation of NMDA receptors and postsynaptic events"	0.833260280199354	0.921455570884629	0.214300442105087	0.778413387800609	51327	46	PRKAR2A PRKX PRKAG2 DLG2 SRC RAC1 KRAS DLG4 GIT1 NRAS RASGRF2 HRAS PRKAG1
"reactome_Activation of anterior HOX genes in hindbrain development during early embryogenesis"	0.662468244417703	0.821007144393238	-0.219974297982363	-0.895518754993315	24772	57	H3F3A HOXC4 EP300 SUZ12 RBBP7 RBBP4 POLR2H PIAS2 HIST1H2BD HOXB2
"reactome_Activation of gene expression by SREBF (SREBP)"	0.0693485144291503	0.231528638120602	0.394808200986349	1.38464285058881	4226	39	HELZ2 CARM1 SREBF2 HMGCR PPARA TGS1 SREBF1 FASN CREBBP IDI1 SC5D SCD NFYC ACACB
"reactome_Activation of kainate receptors upon glutamate binding"	0.615829839939024	0.797573326305844	-0.289699044716032	-0.889486759287191	25854	18	GNG5 GNG11 DLG1 GNG7 GRIK4 GNB1
"reactome_Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S"	2.6796720081462e-05	0.000956408753337863	-0.613614909515914	-2.50484121406005	0	58	RPS8 RPS6 RPS4X RPS11 RPS17 RPS25 RPS13 RPS12 RPS27A RPS7 RPSA RPS18 RPS23 EIF4B PABPC1 RPS26 EIF3F EIF3H RPS21 RPS3A EIF3D EIF3E RPS2 RPS29 RPS24 RPS3 EIF2S3 RPS28 EIF3K EIF3B RPS27L
"reactome_Activation of the pre-replicative complex"	0.910442625771093	0.95919222707233	-0.204488491272381	-0.692710361676258	37044	26	ORC5 ORC4 RPA1 ORC2 MCM3 MCM5 ORC3
"reactome_Amino acid synthesis and interconversion (transamination)"	0.730842152435451	0.862252536341732	0.279457742964961	0.812501991843796	42401	18	SERINC1 SRR GLUL OAT
"reactome_Amino acid transport across the plasma membrane"	0.00332963374028857	0.0291131485929157	0.642258648336193	1.80915265533658	191	16	SLC25A29 SLC3A2 SLC7A1 SLC1A4 SLC7A5 SLC1A5 SLC6A6
"reactome_Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal"	0.241639362783866	0.488439203149876	-0.256714178980944	-1.11537039462414	8554	80	DYNLL1 PPP2R5B NSL1 PPP1CC NDE1 ITGB3BP NUP160 CENPT CENPM SGO1 PPP2CB CENPQ CENPK XPO1 NUP107 KNTC1 NUP43 BUB3 KNL1 NUP85
"reactome_Amplification of signal from the kinetochores"	0.241639362783866	0.488439203149876	-0.256714178980944	-1.11537039462414	8554	80	DYNLL1 PPP2R5B NSL1 PPP1CC NDE1 ITGB3BP NUP160 CENPT CENPM SGO1 PPP2CB CENPQ CENPK XPO1 NUP107 KNTC1 NUP43 BUB3 KNL1 NUP85
"reactome_Amyloid fiber formation"	0.251774691358025	0.500767483186603	-0.301400310271555	-1.13422031451831	9788	40	LTF UBA52 RPS27A H3F3A GGA3 ITM2B
"reactome_Anchoring of the basal body to the plasma membrane"	0.494752406355097	0.712040657290616	-0.21947352316693	-0.980663822014694	17064	93	DYNLL1 TUBB TMEM216 CEP41 NDE1 RAB11A SEPT2 CEP192 CEP83 CEP63 PRKACA TMEM67 TCTN1 CDK1 IQCB1 DCTN2 HAUS1 NPHP4 SDCCAG8 NPHP1 CEP250 OFD1 TUBA4A C2CD3
"reactome_Antigen Presentation: Folding, assembly and peptide loading of class I MHC"	0.00171605273888813	0.0181479767302527	0.588766241967594	1.84280488789279	100	24	TAP1 CALR HLA-A HLA-B HLA-F HLA-C TAP2 HSPA5 SEC13 SEC24D HLA-G PDIA3 CANX ERAP1 SEC24C
"reactome_Antigen activates B Cell Receptor (BCR) leading to generation of second messengers"	0.048428934349512	0.184634582279479	-0.33980638583312	-1.38335703021292	1810	57	BLNK BTK IGKV1-5 CD79B IGLV2-23 IGKV4-1 IGLC3 CD22 IGLV3-21 PTPN6 IGLV7-43 IGLV2-14 VAV1 IGLV1-47 PLCG2 SYK DAPP1 IGHV3-30 IGHV3-7 SH3KBP1 IGKV3-20 ITPR3 IGLV1-40 SOS1 IGLV2-11 LYN IGLC2 IGKV3-11 NCK1
"reactome_Antigen processing-Cross presentation"	0.0014854745095637	0.0162075115078045	0.405806140295857	1.67042553557462	96	90	TAP1 CALR HLA-A PSMD7 HLA-B HLA-F CD14 PSMC2 HLA-C ITGAV CD36 TAP2 PSMC3 SEC61G PSMD11 PSMB1 PSMD3 PSMA1 PSME2 PSMB4 UBC
"reactome_Antigen processing: Ubiquitination & Proteasome degradation"	0.0623465748036836	0.215959864782018	0.259353096666719	1.23658491692132	4596	264	HERC5 RNF213 SOCS3 TRIM21 PSMD7 PSMC2 SOCS1 ARIH2 PSMC3 HERC6 RNF19A UBE2L6 KLHL2 UBE2F FBXO32 RBCK1 SH3RF1 RNF126 UBA7 PSMD11 ZBTB16 PSMB1 RBX1 PSMD3 CDC23 PSMA1 BTRC PSME2 PSMB4 TRIM11 FBXO6 UBC MGRN1 ZNRF2 FBXL15 ELOC UBE2Q1 RBBP6 FBXL8 FBXO4 PSMB9 UBE2D4 LMO7 UBAC1 ANAPC13 KLHL22 RNF4 ANAPC2 UBE2K PSMD13 SPSB1 PJA2 RNF138 PSMC4 AREL1
"reactome_Antimicrobial peptides"	0.0580129295678802	0.2054819447612	-0.436368994997932	-1.44891226385194	2386	24	DEFA3 LTF LCN2 CAMP RNASE6 ELANE DEFA4 BPI
"reactome_Antiviral mechanism by IFN-stimulated genes"	1.55448468832582e-05	0.000885107194757248	0.524080971897502	2.10048344788843	0	77	STAT1 MX1 IFIT1 ISG15 HERC5 EIF2AK2 OAS3 MX2 OAS2 OASL EIF4G1 NUP35 UBE2L6 TRIM25 RANBP2 ARIH1 UBA7 OAS1 DDX58 UBC NUP98 SEC13 EIF4G3 FLNA NUP188 PLCG1 EIF4E3
reactome_Apoptosis	0.000377052033180579	0.00577942914016871	0.369487163496057	1.65264002594406	25	156	AKT2 PSMD7 GZMB CD14 PSMC2 PPP3R1 BBC3 FAS PSMC3 HMGB2 HIST1H1C YWHAH YWHAE MAPK8 LMNB1 RIPK1 PSMD11 AKT1 PSMB1 MAGED1 PSMD3 TRAF2 PSMA1 PSME2 LMNA BAX PSMB4 BCL2L11 UBC H1F0 CYCS TP53BP2 PPP1R13B DAPK3 DCC DFFB BCL2L1 PSMB9 TJP2 OPA1 TICAM1 PSMD13 YWHAZ CASP9 PSMC4 TFDP2 SATB1 CLSPN
"reactome_Apoptotic cleavage of cellular proteins"	0.904525728456293	0.957759811872131	-0.203019216447266	-0.707274443998218	36474	29	DSP STK24 FNTA BCAP31 STK26 CASP6 CASP3
"reactome_Apoptotic execution phase"	0.718907542459987	0.857808596991974	0.238313664728375	0.845571837833368	44063	41	HMGB2 HIST1H1C LMNB1 LMNA H1F0 DFFB TJP2 SATB1 CLSPN
"reactome_Aquaporin-mediated transport"	0.777458281107916	0.889261949327665	-0.236102309493159	-0.799803036268453	31633	26	RAB11A GNG5 GNG11 MYO5B PRKACA GNG7 ADCY3
"reactome_Arachidonic acid metabolism"	0.0206932229694775	0.103767605513168	-0.458383462473621	-1.58445650553024	839	28	LTA4H ALOX5 CYP2U1 PTGES3 DPEP2 PTGS1
"reactome_Asparagine N-linked glycosylation"	0.219696555494806	0.460977436934725	0.233965391707264	1.10849251820478	16072	249	CALR GNE RNF185 ARF1 B4GALT4 ALG2 NPL STX5 AREG DCTN5 MAN1A1 UGGT1 BET1L GMPPA YKT6 ST6GALNAC4 NEU1 NAPA COPE UBC DCTN1 PPP6C SEC13 ASGR2 SLC17A5 TRAPPC10 DPM2 SEC22A ASGR1 F5 DCTN3 MPDU1 MAN1A2 B4GALT5 NUS1 ANKRD28 EDEM2 F8 ST6GALNAC6 ARF4 ST3GAL6 RNF139 RAB1B SERPINA1 OS9 ALG5 AMDHD2 PPP6R1 DCTN4 COG1 GLB1 B4GALT2 SEC16A ALG9 CNIH2 GANAB COPG1 DPM3 SEC24D GMDS PDIA3 NSF GOSR2 MGAT4B CD59 CANX MAGT1 FUK GNPNAT1 GOLGB1 SEC24C TFG PSMC1 PMM2 SLC35A1 GBF1 NANS ANK2 COPB1 B4GALT1 TRAPPC4 RAB1A ENGASE SAR1B ST3GAL1 GMPPB UBXN1 TMED2 CTSC COPA GFPT1 CSNK1D TRAPPC6A MAN1C1 UBB
"reactome_Assembly of collagen fibrils and other multimeric structures"	0.796400396806651	0.897907058460388	-0.257569027358042	-0.76441479618829	33717	16	COL4A3 CTSS COL9A3 COL4A4
"reactome_Assembly of the pre-replicative complex"	0.134949469308753	0.346150874527736	0.322017431573497	1.24362265710786	8505	63	PSMD7 MCM6 PSMC2 PSMC3 PSMD11 PSMB1 PSMD3 PSMA1 PSME2 PSMB4 UBC E2F3
"reactome_Association of TriC/CCT with target proteins during biosynthesis"	0.864290524530467	0.941218395112216	-0.211662935523045	-0.749309182380414	34651	31	CCT3 CCT5 CCT6A CCT8 LONP2 CCT2
"reactome_Asymmetric localization of PCP proteins"	0.110327997816559	0.306457666715695	0.343028575746239	1.28581745331204	6871	54	PSMD7 PSMC2 PSMC3 PSMD11 PSMB1 PSMD3 PSMA1 PSME2 PSMB4 UBC PSMB9 PARD6A PSMD13 PSMC4
"reactome_Attenuation phase"	0.123520550893049	0.32771465009186	-0.425606661637146	-1.32748633012979	5165	19	HSPA8 EP300 PTGES3 MRPL18 HSPH1 DEDD2
"reactome_Autodegradation of Cdh1 by Cdh1:APC/C"	0.369665687286588	0.621443832440657	0.273862357628539	1.05168745738006	23275	61	PSMD7 PSMC2 PSMC3 PSMD11 PSMB1 PSMD3 CDC23 PSMA1 PSME2 PSMB4 UBC PSMB9 ANAPC2 PSMD13 PSMC4
"reactome_Autodegradation of the E3 ubiquitin ligase COP1"	0.0831123043084487	0.25898204453645	0.362127516294624	1.33604145706255	5138	50	PSMD7 PSMC2 PSMC3 PSMD11 PSMB1 PSMD3 PSMA1 PSME2 PSMB4 UBC PSMB9 PSMD13 PSMC4
"reactome_Axon guidance"	4.45732114998886e-05	0.00108175755601653	-0.282170843516072	-1.5270317914428	0	386	RPL24 RPS8 RPS6 RPL4 RPS4X RPL6 RPS11 RPL22 RPL5 RPS17 RPS25 RPL27 HSPA8 UBA52 RPS13 RPS12 RPS27A RPS7 RPSA RPS18 RPL19 RPS23 ACTR2 ACTG1 RPL12 DAB1 RPL7A COL4A3 RPLP1 RPL30 PABPC1 PSMC6 RPLP2 CD24 RPL13A RPL14 PTPRC RPS26 RPL31 CAP1 ARPC5 ACTR3 TRIO ARPC3 RPLP0 RPL32 RPL38 RPL3 RPL34 RPS21 RPL17 RPL9 RPS3A RPL10 L1CAM ABLIM1 SEM1 LAMC1 NCAM1 PFN2 EPHB6 RPS6KA5 RPL13 USP33 RPL23A COL9A3 CREB1 GSPT2 RPL15 RPL22L1 RPL10A RPL23 RPL35A ITGB1 MAPK13 RPS2 CHL1 AP2A2 ARPC4 PRKACA SPTBN1 ALCAM DLG1 RPS29 MAPK1 COL4A4 AKAP5 RPL37 RPS24 PSMA5 RPL11 CNTNAP1 RPS3
"reactome_B-WICH complex positively regulates rRNA expression"	0.228577333436669	0.471347377119405	-0.30483327503985	-1.15321899755643	8847	41	H3F3A EP300 POLR1D POLR1E CD3EAP POLR2H KAT2B HIST1H2BD
"reactome_BBSome-mediated cargo-targeting to cilium"	0.00150652040864366	0.0163429405934811	-0.667992630938315	-1.94697304264506	63	15	BBS10 CCT3 CCT5 LZTFL1 CCT8 BBS7 BBS9 CCT2 MKKS CCT4
"reactome_BMAL1:CLOCK,NPAS2 activates circadian gene expression"	0.119415527620093	0.320870963498703	0.445797343307719	1.33261429981926	6962	20	HELZ2 CARM1 PPARA TGS1 CREBBP BHLHE40 ARNTL2 NOCT
"reactome_Base Excision Repair"	0.430927835051546	0.666459470386093	-0.277248997801374	-1.01147230806614	17137	35	MBD4 PARP1 PCNA OGG1 RPA1
"reactome_Basigin interactions"	0.449495827538248	0.678767929086722	0.363918106221487	1.0077957980818	25854	15	SLC16A3 SLC3A2 SLC7A5 ATP1B3 SPN
