pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"reactome_ABC transporter disorders"	0.058348312564377	0.167440089028109	0.353728149907536	1.36725056303191	2888	58	PSMB1 PSMC3 PSMD11 PSMA2 PSMB9 PSMC2 OS9 PSMD5 PSME2 UBC PSMD4 PSMD2 PSMB6 PSMC4 PSMA4 RNF185 PSMD3 PSMD9 PSMD13 PSMB2 PSMF1 PSME3 PSMA8 PSMC1 PSMD14 UBB PSMB7 PSMB4
"reactome_ABC-family proteins mediated transport"	0.227807833363727	0.417167554773556	0.274871707597548	1.13299972667419	11242	81	PSMB1 PSMC3 PSMD11 PSMA2 PSMB9 PSMC2 ABCF1 OS9 PSMD5 PSME2 UBC ABCC1 PSMD4 PSMD2 PSMB6 ABCA7 PSMC4 PSMA4 RNF185 PSMD3 PSMD9 PSMD13 PSMB2 PSMF1 PSME3 PSMA8 PSMC1 PSMD14 ABCD3 UBB PSMB7
"reactome_APC-Cdc20 mediated degradation of Nek2A"	0.00857034660076137	0.0427382184792934	-0.574906133062854	-1.73036516663995	429	20	RPS27A UBA52 ANAPC16 ANAPC7 CDC26 CDC16
"reactome_APC/C-mediated degradation of cell cycle proteins"	0.334391876858351	0.523704416127991	0.261478982333484	1.06309084824216	16531	75	PSMB1 PSMC3 PSMD11 PSMA2 PSMB9 PSMC2 CDC23 PSMD5 PSME2 UBC PSMD4 PSMD2 PSMB6 MAD2L1 PSMC4 PSMA4 PSMD3 PSMD9 PSMD13 PLK1 PSMB2 CDK2 PSMF1 SKP1 PSME3 PSMA8 AURKA PSMC1 PSMD14 ANAPC4 UBB PSMB7 PSMB4 ANAPC11
"reactome_APC/C:Cdc20 mediated degradation of Cyclin B"	0.00468052899936265	0.0276209900981197	-0.616436523526614	-1.80361584990335	234	18	RPS27A UBA52 ANAPC16 ANAPC7 CDC26 CDC16
"reactome_APC/C:Cdc20 mediated degradation of Securin"	0.392531304998685	0.570389951107699	0.263106455246297	1.03317541101743	19403	63	PSMB1 PSMC3 PSMD11 PSMA2 PSMB9 PSMC2 CDC23 PSMD5 PSME2 UBC PSMD4 PSMD2 PSMB6 PSMC4 PSMA4 PSMD3 PSMD9 PSMD13 PSMB2 PSMF1 PSME3 PSMA8 PSMC1 PSMD14 ANAPC4 UBB PSMB7 PSMB4 ANAPC11
"reactome_APC/C:Cdc20 mediated degradation of mitotic proteins"	0.369810327726159	0.555085538768171	0.264568102071224	1.04555662267144	18268	65	PSMB1 PSMC3 PSMD11 PSMA2 PSMB9 PSMC2 CDC23 PSMD5 PSME2 UBC PSMD4 PSMD2 PSMB6 MAD2L1 PSMC4 PSMA4 PSMD3 PSMD9 PSMD13 PSMB2 PSMF1 PSME3 PSMA8 PSMC1 PSMD14 ANAPC4 UBB PSMB7 PSMB4 ANAPC11
"reactome_APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	0.358765182186235	0.546896120402687	0.264210129770227	1.0506255321251	17722	67	PSMB1 PSMC3 PSMD11 PSMA2 PSMB9 PSMC2 CDC23 PSMD5 PSME2 UBC PSMD4 PSMD2 PSMB6 PSMC4 PSMA4 PSMD3 PSMD9 PSMD13 PLK1 PSMB2 PSMF1 PSME3 PSMA8 AURKA PSMC1 PSMD14 ANAPC4 UBB PSMB7 PSMB4 ANAPC11
"reactome_APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	0.355340316253488	0.54470180835934	0.267586304323879	1.0543165804992	17572	64	PSMB1 PSMC3 PSMD11 PSMA2 PSMB9 PSMC2 CDC23 PSMD5 PSME2 UBC PSMD4 PSMD2 PSMB6 MAD2L1 PSMC4 PSMA4 PSMD3 PSMD9 PSMD13 PSMB2 PSMF1 PSME3 PSMA8 PSMC1 PSMD14 ANAPC4 UBB PSMB7 PSMB4 ANAPC11
"reactome_ATF4 activates genes"	0.0590286825279109	0.168597140951725	0.465818582078939	1.45524503345082	2944	23	HERPUD1 EXOSC6 DDIT3 CCL2 DIS3 ATF3 ATF4 NFYC PARN CXCL8 EXOSC9
