pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"reactome_A tetrasaccharide linker sequence is required for GAG synthesis"	0.549468073243081	1	0.327270170289236	0.957929492898731	49272	19	SDC4 GPC5 HSPG2 NCAN CSPG5 B3GAT2 GPC3 B3GAT1 GPC4 VCAN B4GALT7 GPC6 GPC2
"reactome_ABC transporter disorders"	0.652540472209762	1	0.257901185343057	0.91337876857854	64008	59	PSMC2 PSMD7 PSMF1 PSMB6 PSMB7 RPS27A PSMB4 PSMB2 PSMA3 PSMD14 PSME3 PSMC5 PSMA8 PSMD6 PSMA4 SEM1 RNF185 PSMD4 UBA52 PSMB1 PSMA7 ERLIN1 DERL3 PSMA1 PSMD10 PSMD11 PSMD1
"reactome_ABC-family proteins mediated transport"	0.959192707809325	1	0.180896428070308	0.670123139118241	95337	93	EIF2S2 PSMC2 PSMD7 PSMF1 PSMB6 PSMB7 ABCC9 RPS27A PSMB4 PSMB2 PSMA3 PSMD14 PSME3 PSMC5 ABCA3 PSMA8 ABCC11 PSMD6 PSMA4 SEM1 ABCB1 RNF185 ABCB4 PSMD4 UBA52 PSMB1 PSMA7 ABCA4 ABCC1 ERLIN1 ABCB5 ABCB10 ABCA9 DERL3 PSMA1 PSMD10 ABCC3 PSMD11 PSMD1
"reactome_ADP signalling through P2Y purinoceptor 1"	0.240931119761342	0.697004576478144	0.401698795066417	1.18824970894993	21724	20	P2RY1 GNG11 GNG5 GNA14 GNG4 GNG10 GNB1 GNGT1
"reactome_ADP signalling through P2Y purinoceptor 12"	0.150965569454332	0.55540740996831	0.449345459231755	1.28347370170486	13359	17	GNG11 GNAI3 GNG5 GNG4 GNG10 GNAT3 GNB1 GNGT1 GNB4 GNG2
"reactome_APC-Cdc20 mediated degradation of Nek2A"	0.916476424620248	1	0.212622926068774	0.641432533955276	83501	22	UBE2C RPS27A CDC23 ANAPC2 ANAPC5 UBA52 ANAPC7 BUB1B MAD2L1 ANAPC16 BUB3
"reactome_APC/C-mediated degradation of cell cycle proteins"	0.861182571148977	1	0.213817609600384	0.782664515873133	85362	81	CCNA2 PTTG1 UBE2C PSMC2 PSMD7 PSMF1 PSMB6 PSMB7 RPS27A PSMB4 PSMB2 PSMA3 AURKB PSMD14 PSME3 PSMC5 PSMA8 CDC23 BTRC PSMD6 ANAPC2 ANAPC5 PSMA4 SEM1 PSMD4 UBA52 PSMB1 PSMA7
"reactome_APC/C:Cdc20 mediated degradation of Cyclin B"	0.882424977934687	1	0.228432255651406	0.682600172298364	79982	21	UBE2C RPS27A CDC23 ANAPC2 ANAPC5 UBA52 ANAPC7
"reactome_APC/C:Cdc20 mediated degradation of Securin"	0.539961172153726	0.997571246994578	0.274155163458717	0.979847001892516	53122	64	PTTG1 UBE2C PSMC2 PSMD7 PSMF1 PSMB6 PSMB7 RPS27A PSMB4 PSMB2 PSMA3 PSMD14 PSME3 PSMC5 PSMA8 CDC23 PSMD6 ANAPC2 ANAPC5 PSMA4 SEM1 PSMD4 UBA52 PSMB1 PSMA7
"reactome_APC/C:Cdc20 mediated degradation of mitotic proteins"	0.592412500633136	1	0.264127859768903	0.95312872557818	58479	70	CCNA2 PTTG1 UBE2C PSMC2 PSMD7 PSMF1 PSMB6 PSMB7 RPS27A PSMB4 PSMB2 PSMA3 PSMD14 PSME3 PSMC5 PSMA8 CDC23 PSMD6 ANAPC2 ANAPC5 PSMA4 SEM1 PSMD4 UBA52 PSMB1 PSMA7
"reactome_APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	0.71440296692607	1	0.244748162072755	0.88193720645318	70502	69	PTTG1 UBE2C PSMC2 PSMD7 PSMF1 PSMB6 PSMB7 RPS27A PSMB4 PSMB2 PSMA3 AURKB PSMD14 PSME3 PSMC5 PSMA8 CDC23 PSMD6 ANAPC2 ANAPC5 PSMA4 SEM1 PSMD4 UBA52 PSMB1 PSMA7
"reactome_APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	0.670896853713915	1	0.252291364872772	0.907776141344277	66187	68	CCNA2 UBE2C PSMC2 PSMD7 PSMF1 PSMB6 PSMB7 RPS27A PSMB4 PSMB2 PSMA3 PSMD14 PSME3 PSMC5 PSMA8 CDC23 PSMD6 ANAPC2 ANAPC5 PSMA4 SEM1 PSMD4 UBA52 PSMB1 PSMA7
"reactome_ATF4 activates genes"	0.866236811254396	1	-0.16495873612363	-0.751081856259559	7388	23	EXOSC8 EXOSC7 DIS3 NFYC NFYB KHSRP CCL2 PARN EXOSC5 ATF6 NFYA EXOSC4 EXOSC3 HERPUD1 EXOSC2 DCP2 EXOSC9 ATF4 EXOSC1 ATF3 DDIT3
"reactome_AUF1 (hnRNP D0) binds and destabilizes mRNA"	0.750768537115219	1	0.241698173859741	0.844789167679786	73265	53	PSMC2 PSMD7 PSMF1 PSMB6 PSMB7 RPS27A PSMB4 PSMB2 PSMA3 PSMD14 PSME3 PSMC5 PSMA8 PSMD6 PSMA4 SEM1 PSMD4 UBA52 PSMB1 PSMA7
"reactome_AURKA Activation by TPX2"	0.00076103500761035	0.0317255610007738	-0.322967650552911	-1.95800408741735	0	69	CNTRL CENPJ AKAP9 CDK5RAP2 PCM1 CEP135 ALMS1 AURKA SDCCAG8 CEP250 CLASP1 HAUS1 NDE1 CEP57 HAUS8 SFI1 TUBB CEP164
"reactome_Abortive elongation of HIV-1 transcript in the absence of Tat"	0.679977502812149	1	-0.193688192263434	-0.8676752893375	6044	22	NELFCD POLR2H GTF2F1 POLR2A NELFB
"reactome_Activated NOTCH1 Transmits Signal to the Nucleus"	0.340783703494129	0.825625972556231	-0.223147653257753	-1.06818115846832	2408	27	ITCH ARRB1 NCSTN MIB1 PSEN1 NEURL1 APH1B DTX2 MIB2 DTX4 UBB PSENEN
