pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"reactome_ABC transporter disorders"	0.00827966881324747	0.135557416502576	0.327845600851365	1.5313865565245	98	57	PSMC3 PSMF1 PSME3 PSMB6 PSMA7 PSMC6 UBB PSMA3 PSMB7 PSMD11 PSMB8 PSMB5 PSME2 SEM1 PSMB1 PSMC2 PSMC5 PSMD7
"reactome_ABC-family proteins mediated transport"	0.0966086568496207	0.561163042976504	0.246095776639708	1.21901404047246	865	76	PSMC3 PSMF1 PSME3 PSMB6 PSMA7 PSMC6 UBB PSMA3 ABCF1 PSMB7 PSMD11 PSMB8 PSMB5 ABCD1 PSME2 SEM1 PSMB1 ABCB7 ABCD3 PSMC2 PSMC5 PSMD7
"reactome_APC-Cdc20 mediated degradation of Nek2A"	0.436515760799066	1	-0.360670480204029	-1.02885676678836	33650	19	ANAPC10 ANAPC16 ANAPC4 BUB3 CDC23 ANAPC15 CDC16 UBC
"reactome_APC/C-mediated degradation of cell cycle proteins"	0.138301073112025	0.676430355026724	0.243025667997858	1.18263408418467	1378	69	PSMC3 PSMF1 PSME3 PSMB6 PSMA7 PSMC6 UBB PSMA3 PSMB7 PSMD11 ANAPC11 PSMB8 PSMB5 PSME2 CDC27 SEM1 PSMB1 PSMC2 PSMC5 PSMD7
"reactome_APC/C:Cdc20 mediated degradation of Cyclin B"	0.572708072590738	1	-0.329458662010499	-0.928133965452735	43928	18	ANAPC10 ANAPC16 ANAPC4 CDC23 ANAPC15 CDC16 UBC
"reactome_APC/C:Cdc20 mediated degradation of Securin"	0.0226826218967673	0.253879578638568	0.299943383409682	1.4223620626588	253	61	PSMC3 PSMF1 PSME3 PSMB6 PSMA7 PSMC6 UBB PSMA3 PSMB7 PSMD11 ANAPC11 PSMB8 PSMB5 PSME2 CDC27 SEM1 PSMB1 PSMC2 PSMC5 PSMD7
"reactome_APC/C:Cdc20 mediated degradation of mitotic proteins"	0.0357369614512472	0.326639333537252	0.287323267642588	1.36599343831354	393	62	PSMC3 PSMF1 PSME3 PSMB6 PSMA7 PSMC6 UBB PSMA3 PSMB7 PSMD11 ANAPC11 PSMB8 PSMB5 PSME2 CDC27 SEM1 PSMB1 PSMC2 PSMC5 PSMD7
"reactome_APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	0.0417817043990429	0.360006552737533	0.281648280023253	1.34305792759673	453	63	PSMC3 PSMF1 PSME3 PSMB6 PSMA7 PSMC6 UBB PSMA3 PSMB7 PSMD11 ANAPC11 PSMB8 PSMB5 PSME2 CDC27 SEM1 PSMB1 PSMC2 PSMC5 PSMD7
"reactome_APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	0.0357369614512472	0.326639333537252	0.287323267642588	1.36599343831354	393	62	PSMC3 PSMF1 PSME3 PSMB6 PSMA7 PSMC6 UBB PSMA3 PSMB7 PSMD11 ANAPC11 PSMB8 PSMB5 PSME2 CDC27 SEM1 PSMB1 PSMC2 PSMC5 PSMD7
"reactome_ATF4 activates genes"	0.88152412210413	1	-0.235278435990409	-0.686989512041108	68757	21	EXOSC4 EXOSC8 EXOSC7 ATF4 NFYC ATF6 EXOSC1
"reactome_AUF1 (hnRNP D0) binds and destabilizes mRNA"	0.0243175400062755	0.265132013854829	0.316128585915142	1.44553035002587	309	52	PSMC3 PSMF1 PSME3 PSMB6 PSMA7 PSMC6 UBB PSMA3 PSMB7 PSMD11 PSMB8 PSMB5 PSME2 SEM1 PSMB1 PSMC2 PSMC5 PSMD7
"reactome_AURKA Activation by TPX2"	0.496693870945368	1	-0.286747790656586	-0.989809860046209	42966	49	CEP164 PRKAR2B CEP63 CEP152 CKAP5 CEP192 CEP135 ODF2 SDCCAG8 AKAP9 DCTN2 CETN2 OFD1 CLASP1 CEP250 HAUS2 TUBA4A TUBB CEP78 CEP57
"reactome_Abortive elongation of HIV-1 transcript in the absence of Tat"	0.464618461118938	1	0.271954315850903	0.98671395323428	10222	21	NELFCD POLR2A POLR2I
"reactome_Activated NOTCH1 Transmits Signal to the Nucleus"	0.954440026507621	1	-0.20148164055976	-0.594742093992182	74892	22	PSEN2 MIB1 DNER ARRB1 UBC MIB2 NUMB APH1A APH1B DTX4 ADAM17 UBA52 PSEN1
"reactome_Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins"	0.0357369614512472	0.326639333537252	0.287323267642588	1.36599343831354	393	62	PSMC3 PSMF1 PSME3 PSMB6 PSMA7 PSMC6 UBB PSMA3 PSMB7 PSMD11 ANAPC11 PSMB8 PSMB5 PSME2 CDC27 SEM1 PSMB1 PSMC2 PSMC5 PSMD7
"reactome_Activation of ATR in response to replication stress"	0.0056431033121991	0.106210139993289	-0.610800915486641	-1.69593439047534	428	17	ORC5 ORC3 MCM7 MCM3 ORC4 RFC2 RAD17
"reactome_Activation of BH3-only proteins"	0.466024096385542	1	0.26135881104034	0.985064845736808	9669	24	TP53BP2 BID YWHAE YWHAZ PPP3R1 TP53 YWHAG TFDP1 YWHAB MAPK8 BAD BCL2L11 DYNLL2 AKT2 AKT3 YWHAQ BCL2 DYNLL1 PPP3CC BBC3 PMAIP1 TFDP2 YWHAH BMF
"reactome_Activation of HOX genes during differentiation"	0.383017350338964	1	-0.305510542310319	-1.06217180953921	33333	51	PKNOX1 HIST1H2BD RBBP5 POLR2C POLR2G EED CNOT6 JUN H2AFX POLR2H WDR5 RBBP4 HIST2H2BE PAXIP1 HOXB2 H2AFZ KMT2D EZH2
"reactome_Activation of NF-kappaB in B cells"	0.00331308669243512	0.0739034762736717	0.340281100940009	1.62265230304651	35	63	PSMC3 PSMF1 PSME3 PSMB6 RELA NFKBIE NFKBIB PSMA7 PSMC6 UBB PSMA3 PSMB7 PSMD11 PSMB8 PSMB5 PSME2 SEM1 PSMB1 NFKB1 PSMC2 PSMC5 PSMD7 REL SKP1
"reactome_Activation of NMDA receptors and postsynaptic events"	0.14204619989744	0.682283643777374	-0.385657609326344	-1.27300228207095	11910	38	DLG2 RPS6KA3 HRAS PRKAR2B PRKAA1 PRKAR2A NRAS PRKAR1A CAMK4 RPS6KA2 PRKAB1 MAPK1 KPNA2 NRGN PRKAG2 GIT1 CREB1 PDPK1 DLG1 ARHGEF7 NRG1
"reactome_Activation of anterior HOX genes in hindbrain development during early embryogenesis"	0.383017350338964	1	-0.305510542310319	-1.06217180953921	33333	51	PKNOX1 HIST1H2BD RBBP5 POLR2C POLR2G EED CNOT6 JUN H2AFX POLR2H WDR5 RBBP4 HIST2H2BE PAXIP1 HOXB2 H2AFZ KMT2D EZH2
"reactome_Activation of gene expression by SREBF (SREBP)"	0.991371370400892	1	-0.15899451783128	-0.511279419952206	81803	33	GGPS1 TBL1XR1 ACACB SREBF2 NFYC SQLE MVK NCOA6 SC5D TBL1X
"reactome_Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S"	8.3633018315631e-05	0.0178636761313927	0.481278725195876	2.24808192573661	0	57	RPS19 EIF4G1 EIF4E RPS28 RPS27 RPS9 RPS29 RPS21 RPS15A RPS16 FAU RPS27L RPS20 RPS5 RPS14 EIF3B RPS12 EIF3G RPS15 RPS18 EIF3I RPS2 RPS3 RPSA EIF4EBP1 RPS7
"reactome_Activation of the pre-replicative complex"	0.00265712556891426	0.0658224708946482	-0.633904406525599	-1.7600829600003	201	17	ORC5 POLA2 ORC3 POLE4 MCM7 MCM3 ORC4 GMNN PRIM2 CDK2
"reactome_Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal"	0.584180205092753	1	-0.269651880474003	-0.934289370389958	50700	50	NUP160 SEH1L DYNC1LI2 NSL1 RANGAP1 NUP133 PPP2R5E CKAP5 TAOK1 BUB3 ZWILCH CLASP1 SKA2 MAD1L1 PPP2CB CLASP2 CENPT NUP37
"reactome_Amplification of signal from the kinetochores"	0.584180205092753	1	-0.269651880474003	-0.934289370389958	50700	50	NUP160 SEH1L DYNC1LI2 NSL1 RANGAP1 NUP133 PPP2R5E CKAP5 TAOK1 BUB3 ZWILCH CLASP1 SKA2 MAD1L1 PPP2CB CLASP2 CENPT NUP37
