pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"reactome_ABC transporter disorders"	0.0332434993780726	0.155392153228974	0.39327273811646	1.44870750567372	2244	59	PSMB1 PSMD11 PSMB9 PSMF1 PSMC1 PSMD4 PSMC2 PSMB2 UBC PSMC3 RNF185 PSMA3 DERL3 PSMD13 PSME2 PSMA8 PSMD8 ERLIN1 PSMB6 PSMD9 PSMD1 ERLIN2 PSME3 PSMC4 OS9 PSMB5 PSMD12 PSMA7 ERLEC1
"reactome_ABC-family proteins mediated transport"	0.0912702367900215	0.284074919847259	0.327551583262526	1.28758842744518	6409	85	PSMB1 PSMD11 ABCB9 PSMB9 PSMF1 PSMC1 PSMD4 PSMC2 ABCA7 PSMB2 UBC PSMC3 RNF185 ABCC2 ABCD1 PSMA3 DERL3 PSMD13 ABCF1 PSME2 PSMA8 PSMD8 ERLIN1 EIF2S2 ABCC10 PSMB6 PSMD9 PSMD1 ERLIN2 PSME3 PSMC4 OS9 PSMB5 PSMD12 PSMA7 ERLEC1 ABCB8
"reactome_ADP signalling through P2Y purinoceptor 1"	0.45660452005341	0.676369851640444	0.365298070088778	1.00339153236323	27698	16	GNG10 GNA15 SRC GNB2 P2RY1 GNG11 GNG2 PLA2G4A GNG7
"reactome_APC-Cdc20 mediated degradation of Nek2A"	0.00151234648379443	0.0180474196302632	-0.603053711979776	-1.92510603701535	57	21	RPS27A UBA52 CDC16 CDC26 ANAPC16
"reactome_APC/C-mediated degradation of cell cycle proteins"	0.492807457870204	0.701429520296012	0.252916374617772	0.982268703585379	34360	79	PSMB1 PSMD11 PLK1 PSMB9 PSMF1 PSMC1 PSMD4 SKP1 PSMC2 PSMB2 UBC PSMC3 PSMA3 PSMD13 PSME2 PSMA8 PSMD8 PTTG1 PSMB6 PSMD9 PSMD1 PSME3 PSMC4 AURKB PSMB5 PSMD12
"reactome_APC/C:Cdc20 mediated degradation of Cyclin B"	0.000701754385964912	0.0101102931885966	-0.632326198792268	-1.99108887945042	26	20	RPS27A UBA52 CDC16 CDC26 ANAPC16
"reactome_APC/C:Cdc20 mediated degradation of Securin"	0.47109176214499	0.685458465801189	0.265854076474298	0.99183886682467	32029	63	PSMB1 PSMD11 PSMB9 PSMF1 PSMC1 PSMD4 PSMC2 PSMB2 UBC PSMC3 PSMA3 PSMD13 PSME2 PSMA8 PSMD8 PTTG1 PSMB6 PSMD9 PSMD1 PSME3 PSMC4 PSMB5 PSMD12
"reactome_APC/C:Cdc20 mediated degradation of mitotic proteins"	0.563840504591844	0.746471201194042	0.249081391717695	0.94235038212762	38617	68	PSMB1 PSMD11 PSMB9 PSMF1 PSMC1 PSMD4 PSMC2 PSMB2 UBC PSMC3 PSMA3 PSMD13 PSME2 PSMA8 PSMD8 PTTG1 PSMB6 PSMD9 PSMD1 PSME3 PSMC4 PSMB5 PSMD12
"reactome_APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	0.368792980099575	0.610476159398909	0.27844155981292	1.05342879482263	25258	68	PSMB1 PSMD11 PLK1 PSMB9 PSMF1 PSMC1 PSMD4 PSMC2 PSMB2 UBC PSMC3 PSMA3 PSMD13 PSME2 PSMA8 PSMD8 PTTG1 PSMB6 PSMD9 PSMD1 PSME3 PSMC4 AURKB PSMB5 PSMD12
"reactome_APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	0.520194333879654	0.718371086511802	0.256444985613188	0.965383037108811	35547	66	PSMB1 PSMD11 PSMB9 PSMF1 PSMC1 PSMD4 PSMC2 PSMB2 UBC PSMC3 PSMA3 PSMD13 PSME2 PSMA8 PSMD8
"reactome_ATF4 activates genes"	0.504863907231438	0.708914971521996	0.321844396095292	0.966889972485064	31346	23	CCL2 HERPUD1 DDIT3 EXOSC6 DIS3 ATF3 KHSRP CXCL8
"reactome_AUF1 (hnRNP D0) binds and destabilizes mRNA"	0.21663150650089	0.464736760463792	0.32498915925905	1.17345804031299	14478	53	PSMB1 PSMD11 PSMB9 PSMF1 PSMC1 PSMD4 PSMC2 PSMB2 UBC PSMC3 PSMA3 PSMD13 PSME2 PSMA8 PSMD8 PSMB6 PSMD9 PSMD1 PSME3 PSMC4 HNRNPD PSMB5 PSMD12
"reactome_AURKA Activation by TPX2"	0.874978122629952	0.930115281537717	0.201471143597173	0.764083347689774	59991	69	YWHAE TUBG1 PLK1 DCTN1 TUBA4A PLK4 HAUS7 HMMR PAFAH1B1 TPX2
"reactome_Abortive elongation of HIV-1 transcript in the absence of Tat"	0.8756711164458	0.930115281537717	0.23779949019449	0.698905175670713	53985	21	GTF2F1 POLR2I SUPT5H SUPT4H1 NELFE NELFA POLR2D POLR2A
"reactome_Activated NOTCH1 Transmits Signal to the Nucleus"	0.247173716894008	0.494626811285477	-0.349727816417286	-1.15701984454564	9313	24	RPS27A UBA52 DLL1 MIB1 ARRB1 ITCH
"reactome_Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3"	0.495110948867044	0.703273944798589	-0.303409823696049	-0.968563946600194	18987	21	HIST1H3A KDM1A H3F3A KDM4C HIST1H2BD H2AFV HIST1H2BK
"reactome_Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins"	0.427585905139723	0.650244952630733	0.268430655274729	1.01802863696929	29316	69	PSMB1 PSMD11 PLK1 PSMB9 PSMF1 PSMC1 PSMD4 PSMC2 PSMB2 UBC PSMC3 PSMA3 PSMD13 PSME2 PSMA8 PSMD8
"reactome_Activation of ATR in response to replication stress"	0.92960224305231	0.958420405547476	-0.193253896143258	-0.682321319847895	33817	31	MCM8 RFC5 ORC2 RPA1
"reactome_Activation of BH3-only proteins"	0.498281786941581	0.70399012373402	0.311360783126051	0.973806670802534	31319	27	PMAIP1 BCL2L11 YWHAE BBC3 TP53BP2 PPP3CC DYNLL2 BCL2 AKT2
"reactome_Activation of E2F1 target genes at G1/S"	0.218963961573165	0.466838292643045	-0.358740095939196	-1.18683556340456	8250	24	RBL2 DHFR TFDP2 LIN9 PCNA RBBP4 HDAC1
"reactome_Activation of GABAB receptors"	0.430074348832247	0.652403793358697	0.366713834545352	1.02342785951703	26203	17	ADCY3 GNG10 KCNJ10 GNB2 ADCY9
"reactome_Activation of HOX genes during differentiation"	0.105879004459062	0.30904137340972	-0.297913890128064	-1.25055276342593	3347	67	HOXB2 SUZ12 POLR2G HIST1H3A YY1 PKNOX1 RBBP7 HDAC3 NCOA6 H3F3A POLR2H CREBBP PIAS2 HOXC4 RBBP4 HIST1H2BD MEIS1 PAXIP1 POLR2B POLR2K H2AFV
"reactome_Activation of IRF3/IRF7 mediated by TBK1/IKK epsilon"	0.165029860650299	0.402325648873066	0.476465469427356	1.28589756089553	9947	15	IRF7 IKBKE TRAF3 UBC
"reactome_Activation of NF-kappaB in B cells"	0.0178621226131243	0.103643417334373	0.400850577327466	1.50471804176301	1216	65	NFKBIA PSMB1 NFKBIE PSMD11 PSMB9 PSMF1 PSMC1 PSMD4 SKP1 PSMC2 PSMB2 UBC PSMC3 RELA NFKB1 IKBKG PSMA3 PSMD13 PSME2 PSMA8 PSMD8
"reactome_Activation of NMDA receptors and postsynaptic events"	0.100105404930608	0.298607485358223	-0.334019432833053	-1.29564599337528	3418	46	RPS6KA3 MAPK1 PRKAA1 PRKACB CAMK2G CAMK4 PRKAB1 CREB1 RPS6KA1
"reactome_Activation of anterior HOX genes in hindbrain development during early embryogenesis"	0.105879004459062	0.30904137340972	-0.297913890128064	-1.25055276342593	3347	67	HOXB2 SUZ12 POLR2G HIST1H3A YY1 PKNOX1 RBBP7 HDAC3 NCOA6 H3F3A POLR2H CREBBP PIAS2 HOXC4 RBBP4 HIST1H2BD MEIS1 PAXIP1 POLR2B POLR2K H2AFV
"reactome_Activation of gene expression by SREBF (SREBP)"	0.438416464198942	0.661296077790695	-0.267744122855147	-1.00507484645417	15337	40	FDFT1 NFYA NFYB GGPS1 NCOA1 NCOA6 SP1 CREBBP TBL1XR1
"reactome_Activation of kainate receptors upon glutamate binding"	0.748333633579535	0.857052541941194	0.281450923927223	0.796265356091604	45693	18	GNG10 DLG3 GNB2 GRIK4 GNG11 DLG4 GNG2
"reactome_Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S"	0.00193180424383662	0.0207627010015696	-0.42479449474124	-1.73179079242422	62	58	RPS27A RPS4X RPS6 RPS25 RPS11 EIF3F RPS23 EIF4B RPS8 RPS3 EIF3M RPS17 RPS7 EIF4A1 EIF2S3 EIF2S1 RPS26 RPS3A RPS12 RPSA RPS24 EIF3L RPS21 PABPC1 EIF3D
"reactome_Activation of the pre-replicative complex"	0.365476998235853	0.608114666438651	-0.303672844232696	-1.0546613451274	13465	29	PRIM1 MCM8 ORC2 POLE RPA1
"reactome_Adherens junctions interactions"	0.0718978102189781	0.253039727916655	0.535032797258405	1.44396060814349	4333	15	NECTIN1 CTNNA1 JUP NECTIN2 PVR
"reactome_Adrenaline,noradrenaline inhibits insulin secretion"	0.568314532183145	0.749504972680343	0.341551360751467	0.921787810224142	34257	15	GNG10 GNB2 CACNA1D GNG11 GNG2 GNG7
"reactome_Amino acid synthesis and interconversion (transamination)"	0.846088337891617	0.915069394396696	0.25426532222751	0.719353358376564	51662	18	SERINC5 SERINC2 PHGDH PSPH PSAT1 GOT2 SRR
"reactome_Amino acid transport across the plasma membrane"	0.000558026555499024	0.0084185418000186	0.697758667465615	1.94731038819174	33	17	SLC1A5 SLC7A5 SLC3A2 SLC7A1 SLC1A4 SLC43A2 SLC7A11 SLC38A5 SLC36A1
"reactome_Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal"	0.739468910251832	0.850953304737899	0.218436491379851	0.855150046821259	51767	83	PMF1 PLK1 RCC2 CENPA RPS27 RANBP2 SEC13 CENPF B9D2 PAFAH1B1 INCENP ZWINT MAPRE1 SPC24 SGO1 DYNLL2
"reactome_Amplification of signal from the kinetochores"	0.739468910251832	0.850953304737899	0.218436491379851	0.855150046821259	51767	83	PMF1 PLK1 RCC2 CENPA RPS27 RANBP2 SEC13 CENPF B9D2 PAFAH1B1 INCENP ZWINT MAPRE1 SPC24 SGO1 DYNLL2
"reactome_Amyloid fiber formation"	0.12613456696141	0.347592893338499	-0.323815772299663	-1.25606646419724	4307	46	LTF SORL1 ITM2B RPS27A UBA52 HIST1H3A
"reactome_Anchoring of the basal body to the plasma membrane"	0.861476445871622	0.924764965301842	-0.185247624760374	-0.824806301441932	25217	92	DYNLL1 CEP78 TUBB CEP57 ALMS1 CEP97 CSNK1E OFD1 RAB3IP AHI1 PCM1 CEP164 CETN2 NEDD1 SEPT2 TTBK2 CENPJ HAUS5 IQCB1 CEP72 CEP162 CEP89 HSP90AA1 PPP2R1A
"reactome_Antigen Presentation: Folding, assembly and peptide loading of class I MHC"	6.41848523748395e-05	0.00177639659774106	0.692310068328169	2.1026561862967	3	24	HLA-A CALR TAP1 HLA-B TAP2 HSPA5 PDIA3 HLA-F SEC13 HLA-G SEC24B ERAP2 HLA-H
"reactome_Antigen activates B Cell Receptor (BCR) leading to generation of second messengers"	0.0866343198589638	0.27784727306148	0.4137364650845	1.36256044057082	5552	34	IGKC IGHM PIK3R1 IGLC3 IGLC2 CD79A IGHD CD22 CD19 STIM1 ITPR3 GRB2 BLNK
"reactome_Antigen processing-Cross presentation"	1.41384721966944e-05	0.000701305993276796	0.494442466622117	1.96745233556877	0	92	HLA-A CALR TAP1 HLA-B PSMB1 TAP2 PSMD11 CD14 CTSL MYD88 PSMB9 PDIA3 HLA-F PSMF1 PSMC1 FCGR1A PSMD4 CYBA PSMC2 PSMB2 UBC PSMC3 SEC61A1 HLA-G IKBKG CYBB PSMA3 PSMD13 PSME2 NCF1 TIRAP HLA-H PSMA8 PSMD8
"reactome_Antigen processing: Ubiquitination & Proteasome degradation"	0.0561672251475985	0.216720922075318	0.274482591029114	1.25329871693184	4575	269	HERC6 RNF213 HERC5 SOCS1 PSMB1 SOCS3 PSMD11 DTX3L RBX1 KBTBD8 RNF138 CUL5 UBE2L6 PSMB9 RNF220 PSMF1 PSMC1 RNF19A RNF25 LMO7 RBCK1 PSMD4 KLHL42 SKP1 FBXO7 SPSB1 PSMC2 KLHL11 PSMB2 UBE2M UBC TRIM11 UBE2Q1 PSMC3 FBXL12 ZBTB16 RNF217 FBXL15 PSMA3 CBLB PSMD13 TRIM21 RNF126 PSME2 KLHL25 FBXL8 HECW2 PSMA8 PSMD8 UBE2D3 NEDD4L LRSAM1 SH3RF1 UBE2N
"reactome_Antimicrobial peptides"	0.00152024323891823	0.0180474196302632	-0.574999586763736	-1.92277822431661	56	25	LCN2 LTF DEFA3 BPI CAMP PGLYRP1 DEFA4 ELANE RNASE3 ATP7A PDZD11
