pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"reactome_ABC transporter disorders"	0.615394887164498	0.882397901303538	0.245082199014983	0.911206762874995	41476	57	PSME2 PSMB9 PSMD4 PSMD8 PSMA7 PSMB1 PSMB8 PSMD10 PSMA2 PSMA4 PSMB7 PSMF1 PSMB10 ERLIN2 PSMD2 DERL1 PSMC2 PSMB4 PSME1 VCP PSMA3
"reactome_ABC-family proteins mediated transport"	0.522548042704626	0.835102311587012	0.243593516078559	0.966626331658181	36708	82	ABCC4 PSME2 PSMB9 PSMD4 PSMD8 PSMA7 PSMB1 PSMB8 PSMD10 PSMA2 PSMA4 ABCG1 ABCA6 PSMB7 PSMF1 ABCD1 ABCD3 PSMB10 ABCB1 ERLIN2 PSMD2 DERL1 PSMC2 ABCB8 PSMB4 ABCC2 ABCC3 PSME1 VCP PSMA3
"reactome_ADP signalling through P2Y purinoceptor 1"	0.101363317405687	0.3939595889234	0.497422162789909	1.38223688785087	6066	16	GNA15 P2RY1 GNG10 GNB5 GNB2 PLA2G4A GNAQ GNGT2 GNG11
"reactome_APC-Cdc20 mediated degradation of Nek2A"	0.0581769026729239	0.297823473386732	-0.461974151043318	-1.46440534895953	2280	19	UBA52 RPS27A ANAPC10 CDC16 ANAPC7 BUB3 ANAPC16 ANAPC11 CDC27
"reactome_APC/C-mediated degradation of cell cycle proteins"	0.881331737632114	0.978223381460672	0.195829719999568	0.762396140415359	61122	73	PSME2 PSMB9 CDC23 PSMD4 PSMD8 PSMA7 CDC26 PSMB1 PSMB8 PSMD10 PSMA2 PSMA4 AURKB FZR1 PSMB7 PSMF1
"reactome_APC/C:Cdc20 mediated degradation of Cyclin B"	0.0923629738347082	0.375609426927813	-0.442118396334664	-1.37983811674053	3649	18	UBA52 RPS27A ANAPC10 CDC16 ANAPC7 ANAPC16 ANAPC11 CDC27
"reactome_APC/C:Cdc20 mediated degradation of Securin"	0.628448795402096	0.890606456578654	0.239705815950589	0.905923621256015	42753	62	PSME2 PSMB9 CDC23 PSMD4 PSMD8 PSMA7 CDC26 PSMB1 PSMB8 PSMD10 PSMA2 PSMA4
"reactome_APC/C:Cdc20 mediated degradation of mitotic proteins"	0.677496921001701	0.906511832084082	0.232030849127597	0.879527233311736	46207	63	PSME2 PSMB9 CDC23 PSMD4 PSMD8 PSMA7 CDC26 PSMB1 PSMB8 PSMD10 PSMA2 PSMA4
"reactome_APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	0.623468034566678	0.88655134587336	0.237737907803653	0.908981892192181	42782	66	PSME2 PSMB9 CDC23 PSMD4 PSMD8 PSMA7 CDC26 PSMB1 PSMB8 PSMD10 PSMA2 PSMA4 AURKB FZR1 PSMB7 PSMF1
"reactome_APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	0.659287677676353	0.903226628076588	0.235300890570897	0.889276023718557	44851	62	PSME2 PSMB9 CDC23 PSMD4 PSMD8 PSMA7 CDC26 PSMB1 PSMB8 PSMD10 PSMA2 PSMA4
"reactome_ATF4 activates genes"	0.885948432236331	0.979492388685217	0.227776609650442	0.69492565669421	54701	23	ATF3 CCL2 NFYA EXOSC7 ATF4 EXOSC6 EXOSC1 EXOSC3 ATF6 PARN
"reactome_AUF1 (hnRNP D0) binds and destabilizes mRNA"	0.754189944134078	0.929564934567996	-0.209247327496684	-0.851814159020992	24974	52	HSPA8 PABPC1 UBA52 PSMD1 RPS27A
"reactome_AURKA Activation by TPX2"	0.00283338466276563	0.0396784101217646	-0.405677509401095	-1.69018898686824	91	58	CEP78 OFD1 DYNC1H1 TUBB ODF2 CEP57 PCNT TUBA4A CSNK1E CEP135 CEP76 DYNLL1 MAPRE1 DCTN2 CEP250 PCM1 CEP290 AKAP9 CKAP5 CLASP1
"reactome_Abortive elongation of HIV-1 transcript in the absence of Tat"	0.0173475963397345	0.14829928557412	-0.503730370637812	-1.64164118477009	672	21	POLR2E NELFA POLR2A NELFCD NCBP2 NCBP1 POLR2C POLR2K POLR2G POLR2B POLR2D
"reactome_Activated NOTCH1 Transmits Signal to the Nucleus"	0.675377111663813	0.906511832084082	0.277057359309213	0.854566244326544	41817	24	NUMB NCSTN JAG1 APH1A DTX1 PSENEN ADAM17 APH1B PSEN2
"reactome_Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins"	0.687252016807953	0.906511832084082	0.229923993942925	0.873932922355752	46939	64	PSME2 PSMB9 CDC23 PSMD4 PSMD8 PSMA7 CDC26 PSMB1 PSMB8 PSMD10 PSMA2 PSMA4
"reactome_Activation of ATR in response to replication stress"	0.508416032993943	0.828637594572424	-0.294500314677143	-0.959767116859757	19723	21	MCM7 RAD17 ORC2 RPA2 HUS1 MCM3 MCM8
