pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"reactome_ABC transporter disorders"	0.00024931438544004	0.00820339088270703	0.61183106797712	3.17495177632226	0	59	PSMD2 PSMD13 PSMD4 PSMC5 PSMA4 PSMA1 PSMC3 PSMB6 UBB PSMD3 PSMA7 PSME2 PSMB2 PSME1 PSMD11 PSMD6 PSMD14 PSMD1 RNF185 PSMB4 PSMA5 PSMB5 PSMB1 PSMF1 DERL2 PSME3 PSMA8 OS9 UBC PSMC2 PSMB7 PSME4 DERL1
"reactome_ABC-family proteins mediated transport"	0.000418235048097031	0.00836470096194061	0.426652631791326	2.37887639038869	0	81	PSMD2 PSMD13 PSMD4 PSMC5 PSMA4 PSMA1 PSMC3 PSMB6 UBB PSMD3 PSMA7 PSME2 PSMB2 EIF2S1 PSME1 ABCB9 PSMD11 PSMD6 PEX19 PSMD14 PSMD1 RNF185 PSMB4 PSMA5 PSMB5 PSMB1 PSMF1 DERL2 PSME3 PSMA8 OS9 UBC ABCB8 PSMC2 PSMB7 PSME4 DERL1 ABCF1 ABCA7 PSMB3 PSMB8
"reactome_ADP signalling through P2Y purinoceptor 1"	0.22985372180722	0.568868742934258	-0.451413980826505	-1.20649739299872	19138	15	GNG7 SRC GNB3 GNG12 GNG5 GNAQ GNB5 GNA15 MAPK14
"reactome_APC-Cdc20 mediated degradation of Nek2A"	0.15006809669731	0.437206265968542	0.297733312700565	1.23784930515641	1762	24	ANAPC5 UBB MAD2L1 CDC20 ANAPC11 UBC BUB3 BUB1B UBE2C CDC16 ANAPC15 CDC23
"reactome_APC/C-mediated degradation of cell cycle proteins"	0.00044543429844098	0.00849539641356508	0.513583300393115	2.87017537259746	0	83	PSMD2 PSMD13 PSMD4 PSMC5 PSMA4 PSMA1 PSMC3 ANAPC5 PSMB6 UBB PSMD3 PSMA7 CCNA2 PSME2 PSMB2 PSME1 PSMD11 PSMD6 MAD2L1 PSMD14 FBXO5 PSMD1 PSMB4 PSMA5 CDC20 PSMB5 PSMB1 PLK1 ANAPC11 PSMF1 PSME3 PSMA8 CDK1 UBC BUB3 PSMC2 PSMB7 PSME4 PSMB3 PSMB8 BUB1B UBE2C CCNB1 CDK2 CDC16
"reactome_APC/C:Cdc20 mediated degradation of Cyclin B"	0.223848878394333	0.559797282215144	0.286583201248817	1.16166877513325	2843	22	ANAPC5 UBB CDC20 ANAPC11 CDK1 UBC UBE2C CCNB1 CDC16 ANAPC15 CDC23
"reactome_APC/C:Cdc20 mediated degradation of Securin"	0.000285551113649343	0.00820339088270703	0.543907676516112	2.88537449373535	0	65	PSMD2 PSMD13 PSMD4 PSMC5 PSMA4 PSMA1 PSMC3 ANAPC5 PSMB6 UBB PSMD3 PSMA7 PSME2 PSMB2 PSME1 PSMD11 PSMD6 PSMD14 PSMD1 PSMB4 PSMA5 CDC20 PSMB5 PSMB1 ANAPC11 PSMF1 PSME3 PSMA8 UBC PSMC2 PSMB7 PSME4
"reactome_APC/C:Cdc20 mediated degradation of mitotic proteins"	0.000347101700798334	0.00836470096194061	0.550217901654805	2.97780528009557	0	72	PSMD2 PSMD13 PSMD4 PSMC5 PSMA4 PSMA1 PSMC3 ANAPC5 PSMB6 UBB PSMD3 PSMA7 CCNA2 PSME2 PSMB2 PSME1 PSMD11 PSMD6 MAD2L1 PSMD14 PSMD1 PSMB4 PSMA5 CDC20 PSMB5 PSMB1 ANAPC11 PSMF1 PSME3 PSMA8 CDK1 UBC BUB3 PSMC2 PSMB7 PSME4 PSMB3 PSMB8 BUB1B UBE2C CCNB1
"reactome_APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	0.000331345261762757	0.00836470096194061	0.53151407880593	2.86007227298539	0	70	PSMD2 PSMD13 PSMD4 PSMC5 PSMA4 PSMA1 PSMC3 ANAPC5 PSMB6 UBB PSMD3 PSMA7 PSME2 PSMB2 PSME1 PSMD11 PSMD6 PSMD14 PSMD1 PSMB4 PSMA5 CDC20 PSMB5 PSMB1 PLK1 ANAPC11 PSMF1 PSME3 PSMA8 UBC PSMC2 PSMB7 PSME4
"reactome_APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	0.000331345261762757	0.00836470096194061	0.553944278853072	2.98076896906626	0	70	PSMD2 PSMD13 PSMD4 PSMC5 PSMA4 PSMA1 PSMC3 ANAPC5 PSMB6 UBB PSMD3 PSMA7 CCNA2 PSME2 PSMB2 PSME1 PSMD11 PSMD6 MAD2L1 PSMD14 PSMD1 PSMB4 PSMA5 CDC20 PSMB5 PSMB1 ANAPC11 PSMF1 PSME3 PSMA8 CDK1 UBC BUB3 PSMC2 PSMB7 PSME4 PSMB3 PSMB8 BUB1B UBE2C
"reactome_ATF4 activates genes"	0.0468814031636751	0.205766538203556	0.356440292620248	1.46370290429811	571	23	EXOSC6 KHSRP NFYB EXOSC7 EXOSC5 EXOSC4 EXOSC3 ATF4 EXOSC9 NFYC
"reactome_AUF1 (hnRNP D0) binds and destabilizes mRNA"	0.000210260723296888	0.00820339088270703	0.563833228772994	2.8566301447047	0	53	PSMD2 PSMD13 PSMD4 PSMC5 PSMA4 PSMA1 PSMC3 PSMB6 UBB PSMD3 PSMA7 PSME2 PSMB2 PSME1 PSMD11 PSMD6 PSMD14 PSMD1 PSMB4 PSMA5 PSMB5 PSMB1 PSMF1 PSME3 PSMA8 UBC PSMC2 PSMB7 PSME4 PSMB3 PSMB8 HNRNPD
"reactome_AURKA Activation by TPX2"	0.000321130378933847	0.00825126668093913	0.379865599325943	2.04046006147821	0	69	HSP90AA1 SSNA1 CEP152 TUBB CSNK1D CEP57 CEP76 CENPJ TUBA4A CEP290 TPX2 PPP2R1A YWHAE CSNK1E FGFR1OP DCTN1 HMMR PLK1 HAUS4 CDK5RAP2 PLK4 NEDD1 CEP63 CDK1 PRKACA
