pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"reactome_A tetrasaccharide linker sequence is required for GAG synthesis"	0.0554942224184883	0.18201918887137	0.556917224701899	1.4862081844926	3769	15	SDC2 GPC3 SDC4 XYLT1 XYLT2 GPC5 GPC4
"reactome_ABC transporter disorders"	0.927883093365751	0.94982345857616	0.191657798827205	0.683158007325781	73273	57	PSMB1 UBC PSMC3 PSMD6 PSMB9 PSME3 PSMD11 PSMF1 PSMB6 PSME1 PSMD13 VCP PSME4 PSMB4 PSMC4
"reactome_ABC-family proteins mediated transport"	0.945952145254364	0.9606827781937	0.181125994465564	0.68577112098908	78356	83	PSMB1 UBC PSMC3 PSMD6 ABCB1 PSMB9 PSME3 ABCA5 PSMD11 PSMF1 ABCA7 PSMB6 PSME1 PSMD13 ABCD1 VCP PSME4 ABCC10 PSMB4
"reactome_ADP signalling through P2Y purinoceptor 1"	0.607875174799441	0.753753471385596	0.334929211200274	0.893803446603648	41295	15	GNG10 GNB2 GNB5 SRC GNA15 GNG7
"reactome_APC-Cdc20 mediated degradation of Nek2A"	0.0188322040653647	0.0918833098600649	-0.490994973877847	-1.64570247095105	566	20	UBA52 RPS27A ANAPC15 UBB CDC26 ANAPC7 CDC16 ANAPC16 UBE2D1 CDC23
"reactome_APC/C-mediated degradation of cell cycle proteins"	0.925516701907917	0.949291442874358	0.188035290141389	0.702382085154242	75722	76	CUL1 PSMB1 UBC PSMC3 PSMD6 PSMB9 PSME3 FZR1 PSMD11 PSMF1 CCNA1 MAD2L1 PSMB6 PSME1 CCNB1 PSMD13 PSME4 ANAPC4 PSMB4 ANAPC5 PSMC4
"reactome_APC/C:Cdc20 mediated degradation of Cyclin B"	0.0153779726318586	0.0817581615604115	-0.499809887152703	-1.67524803725914	462	20	UBA52 RPS27A ANAPC15 UBB CDC26 ANAPC7 CDC16 ANAPC16 UBE2D1 CDC23
"reactome_APC/C:Cdc20 mediated degradation of Securin"	0.689793294431807	0.809343676495251	-0.201588394209576	-0.891657214259069	13948	62	UBA52 RPS27A ANAPC15 PSMB5 UBB CDC26 ANAPC7 PSMD2 CDC16 PSMB3 PSMB7 ANAPC16 PSMB2 UBE2D1 PSMA4 CDC23
"reactome_APC/C:Cdc20 mediated degradation of mitotic proteins"	0.963676061929337	0.973377498794397	0.17621776973602	0.645308753339902	77679	67	PSMB1 UBC PSMC3 PSMD6 PSMB9 PSME3 PSMD11 PSMF1 CCNA1 MAD2L1 PSMB6 PSME1 CCNB1 PSMD13 PSME4 ANAPC4 PSMB4 ANAPC5 PSMC4
"reactome_APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	0.800293685756241	0.876883526087231	-0.188021607886596	-0.840423210504046	15804	65	UBA52 RPS27A ANAPC15 PSMB5 UBB CDC26 ANAPC7 PSMD2 CDC16 PSMB3 PSMB7 ANAPC16 PSMB2 UBE2D1 PSMA4 CDC23
