pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"reactome_ABC transporter disorders"	0.641257935154969	0.803276683477255	0.241716584273643	0.896577825802153	39496	58	PSMC3 PSMC2 PSMB1 PSMB9 UBC PSMD11 ERLIN1 VCP PSMD9 PSMD4 PSME3
"reactome_ABC-family proteins mediated transport"	0.642465559761864	0.804029872144095	0.229448251783866	0.902950965312336	40899	80	ABCA7 PSMC3 PSMC2 PSMB1 PSMB9 UBC ABCD3 ABCG1 PSMD11 ERLIN1 VCP PSMD9 PSMD4 PSME3
"reactome_ADP signalling through P2Y purinoceptor 1"	0.940955968074612	0.980095392492745	0.219202283696442	0.604126500387417	52462	16	GNA15 SRC GNGT2 GNG2 GNB5 GNG7 P2RY1 GNG11
"reactome_APC-Cdc20 mediated degradation of Nek2A"	0.816437632135307	0.909926458160199	0.253376730788038	0.748977072695914	46340	21	UBC BUB1B ANAPC11 CDC27 ANAPC4 ANAPC5 ANAPC2
"reactome_APC/C-mediated degradation of cell cycle proteins"	0.346134379349614	0.579540060065468	0.274409266308417	1.06453950612973	21883	74	PSMC3 PSMC2 PSMB1 PSMB9 UBC PSMD11 CUL1 PTTG1 BUB1B PSMD9 PSMD4 PSME3 ANAPC11 CDC27 SKP2 ANAPC4 PSMC5 ANAPC5 ANAPC2 PSMB2 PSME2
"reactome_APC/C:Cdc20 mediated degradation of Cyclin B"	0.907734875223923	0.967960780968487	0.229452569719522	0.66107846256673	51178	19	UBC ANAPC11 CDC27 ANAPC4 ANAPC5 ANAPC2
"reactome_APC/C:Cdc20 mediated degradation of Securin"	0.328336821767831	0.562068118619508	0.286908363668829	1.07829351208766	20392	62	PSMC3 PSMC2 PSMB1 PSMB9 UBC PSMD11 PTTG1 PSMD9 PSMD4 PSME3 ANAPC11 CDC27 ANAPC4 PSMC5 ANAPC5 ANAPC2 PSMB2 PSME2
"reactome_APC/C:Cdc20 mediated degradation of mitotic proteins"	0.306446973087004	0.539755879353542	0.287190204944733	1.09206738494264	19174	66	PSMC3 PSMC2 PSMB1 PSMB9 UBC PSMD11 PTTG1 BUB1B PSMD9 PSMD4 PSME3 ANAPC11 CDC27 ANAPC4 PSMC5 ANAPC5 ANAPC2 PSMB2 PSME2
"reactome_APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	0.269445514054679	0.501046760748705	0.296102919080862	1.11927569016635	16793	64	PSMC3 PSMC2 PSMB1 PSMB9 UBC PSMD11 PTTG1 PSMD9 PSMD4 PSME3 ANAPC11 CDC27 SKP2 ANAPC4 PSMC5 ANAPC5 ANAPC2 PSMB2 PSME2
"reactome_APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	0.374951867539469	0.606615492792687	0.277130822246257	1.04756073766142	23369	64	PSMC3 PSMC2 PSMB1 PSMB9 UBC PSMD11 BUB1B PSMD9 PSMD4 PSME3 ANAPC11 CDC27 ANAPC4 PSMC5 ANAPC5 ANAPC2 PSMB2 PSME2
"reactome_ATF4 activates genes"	0.702987142832085	0.840298198089938	0.278125563621346	0.832036245177559	40077	22	CCL2 CXCL8 NFYA DDIT3 ATF3 KHSRP
"reactome_AUF1 (hnRNP D0) binds and destabilizes mRNA"	0.441262812628126	0.664620384593279	0.277717856268343	1.00800007573532	26905	52	PSMC3 PSMC2 PSMB1 PSMB9 UBC PSMD11 PSMD9 PSMD4 HSPA1A PSME3 HSPB1
