pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"reactome_ABC transporter disorders"	0.868535560205159	0.947447738022612	0.191595568244192	0.772469426527686	46906	58	PSME2 PSMB9 PSMB3 PSMC5 DERL3 RNF5 PSMA5 PSMB8 RNF185 PSME1 VCP PSMF1 ERLIN1 PSMA7 PSMD2 PSMD13 PSMB5 UBB PSMD4 PSMC4 OS9 PSMB10 PSMD8
"reactome_ABC-family proteins mediated transport"	0.986372877630639	0.998263144713682	0.151769840852332	0.654347716159062	53852	81	PSME2 PSMB9 PSMB3 PSMC5 DERL3 RNF5 PSMA5 ABCC3 PSMB8 RNF185 ABCA2 ABCC5 PSME1 ABCB8 VCP EIF2S3 PSMF1 ERLIN1 EIF2S2 ABCD1 PSMA7 PSMD2 PSMD13 PSMB5 ABCA7 UBB PSMD4 PSMC4 OS9 PEX3 PSMB10 PSMD8 PSMD10 ABCB7 ABCD2
"reactome_APC-Cdc20 mediated degradation of Nek2A"	0.888785151435934	0.95628115149252	0.221573863547062	0.693271910236533	47597	20	ANAPC16 ANAPC11 BUB3 UBE2D1
"reactome_APC/C-mediated degradation of cell cycle proteins"	0.845486780943982	0.93270486087881	0.18993979092853	0.800176212276211	46018	72	PSME2 PSMB9 ANAPC16 ANAPC11 PSMB3 PSMC5 BUB3 FBXO5
"reactome_APC/C:Cdc20 mediated degradation of Cyclin B"	0.878868258178603	0.952264686248784	-0.225467873844227	-0.695440520583259	40753	18	RPS27A ANAPC10 ANAPC15 UBE2E1 UBC
"reactome_APC/C:Cdc20 mediated degradation of Securin"	0.930104944202202	0.978698415401708	0.177418309972901	0.724937563163196	50340	62	PSME2 PSMB9 ANAPC16 ANAPC11 PSMB3 PSMC5 PSMA5 UBE2D1 PSMB8 PSME1 PSMF1 CDC23 PSMA7 PSMD2 PSMD13 PSMB5 UBB PSMD4 ANAPC2 PSMC4
"reactome_APC/C:Cdc20 mediated degradation of mitotic proteins"	0.832398109864147	0.924465618702985	0.194985515610991	0.801992810640444	45095	64	PSME2 PSMB9 ANAPC16 ANAPC11 PSMB3 PSMC5 BUB3 PSMA5 UBE2D1 PSMB8
"reactome_APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	0.948593473124631	0.985440689002907	0.171270293086067	0.704449985943288	51390	64	PSME2 PSMB9 ANAPC16 ANAPC11 PSMB3 PSMC5 PSMA5 UBE2D1 PSMB8
"reactome_APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	0.829182613197256	0.922795787440277	0.195894554874065	0.80280796465719	44847	63	PSME2 PSMB9 ANAPC16 ANAPC11 PSMB3 PSMC5 BUB3 PSMA5 UBE2D1 PSMB8
"reactome_ATF4 activates genes"	0.192195940856165	0.45398893927805	-0.381538822136469	-1.22951202808733	8929	21	HERPUD1 DDIT3 NFYA CCL2 ATF3 EXOSC8 ATF4
"reactome_AUF1 (hnRNP D0) binds and destabilizes mRNA"	0.405431386685893	0.661508130865262	0.260935346135932	1.0284034865477	21930	52	HSPA8 PSME2 PSMB9 HSPA1A PSMB3 PSMC5 HSPB1
"reactome_AURKA Activation by TPX2"	0.910599027204971	0.971140515867738	0.182321798958408	0.742509471320848	49236	61	DYNLL1 TUBA4A HAUS1 CEP78 SSNA1 DCTN1 DCTN3 HAUS6 TUBB CKAP5 HAUS3 CENPJ
"reactome_Abortive elongation of HIV-1 transcript in the absence of Tat"	0.0377661561449384	0.18562223542547	0.480893625821921	1.52538798615244	2021	21	POLR2I POLR2J POLR2E POLR2L SUPT4H1 NELFB GTF2F1 POLR2H POLR2D POLR2G NELFCD
"reactome_Activated NOTCH1 Transmits Signal to the Nucleus"	0.103716936056647	0.318258033192177	-0.422693584636255	-1.36213359258035	4818	21	DTX4 DLL1 RPS27A APH1B
"reactome_Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins"	0.832398109864147	0.924465618702985	0.194985515610991	0.801992810640444	45095	64	PSME2 PSMB9 ANAPC16 ANAPC11 PSMB3 PSMC5 BUB3 PSMA5 UBE2D1 PSMB8
"reactome_Activation of ATR in response to replication stress"	0.738477251624884	0.875640515086918	0.242913227006503	0.822949136348552	39766	27	RFC4 MCM3 RAD17 MCM6 RPA1 CDK2 ORC3 RPA2 RPA3 ORC6 CDC7 MCM8
