pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"reactome_ABC transporter disorders"	0.277224814238811	0.555353131402898	0.280865688464813	1.11238409751394	16042	57	PSMB9 PSME2 PSMB3 PSMC4 PSMA5 PSMA7 PSMC5 PSMB6 PSMD2 PSMB5 PSMB8 ERLIN1
"reactome_ABC-family proteins mediated transport"	0.421315995506689	0.675580023885424	0.240052517646646	1.0169916750348	24753	81	PSMB9 PSME2 PSMB3 PSMC4 PSMA5 PSMA7 PSMC5 ABCD2 PSMB6 PSMD2 PSMB5 PSMB8 ABCC10 ERLIN1
"reactome_APC-Cdc20 mediated degradation of Nek2A"	0.86866902237927	0.940972198609157	-0.224463146536261	-0.715984389592212	38349	20	RPS27A ANAPC15 UBA52 ANAPC4 ANAPC10 UBB UBC ANAPC5 UBE2E1
"reactome_APC/C-mediated degradation of cell cycle proteins"	0.110671802038243	0.367709554880215	0.300591507939354	1.25623787385352	6493	75	PSMB9 PSME2 PSMB3 PSMC4 BUB3 PSMA5 PSMA7 PSMC5 PSMB6 PSMD2 PSMB5 PSMB8 ANAPC7 SKP2 CDK2 PSMD8 PSMA2 FBXO5 CCNA2 PSMB2 CDC16 PTTG1 BTRC UBE2D1
"reactome_APC/C:Cdc20 mediated degradation of Cyclin B"	0.562358635664526	0.766727904829893	-0.293899120282813	-0.923898501811215	24862	19	RPS27A ANAPC15 UBA52 ANAPC4 ANAPC10 UBB UBC ANAPC5 UBE2E1
"reactome_APC/C:Cdc20 mediated degradation of Securin"	0.392062205824038	0.655197250342974	0.257338703053758	1.03594917915305	22739	62	PSMB9 PSME2 PSMB3 PSMC4 PSMA5 PSMA7 PSMC5 PSMB6 PSMD2 PSMB5 PSMB8 ANAPC7
"reactome_APC/C:Cdc20 mediated degradation of mitotic proteins"	0.285594107851048	0.56472998473287	0.270539624438757	1.10272115536113	16634	66	PSMB9 PSME2 PSMB3 PSMC4 BUB3 PSMA5 PSMA7 PSMC5 PSMB6 PSMD2 PSMB5 PSMB8 ANAPC7 PSMD8 PSMA2 CCNA2 PSMB2 CDC16 PTTG1 UBE2D1
"reactome_APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	0.308580461152538	0.583612687554133	0.267376494963109	1.08655187599592	17959	65	PSMB9 PSME2 PSMB3 PSMC4 PSMA5 PSMA7 PSMC5 PSMB6 PSMD2 PSMB5 PSMB8 ANAPC7 SKP2
"reactome_APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	0.270403078931995	0.549113149636678	0.274155943920566	1.11410187804064	15737	65	PSMB9 PSME2 PSMB3 PSMC4 BUB3 PSMA5 PSMA7 PSMC5 PSMB6 PSMD2 PSMB5 PSMB8 ANAPC7
"reactome_ATF4 activates genes"	0.0414640796110329	0.229264656080194	-0.462483683597679	-1.5136668199127	1824	22	ATF3 DIS3 DDIT3 ATF4 EXOSC9 EXOSC6
