pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"reactome_ABC transporter disorders"	0.871932856084917	0.958365980662918	0.188864221638968	0.782134557091995	35321	58	PSMC2 SEL1L PSMD1 PSMD14 PSMB9 PSMB3 PSMA2 SEM1 PSMB2 PSMA3 DERL1 VCP ERLIN1 PSMD4 PSME3 PSME2 PSMD5 PSMA5
"reactome_ABC-family proteins mediated transport"	0.772862567997537	0.918009769713887	0.195361930306658	0.855262198258728	30119	77	PSMC2 SEL1L EIF2S2 PSMD1 PSMD14 ABCD2 ABCB9 PSMB9 PSMB3 PEX19 PSMA2 EIF2S3 SEM1 PSMB2 ABCC4 PSMA3 DERL1 ABCB10 VCP ERLIN1 PSMD4 PSME3 PSME2 PSMD5 PSMA5 ABCA5
"reactome_APC-Cdc20 mediated degradation of Nek2A"	0.914384964816959	0.973589746711582	-0.211255869304341	-0.674616521620014	51328	24	ANAPC10 CDC16 ANAPC15 ANAPC11 UBA52 ANAPC16 CDC27 RPS27A UBE2E1
"reactome_APC/C-mediated degradation of cell cycle proteins"	0.122025656941858	0.49338956750812	0.275387607212938	1.21977604139309	4717	82	PSMC2 CDK1 ANAPC2 BUB3 PSMD1 PSMD14 UBE2D1 PLK1 FBXO5 AURKA AURKB PSMB9 PSMB3 CDC23 PSMA2 UBE2C CCNA2 SEM1 PSMB2 PTTG1 CCNB1 PSMA3 BUB1B
"reactome_APC/C:Cdc20 mediated degradation of Cyclin B"	0.754518174228921	0.910746654238318	0.247087720483296	0.809044059670251	33440	22	CDK1 ANAPC2 UBE2D1 CDC23 UBE2C CCNB1
"reactome_APC/C:Cdc20 mediated degradation of Securin"	0.90052290525157	0.969351209373404	0.181945080480377	0.76870241046058	35992	64	PSMC2 ANAPC2 PSMD1 PSMD14 UBE2D1 PSMB9 PSMB3 CDC23 PSMA2 UBE2C SEM1 PSMB2 PTTG1 PSMA3
"reactome_APC/C:Cdc20 mediated degradation of mitotic proteins"	0.395172764227642	0.758257103328125	0.238165906645112	1.02700203127937	15553	71	PSMC2 CDK1 ANAPC2 BUB3 PSMD1 PSMD14 UBE2D1 PSMB9 PSMB3 CDC23 PSMA2 UBE2C CCNA2 SEM1 PSMB2 PTTG1 CCNB1 PSMA3 BUB1B
"reactome_APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	0.502143310082435	0.813562983113093	0.227271195684426	0.97427253217802	19796	69	PSMC2 ANAPC2 PSMD1 PSMD14 UBE2D1 PLK1 AURKA AURKB PSMB9 PSMB3 CDC23 PSMA2 UBE2C SEM1 PSMB2 PTTG1 PSMA3
"reactome_APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	0.563170577045022	0.841541986067276	0.220743537551697	0.946289584321321	22202	69	PSMC2 CDK1 ANAPC2 BUB3 PSMD1 PSMD14 UBE2D1 PSMB9 PSMB3 CDC23 PSMA2 UBE2C CCNA2 SEM1 PSMB2 PSMA3 BUB1B PSMD4 PSME3 PSME2 NEK2 PSMD5 PSMA5
"reactome_ATF4 activates genes"	0.652828230409964	0.878088160306401	0.266310596413353	0.871985890816581	28933	22	EXOSC3 HERPUD1 EXOSC8 EXOSC5
