pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"reactome_ABC transporter disorders"	0.926202709014479	0.982416879384392	-0.184356941699501	-0.730185794244546	43625	57	PSMC3 RPS27A UBB DERL1 PSMC1 PSMA1 RNF5
"reactome_ABC-family proteins mediated transport"	0.39659545200533	0.635326388279788	-0.243948855297474	-1.02749404614513	18451	78	PSMC3 RPS27A ABCA2 UBB DERL1 PSMC1 ABCC4 PSMA1 ABCF1 RNF5 ABCA5 PSMA6 ABCB1 EIF2S1 PEX19 ABCA7 PSME1
"reactome_APC-Cdc20 mediated degradation of Nek2A"	0.500503250157266	0.720429951961321	-0.299485333359955	-0.968930635149506	23868	24	RPS27A UBB ANAPC5 ANAPC15 UBC ANAPC16 CDC16 UBA52 UBE2C NEK2
"reactome_APC/C-mediated degradation of cell cycle proteins"	0.996739294737524	0.998766364773306	-0.143557455476419	-0.609781772391517	46157	82	PSMC3 RPS27A FBXO5 UBB PSMC1 CDC14A PSMA1 ANAPC5 PSMA6 ANAPC15
"reactome_APC/C:Cdc20 mediated degradation of Cyclin B"	0.511961422845691	0.727846227285569	-0.303427157007751	-0.960548029042802	24524	22	RPS27A UBB ANAPC5 ANAPC15 UBC ANAPC16 CDC16 UBA52
"reactome_APC/C:Cdc20 mediated degradation of Securin"	0.958593683129333	0.994267145876904	-0.172706094762161	-0.699677899571122	44796	64	PSMC3 RPS27A UBB PSMC1 PSMA1 ANAPC5 PSMA6 ANAPC15
"reactome_APC/C:Cdc20 mediated degradation of mitotic proteins"	0.999313481506908	0.999639625930231	-0.131771063078133	-0.545175922485966	46579	71	PSMC3 RPS27A UBB PSMC1 PSMA1 ANAPC5 PSMA6 ANAPC15
"reactome_APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	0.998068710971868	0.999227571594186	-0.137001393915857	-0.563424114679553	46510	69	PSMC3 RPS27A UBB PSMC1 PSMA1 ANAPC5 PSMA6 ANAPC15
"reactome_APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	0.996180339477694	0.998766364773306	-0.14400898267614	-0.59224312432938	46422	69	PSMC3 RPS27A UBB PSMC1 PSMA1 ANAPC5 PSMA6 ANAPC15
"reactome_ATF4 activates genes"	0.351661656646627	0.600154046913338	-0.339720845448424	-1.0754416042988	16845	22	DIS3 ATF4 DDIT3 EXOSC1 KHSRP DCP2 EXOSC6 EXOSC8
"reactome_AUF1 (hnRNP D0) binds and destabilizes mRNA"	0.959878046198471	0.994350058939131	-0.175227764094493	-0.680990602558875	45335	52	PSMC3 RPS27A UBB HNRNPD PSMC1 PSMA1
"reactome_AURKA Activation by TPX2"	0.601936464451241	0.793608129163735	0.23106489279292	0.924391947360208	32078	67	AURKA TPX2 HMMR DYNLL1 TUBA4A PRKACA YWHAG TUBB4B PPP2R1A NEDD1 PRKAR2B DYNC1H1 HAUS4 CKAP5 FGFR1OP
"reactome_Abortive elongation of HIV-1 transcript in the absence of Tat"	0.990760265306905	0.99830281121431	0.164813330017143	0.506643970114704	51683	21	NCBP1 SUPT4H1 NELFA NCBP2 SUPT5H POLR2B
"reactome_Activated NOTCH1 Transmits Signal to the Nucleus"	0.374195166819968	0.617807147133591	-0.338249052842566	-1.05743486188534	17899	21	ITCH RPS27A UBB PSEN2 JAG2 MIB2 APH1A UBC UBA52 NUMB
"reactome_Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3"	0.605997414188597	0.797742397533005	-0.303820828265143	-0.896380258986315	29059	17	H2AFV H2AFX NCOA2 HIST1H2BJ HIST1H2BC PKN1 KDM4C H3F3A HIST1H2BH
"reactome_Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins"	0.997880441918482	0.999227571594186	0.140634102937332	0.570235091049548	53199	72	CCNB1 CDC23 PSMD11 CCNA2 MAD2L1 PSMD6 PSMC5 BUB1B PSMA4 PSMB5 PLK1 PSMA7 PSMD2 PSMB8 PSMD7 PSME4 CDC26 PSMD12 PSMD13 SEM1 PSMB7 PSMD10 PSMC6 PSMD1 PSMB1 UBE2D1 ANAPC7 CDK1 PSMD4 PSMB10 ANAPC4
"reactome_Activation of ATR in response to replication stress"	0.018573832562053	0.0917781497228092	-0.444971998323511	-1.57050673647378	882	34	CLSPN MCM2 ORC2 MCM10 CDC45 RAD1 MCM7 RPA3 RPA1 RPA2 CDC7 CDC25A MCM5 DBF4
"reactome_Activation of BH3-only proteins"	0.0229607884252464	0.106013064630087	-0.489111418920702	-1.58243154172799	1094	24	PMAIP1 TFDP2 YWHAQ E2F1 MAPK8 TFDP1
"reactome_Activation of E2F1 target genes at G1/S"	0.000439984076766746	0.00619389828885104	-0.603354167835166	-1.99376598896726	20	26	TFDP2 DHFR TYMS E2F1 FBXO5 PCNA TFDP1 CDC45 RBL1 RBBP4 POLA1
"reactome_Activation of HOX genes during differentiation"	0.695876179370296	0.85243469648636	-0.222154661367907	-0.876966859151904	32820	56	CTCF CREBBP YY1 H2AFV SUZ12 H2AFX NCOR1 POLR2H POLR2J EZH2 RBBP4 POLR2C JUN HIST1H2BJ HIST1H2BC PKNOX1 POLR2G
"reactome_Activation of IRF3/IRF7 mediated by TBK1/IKK epsilon"	0.315475616110543	0.563929600004397	0.398376745568205	1.11758343268186	16346	15	IRF7 LY96 TLR4 TICAM1 IRF3
"reactome_Activation of NF-kappaB in B cells"	0.41855038958815	0.651141314248772	-0.251967133329448	-1.01741574317097	19552	63	PSMC3 CARD11 NFKBIA RPS27A UBB PSMC1 NFKBIB PSMA1 MALT1 PSMA6
"reactome_Activation of NMDA receptors and postsynaptic events"	0.0114824531386639	0.0667841161471364	0.464116243145428	1.62790881010227	603	36	NRGN RAC1 CAMKK2 PRKACA PPM1F PRKAR2B RPS6KA1 PRKAG1 CAMK1 PRKAR1A PDPK1 PRKAB1 PRKAG2 KPNA2 HRAS GIT1
"reactome_Activation of anterior HOX genes in hindbrain development during early embryogenesis"	0.695876179370296	0.85243469648636	-0.222154661367907	-0.876966859151904	32820	56	CTCF CREBBP YY1 H2AFV SUZ12 H2AFX NCOR1 POLR2H POLR2J EZH2 RBBP4 POLR2C JUN HIST1H2BJ HIST1H2BC PKNOX1 POLR2G
"reactome_Activation of gene expression by SREBF (SREBP)"	0.556450846620171	0.76310098210456	0.262541890772948	0.937480524534617	29280	39	HELZ2 SQLE RXRA MED1 TBL1X MTF1 SREBF2 SCD
"reactome_Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S"	2.12305209969853e-05	0.000595177491971402	-0.607125333854839	-2.40465203002432	0	57	EIF3F RPSA RPS21 RPS6 RPS27 RPS8 EIF4H RPS27A RPS3 RPS29 RPS2 RPS26 EIF4A2 RPS7 RPS4Y1 RPS15A RPS16 RPS17 RPS14 RPS19 EIF3I RPS11 EIF3M FAU EIF3A RPS24 EIF2S1 RPS18 RPS23 RPS5 EIF4EBP1 RPS3A RPS4X EIF4B RPS10 RPS12
"reactome_Activation of the pre-replicative complex"	0.00134338070149661	0.0148503847418648	-0.538084855646735	-1.85796086117736	63	31	MCM2 ORC2 PRIM2 MCM10 GMNN POLA1 MCM7 RPA3 RPA1 RPA2 CDC7 POLE3 MCM5 PRIM1 DBF4
"reactome_Amino acid synthesis and interconversion (transamination)"	0.939962296091105	0.990204630182719	0.21533666492855	0.615882268069031	48862	16	GLUL SERINC1 OAT GOT2 SERINC3 PYCR2 PSAT1 GLS PSPH GLUD1
"reactome_Amino acid transport across the plasma membrane"	0.0726209545129977	0.236962792918949	0.516314551939837	1.44843943759194	3762	15	SLC7A7 SLC1A5 SLC36A4 SLC43A2
"reactome_Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal"	0.367896514605991	0.615063053260331	0.247413155261298	1.04317434515547	19822	89	SPDL1 CENPE NDEL1 TAOK1 RANBP2 DYNLL1 CENPF RCC2 PPP2R5B PPP2R1A SGO2 DYNC1H1 NSL1 NUP98 SGO1 BUB1 KNTC1 SEC13 RANGAP1 MAD2L1 DYNC1LI2 CKAP5 DYNC1LI1 BUB1B XPO1 PPP2CB PLK1 CENPA PPP2R5D
"reactome_Amplification of signal from the kinetochores"	0.367896514605991	0.615063053260331	0.247413155261298	1.04317434515547	19822	89	SPDL1 CENPE NDEL1 TAOK1 RANBP2 DYNLL1 CENPF RCC2 PPP2R5B PPP2R1A SGO2 DYNC1H1 NSL1 NUP98 SGO1 BUB1 KNTC1 SEC13 RANGAP1 MAD2L1 DYNC1LI2 CKAP5 DYNC1LI1 BUB1B XPO1 PPP2CB PLK1 CENPA PPP2R5D
"reactome_Amyloid fiber formation"	0.177875753026358	0.410913243260489	0.340749489979027	1.21674301064856	9359	39	LYZ CST3 TGFBI APP TSPAN14 HIST1H2BN USP9X NCSTN GSN
