pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"reactome_ABC transporter disorders"	0.000479094076655052	0.0117938690785084	-0.437800848137705	-1.88711259058778	10	56	RPS27A PSME2 PSME1 PSMB1 PSMC4 PSMD4 PSMC1 PSMF1 UBB PSME3 PSMB2 PSMA3 PSMD9 PSMD11 PSMA4 UBC PSMD6 DERL2 ERLIN1 PSMD7 DERL1 PSMA6 PSMC5 PSMD13 PSMB9 PSMB6 RNF5 PSMD10 PSMB4 PSMD8 SEL1L
"reactome_ABC-family proteins mediated transport"	0.0720142043970965	0.333726706892285	-0.276686644025765	-1.2764813175847	1378	78	RPS27A PSME2 PSME1 PSMB1 PSMC4 PSMD4 PSMC1 PSMF1 UBB PSME3 PSMB2 PSMA3 PSMD9 PSMD11 PSMA4 ABCD1 UBC PSMD6 DERL2 ABCF1 ERLIN1 PSMD7 DERL1 PSMA6 PSMC5 PSMD13 PSMB9 ABCB1 PSMB6 RNF5 PSMD10 PSMB4 PSMD8 SEL1L
"reactome_ADP signalling through P2Y purinoceptor 1"	0.394375509325461	0.744677578267122	0.391553489261596	1.05702511920029	25648	15	GNAQ PLA2G4A GNB5 GNG10 MAPK14 GNG11
"reactome_APC-Cdc20 mediated degradation of Nek2A"	0.75848820586133	0.928527354467245	-0.248774400838913	-0.799455582576153	25466	18	RPS27A BUB3 UBB UBC
"reactome_APC/C-mediated degradation of cell cycle proteins"	0.0221132583405442	0.164106156497093	-0.321074297865934	-1.44138805981074	459	68	RPS27A PSME2 PSME1 PSMB1 PSMC4 PSMD4 BUB3 PSMC1 PSMF1 FZR1 UBB PSME3 PSMB2 PSMA3 PSMD9 PSMD11 PSMA4 UBC PSMD6
"reactome_APC/C:Cdc20 mediated degradation of Cyclin B"	0.864667464731108	0.967277655556694	0.250353742053131	0.697795276407268	57061	17	CDC16 ANAPC4 ANAPC5 ANAPC7 ANAPC2 ANAPC15 ANAPC10 CDC27 UBE2D1
"reactome_APC/C:Cdc20 mediated degradation of Securin"	0.0143320713899405	0.12498819388641	-0.343821272063593	-1.50465052752537	317	60	RPS27A PSME2 PSME1 PSMB1 PSMC4 PSMD4 PSMC1 PSMF1 UBB PSME3 PSMB2 PSMA3 PSMD9 PSMD11 PSMA4 UBC PSMD6
"reactome_APC/C:Cdc20 mediated degradation of mitotic proteins"	0.00758022786074168	0.0853846666941045	-0.357857811395531	-1.57239191324692	166	61	RPS27A PSME2 PSME1 PSMB1 PSMC4 PSMD4 BUB3 PSMC1 PSMF1 UBB PSME3 PSMB2 PSMA3 PSMD9 PSMD11 PSMA4 UBC PSMD6
"reactome_APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	0.0142739500411749	0.12498819388641	-0.342006470228408	-1.50738402400928	311	62	RPS27A PSME2 PSME1 PSMB1 PSMC4 PSMD4 PSMC1 PSMF1 FZR1 UBB PSME3 PSMB2 PSMA3 PSMD9 PSMD11 PSMA4 UBC PSMD6
"reactome_APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	0.00833784027402199	0.0904395112222823	-0.358390853649618	-1.56841077274714	184	60	RPS27A PSME2 PSME1 PSMB1 PSMC4 PSMD4 BUB3 PSMC1 PSMF1 UBB PSME3 PSMB2 PSMA3 PSMD9 PSMD11 PSMA4 UBC PSMD6
