pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"reactome_ABC transporter disorders"	0.00508330979949167	0.075054851954033	0.409838945416499	1.64874314227961	215	55	PSMB3 PSMA3 PSMD12 PSMD6 PSMB7 PSMD7 DERL2 PSMA6 PSMB1 PSMC2 PSMD11 PSMC1 PSMD14 PSMA7 RNF185 PSMB6 DERL1 SEL1L PSMD1 PSMD8 PSME4 PSMA4 PSMD5 PSMC3 PSMC6
"reactome_ABC-family proteins mediated transport"	0.146935449075961	0.445344349644397	0.280921044498271	1.20245376513156	6129	75	PSMB3 PSMA3 PSMD12 PSMD6 PSMB7 PSMD7 DERL2 PSMA6 PSMB1 PSMC2 PSMD11 PSMC1 PSMD14 PSMA7 RNF185 PSMB6 DERL1 SEL1L PSMD1 PSMD8 PSME4 PSMA4 PSMD5 PSMC3 PSMC6
"reactome_ADP signalling through P2Y purinoceptor 1"	0.368354345940898	0.64415660288317	0.365004391452947	1.0629998005002	16565	15	GNG5 P2RY1 GNA15 GNG10 GNGT2 SRC PLA2G4A MAPK14
"reactome_APC-Cdc20 mediated degradation of Nek2A"	0.507420749279539	0.730363854959696	-0.320414431559315	-0.965029321072	28171	19	CDC16 RPS27A ANAPC4 ANAPC5 ANAPC16 BUB3 CDC26
"reactome_APC/C-mediated degradation of cell cycle proteins"	0.0515429524603837	0.26197852874971	0.323368386387086	1.35791513007482	2162	68	PSMB3 PSMA3 PSMD12 PSMD6 PSMB7 PSMD7 CUL1 PSMA6 PSMB1 PSMC2 PSMD11 PSMC1 PSMD14 PSMA7 FZR1 PSMB6 CDC27 ANAPC10 PSMD1 PSMD8 PSME4 PTTG1 PSMA4 PSMD5 PSMC3 PSMC6
"reactome_APC/C:Cdc20 mediated degradation of Cyclin B"	0.644479728632517	0.799812306905656	-0.292980689923776	-0.870330987396438	35718	18	CDC16 RPS27A ANAPC4 ANAPC5 ANAPC16 CDC26
"reactome_APC/C:Cdc20 mediated degradation of Securin"	0.0203391433909609	0.161978955454138	0.363269039512836	1.48792331241794	859	60	PSMB3 PSMA3 PSMD12 PSMD6 PSMB7 PSMD7 PSMA6 PSMB1 PSMC2 PSMD11 PSMC1 PSMD14 PSMA7 PSMB6 CDC27 ANAPC10 PSMD1 PSMD8 PSME4 PTTG1 PSMA4 PSMD5 PSMC3 PSMC6
"reactome_APC/C:Cdc20 mediated degradation of mitotic proteins"	0.0262497633024048	0.184387674984894	0.354130188148784	1.45478382096361	1108	61	PSMB3 PSMA3 PSMD12 PSMD6 PSMB7 PSMD7 PSMA6 PSMB1 PSMC2 PSMD11 PSMC1 PSMD14 PSMA7 PSMB6 CDC27 ANAPC10 PSMD1 PSMD8 PSME4 PTTG1 PSMA4 PSMD5 PSMC3 PSMC6
"reactome_APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	0.0345996160864516	0.217348497415801	0.344541251482084	1.41997991800105	1459	62	PSMB3 PSMA3 PSMD12 PSMD6 PSMB7 PSMD7 PSMA6 PSMB1 PSMC2 PSMD11 PSMC1 PSMD14 PSMA7 FZR1 PSMB6 CDC27 ANAPC10 PSMD1 PSMD8 PSME4 PTTG1 PSMA4 PSMD5 PSMC3 PSMC6
"reactome_APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	0.0336778374287539	0.214528414971238	0.347837602187309	1.42471727820275	1423	60	PSMB3 PSMA3 PSMD12 PSMD6 PSMB7 PSMD7 PSMA6 PSMB1 PSMC2 PSMD11 PSMC1 PSMD14 PSMA7 PSMB6 CDC27 ANAPC10 PSMD1 PSMD8 PSME4 PSMA4 PSMD5 PSMC3 PSMC6
"reactome_ATF4 activates genes"	0.738277113048965	0.852308284188032	0.25227530503773	0.816828332204728	32763	22	DCP2 DDIT3 ATF4 EXOSC9 EXOSC4 DIS3
"reactome_AUF1 (hnRNP D0) binds and destabilizes mRNA"	0.0677862881502823	0.306729288298123	0.342641534964047	1.35181619982963	2893	50	PSMB3 PSMA3 PSMD12 PSMD6 PSMB7 PSMD7 PSMA6 PSMB1 PSMC2 PSMD11 PSMC1 PSMD14 PSMA7 PSMB6 PSMD1 PSMD8 PSME4 PSMA4 PSMD5 HSPB1 HNRNPD PSMC3 PSMC6
"reactome_AURKA Activation by TPX2"	0.00817963947066792	0.0952204851400386	-0.409444181227565	-1.59765404879177	470	57	TUBA4A DYNLL1 NDE1 CEP290 ODF2 DCTN2 CEP57 SDCCAG8 DYNC1I2 CEP164 DCTN1 AKAP9 ALMS1 PPP2R1A CKAP5 CEP63 PCNT HAUS1 CEP192 CEP250 CCP110 HAUS4 CDK5RAP2 CEP78 YWHAG SSNA1 CNTRL CETN2 HSP90AA1 TUBB4B
"reactome_Abortive elongation of HIV-1 transcript in the absence of Tat"	0.212555487956015	0.52578261506565	0.369575077531813	1.19662681275757	9432	22	SUPT5H POLR2B POLR2C NCBP1 POLR2J NCBP2 POLR2K GTF2F1
"reactome_Activated NOTCH1 Transmits Signal to the Nucleus"	0.829490761604326	0.903211655008808	-0.244204743801321	-0.745483367731815	46015	20	ARRB1 MIB1
"reactome_Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3"	0.244787350787216	0.555496776717699	0.388802074712137	1.17329515751137	10929	17	H2AFJ HIST1H2AC HIST1H2BK HIST1H2BC KDM4C HIST1H2BN HIST2H2AC HIST2H2BE HIST1H3A
"reactome_Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins"	0.0262497633024048	0.184387674984894	0.354130188148784	1.45478382096361	1108	61	PSMB3 PSMA3 PSMD12 PSMD6 PSMB7 PSMD7 PSMA6 PSMB1 PSMC2 PSMD11 PSMC1 PSMD14 PSMA7 PSMB6 CDC27 ANAPC10 PSMD1 PSMD8 PSME4 PTTG1 PSMA4 PSMD5 PSMC3 PSMC6
"reactome_Activation of ATR in response to replication stress"	0.00562943182433286	0.0783053014466992	-0.594276884586845	-1.76536408554404	311	18	MCM5 RPA1 MCM3 RPA2 MCM7 RAD17 RFC2 RPA3 ORC5 RAD9A
"reactome_Activation of BH3-only proteins"	0.292719301397923	0.58730847057481	-0.35201638115493	-1.12592490818871	16290	24	TP53 DYNLL1 YWHAH BAD PMAIP1 BBC3 DYNLL2 YWHAG TFDP1
"reactome_Activation of HOX genes during differentiation"	0.00323662823662824	0.0594816519018647	0.414087635699046	1.68376872965206	136	58	MAFB H2AFJ POLR2B POLR2C KMT2C ZNF335 HOXB2 KDM6A EED HIST1H2AC HIST1H2BK EZH2 HIST1H2BC JUN POLR2J PIAS2 EP300 POLR2K NCOR1 HIST1H2BN KMT2D RQCD1
"reactome_Activation of IRF3/IRF7 mediated by TBK1/IKK epsilon"	0.097769772974896	0.371446595280793	0.477633526338371	1.391008862082	4396	15	TANK TBK1 TICAM2 PTPN11 IKBKE LY96
"reactome_Activation of NF-kappaB in B cells"	0.090371141829199	0.356085351000769	0.314758568898009	1.29304331815423	3817	61	PSMB3 PSMA3 PSMD12 PSMD6 PSMB7 PSMD7 CUL1 PSMA6 PSMB1 PSMC2 FBXW11 PSMD11 PSMC1 PSMD14 PSMA7 PSMB6 PSMD1 PSMD8 PSME4 PSMA4 PSMD5 PSMC3 PSMC6 RELA PSMB2 CHUK PSMA1 UBC PSME2
"reactome_Activation of NMDA receptors and postsynaptic events"	0.0520468351087244	0.262627236219536	-0.399433221566529	-1.42115583404645	2955	37	KPNA2 CREB1 PRKAR2A RPS6KA3 CAMK2G MAPK1 PRKX PRKACB CAMK1 PPM1F RPS6KA1 PRKAR1A CAMKK2 NRG1
"reactome_Activation of anterior HOX genes in hindbrain development during early embryogenesis"	0.00323662823662824	0.0594816519018647	0.414087635699046	1.68376872965206	136	58	MAFB H2AFJ POLR2B POLR2C KMT2C ZNF335 HOXB2 KDM6A EED HIST1H2AC HIST1H2BK EZH2 HIST1H2BC JUN POLR2J PIAS2 EP300 POLR2K NCOR1 HIST1H2BN KMT2D RQCD1
"reactome_Activation of gene expression by SREBF (SREBP)"	0.302970935994653	0.595036601216454	0.301735303234604	1.09717212687929	13144	35	SREBF2 IDI1 CHD9 CARM1 TGS1 SC5D SQLE FASN HELZ2
"reactome_Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S"	1.73665381542843e-05	0.00214940177576047	-0.535647769756137	-2.09010133081252	0	57	PABPC1 EIF3L EIF4B RPS5 EIF2S3 RPS8 RPS4X EIF2S2 EIF4EBP1 RPS24 RPS12 RPS6 RPS14 EIF3E RPS10 RPS3 RPS2 RPS23 EIF3H RPS13 RPS27 RPS3A EIF3F EIF3M RPS27A EIF3D EIF3K EIF3A RPS28 RPS7 EIF4A2 RPS11 RPS16 RPS18 RPSA EIF3C
"reactome_Activation of the pre-replicative complex"	0.00365930599369085	0.0645046031030709	-0.588822778678265	-1.79749820258776	202	20	MCM5 RPA1 MCM3 RPA2 MCM7 PRIM1
"reactome_Amino acid transport across the plasma membrane"	0.404220309963756	0.669282230829521	0.355145696926284	1.03428839165024	18178	15	SLC6A6 SLC3A2 SLC36A1
"reactome_Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal"	0.000590462297245667	0.0197855806959296	-0.4676077899111	-1.82460885524913	33	57	XPO1 NUP43 TAOK1 NDEL1 KIF2A NSL1 DYNLL1 NDE1 RANGAP1 PPP2R5B DSN1 PPP2R5D PPP2CB DYNC1I2 INCENP NUDC SEC13 PPP2R5A RPS27 PPP2R5E PPP2R1A CKAP5
