pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"reactome_ABC transporter disorders"	0.00329357308171622	0.0471593030638659	0.405151816900299	1.69079222510175	110	55	PSMD7 PSMB1 PSMC1 UBB DERL2 PSMA3 PSMD6 PSMD12 PSMD14 PSMA1 ERLEC1 PSMB7 PSMD11 UBC PSMC2 PSMC6 PSMC3 PSME4 PSMD5 DERL1
"reactome_ABC-family proteins mediated transport"	0.0412011173184358	0.203552390293829	0.307953358456212	1.36437052327698	1297	74	PSMD7 PSMB1 PSMC1 UBB DERL2 PSMA3 PSMD6 PSMD12 PSMD14 PSMA1 ERLEC1 PSMB7 PSMD11 UBC PSMC2 PSMC6 PSMC3 PSME4 ABCF1 PSMD5 DERL1 ABCC4
"reactome_APC-Cdc20 mediated degradation of Nek2A"	0.561030711806692	0.786950751368208	-0.309188889637089	-0.929320222906945	34269	20	CDC26 CDC16 ANAPC16 UBE2D1 RPS27A BUB3
"reactome_APC/C-mediated degradation of cell cycle proteins"	0.0229509227528531	0.147946585713611	0.328485413593113	1.4393498602068	729	70	PSMD7 PSMB1 PSMC1 PTTG1 UBB PSMA3 ANAPC10 PSMD6 PSMD12 FBXO5 PSMD14 PSMA1 PSMB7 PSMD11 UBC MAD2L1 PSMC2 PSMC6 PSMC3 PSME4 PSMD5 FZR1
"reactome_APC/C:Cdc20 mediated degradation of Cyclin B"	0.395700663213119	0.681642044358881	-0.358800089115577	-1.04892902111932	23984	18	CDC26 CDC16 ANAPC16 UBE2D1 RPS27A
"reactome_APC/C:Cdc20 mediated degradation of Securin"	0.0209569957601454	0.139540819505824	0.347117703076064	1.4739231904303	691	60	PSMD7 PSMB1 PSMC1 PTTG1 UBB PSMA3 ANAPC10 PSMD6 PSMD12 PSMD14 PSMA1 PSMB7 PSMD11 UBC PSMC2 PSMC6 PSMC3 PSME4 PSMD5
"reactome_APC/C:Cdc20 mediated degradation of mitotic proteins"	0.0181391378574477	0.129719736797117	0.348116430441749	1.4877660954598	594	62	PSMD7 PSMB1 PSMC1 PTTG1 UBB PSMA3 ANAPC10 PSMD6 PSMD12 PSMD14 PSMA1 PSMB7 PSMD11 UBC MAD2L1 PSMC2 PSMC6 PSMC3 PSME4 PSMD5
"reactome_APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	0.0246631302969331	0.153899504796479	0.338919344139166	1.44845995538294	808	62	PSMD7 PSMB1 PSMC1 PTTG1 UBB PSMA3 ANAPC10 PSMD6 PSMD12 PSMD14 PSMA1 PSMB7 PSMD11 UBC PSMC2 PSMC6 PSMC3 PSME4 PSMD5 FZR1
"reactome_APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	0.0331873212873395	0.178089414577706	0.331566219267826	1.41225055080363	1090	61	PSMD7 PSMB1 PSMC1 UBB PSMA3 ANAPC10 PSMD6 PSMD12 PSMD14 PSMA1 PSMB7 PSMD11 UBC MAD2L1 PSMC2 PSMC6 PSMC3 PSME4 PSMD5
"reactome_ATF4 activates genes"	0.374495350714974	0.664036687623921	0.315470468111222	1.05199055888132	14377	22	DDIT3 ATF3 DIS3 EXOSC9
"reactome_AUF1 (hnRNP D0) binds and destabilizes mRNA"	0.0264297839957853	0.159317661631631	0.359953284871863	1.47086579164875	902	50	PSMD7 PSMB1 PSMC1 UBB PSMA3 PSMD6 PSMD12 PSMD14 PSMA1 PSMB7 PSMD11 UBC PSMC2 PSMC6 PSMC3 PSME4 PSMD5
"reactome_AURKA Activation by TPX2"	0.572000900292595	0.791166982426444	-0.24640914724331	-0.936942930912062	38120	57	DYNLL1 TUBB4B DCTN2 CEP76 DYNC1I2 ODF2 PPP2R1A SSNA1 CEP164 ALMS1 TUBG1 FGFR1OP CENPJ SDCCAG8 HAUS4 CNTRL CEP78 SFI1 TUBA1A YWHAG
"reactome_Abortive elongation of HIV-1 transcript in the absence of Tat"	0.345922433776991	0.63711155133884	0.321545316976041	1.07224818771956	13280	22	POLR2K NCBP1 POLR2B SUPT5H NCBP2 SUPT4H1
"reactome_Activated NOTCH1 Transmits Signal to the Nucleus"	0.628056224634573	0.825168470530848	-0.301993522800371	-0.882858672182014	38068	18	ARRB1 MIB2 RPS27A ARRB2 NUMB PSENEN NOTCH1
"reactome_Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3"	0.948312078019505	0.971858002261783	0.201285128718809	0.615833447968925	37922	16	HIST1H2BK HIST1H2BC NCOA2 HIST2H2BE H2AFJ HIST1H2AC HIST1H2BN
"reactome_Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins"	0.0181391378574477	0.129719736797117	0.348116430441749	1.4877660954598	594	62	PSMD7 PSMB1 PSMC1 PTTG1 UBB PSMA3 ANAPC10 PSMD6 PSMD12 PSMD14 PSMA1 PSMB7 PSMD11 UBC MAD2L1 PSMC2 PSMC6 PSMC3 PSME4 PSMD5
