pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"reactome_ABC transporter disorders"	0.0467291359584474	0.221750990639178	-0.372590717713556	-1.41192213816601	2662	53	PSMB10 RNF5 PSMA7 PSMD4 PSMB5 PSMC5 PSMB1 PSMB6 PSMC4 PSME3 DERL3 PSMD9 PSMA5 PSMD3 DERL2 PSMB8 PSMD8 PSMB4
"reactome_ABC-family proteins mediated transport"	0.178812321813504	0.414520516651955	-0.306302322063444	-1.19481586866594	10285	61	PSMB10 RNF5 PSMA7 PSMD4 PSMB5 PSMC5 PSMB1 PSMB6 PSMC4 PSME3 DERL3 PSMD9 PSMA5 PSMD3 DERL2 PSMB8 PSMD8 PSMB4
"reactome_APC-Cdc20 mediated degradation of Nek2A"	0.718691744033666	0.834048112726882	-0.286904420706984	-0.817467975397825	38937	16	UBE2D1 BUB3 CDC16 ANAPC16
"reactome_APC/C-mediated degradation of cell cycle proteins"	0.0847195425075177	0.286422287493033	-0.339630525272622	-1.31638852723639	4873	59	PSMB10 PSMA7 PSMD4 PSMB5 UBE2D1 PSMC5 PSMB1 PSMB6 PSMC4 PSME3 BUB3 PSMD9 PSMA5 CDC16 PSMD3 PSMB8 PSMD8 PSMB4 SKP1 ANAPC16
"reactome_APC/C:Cdc20 mediated degradation of Cyclin B"	0.955377278272764	0.977090398233509	-0.210372973286322	-0.589415293056482	51683	15	UBE2D1 CDC16 ANAPC16
"reactome_APC/C:Cdc20 mediated degradation of Securin"	0.0985915492957746	0.308912297313292	-0.34011837181977	-1.29876321493531	5641	55	PSMB10 PSMA7 PSMD4 PSMB5 UBE2D1 PSMC5 PSMB1 PSMB6 PSMC4 PSME3 PSMD9 PSMA5 CDC16 PSMD3 PSMB8 PSMD8 PSMB4 ANAPC16
"reactome_APC/C:Cdc20 mediated degradation of mitotic proteins"	0.0683277498604132	0.257575448316983	-0.352736683268477	-1.35245569041703	3915	56	PSMB10 PSMA7 PSMD4 PSMB5 UBE2D1 PSMC5 PSMB1 PSMB6 PSMC4 PSME3 BUB3 PSMD9 PSMA5 CDC16 PSMD3 PSMB8 PSMD8 PSMB4 ANAPC16
"reactome_APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	0.0985915492957746	0.308912297313292	-0.34011837181977	-1.29876321493531	5641	55	PSMB10 PSMA7 PSMD4 PSMB5 UBE2D1 PSMC5 PSMB1 PSMB6 PSMC4 PSME3 PSMD9 PSMA5 CDC16 PSMD3 PSMB8 PSMD8 PSMB4 ANAPC16
"reactome_APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	0.0683277498604132	0.257575448316983	-0.352736683268477	-1.35245569041703	3915	56	PSMB10 PSMA7 PSMD4 PSMB5 UBE2D1 PSMC5 PSMB1 PSMB6 PSMC4 PSME3 BUB3 PSMD9 PSMA5 CDC16 PSMD3 PSMB8 PSMD8 PSMB4 ANAPC16
"reactome_AUF1 (hnRNP D0) binds and destabilizes mRNA"	0.0502712604805186	0.227620022638378	-0.38018510580689	-1.41094726429338	2853	48	PSMB10 PSMA7 PSMD4 PSMB5 PSMC5 PSMB1 HSPA8 PSMB6 PSMC4 PSME3 PSMD9 PSMA5 PSMD3 PSMB8 PSMD8 PSMB4 HSPB1
"reactome_AURKA Activation by TPX2"	0.264393496107949	0.503698558278647	-0.315287328772474	-1.13242480317235	14910	41	DYNLL1 PPP2R1A CEP63 DCTN2 TUBB ODF2 HAUS4 CNTRL DCTN1 CEP290 DYNC1I2
