pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"reactome_ABC transporter disorders"	0.289932907297327	0.715397838103288	0.291103324346863	1.10840517337513	18192	54	PSMD1 PSMB5 PSMD3 PSMC3 PSMB4 PSMC5 PSMD14 PSMD4 PSMA5 PSMC6 PSMB3 SEL1L PSMD13
"reactome_ABC-family proteins mediated transport"	0.33996492807151	0.74920593195146	0.264955654728718	1.06778750250103	21906	73	ABCB1 PSMD1 PSMB5 PSMD3 PSMC3 PSMB4 PSMC5 PEX3 PSMD14 ABCB7 PSMD4 PSMA5 EIF2S2 PSMC6 PSMB3 SEL1L PSMD13
"reactome_APC-Cdc20 mediated degradation of Nek2A"	0.190196413321947	0.622079979354154	0.408504800700566	1.23622824323702	11135	20	MAD2L1 UBE2E1 ANAPC2 BUB3 ANAPC10 CDC23 CDC16 CDC27 ANAPC7 ANAPC16
"reactome_APC/C-mediated degradation of cell cycle proteins"	0.311212493966336	0.729909212711113	0.27150906459117	1.08647866269513	19986	70	PSMD1 PSMB5 PSMD3 MAD2L1 UBE2E1 ANAPC2 BUB3 PSMC3 PSMB4 PSMC5 ANAPC10 PSMD14 PSMD4 PSMA5 PSMC6 PSMB3 PSMD13
"reactome_APC/C:Cdc20 mediated degradation of Cyclin B"	0.522123437258173	0.841238137717559	0.324285313012189	0.953834544528032	30361	18	UBE2E1 ANAPC2 ANAPC10 CDC23 CDC16 CDC27 ANAPC7 ANAPC16
"reactome_APC/C:Cdc20 mediated degradation of Securin"	0.0804960398851409	0.448046707717829	0.339722730975764	1.32133255267765	5101	60	PSMD1 PSMB5 PSMD3 UBE2E1 ANAPC2 PSMC3 PSMB4 PSMC5 ANAPC10 PSMD14 PSMD4 PSMA5 PSMC6 PSMB3 PSMD13
"reactome_APC/C:Cdc20 mediated degradation of mitotic proteins"	0.0247239784844767	0.268287173189413	0.37557181237388	1.4696767980698	1571	62	PSMD1 PSMB5 PSMD3 MAD2L1 UBE2E1 ANAPC2 BUB3 PSMC3 PSMB4 PSMC5 ANAPC10 PSMD14 PSMD4 PSMA5 PSMC6 PSMB3 PSMD13
"reactome_APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	0.187741813720864	0.61924998239993	0.303540026548935	1.18780408861026	11936	62	PSMD1 PSMB5 PSMD3 UBE2E1 ANAPC2 PSMC3 PSMB4 PSMC5 ANAPC10 PSMD14 PSMD4 PSMA5 PSMC6 PSMB3 PSMD13
"reactome_APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	0.0181267929762618	0.23347608969838	0.385071166310687	1.50223279757373	1149	61	PSMD1 PSMB5 PSMD3 MAD2L1 UBE2E1 ANAPC2 BUB3 PSMC3 PSMB4 PSMC5 ANAPC10 PSMD14 PSMD4 PSMA5 PSMC6 PSMB3 PSMD13
"reactome_ATF4 activates genes"	0.105704526046114	0.489570590914916	0.447763680515841	1.35503452395211	6188	20	HERPUD1 EXOSC1 PARN EXOSC9 EXOSC6 EXOSC4 NFYB EXOSC7
"reactome_AUF1 (hnRNP D0) binds and destabilizes mRNA"	0.17281712287007	0.602894418552676	0.323358659532837	1.21133127036616	10770	50	PSMD1 PSMB5 PSMD3 PSMC3 PSMB4 PSMC5 PSMD14 PSMD4 PSMA5 PSMC6 PSMB3 PSMD13
"reactome_AURKA Activation by TPX2"	0.837161640627079	0.948195070434087	-0.19807692441688	-0.801316402789622	31452	51	HSP90AA1 SFI1 HAUS5 CEP192 CSNK1D HAUS3 TUBA4A MAPRE1 DCTN3 PPP2R1A CEP78 DCTN1 TUBA1A FGFR1OP HAUS1 NEDD1 CEP164
"reactome_Abortive elongation of HIV-1 transcript in the absence of Tat"	0.830050771799503	0.946677005378357	0.241403931481738	0.748256230278977	48718	22	SUPT4H1 POLR2L NCBP1 NELFB
"reactome_Activated NOTCH1 Transmits Signal to the Nucleus"	0.898660384172241	0.962006669076318	0.229717825444459	0.675679065966673	52257	18	APH1B PSEN1 ARRB2 MIB2
"reactome_Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3"	0.570974576271186	0.855227176471546	0.327991918106412	0.917648388216439	32878	15	HIST1H2BC H2AFZ KDM1A HIST1H2BN HIST1H2BK HIST1H2AC PKN1
"reactome_Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins"	0.0247239784844767	0.268287173189413	0.37557181237388	1.4696767980698	1571	62	PSMD1 PSMB5 PSMD3 MAD2L1 UBE2E1 ANAPC2 BUB3 PSMC3 PSMB4 PSMC5 ANAPC10 PSMD14 PSMD4 PSMA5 PSMC6 PSMB3 PSMD13
