pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"reactome_ABC transporter disorders"	8.85504294695829e-05	0.0052519419811645	-0.591904893468641	-2.69681372548442	0	55	UBC PSMD13 PSMA4 PSME1 PSMD8 PSMB9 PSMD14 PSMD10 PSMF1 PSME4 PSME2 PSMD7 PSMC3 PSMB6 PSMD9 RNF5 PSMB10 ERLIN2 PSMB7 PSMA3 PSMB1 PSMD6 PSMC4 PSMB3 PSMA1 UBB DERL1 DERL2 PSMA5 PSME3 PSMD11 ERLIN1 PSMA7 PSMB8
"reactome_ABC-family proteins mediated transport"	0.000126230749810654	0.00529245509571986	-0.404725087172322	-1.97855180913251	0	78	UBC PSMD13 PSMA4 PSME1 PSMD8 PSMB9 ABCG1 PSMD14 PSMD10 PSMF1 PSME4 PSME2 PSMD7 ABCC4 PSMC3 PSMB6 ABCF1 PSMD9 RNF5 PSMB10 ERLIN2 PSMB7 PSMA3 PSMB1 PSMD6 PSMC4 PSMB3 EIF2S1 PSMA1 UBB DERL1 DERL2 PSMA5 PSME3 PSMD11 ERLIN1 PSMA7 PSMB8
"reactome_APC-Cdc20 mediated degradation of Nek2A"	0.632364421178307	1	-0.251528865634426	-0.88600777484991	13770	20	UBC ANAPC10 UBE2E1
"reactome_APC/C-mediated degradation of cell cycle proteins"	0.000112359550561798	0.00528337841160561	-0.425310316913134	-2.03596975070785	0	70	UBC PSMD13 PSMA4 PSME1 PSMD8 PSMB9 PSMD14 PSMD10 PSMF1 PSME4 PSME2 ANAPC10 PSMD7 SKP1 PSMC3 UBE2E1 PSMB6 PSMD9 PSMB10 PSMB7 PSMA3 PSMB1 PSMD6 PSMC4 PSMB3 PSMA1 UBB ANAPC7 ANAPC11 PSMA5 PTTG1 PSME3 ANAPC15 PSMD11 PSMA7 BTRC PSMB8
"reactome_APC/C:Cdc20 mediated degradation of Cyclin B"	0.508286807051479	1	-0.280168559820696	-0.956497144015647	11561	18	UBC ANAPC10 UBE2E1
"reactome_APC/C:Cdc20 mediated degradation of Securin"	9.53016296578672e-05	0.0052519419811645	-0.51339229041503	-2.38425448803409	0	60	UBC PSMD13 PSMA4 PSME1 PSMD8 PSMB9 PSMD14 PSMD10 PSMF1 PSME4 PSME2 ANAPC10 PSMD7 PSMC3 UBE2E1 PSMB6 PSMD9 PSMB10 PSMB7 PSMA3 PSMB1 PSMD6 PSMC4 PSMB3 PSMA1 UBB ANAPC7 ANAPC11 PSMA5 PTTG1 PSME3 ANAPC15 PSMD11 PSMA7 PSMB8
"reactome_APC/C:Cdc20 mediated degradation of mitotic proteins"	9.92950054612253e-05	0.0052519419811645	-0.494612335075474	-2.31010978154042	0	62	UBC PSMD13 PSMA4 PSME1 PSMD8 PSMB9 PSMD14 PSMD10 PSMF1 PSME4 PSME2 ANAPC10 PSMD7 PSMC3 UBE2E1 PSMB6 PSMD9 PSMB10 PSMB7 PSMA3 PSMB1 PSMD6 PSMC4 PSMB3 PSMA1 UBB ANAPC7 ANAPC11 PSMA5 PTTG1 PSME3 ANAPC15 PSMD11 PSMA7 PSMB8
"reactome_APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	9.92950054612253e-05	0.0052519419811645	-0.509151431624006	-2.37801530424922	0	62	UBC PSMD13 PSMA4 PSME1 PSMD8 PSMB9 PSMD14 PSMD10 PSMF1 PSME4 PSME2 ANAPC10 PSMD7 PSMC3 UBE2E1 PSMB6 PSMD9 PSMB10 PSMB7 PSMA3 PSMB1 PSMD6 PSMC4 PSMB3 PSMA1 UBB ANAPC7 ANAPC11 PSMA5 PTTG1 PSME3 ANAPC15 PSMD11 PSMA7 PSMB8
"reactome_APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	9.72857281836755e-05	0.0052519419811645	-0.49215917311955	-2.29309574985721	0	61	UBC PSMD13 PSMA4 PSME1 PSMD8 PSMB9 PSMD14 PSMD10 PSMF1 PSME4 PSME2 ANAPC10 PSMD7 PSMC3 UBE2E1 PSMB6 PSMD9 PSMB10 PSMB7 PSMA3 PSMB1 PSMD6 PSMC4 PSMB3 PSMA1 UBB ANAPC7 ANAPC11 PSMA5 PSME3 ANAPC15 PSMD11 PSMA7 PSMB8
"reactome_ATF4 activates genes"	0.95073531266554	1	0.209358852689541	0.60191348499351	75379	22	NFYB PARN DCP2 ATF6 HERPUD1 EXOSC3
"reactome_AUF1 (hnRNP D0) binds and destabilizes mRNA"	8.16659861167824e-05	0.0052519419811645	-0.603965701645452	-2.69294055661712	0	50	UBC PSMD13 PSMA4 PSME1 PSMD8 PSMB9 PABPC1 PSMD14 PSMD10 PSMF1 PSME4 PSME2 PSMD7 HSPA8 PSMC3 PSMB6 PSMD9 PSMB10 HNRNPD PSMB7 PSMA3 PSMB1 PSMD6 PSMC4 PSMB3 PSMA1 UBB
"reactome_AURKA Activation by TPX2"	0.657853568694456	1	0.258100396146526	0.897444559922504	59292	63	CEP290 CEP70 OFD1 TUBG1 HAUS1 CEP41 SDCCAG8 CEP72 TPX2 CEP63 AKAP9 CNTRL CDK5RAP2 CEP250 CCP110 CEP78 ODF2 PLK4 DCTN1 PRKAR2B CEP76 NDE1 HAUS2 YWHAE HAUS5
"reactome_Abortive elongation of HIV-1 transcript in the absence of Tat"	0.985614983587565	1	-0.1565853159978	-0.567900921249457	20417	22	SUPT5H POLR2H NELFA POLR2J
"reactome_Activated NOTCH1 Transmits Signal to the Nucleus"	0.187383376015031	0.69796754793031	0.447768468380132	1.24547126537937	14560	19	DTX2 APH1B NUMB MIB2 NEURL1 MIB1
"reactome_Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3"	0.272902603664417	0.814920878433799	-0.31864804279328	-1.12243436809311	5942	20	H2AFJ HIST1H2AC HIST2H2BE H3F3A H2AFZ
"reactome_Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins"	9.92950054612253e-05	0.0052519419811645	-0.494612335075474	-2.31010978154042	0	62	UBC PSMD13 PSMA4 PSME1 PSMD8 PSMB9 PSMD14 PSMD10 PSMF1 PSME4 PSME2 ANAPC10 PSMD7 PSMC3 UBE2E1 PSMB6 PSMD9 PSMB10 PSMB7 PSMA3 PSMB1 PSMD6 PSMC4 PSMB3 PSMA1 UBB ANAPC7 ANAPC11 PSMA5 PTTG1 PSME3 ANAPC15 PSMD11 PSMA7 PSMB8
"reactome_Activation of ATR in response to replication stress"	0.362889963577006	0.900098472625114	0.355412543697138	1.08273475312985	29789	29	CDK2 MCM2 ORC4 MCM7 RPA2 RFC2 CHEK1 MCM4 ATRIP MCM5 RPA1 MCM3 RAD17 ORC3 ORC6 RAD1 RFC3
"reactome_Activation of BH3-only proteins"	0.6251763757307	1	-0.241376673059771	-0.896088398394891	12405	24	YWHAZ YWHAB
"reactome_Activation of E2F1 target genes at G1/S"	0.301078410202345	0.842921477423177	0.399270065036405	1.13590248950623	23702	21	POLA1 DHFR RBBP4 TFDP2 E2F6 LIN52 E2F4 LIN37 FBXO5 LIN9 CDT1 RRM2 RBL2 TFDP1 CCNE1 TYMS RBL1
"reactome_Activation of HOX genes during differentiation"	0.0944644420663489	0.503272319168532	-0.265996916366924	-1.2393478201979	970	61	CTCF H2AFJ HIST1H2AC PAXIP1 RARG HOXB2 HIST2H2BE H3F3A H2AFZ RBBP5 RARA POLR2H POLR2J PAGR1
"reactome_Activation of NF-kappaB in B cells"	9.92950054612253e-05	0.0052519419811645	-0.574728418425092	-2.68429565334327	0	62	UBC PSMD13 PSMA4 PSME1 REL PSMD8 RELA PSMB9 NFKBIE PSMD14 PSMD10 PSMF1 PSME4 PSME2 PSMD7 SKP1 PSMC3 PSMB6 PSMD9 PSMB10 PRKCB PSMB7 PSMA3 PSMB1 PSMD6 PSMC4 PSMB3 PSMA1 UBB MAP3K7 PSMA5 PSME3 PSMD11 PSMA7 BTRC PSMB8
"reactome_Activation of NMDA receptors and postsynaptic events"	0.761574784559084	1	0.253786118031053	0.810464587645503	64512	37	CAMKK1 PRKAB2 CAMK2D PRKAR1B
"reactome_Activation of anterior HOX genes in hindbrain development during early embryogenesis"	0.0944644420663489	0.503272319168532	-0.265996916366924	-1.2393478201979	970	61	CTCF H2AFJ HIST1H2AC PAXIP1 RARG HOXB2 HIST2H2BE H3F3A H2AFZ RBBP5 RARA POLR2H POLR2J PAGR1
"reactome_Activation of gene expression by SREBF (SREBP)"	0.729454787234043	1	-0.206376076585669	-0.864175039103609	10970	38	SREBF2 IDI1 FASN NFYC HMGCS1 DHCR7 NFYA HMGCR TGS1
