pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"reactome_ABC transporter disorders"	3.1164298180005e-05	0.00150751602473198	-0.536834066882008	-2.23889059760017	0	55	PSME1 PSMB9 UBC PSMC2 PSMA4 PSME2 PSMD14 PSMB10 PSMB1 PSMB6 PSMC4 ERLIN2 PSMF1 RNF5 PSMC1 PSMB7 PSMA7 PSMB3 UBB PSMD6 DERL2 OS9 RNF185 PSMD7 PSMD10 PSMB2 PSME4 PSMD13 PSMB5 PSMD11 PSMD8 PSMA6 PSMD2 PSMB8 SEL1L
"reactome_ABC-family proteins mediated transport"	3.36326640433189e-05	0.00150751602473198	-0.482400041322033	-2.13484888477906	0	74	PSME1 ABCG1 PSMB9 UBC PSMC2 PSMA4 ABCC4 PSME2 PSMD14 ABCD1 ABCB9 PSMB10 PSMB1 PSMB6 PSMC4 ERLIN2 PSMF1 RNF5 PSMC1 PSMB7 PSMA7 PSMB3 UBB PSMD6 DERL2 OS9 RNF185 PSMD7 PSMD10 ABCF1 PSMB2 PSME4 PSMD13 PSMB5 ABCB8 EIF2S1 PSMD11 PSMD8 ABCD2 PSMA6
"reactome_APC-Cdc20 mediated degradation of Nek2A"	0.349088898251527	0.721218403764511	-0.329748779656267	-1.07195891029875	13256	20	UBC ANAPC7 UBE2D1 UBB CDC23 CDC26 BUB3
"reactome_APC/C-mediated degradation of cell cycle proteins"	9.91833900882732e-05	0.00248391722170145	-0.453380412350099	-1.9793880093892	2	69	PSME1 PSMB9 UBC PSMC2 PSMA4 ANAPC7 PSME2 PSMD14 PSMB10 PSMB1 PSMB6 PSMC4 PSMF1 PTTG1 PSMC1 PSMB7 PSMA7 PSMB3 UBE2D1 UBB PSMD6 PSMD7 CDC23 PSMD10 PSMB2 PSME4 PSMD13 PSMB5 CDC26 PSMD11 BUB3 PSMD8 PSMA6 FZR1 PSMD2 PSMB8 ANAPC4
"reactome_APC/C:Cdc20 mediated degradation of Cyclin B"	0.36151778491088	0.729885034990903	-0.336629587988033	-1.0610586674767	13852	18	UBC ANAPC7 UBE2D1 UBB CDC23 CDC26
"reactome_APC/C:Cdc20 mediated degradation of Securin"	3.18522057652493e-05	0.00150751602473198	-0.501243389272479	-2.1288649186719	0	60	PSME1 PSMB9 UBC PSMC2 PSMA4 ANAPC7 PSME2 PSMD14 PSMB10 PSMB1 PSMB6 PSMC4 PSMF1 PTTG1 PSMC1 PSMB7 PSMA7 PSMB3 UBE2D1 UBB PSMD6 PSMD7 CDC23 PSMD10 PSMB2 PSME4 PSMD13 PSMB5 CDC26 PSMD11 PSMD8 PSMA6
"reactome_APC/C:Cdc20 mediated degradation of mitotic proteins"	3.22227234645872e-05	0.00150751602473198	-0.502160826712526	-2.14586508829611	0	62	PSME1 PSMB9 UBC PSMC2 PSMA4 ANAPC7 PSME2 PSMD14 PSMB10 PSMB1 PSMB6 PSMC4 PSMF1 PTTG1 PSMC1 PSMB7 PSMA7 PSMB3 UBE2D1 UBB PSMD6 PSMD7 CDC23 PSMD10 PSMB2 PSME4 PSMD13 PSMB5 CDC26 PSMD11 BUB3 PSMD8 PSMA6
"reactome_APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	3.22227234645872e-05	0.00150751602473198	-0.497614104206771	-2.12643574898435	0	62	PSME1 PSMB9 UBC PSMC2 PSMA4 ANAPC7 PSME2 PSMD14 PSMB10 PSMB1 PSMB6 PSMC4 PSMF1 PTTG1 PSMC1 PSMB7 PSMA7 PSMB3 UBE2D1 UBB PSMD6 PSMD7 CDC23 PSMD10 PSMB2 PSME4 PSMD13 PSMB5 CDC26 PSMD11 PSMD8 PSMA6 FZR1 PSMD2 PSMB8 ANAPC4
"reactome_APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	3.20163923929052e-05	0.00150751602473198	-0.496257191106028	-2.1140309639333	0	61	PSME1 PSMB9 UBC PSMC2 PSMA4 ANAPC7 PSME2 PSMD14 PSMB10 PSMB1 PSMB6 PSMC4 PSMF1 PSMC1 PSMB7 PSMA7 PSMB3 UBE2D1 UBB PSMD6 PSMD7 CDC23 PSMD10 PSMB2 PSME4 PSMD13 PSMB5 CDC26 PSMD11 BUB3 PSMD8 PSMA6
"reactome_ATF4 activates genes"	0.855220632939746	0.96624419774581	0.237210816546134	0.725002736864267	53452	22	EXOSC3 KHSRP ATF6 DIS3
