pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"reactome_ABC transporter disorders"	0.983824302998422	0.999661240874676	0.17001203399658	0.564004747056675	52366	27	PSMD6 PSMA7 PSME2 PSMD4 PSMA4 RPS27A PSMF1 UBB
"reactome_ABC-family proteins mediated transport"	0.796387029210457	0.999661240874676	0.230138854645687	0.789535392979043	42585	31	PSMD6 ABCF1 PSMA7 PSME2 EIF2S3 PSMD4 PSMA4
"reactome_APC/C-mediated degradation of cell cycle proteins"	0.897207850515244	0.999661240874676	-0.209332126739613	-0.708631246656855	41965	27	ANAPC5 PSMD2 UBC PSMC6 PSMB10 ANAPC16 PSMB9 BUB3
"reactome_APC/C:Cdc20 mediated degradation of Securin"	0.8212087536331	0.999661240874676	-0.231369058453941	-0.767927037198492	38425	25	ANAPC5 PSMD2 UBC PSMC6 PSMB10 ANAPC16
"reactome_APC/C:Cdc20 mediated degradation of mitotic proteins"	0.855065956855451	0.999661240874676	-0.221951568036424	-0.743924835296107	39993	26	ANAPC5 PSMD2 UBC PSMC6 PSMB10 ANAPC16 PSMB9 BUB3
"reactome_APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	0.8212087536331	0.999661240874676	-0.231369058453941	-0.767927037198492	38425	25	ANAPC5 PSMD2 UBC PSMC6 PSMB10 ANAPC16
"reactome_APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	0.855065956855451	0.999661240874676	-0.221951568036424	-0.743924835296107	39993	26	ANAPC5 PSMD2 UBC PSMC6 PSMB10 ANAPC16 PSMB9 BUB3
"reactome_AUF1 (hnRNP D0) binds and destabilizes mRNA"	0.741620951378974	0.999661240874676	0.24728073336628	0.820339032453686	39474	27	HNRNPD PSMD6 PSMA7 PSME2 PSMD4 PSMA4 RPS27A PSMF1 UBB
"reactome_Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins"	0.855065956855451	0.999661240874676	-0.221951568036424	-0.743924835296107	39993	26	ANAPC5 PSMD2 UBC PSMC6 PSMB10 ANAPC16 PSMB9 BUB3
"reactome_Activation of HOX genes during differentiation"	0.214085642744982	0.922580400639656	-0.403850895249192	-1.20951129786621	10088	17	POLR2C POLR2K HIST2H2AC KMT2C JUN RBBP7 RBBP4
