pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"reactome_ABC transporter disorders"	0.185975188572376	0.786635794838564	-0.283326976042741	-1.17457696280414	6730	55	PSME1 PSMB9 PSMC6 UBC PSMD6 PSME2 PSMB6 PSMB5 PSMB7 PSMD10 PSMC5 PSMB8 PSMC2 PSMB1 PSMC3 PSMD14 DERL1 PSMA6 PSMC1 PSME4 ERLEC1
"reactome_ABC-family proteins mediated transport"	0.396087456846951	0.920083540746348	-0.234352027999315	-1.02500518223294	13767	71	PSME1 PSMB9 PSMC6 ABCC4 UBC PSMD6 PSME2 PSMB6 ABCA7 PSMB5 PSMB7 PSMD10 PSMC5 PSMB8 PSMC2 PSMB1 ABCD3 PSMC3 PSMD14 DERL1 ABCC1 PSMA6 PSMC1 PSME4
"reactome_APC-Cdc20 mediated degradation of Nek2A"	0.64695002969373	0.98974327115093	0.287181275983272	0.872030639107931	38127	20	UBA52 RPS27A UBE2E1 UBB ANAPC4 ANAPC16 ANAPC2 ANAPC5 MAD2L1
"reactome_APC/C-mediated degradation of cell cycle proteins"	0.183951530321993	0.78535423788946	-0.269611880877947	-1.16612202089657	6466	67	PSME1 PSMB9 PSMC6 UBC ANAPC10 PSMD6 PSME2 PSMB6 PSMB5 CDC16 PSMB7 PSMD10 PSMC5 PSMB8 ANAPC7 PSMC2 PSMB1 PSMC3 PSMD14 UBE2D1 PSMA6 PSMC1 PSME4
"reactome_APC/C:Cdc20 mediated degradation of Cyclin B"	0.679927512693827	0.996720280055075	0.286719065536715	0.846831380929404	39770	18	UBA52 RPS27A UBE2E1 UBB ANAPC4 ANAPC16 ANAPC2 ANAPC5
"reactome_APC/C:Cdc20 mediated degradation of Securin"	0.0801172856743926	0.578111152237384	-0.308475773614149	-1.30258296843281	2868	60	PSME1 PSMB9 PSMC6 UBC ANAPC10 PSMD6 PSME2 PSMB6 PSMB5 CDC16 PSMB7 PSMD10 PSMC5 PSMB8 ANAPC7 PSMC2 PSMB1 PSMC3 PSMD14 UBE2D1 PSMA6 PSMC1 PSME4
"reactome_APC/C:Cdc20 mediated degradation of mitotic proteins"	0.0943719779601934	0.613993295631258	-0.299288127529384	-1.27249906458245	3356	62	PSME1 PSMB9 PSMC6 UBC ANAPC10 PSMD6 PSME2 PSMB6 PSMB5 CDC16 PSMB7 PSMD10 PSMC5 PSMB8 ANAPC7 PSMC2 PSMB1 PSMC3 PSMD14 UBE2D1 PSMA6 PSMC1 PSME4
"reactome_APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	0.119624597282533	0.67115812869715	-0.292973074417598	-1.24144518475616	4269	61	PSME1 PSMB9 PSMC6 UBC ANAPC10 PSMD6 PSME2 PSMB6 PSMB5 CDC16 PSMB7 PSMD10 PSMC5 PSMB8 ANAPC7 PSMC2 PSMB1 PSMC3 PSMD14 UBE2D1 PSMA6 PSMC1 PSME4
"reactome_APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	0.0765653452864547	0.566983691984896	-0.308264128536265	-1.30623955380594	2732	61	PSME1 PSMB9 PSMC6 UBC ANAPC10 PSMD6 PSME2 PSMB6 PSMB5 CDC16 PSMB7 PSMD10 PSMC5 PSMB8 ANAPC7 PSMC2 PSMB1 PSMC3 PSMD14 UBE2D1 PSMA6 PSMC1 PSME4
"reactome_ATF4 activates genes"	0.0650376675472067	0.533809163637458	-0.438880467960395	-1.43714110229651	2658	21	ATF3 EXOSC7 NFYA EXOSC5 DCP2 EXOSC1
"reactome_AUF1 (hnRNP D0) binds and destabilizes mRNA"	0.103441724119212	0.627052431887524	-0.31542764376188	-1.2807975673925	3810	50	PSME1 PSMB9 PSMC6 UBC PSMD6 PSME2 PSMB6 PSMB5 PSMB7 PSMD10 PSMC5 PSMB8 PSMC2 PSMB1 PSMC3 PSMD14 PSMA6 PSMC1 PSME4 HSPB1
"reactome_AURKA Activation by TPX2"	0.567691086724501	0.978107573055107	-0.229484176937489	-0.939380504937186	20743	52	NEDD1 HAUS8 CDK5RAP2 CSNK1D TUBA4A CEP57 HAUS4 CEP164 HAUS3 MAPRE1 DYNLL1 HSP90AA1 HAUS2 TUBA1A CEP250 HAUS5
"reactome_Abortive elongation of HIV-1 transcript in the absence of Tat"	0.822717674213033	0.999845316173741	-0.229873547605395	-0.762081386377639	33505	22	GTF2F2 NELFA POLR2B POLR2F POLR2A POLR2H SUPT5H NELFE
"reactome_Activated NOTCH1 Transmits Signal to the Nucleus"	0.272271895782401	0.858914665173259	0.391039193595086	1.15494328809203	15925	18	APH1B UBA52 RPS27A MIB2 UBB
"reactome_Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3"	0.442680985530661	0.920083540746348	-0.336540113670518	-1.00154267597436	18631	15	HIST1H2AC PKN1 H2AFZ HIST1H2BK H3F3A KDM1A
"reactome_Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins"	0.0943719779601934	0.613993295631258	-0.299288127529384	-1.27249906458245	3356	62	PSME1 PSMB9 PSMC6 UBC ANAPC10 PSMD6 PSME2 PSMB6 PSMB5 CDC16 PSMB7 PSMD10 PSMC5 PSMB8 ANAPC7 PSMC2 PSMB1 PSMC3 PSMD14 UBE2D1 PSMA6 PSMC1 PSME4
"reactome_Activation of ATR in response to replication stress"	0.672200092318739	0.996567290795613	0.288507676401689	0.852114084421396	39318	18	MCM7 RFC4 RPA3 MCM5 HUS1 RAD1 ORC4 ORC3 ORC2 MCM3 RPA2
"reactome_Activation of BH3-only proteins"	0.803881700554529	0.999845316173741	0.243756106896734	0.767280759032343	47838	23	YWHAG YWHAE BAD PPP3R1 BCL2 AKT3 TFDP1
"reactome_Activation of HOX genes during differentiation"	0.846283544224012	0.999845316173741	0.205164971431863	0.774980542955472	53705	52	KDM6A ASH2L POLR2I NCOA6 POLR2L WDR5 H2AFX KMT2C POLR2J NCOA3 HIST1H2BN H2AFV CREBBP KMT2D EZH2 SUZ12
"reactome_Activation of NF-kappaB in B cells"	0.0283368941864388	0.358523313402334	-0.338113022515972	-1.43757291151644	1007	62	PSME1 PSMB9 PSMC6 UBC PSMD6 PSME2 PSMB6 IKBKB PSMB5 NFKBIE PSMB7 PSMD10 PSMC5 PSMB8 PSMC2 MAP3K7 MALT1 PSMB1 PSMC3 PSMD14 NFKBIB PSMA6 PSMC1 PSME4 PRKCB IKBKG PSMD13 PSMD3 BTRC PSMD1 NFKB1 CUL1 PSMB10
"reactome_Activation of NMDA receptors and postsynaptic events"	0.9652466367713	0.999845316173741	-0.172968104076343	-0.632490569624022	37883	32	PRKAR2A ARHGEF7 PRKX KPNA2 PRKAB2 RAC1 PRKACB
"reactome_Activation of anterior HOX genes in hindbrain development during early embryogenesis"	0.846283544224012	0.999845316173741	0.205164971431863	0.774980542955472	53705	52	KDM6A ASH2L POLR2I NCOA6 POLR2L WDR5 H2AFX KMT2C POLR2J NCOA3 HIST1H2BN H2AFV CREBBP KMT2D EZH2 SUZ12
"reactome_Activation of gene expression by SREBF (SREBP)"	0.672472773545306	0.996567290795613	0.257790063054335	0.864184273877655	40691	30	CHD9 SREBF1 MTF1 NCOA6 NFYC
