pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"reactome_ABC transporter disorders"	0.228900605350518	0.642340324808284	-0.315040696854283	-1.16261446615365	11721	39	PSMA4 PSMB1 PSME2 PSMB10 PSME1 PSMD2 PSMB4 VCP
"reactome_ABC-family proteins mediated transport"	0.342811420542144	0.731607341067299	-0.283475794616339	-1.06893252989999	17565	43	PSMA4 PSMB1 PSME2 PSMB10 PSME1 PSMD2 PSMB4 VCP
"reactome_APC/C-mediated degradation of cell cycle proteins"	0.173867249214925	0.605628969506158	-0.323479418422379	-1.21426903625019	8913	42	PSMA4 PSMB1 PSME2 ANAPC16 PSMB10 PSME1 PSMD2 PSMB4
"reactome_APC/C:Cdc20 mediated degradation of Securin"	0.166608084358524	0.605628969506158	-0.332304893311145	-1.22632561442016	8531	39	PSMA4 PSMB1 PSME2 ANAPC16 PSMB10 PSME1 PSMD2 PSMB4
"reactome_APC/C:Cdc20 mediated degradation of mitotic proteins"	0.159918711896201	0.605628969506158	-0.332134786346562	-1.23263833697939	8183	40	PSMA4 PSMB1 PSME2 ANAPC16 PSMB10 PSME1 PSMD2 PSMB4
"reactome_APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	0.166608084358524	0.605628969506158	-0.332304893311145	-1.22632561442016	8531	39	PSMA4 PSMB1 PSME2 ANAPC16 PSMB10 PSME1 PSMD2 PSMB4
"reactome_APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	0.159918711896201	0.605628969506158	-0.332134786346562	-1.23263833697939	8183	40	PSMA4 PSMB1 PSME2 ANAPC16 PSMB10 PSME1 PSMD2 PSMB4
"reactome_AUF1 (hnRNP D0) binds and destabilizes mRNA"	0.347702047834923	0.733180135913593	-0.287187847228291	-1.06582858815275	17793	40	PSMA4 PSMB1 PSME2 PSMB10 PSME1 PSMD2 PSMB4
"reactome_AURKA Activation by TPX2"	0.751071021499037	0.950330824430127	-0.249862488608737	-0.809697269868385	38218	23	TUBB CEP57 MAPRE1 CNTRL PPP2R1A
"reactome_Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins"	0.159918711896201	0.605628969506158	-0.332134786346562	-1.23263833697939	8183	40	PSMA4 PSMB1 PSME2 ANAPC16 PSMB10 PSME1 PSMD2 PSMB4
