pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"reactome_ABC transporter disorders"	0.93998294970162	0.995801414648272	-0.181912031673766	-0.70282570452291	55129	56	UBC PSME1 PSMB9 PSME2 UBB DERL1 PSMA4 PSMB10 PSMC1 PSMC3 PSMF1
"reactome_ABC-family proteins mediated transport"	0.837212792209958	0.954979297508034	-0.196553303635947	-0.804714628325341	50210	76	UBC ABCC3 PSME1 PSMB9 PSME2 ABCC4 ABCG1 UBB DERL1 ABCF1 PSMA4 PSMB10 ABCC1 PSMC1 PSMC3 PSMF1 ABCD1 ABCA7
"reactome_ADP signalling through P2Y purinoceptor 1"	0.264332026814169	0.550254767603824	-0.406782632787352	-1.16470945223191	14431	16	GNG7 SRC GNGT2 GNA15
"reactome_APC-Cdc20 mediated degradation of Nek2A"	0.8025054611921	0.935955643223101	0.245447649465861	0.766634288122278	36001	19	ANAPC16 ANAPC15 UBA52 ANAPC5 RPS27A ANAPC2
"reactome_APC/C-mediated degradation of cell cycle proteins"	0.959722525488352	0.999706045560759	-0.172672268246531	-0.694408175600016	57138	69	UBC PSME1 PSMB9 CUL1 PSME2 FZR1 UBB PSMA4 PSMB10 PSMC1 PSMC3 PSMF1 AURKA UBE2E1 PSMB8 CDC27 UBE2D1 PSMC4 PSMD8 PSMC2 CDK2
"reactome_APC/C:Cdc20 mediated degradation of Cyclin B"	0.788042151968941	0.928884835885425	0.251725038492323	0.774483542168537	35520	18	ANAPC16 ANAPC15 UBA52 ANAPC5 RPS27A ANAPC2
"reactome_APC/C:Cdc20 mediated degradation of Securin"	0.989996778623625	0.999968617605523	-0.154732221725244	-0.6057439688995	58390	60	UBC PSME1 PSMB9 PSME2
"reactome_APC/C:Cdc20 mediated degradation of mitotic proteins"	0.991136945211747	0.999968617605523	-0.153708138125379	-0.603800584391813	58485	61	UBC PSME1 PSMB9 PSME2
"reactome_APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	0.963173571621988	0.999968617605523	-0.17259059883632	-0.681927659707169	56911	63	UBC PSME1 PSMB9 PSME2 FZR1 UBB PSMA4 PSMB10 PSMC1 PSMC3 PSMF1 AURKA UBE2E1 PSMB8 CDC27 UBE2D1
"reactome_APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	0.988793001135959	0.999968617605523	-0.156370393846594	-0.61215706677571	58319	60	UBC PSME1 PSMB9 PSME2
"reactome_ATF4 activates genes"	0.542076935539035	0.786551649452329	-0.298841533895109	-0.942006339654657	30113	23	ATF3 CCL2 EXOSC2 KHSRP EXOSC9
"reactome_AUF1 (hnRNP D0) binds and destabilizes mRNA"	0.668947142243232	0.865097282900997	-0.233710207639928	-0.881968665574649	38915	50	UBC PSME1 PSMB9 PSME2 HSPB1 UBB PSMA4 PSMB10 PSMC1 PSMC3 PSMF1
"reactome_AURKA Activation by TPX2"	0.709906580085112	0.892825758809898	-0.220989334264869	-0.865126571114317	41870	60	HAUS8 TUBA1A CETN2 CDK5RAP2 NEDD1 SFI1 CEP76 CEP135 TUBB CEP164 NDE1 HAUS5 CEP290 TUBB4B MAPRE1 ODF2 PCNT CENPJ OFD1 AURKA DCTN3 CEP57 ALMS1 PAFAH1B1 HSP90AA1 CEP152 CEP250 CEP192
"reactome_Abortive elongation of HIV-1 transcript in the absence of Tat"	0.927592919715923	0.991210403577842	-0.209670935715529	-0.653359917435939	51460	22	SUPT4H1 POLR2D GTF2F1 POLR2C NELFE
"reactome_Activated NOTCH1 Transmits Signal to the Nucleus"	0.0564187605897833	0.223917839582143	-0.46856789211147	-1.46011405089755	3129	22	NEURL1 UBC ARRB1 PSENEN UBB NOTCH1 DTX2
"reactome_Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3"	0.248317061209933	0.536739754199948	0.373531876282909	1.16669417974996	11139	19	HIST1H2BH H2AFJ HIST2H2AC HIST1H2BN HIST1H2BD HIST1H2BK H2AFV
"reactome_Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins"	0.991136945211747	0.999968617605523	-0.153708138125379	-0.603800584391813	58485	61	UBC PSME1 PSMB9 PSME2
"reactome_Activation of ATR in response to replication stress"	0.855947265405296	0.962559561809704	0.224448377686458	0.737444564823743	38045	23	ORC2 RPA2 ORC5 MCM4 RPA1 ORC4
"reactome_Activation of BH3-only proteins"	0.0765491884135952	0.27069128271527	-0.439932414897641	-1.40147103339629	4267	24	YWHAZ BID YWHAQ AKT3 PMAIP1 BCL2L11 BCL2 MAPK8
"reactome_Activation of E2F1 target genes at G1/S"	0.131198211232408	0.379655488789321	0.456373751725074	1.33033046491596	5984	15	DHFR RBL1 LIN37 TFDP2 RBL2 RBBP4 TFDP1 E2F4 PCNA POLA1 HDAC1
"reactome_Activation of HOX genes during differentiation"	0.824382633285391	0.950388465142312	0.197141638669544	0.813972169354117	33816	60	WDR5 POLR2L KDM6A HIST1H2BH H2AFJ HIST2H2AC HIST1H2BN POLR2G ASH2L HIST1H2BD HIST1H2BK PIAS2 CREBBP SUZ12 H2AFV PAXIP1 NCOA6 CNOT6 NCOA3 EED RBBP4
"reactome_Activation of IRF3/IRF7 mediated by TBK1/IKK epsilon"	0.0333895014469394	0.161136551514925	-0.545663224079661	-1.56235557665303	1822	16	UBC LY96 TRAF3 IRF7 TICAM2 UBB
"reactome_Activation of NF-kappaB in B cells"	0.121405209374841	0.361279221892772	-0.320761128269989	-1.26002278774346	7163	61	UBC MALT1 PSME1 PSMB9 CUL1 REL PSME2 NFKBIA RELA NFKBIE UBB PSMA4 PSMB10 PSMC1 PSMC3 IKBKG PSMF1
"reactome_Activation of NMDA receptors and postsynaptic events"	0.293281045751634	0.581348206245461	-0.31081419101408	-1.11209978213237	16826	39	CAMK1 SRC CAMK2D MAPK3 NRG1 CAMKK2 PPM1F CALM1 NRAS CREB1
"reactome_Activation of anterior HOX genes in hindbrain development during early embryogenesis"	0.824382633285391	0.950388465142312	0.197141638669544	0.813972169354117	33816	60	WDR5 POLR2L KDM6A HIST1H2BH H2AFJ HIST2H2AC HIST1H2BN POLR2G ASH2L HIST1H2BD HIST1H2BK PIAS2 CREBBP SUZ12 H2AFV PAXIP1 NCOA6 CNOT6 NCOA3 EED RBBP4
"reactome_Activation of gene expression by SREBF (SREBP)"	0.198187363834423	0.482768184034348	-0.334729798655833	-1.19767033462607	11370	39	HELZ2 CYP51A1 IDI1 SCD SREBF2 PMVK HMGCR HMGCS1 LSS RXRA MED1 CARM1
