pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"reactome_ABC transporter disorders"	0.0407257218765294	0.463314977112987	0.366260218608899	1.42671336643543	2329	53	PSMA7 PSMB4 PSMA6 PSMB3 PSMC5 ERLEC1 PSMA5 PSME4 PSMB7 PSMB6 PSMD7 OS9 SEL1L PSMD5 UBA52 UBB PSMB5 PSMB8 PSMD8 RNF5 PSME1 PSMB10 PSMC3 VCP
"reactome_ABC-family proteins mediated transport"	0.0766431579129772	0.604772937179395	0.325234861945065	1.32046135349708	4422	65	PSMA7 PSMB4 PSMA6 PSMB3 ABCF1 ABCC10 ABCC1 PSMC5 ERLEC1 PSMA5 PSME4 PSMB7 PSMB6 PSMD7 OS9 SEL1L PSMD5 EIF2S1 UBA52 UBB PSMB5 PSMB8 PSMD8 RNF5 PSME1 PSMB10 PSMC3 VCP
"reactome_APC-Cdc20 mediated degradation of Nek2A"	0.45242700729927	0.891529074744511	0.33946546635194	1.00284738582725	24792	17	UBE2D1 ANAPC2 ANAPC16 ANAPC11 ANAPC4 UBA52 UBB
"reactome_APC/C-mediated degradation of cell cycle proteins"	0.0557288417550426	0.526537526609752	0.339078581182455	1.36876649935876	3215	63	PSMA7 PSMB4 PSMA6 PSMB3 UBE2D1 PSMC5 ANAPC2 PSMA5 PTTG1 PSME4 PSMB7 PSMB6 PSMD7 ANAPC16 PSMD5 ANAPC11 ANAPC4 UBA52 UBB PSMB5 PSMB8 PSMD8 PSME1 PSMB10 PSMC3
"reactome_APC/C:Cdc20 mediated degradation of Cyclin B"	0.450004572473708	0.891529074744511	0.345768889082606	1.00397457611093	24603	16	UBE2D1 ANAPC2 ANAPC16 ANAPC11 ANAPC4 UBA52 UBB
"reactome_APC/C:Cdc20 mediated degradation of Securin"	0.0271627680650655	0.436832186902096	0.368855246763656	1.46484043970323	1562	58	PSMA7 PSMB4 PSMA6 PSMB3 UBE2D1 PSMC5 ANAPC2 PSMA5 PTTG1 PSME4 PSMB7 PSMB6 PSMD7 ANAPC16 PSMD5 ANAPC11 ANAPC4 UBA52 UBB PSMB5 PSMB8 PSMD8 PSME1 PSMB10 PSMC3
"reactome_APC/C:Cdc20 mediated degradation of mitotic proteins"	0.0268211863083569	0.436832186902096	0.367104242902776	1.4637904630862	1545	59	PSMA7 PSMB4 PSMA6 PSMB3 UBE2D1 PSMC5 ANAPC2 PSMA5 PTTG1 PSME4 PSMB7 PSMB6 PSMD7 ANAPC16 PSMD5 ANAPC11 ANAPC4 UBA52 UBB PSMB5 PSMB8 PSMD8 PSME1 PSMB10 PSMC3
"reactome_APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	0.0314533058066307	0.454513023534977	0.362524942660353	1.44553097371212	1812	59	PSMA7 PSMB4 PSMA6 PSMB3 UBE2D1 PSMC5 ANAPC2 PSMA5 PTTG1 PSME4 PSMB7 PSMB6 PSMD7 ANAPC16 PSMD5 ANAPC11 ANAPC4 UBA52 UBB PSMB5 PSMB8 PSMD8 PSME1 PSMB10 PSMC3
"reactome_APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	0.0400403183761426	0.463314977112987	0.357729942472293	1.42065834991874	2303	58	PSMA7 PSMB4 PSMA6 PSMB3 UBE2D1 PSMC5 ANAPC2 PSMA5 PSME4 PSMB7 PSMB6 PSMD7 ANAPC16 PSMD5 ANAPC11 ANAPC4 UBA52 UBB PSMB5 PSMB8 PSMD8 PSME1 PSMB10 PSMC3
"reactome_ATF4 activates genes"	0.868132670952659	0.986229219022312	0.23562413400819	0.706649455923847	47531	18	ATF4 DDIT3 EXOSC4 EXOSC6 EXOSC7 EXOSC9 EXOSC5 HERPUD1
"reactome_AUF1 (hnRNP D0) binds and destabilizes mRNA"	0.0897875616841074	0.623142862310037	0.342531321997539	1.3183539139157	5130	50	PSMA7 PSMB4 PSMA6 PSMB3 PSMC5 PSMA5 PSME4 PSMB7 PSMB6 PSMD7 PSMD5 UBA52 UBB HSPA1A PSMB5 PSMB8 PSMD8 PSME1 PSMB10 PSMC3
"reactome_AURKA Activation by TPX2"	0.490234464968446	0.898161249657999	-0.256072346083116	-0.977106989598658	21284	40	PAFAH1B1 ODF2 TUBB CEP135 CEP164 TUBA1A CNTRL
"reactome_Abortive elongation of HIV-1 transcript in the absence of Tat"	0.288278487897743	0.804741642198666	0.361914945921356	1.13182036738615	15899	21	NELFE POLR2E POLR2L POLR2F POLR2I POLR2H
"reactome_Activated NOTCH1 Transmits Signal to the Nucleus"	0.699908759124088	0.959303626950538	0.281448141435705	0.831452860044715	38354	17	NCSTN NUMB ITCH PSENEN APH1A UBA52 UBB
"reactome_Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins"	0.0268211863083569	0.436832186902096	0.367104242902776	1.4637904630862	1545	59	PSMA7 PSMB4 PSMA6 PSMB3 UBE2D1 PSMC5 ANAPC2 PSMA5 PTTG1 PSME4 PSMB7 PSMB6 PSMD7 ANAPC16 PSMD5 ANAPC11 ANAPC4 UBA52 UBB PSMB5 PSMB8 PSMD8 PSME1 PSMB10 PSMC3
"reactome_Activation of BH3-only proteins"	0.128554534703903	0.688075101800777	0.42720232920801	1.31815242731144	7065	20	TFDP1 YWHAG YWHAE TP53BP2 AKT2 PPP3CC
"reactome_Activation of HOX genes during differentiation"	0.308296851099742	0.822034378787031	0.291248694783393	1.09571868160766	17534	45	H2AFJ POLR2E MAFB CTCF POLR2L POLR2F POLR2I POLR2H H3F3A KMT2C YY1 RQCD1 JUN NCOA6 EP300 POLR2J HIST1H2BK EGR2 KMT2D SUZ12 ZNF335 WDR5
"reactome_Activation of IRF3/IRF7 mediated by TBK1/IKK epsilon"	0.968278664518963	0.996791095507446	0.197989215662737	0.564773329660231	52898	15	IKBKE TICAM1 TRAF3 UBA52 UBB TICAM2 RPS27A
"reactome_Activation of NF-kappaB in B cells"	0.322565534949081	0.824143890321727	0.270012980818789	1.07985722662575	18592	60	PSMA7 PSMB4 CHUK PSMA6 PSMB3 PSMC5 IKBKG PSMA5 PSME4 PSMB7 PSMB6 PSMD7 PSMD5 UBA52 UBB PSMB5 PSMB8 PSMD8 PSME1 PSMB10 PSMC3 NFKBIE NFKBIA PSMC1 SKP1
"reactome_Activation of NMDA receptors and postsynaptic events"	0.763024608501119	0.969825345609581	0.23650334007624	0.81030237138636	42633	30	RPS6KA3 CAMK2D GIT1 PRKACA PRKAG2 RAC1 NRGN MAPK1 PRKACB
