pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"reactome_ABC transporter disorders"	0.0334634287366291	0.3167844361818	-0.335671357317631	-1.41721453235477	925	55	UBC ERLIN1 PSMB9 DERL1 UBB DERL2 PSMA4 PSME2 PSMC4 PSMB10 PSMD13 PSME1 PSMD5 PSMC1 PSME3 PSMA6 PSMB8 RNF5 PSMD6 PSMD11
"reactome_ABC-family proteins mediated transport"	0.408089283532239	0.851030370138913	-0.226978394741318	-1.01906563334825	10018	75	UBC ERLIN1 PSMB9 DERL1 UBB ABCA5 DERL2 PSMA4 PSME2 PSMC4 PSMB10 PSMD13 PSME1 PSMD5 PSMC1 ABCC10 ABCC5 PSME3 PSMA6 PSMB8 RNF5 PSMD6 PSMD11
"reactome_APC-Cdc20 mediated degradation of Nek2A"	0.793870756622941	0.981110547434725	-0.237675181025233	-0.780755333154986	27898	20	UBC UBB ANAPC11
"reactome_APC/C-mediated degradation of cell cycle proteins"	0.102255639097744	0.539604963100997	-0.279817192035911	-1.24105432578623	2583	70	UBC FZR1 PSMB9 SKP1 UBB ANAPC11 PSMA4 PSME2 PSMC4 PSMB10 CUL1 PSMD13 PSME1 PSMD5 PSMC1 PSME3 PSMA6 PSMB8 PSMD6 BTRC PSMD11 SKP2 FBXO5 PSMD9 CDK2
"reactome_APC/C:Cdc20 mediated degradation of Cyclin B"	0.688232340140609	0.956878047156226	-0.265102374919492	-0.845656811381394	24668	18	UBC UBB ANAPC11
"reactome_APC/C:Cdc20 mediated degradation of Securin"	0.385182413470533	0.846088086307008	-0.240362122022592	-1.03277284685858	10293	60	UBC PSMB9 UBB ANAPC11 PSMA4 PSME2 PSMC4 PSMB10 PSMD13 PSME1 PSMD5 PSMC1 PSME3 PSMA6 PSMB8 PSMD6 PSMD11
"reactome_APC/C:Cdc20 mediated degradation of mitotic proteins"	0.486520069282326	0.88608144018116	-0.227422406935284	-0.984304591134231	12920	62	UBC PSMB9 UBB ANAPC11 PSMA4 PSME2 PSMC4 PSMB10 PSMD13 PSME1 PSMD5 PSMC1 PSME3 PSMA6 PSMB8 PSMD6 PSMD11
"reactome_APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	0.233940808795843	0.736254575878449	-0.259520032812657	-1.12322599708258	6212	62	UBC FZR1 PSMB9 UBB ANAPC11 PSMA4 PSME2 PSMC4 PSMB10 PSMD13 PSME1 PSMD5 PSMC1 PSME3 PSMA6 PSMB8 PSMD6 PSMD11 SKP2
"reactome_APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	0.466726686173006	0.880350525536443	-0.230212132051115	-0.992880357291749	12441	61	UBC PSMB9 UBB ANAPC11 PSMA4 PSME2 PSMC4 PSMB10 PSMD13 PSME1 PSMD5 PSMC1 PSME3 PSMA6 PSMB8 PSMD6 PSMD11
"reactome_ATF4 activates genes"	0.805287416297069	0.983249519321571	-0.230914507267421	-0.778849801458306	27779	22	EXOSC5 EXOSC2 NFYA DDIT3 KHSRP
"reactome_AUF1 (hnRNP D0) binds and destabilizes mRNA"	0.122100164952795	0.572982160848312	-0.300088865660591	-1.24142005763666	3478	50	UBC PSMB9 UBB PSMA4 PSME2 HSPB1 PSMC4 PSMB10 HSPA8 PSMD13 PSME1 PSMD5 PSMC1 PSME3 PSMA6 PSMB8 PSMD6 PSMD11
"reactome_AURKA Activation by TPX2"	0.319282711410395	0.79426333413547	-0.249761631093681	-1.06972486290292	8581	59	SFI1 HSP90AA1 PRKACA PPP2R1A MAPRE1 HAUS2 CEP78 YWHAE CEP164 SSNA1 TPX2 TUBA4A HAUS8 CSNK1D CKAP5 HAUS1 DYNC1I2 NEDD1
"reactome_Abortive elongation of HIV-1 transcript in the absence of Tat"	0.222309186306056	0.720116768532409	-0.349754762144296	-1.17968520158722	7668	22	POLR2C POLR2H NELFCD NELFA GTF2F2 POLR2D SUPT5H POLR2E POLR2G POLR2J
"reactome_Activated NOTCH1 Transmits Signal to the Nucleus"	0.723939622874235	0.962062391455864	0.27758568021428	0.81722747435754	46953	20	APH1B PSEN1 UBA52 DTX2 APH1A
"reactome_Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3"	0.482909079695956	0.883513192140919	0.335089690808341	0.986522436932473	31320	20	HIST1H2BJ HIST1H2BC HIST2H2AA3 KDM1A PKN1 HIST1H2BN HIST2H2BE H2AFZ
"reactome_Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins"	0.486520069282326	0.88608144018116	-0.227422406935284	-0.984304591134231	12920	62	UBC PSMB9 UBB ANAPC11 PSMA4 PSME2 PSMC4 PSMB10 PSMD13 PSME1 PSMD5 PSMC1 PSME3 PSMA6 PSMB8 PSMD6 PSMD11
"reactome_Activation of ATR in response to replication stress"	0.941036464882342	0.993490291346215	0.202934812382311	0.641524487426999	62864	27	RPA2 RFC5 ORC4 RFC4 RFC3 MCM6 RFC2 MCM7 MCM3
"reactome_Activation of BH3-only proteins"	0.690449855300838	0.956878047156226	0.275233870553875	0.846492663060099	45568	24	BBC3 PMAIP1 TP53BP2 AKT3
"reactome_Activation of E2F1 target genes at G1/S"	0.842929418337575	0.985529940022661	0.249933266766923	0.726069787721616	54314	19	LIN37 E2F4 CDT1 RBL2
"reactome_Activation of HOX genes during differentiation"	0.353362238219895	0.821590792436633	0.28568044340342	1.06756469253463	25916	61	SUZ12 HIST1H2BJ HIST1H2BC RXRA HIST2H2AA3 POLR2L CNOT6 CTCF PIAS2 RARA CREBBP HOXB4 YY1 POLR2K
"reactome_Activation of NF-kappaB in B cells"	0.00086602906845395	0.025589484764429	-0.406619448316018	-1.75988547133712	22	62	UBC REL NFKBIB CHUK PSMB9 SKP1 UBB PSMA4 RELA PSME2 PSMC4 PSMB10 CUL1 PSMD13 PSME1 PSMD5 PSMC1 NFKBIE PSME3 FBXW11 PSMA6 PSMB8 PSMD6 BTRC PSMD11
"reactome_Activation of NMDA receptors and postsynaptic events"	0.367949224177013	0.833097321907955	0.319923022314924	1.06502506853155	25159	34	MAPK1 GIT1 PPM1F PRKACB PRKAB1 DLG1 ARHGEF7
"reactome_Activation of anterior HOX genes in hindbrain development during early embryogenesis"	0.353362238219895	0.821590792436633	0.28568044340342	1.06756469253463	25916	61	SUZ12 HIST1H2BJ HIST1H2BC RXRA HIST2H2AA3 POLR2L CNOT6 CTCF PIAS2 RARA CREBBP HOXB4 YY1 POLR2K
"reactome_Activation of gene expression by SREBF (SREBP)"	0.818166014776184	0.985294530404297	0.228372639028126	0.774050687789783	56477	37	GPAM RXRA TBL1X MVD CREBBP TBL1XR1 MED1 NCOA1 ELOVL6 TGS1 FDFT1 FASN SREBF1 NCOA6 FDPS TM7SF2 MVK NFYB
"reactome_Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S"	1.37648143814781e-05	0.00193704741882738	0.552753395788334	2.03974045777749	0	57	EIF3E EIF3F EIF3H EIF3G EIF3K EIF4B RPS11 RPS15 RPS25 EIF3M RPS19 RPS13 FAU RPS23 RPS3 RPSA EIF4EBP1 RPS16 EIF4E RPS21 RPS9 EIF3L RPS4Y1 RPS12 RPS6 RPS3A RPS7 RPS4X RPS20 RPS27A PABPC1 RPS28 RPS27 RPS15A RPS10 RPS26 RPS2
"reactome_Activation of the pre-replicative complex"	0.215789942673835	0.71404660907552	-0.33787276381295	-1.17895944906898	7264	25	GMNN PRIM2 CDC7 POLE3
"reactome_Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal"	0.584914445349785	0.922980016406525	-0.214111472842026	-0.941704238244318	15074	67	DSN1 RANGAP1 ZW10 PPP2R1B PPP2R5A PPP2R1A MAPRE1 DYNLL2 CENPU NUP160 NUP133 CLIP1 MAD1L1 CKAP5 SKA2 CENPL DYNC1I2 RANBP2 CENPT NDEL1
