pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"reactome_ABC transporter disorders"	0.0472860952930152	0.262048225608019	0.387799718107715	1.41813278976607	3279	50	PSMD4 PSMC5 PSMD12 SEL1L PSMB8 PSMB4 PSMC4 PSMA7 PSMB6 PSMD6 PSMA5 PSMB2 PSMD14 PSMF1 UBA52 PSMD13 PSMD2 PSME2 PSMB10 OS9 ERLEC1 PSME3
"reactome_ABC-family proteins mediated transport"	0.00813180596803847	0.100179850678596	0.423000203965717	1.5965739392213	574	59	ABCA2 PSMD4 PSMC5 PSMD12 ABCC1 SEL1L PSMB8 PSMB4 PSMC4 EIF2S2 PSMA7 PSMB6 PSMD6 ABCG1 ABCB7 PSMA5 PSMB2 PSMD14 PSMF1 UBA52 PSMD13 PSMD2 PSME2 PSMB10 ABCD3 OS9 ERLEC1 PSME3
"reactome_APC-Cdc20 mediated degradation of Nek2A"	0.244555897104028	0.556943160844518	0.431586206708476	1.19027060499556	15115	15	ANAPC10 UBE2D1 CDC16 ANAPC5 ANAPC11 UBA52
"reactome_APC/C-mediated degradation of cell cycle proteins"	0.0364293304994687	0.231855515953053	0.381021751766847	1.43372674836814	2570	58	PSMD4 PSMC5 ANAPC10 PSMD12 PSMB8 PSMB4 UBE2D1 PSMC4 CDC16 ANAPC5 PSMA7 PSMB6 PSMD6 PSMA5 PSMB2 PSMD14 ANAPC11 PSMF1 UBA52 PSMD13 PSMD2 PSME2 PSMB10
"reactome_APC/C:Cdc20 mediated degradation of Securin"	0.0045362181963882	0.0718478430460195	0.448488856472876	1.65864977220926	316	53	PSMD4 PSMC5 ANAPC10 PSMD12 PSMB8 PSMB4 UBE2D1 PSMC4 CDC16 ANAPC5 PSMA7 PSMB6 PSMD6 PSMA5 PSMB2 PSMD14 ANAPC11 PSMF1 UBA52 PSMD13 PSMD2 PSME2 PSMB10
"reactome_APC/C:Cdc20 mediated degradation of mitotic proteins"	0.00552596633015864	0.0798054623210423	0.441806129934527	1.63992411555568	386	54	PSMD4 PSMC5 ANAPC10 PSMD12 PSMB8 PSMB4 UBE2D1 PSMC4 CDC16 ANAPC5 PSMA7 PSMB6 PSMD6 PSMA5 PSMB2 PSMD14 ANAPC11 PSMF1 UBA52 PSMD13 PSMD2 PSME2 PSMB10
"reactome_APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	0.00558308226121971	0.0798054623210423	0.441288823556878	1.63800394481482	390	54	PSMD4 PSMC5 ANAPC10 PSMD12 PSMB8 PSMB4 UBE2D1 PSMC4 CDC16 ANAPC5 PSMA7 PSMB6 PSMD6 PSMA5 PSMB2 PSMD14 ANAPC11 PSMF1 UBA52 PSMD13 PSMD2 PSME2 PSMB10
"reactome_APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	0.00552596633015864	0.0798054623210423	0.441806129934527	1.63992411555568	386	54	PSMD4 PSMC5 ANAPC10 PSMD12 PSMB8 PSMB4 UBE2D1 PSMC4 CDC16 ANAPC5 PSMA7 PSMB6 PSMD6 PSMA5 PSMB2 PSMD14 ANAPC11 PSMF1 UBA52 PSMD13 PSMD2 PSME2 PSMB10
"reactome_AUF1 (hnRNP D0) binds and destabilizes mRNA"	0.0251323520856362	0.188531588618137	0.415827367432264	1.50111739805175	1727	47	PSMD4 PSMC5 PSMD12 PSMB8 PSMB4 PSMC4 HSPA8 PSMA7 PSMB6 PSMD6 PSMA5 PSMB2 PSMD14 PSMF1 UBA52 PSMD13 PSMD2 PSME2 PSMB10
"reactome_AURKA Activation by TPX2"	0.384512241054614	0.64611742080019	0.313701393140612	1.05172081641313	25521	33	TUBB ODF2 DCTN2 YWHAE HAUS6 DYNC1H1 SSNA1 DYNLL1 DCTN1 PPP2R1A
