pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"reactome_ABC transporter disorders"	0.866176227475616	0.96844852713919	-0.197845426016598	-0.780450737365662	31436	50	PSMB9 PSMA7 PSMA1 VCP PSMA3 UBC PSMB8 PSMC1 PSMC6 PSMD5 PSME1 PSMD12 PSME4 RPS27A PSMA4 PSMD14
"reactome_ABC-family proteins mediated transport"	0.771570576540755	0.947945006842776	-0.206539298259467	-0.846842425826377	27166	60	PSMB9 PSMA7 PSMA1 ABCC1 VCP PSMA3 UBC PSMB8 PSMC1 PSMC6 PSMD5 PSME1 ABCB7 PSMD12 PSME4 RPS27A PSMA4 PSMD14 EIF2S1 UBA52
"reactome_APC-Cdc20 mediated degradation of Nek2A"	0.215526872518957	0.641951508178419	-0.417990056228109	-1.21262720351127	9066	15	ANAPC11 UBC CDC26 RPS27A CDC27 UBA52 UBE2E1
"reactome_APC/C-mediated degradation of cell cycle proteins"	0.172938713145832	0.610851578838423	-0.289559423838699	-1.18317288594042	6111	59	PSMB9 PSMA7 PSMA1 CUL1 ANAPC11 PSMA3 UBC CDC26 CDC14A PSMB8 PSMC1 PSMC6 PSMD5 PSME1 PSMD12 PSME4 RPS27A CDC27 PSMA4 PSMD14
"reactome_APC/C:Cdc20 mediated degradation of Securin"	0.333361349246372	0.738458224885183	-0.264343490238858	-1.06464934902893	11898	55	PSMB9 PSMA7 PSMA1 ANAPC11 PSMA3 UBC CDC26 PSMB8 PSMC1 PSMC6 PSMD5 PSME1 PSMD12 PSME4 RPS27A CDC27 PSMA4 PSMD14
"reactome_APC/C:Cdc20 mediated degradation of mitotic proteins"	0.339803646563815	0.740286515728311	-0.262270910970615	-1.06035844643818	12113	56	PSMB9 PSMA7 PSMA1 ANAPC11 PSMA3 UBC CDC26 PSMB8 PSMC1 PSMC6 PSMD5 PSME1 PSMD12 PSME4 RPS27A CDC27 PSMA4 PSMD14
"reactome_APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	0.333361349246372	0.738458224885183	-0.264343490238858	-1.06464934902893	11898	55	PSMB9 PSMA7 PSMA1 ANAPC11 PSMA3 UBC CDC26 PSMB8 PSMC1 PSMC6 PSMD5 PSME1 PSMD12 PSME4 RPS27A CDC27 PSMA4 PSMD14
"reactome_APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	0.334453969854878	0.738458224885183	-0.26412406175575	-1.06376559588075	11937	55	PSMB9 PSMA7 PSMA1 ANAPC11 PSMA3 UBC CDC26 PSMB8 PSMC1 PSMC6 PSMD5 PSME1 PSMD12 PSME4 RPS27A CDC27 PSMA4 PSMD14
"reactome_AUF1 (hnRNP D0) binds and destabilizes mRNA"	0.174021080225001	0.610851578838423	-0.305386022739633	-1.1944890513568	6372	48	PSMB9 PSMA7 HNRNPD PSMA1 PABPC1 PSMA3 UBC HSPB1 PSMB8 PSMC1 PSMC6 PSMD5 PSME1 PSMD12 PSME4 RPS27A PSMA4 PSMD14
"reactome_AURKA Activation by TPX2"	0.197946166265252	0.628070268913629	-0.316160216883349	-1.17989899304981	7478	39	HAUS3 HSP90AA1 CEP290 TUBB4B TUBA4A HAUS1 TUBA1A CEP135 TUBB CKAP5 YWHAE NEDD1
