pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"reactome_ABC transporter disorders"	0.503987135065237	0.842013754070739	-0.252225462439646	-0.970525031944672	30399	53	PSMB8 PSMB7 UBC PSME1 PSMB9 PSMD5 PSMC6 PSMD8 PSMB6 PSMD11 RNF5 PSMB10 PSME2 PSMB5 PSMD14 PSMD1 PSMA5 PSMD2 PSMA6
"reactome_ABC-family proteins mediated transport"	0.759072942867409	0.93301550033267	-0.211359162955388	-0.839761871720559	46474	62	PSMB8 PSMB7 UBC PSME1 PSMB9 PSMD5 PSMC6 PSMD8 PSMB6 PSMD11 RNF5 PSMB10 PSME2 PSMB5 PSMD14 EIF2S2 PSMD1 ABCB9 PSMA5 PSMD2 PSMA6
"reactome_APC-Cdc20 mediated degradation of Nek2A"	0.886525072086645	0.971445428473189	-0.231381959831998	-0.688301277425124	50421	18	UBC CDC26 UBE2E1 ANAPC11 ANAPC10 CDC27
"reactome_APC/C-mediated degradation of cell cycle proteins"	0.264197732278326	0.749924117331871	-0.281455488783694	-1.12165147809696	16193	63	PSMB8 PSMB7 UBC PSME1 PSMB9 CUL1 CDC26 PSMD5 PSMC6 UBE2E1 PSMD8 PSMB6 PSMD11 PSMB10 ANAPC11 PSME2 PSMB5 ANAPC10 PSMD14 SKP1 CDC27 PSMD1 PSMA5 PSMD2 PSMA6
"reactome_APC/C:Cdc20 mediated degradation of Cyclin B"	0.828040647824706	0.954129298404902	-0.252088970803868	-0.738078486113774	46934	17	UBC CDC26 UBE2E1 ANAPC11 ANAPC10 CDC27
"reactome_APC/C:Cdc20 mediated degradation of Securin"	0.32969195945281	0.77134303470052	-0.273617558021119	-1.07635966861278	20099	59	PSMB8 PSMB7 UBC PSME1 PSMB9 CDC26 PSMD5 PSMC6 UBE2E1 PSMD8 PSMB6 PSMD11 PSMB10 ANAPC11 PSME2 PSMB5 ANAPC10 PSMD14 CDC27 PSMD1 PSMA5 PSMD2 PSMA6
"reactome_APC/C:Cdc20 mediated degradation of mitotic proteins"	0.364364446337029	0.782435521407976	-0.266621190197076	-1.05251817682362	22246	60	PSMB8 PSMB7 UBC PSME1 PSMB9 CDC26 PSMD5 PSMC6 UBE2E1 PSMD8 PSMB6 PSMD11 PSMB10 ANAPC11 PSME2 PSMB5 ANAPC10 PSMD14 CDC27 PSMD1 PSMA5 PSMD2 PSMA6
"reactome_APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	0.32969195945281	0.77134303470052	-0.273617558021119	-1.07635966861278	20099	59	PSMB8 PSMB7 UBC PSME1 PSMB9 CDC26 PSMD5 PSMC6 UBE2E1 PSMD8 PSMB6 PSMD11 PSMB10 ANAPC11 PSME2 PSMB5 ANAPC10 PSMD14 CDC27 PSMD1 PSMA5 PSMD2 PSMA6
"reactome_APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	0.331611061903356	0.77134303470052	-0.273300304962872	-1.07511165514789	20216	59	PSMB8 PSMB7 UBC PSME1 PSMB9 CDC26 PSMD5 PSMC6 UBE2E1 PSMD8 PSMB6 PSMD11 PSMB10 ANAPC11 PSME2 PSMB5 ANAPC10 PSMD14 CDC27 PSMD1 PSMA5 PSMD2 PSMA6
"reactome_ATF4 activates genes"	0.721579274325288	0.924048230499494	0.270565401956944	0.817058490102022	31361	16	EXOSC9 EXOSC1 EXOSC4 DCP2 ATF3
"reactome_AUF1 (hnRNP D0) binds and destabilizes mRNA"	0.371657531279676	0.783055154858141	-0.277515959623982	-1.05087385897671	22307	49	PSMB8 PSMB7 UBC PSME1 PSMB9 HSPB1 PSMD5 PSMC6 PSMD8 PSMB6 PSMD11 PSMB10 PSME2 PSMB5 PSMD14 PSMD1 PSMA5 PSMD2 PSMA6
"reactome_AURKA Activation by TPX2"	0.369772777736659	0.782435521407976	0.269528427951455	1.04643796821872	14987	42	DCTN1 PCNT CEP63 HAUS3 PAFAH1B1 ODF2 YWHAG DYNC1H1 HSP90AA1 CEP192 HAUS2 PCM1 CSNK1D CDK5RAP2 CEP152
"reactome_Abortive elongation of HIV-1 transcript in the absence of Tat"	0.0331531784469245	0.319950390332365	0.477293808072303	1.55549646247627	1416	21	NELFA POLR2J GTF2F1 POLR2G POLR2K SUPT4H1 GTF2F2 POLR2H POLR2F POLR2D NELFE NCBP2 POLR2I
"reactome_Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins"	0.364364446337029	0.782435521407976	-0.266621190197076	-1.05251817682362	22246	60	PSMB8 PSMB7 UBC PSME1 PSMB9 CDC26 PSMD5 PSMC6 UBE2E1 PSMD8 PSMB6 PSMD11 PSMB10 ANAPC11 PSME2 PSMB5 ANAPC10 PSMD14 CDC27 PSMD1 PSMA5 PSMD2 PSMA6
"reactome_Activation of BH3-only proteins"	0.751942858140794	0.931519532134155	-0.259269994596503	-0.803023687646226	43056	21	BCL2 YWHAQ PPP3R1 YWHAB DYNLL1 TFDP2 BID MAPK8 YWHAZ
"reactome_Activation of HOX genes during differentiation"	0.0518834224335444	0.386327291239861	0.365198886458027	1.40911784314169	2105	41	POLR2J YY1 H2AFX EP300 POLR2G POLR2K HIST2H2AC JUN POLR2H ZNF335 CREBBP HIST1H2BC POLR2F
"reactome_Activation of NF-kappaB in B cells"	0.144335332498517	0.628888965079193	-0.316734406646979	-1.2367161985384	8759	57	PSMB8 PSMB7 REL UBC PSME1 NFKB1 PSMB9 RELA CUL1 IKBKB PSMD5 PSMC6 PSMD8 PSMB6 PSMD11 FBXW11 PSMB10 PSME2 PSMB5 PSMD14 SKP1 PSMD1 PSMA5 PSMD2
"reactome_Activation of NMDA receptors and postsynaptic events"	0.949175160481329	0.989212038518003	0.202190236046853	0.61057787796572	41253	16	PRKAA1 KRAS NRAS PRKAR2A
"reactome_Activation of anterior HOX genes in hindbrain development during early embryogenesis"	0.0518834224335444	0.386327291239861	0.365198886458027	1.40911784314169	2105	41	POLR2J YY1 H2AFX EP300 POLR2G POLR2K HIST2H2AC JUN POLR2H ZNF335 CREBBP HIST1H2BC POLR2F
"reactome_Activation of gene expression by SREBF (SREBP)"	0.863573407202216	0.964910790597483	0.232886320540707	0.714966360150224	37409	17	TBL1XR1 SQLE MED1 CREBBP SREBF2 FDPS MVD NCOA2 FDFT1
"reactome_Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S"	2.54388196387688e-05	0.00118347966189738	0.662542439321885	2.74802363682281	0	57	RPS21 RPS2 RPS26 RPS28 RPS23 RPS16 RPS6 RPS18 RPS9 RPS29 RPSA RPS24 RPS3 RPS25 RPS14 RPS4X RPS8 RPS27A RPS12 RPS20 EIF3L RPS19 EIF4EBP1 RPS7 RPS27 RPS3A RPS15 EIF4B RPS5 EIF3D EIF3B EIF3A FAU
