pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"reactome_ABC transporter disorders"	2.73923821785162e-05	0.000578272087726017	-0.525579586209308	-2.03936414180974	1	46	PSME2 OS9 PSMB1 PSMD1 PSMD3 PSMB3 PSMB9 PSMF1 PSMA4 PSMB7 PSMB8 UBA52 ERLEC1 PSMD12 PSMB6 UBC PSME1 PSMC5 DERL1 PSMB10 PSMD9 PSMD7 PSMC6 PSMD4 PSMC3 PSMA1
"reactome_ABC-family proteins mediated transport"	0.000460660912921539	0.00398107126377763	-0.469641145770448	-1.86142402687552	33	51	PSME2 OS9 PSMB1 PSMD1 PSMD3 PSMB3 PSMB9 PSMF1 PSMA4 ABCF1 PSMB7 PSMB8 UBA52 ERLEC1 PSMD12 PSMB6 UBC PSME1 PSMC5 DERL1 PSMB10 PSMD9 PSMD7 PSMC6 PSMD4
"reactome_APC/C-mediated degradation of cell cycle proteins"	2.70977007600905e-05	0.000578272087726017	-0.530301523485093	-2.10185160775144	1	51	PSME2 PSMB1 PSMD1 PSMD3 PSMB3 ANAPC16 CUL1 PSMB9 PSMF1 PSMA4 CDC26 PSMB7 PSMB8 UBA52 PSMD12 PSMB6 UBC PSME1 PSMC5 PSMB10 PSMD9 PSMD7 PSMC6 PSMD4 SKP1 PSMC3 PSMA1
"reactome_APC/C:Cdc20 mediated degradation of Securin"	4.09729714964695e-05	0.000671347474826664	-0.528058431034556	-2.05889132185135	2	47	PSME2 PSMB1 PSMD1 PSMD3 PSMB3 ANAPC16 PSMB9 PSMF1 PSMA4 CDC26 PSMB7 PSMB8 UBA52 PSMD12 PSMB6 UBC PSME1 PSMC5 PSMB10 PSMD9 PSMD7 PSMC6 PSMD4 PSMC3 PSMA1
"reactome_APC/C:Cdc20 mediated degradation of mitotic proteins"	5.45412399950913e-05	0.000775951783471923	-0.522903231427685	-2.04711461160903	3	48	PSME2 PSMB1 PSMD1 PSMD3 PSMB3 ANAPC16 PSMB9 PSMF1 PSMA4 CDC26 PSMB7 PSMB8 UBA52 PSMD12 PSMB6 UBC PSME1 PSMC5 PSMB10 PSMD9 PSMD7 PSMC6 PSMD4 PSMC3 PSMA1
"reactome_APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	4.09729714964695e-05	0.000671347474826664	-0.528058431034556	-2.05889132185135	2	47	PSME2 PSMB1 PSMD1 PSMD3 PSMB3 ANAPC16 PSMB9 PSMF1 PSMA4 CDC26 PSMB7 PSMB8 UBA52 PSMD12 PSMB6 UBC PSME1 PSMC5 PSMB10 PSMD9 PSMD7 PSMC6 PSMD4 PSMC3 PSMA1
"reactome_APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	5.45412399950913e-05	0.000775951783471923	-0.522903231427685	-2.04711461160903	3	48	PSME2 PSMB1 PSMD1 PSMD3 PSMB3 ANAPC16 PSMB9 PSMF1 PSMA4 CDC26 PSMB7 PSMB8 UBA52 PSMD12 PSMB6 UBC PSME1 PSMC5 PSMB10 PSMD9 PSMD7 PSMC6 PSMD4 PSMC3 PSMA1
"reactome_AUF1 (hnRNP D0) binds and destabilizes mRNA"	0.000454589285468296	0.00396685327053133	-0.493070406025761	-1.88600759287775	32	43	PSME2 PSMB1 PSMD1 PSMD3 PSMB3 PSMB9 PSMF1 PSMA4 PSMB7 PSMB8 UBA52 PSMD12 PSMB6 UBC PSME1 PSMC5 PSMB10 PSMD9 PSMD7 PSMC6 PSMD4 PSMC3 PSMA1
"reactome_AURKA Activation by TPX2"	0.684696265532813	0.845238464763893	0.215873919349341	0.864412022445189	20772	29	PRKAR2B MAPRE1 DYNLL1 TUBA4A TUBB4B YWHAE
"reactome_Abortive elongation of HIV-1 transcript in the absence of Tat"	0.699924913650698	0.855536902037778	-0.272840531756639	-0.829348745480914	46607	17	POLR2I POLR2B NCBP1 POLR2K POLR2C POLR2J POLR2F NCBP2 POLR2A
