pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"reactome_ABC transporter disorders"	0.771643663739021	0.947599725986861	-0.208544758502528	-0.835805929059586	33209	52	UBC PSMB8 PSMD9 PSMD5 PSMD6 PSMD4 PSMC3 PSMD11 UBB PSMC2 OS9 PSMF1 PSMD10 RNF5 PSMB6 PSMA6 PSMB9 PSMC1 PSMD1 PSMC5
"reactome_ABC-family proteins mediated transport"	0.896238222306185	0.98132043093305	-0.182985424791721	-0.7679306726524	37952	65	UBC PSMB8 PSMD9 PSMD5 PSMD6 PSMD4 PSMC3 PSMD11 UBB PSMC2 OS9 EIF2S3 PSMF1 PSMD10 RNF5
"reactome_APC-Cdc20 mediated degradation of Nek2A"	0.238294699445163	0.693611592560903	-0.370691687562191	-1.17608984511144	10865	20	UBC ANAPC7 UBE2E1 ANAPC15 CDC27 MAD2L1 UBB
"reactome_APC/C-mediated degradation of cell cycle proteins"	0.219853462538407	0.683794992585855	-0.271309437695774	-1.1423625789508	9301	66	UBC ANAPC7 UBE2E1 PSMB8 PSMD9 PSMD5 PSMD6 ANAPC15 PSMD4 BTRC PSMC3 CDC27 PSMD11 MAD2L1 UBB PSMC2
"reactome_APC/C:Cdc20 mediated degradation of Cyclin B"	0.352008225411271	0.769015056761344	-0.348726007355924	-1.07402625515091	16090	18	UBC ANAPC7 UBE2E1 ANAPC15 CDC27 UBB
"reactome_APC/C:Cdc20 mediated degradation of Securin"	0.277526854040392	0.72010383165854	-0.266583431849028	-1.10126904468445	11858	60	UBC ANAPC7 UBE2E1 PSMB8 PSMD9 PSMD5 PSMD6 ANAPC15 PSMD4 PSMC3 CDC27 PSMD11
"reactome_APC/C:Cdc20 mediated degradation of mitotic proteins"	0.227799227799228	0.683845294797592	-0.273745719386754	-1.13784569625885	9675	62	UBC ANAPC7 UBE2E1 PSMB8 PSMD9 PSMD5 PSMD6 ANAPC15 PSMD4 PSMC3 CDC27 PSMD11 MAD2L1 UBB PSMC2
"reactome_APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	0.277526854040392	0.72010383165854	-0.266583431849028	-1.10126904468445	11858	60	UBC ANAPC7 UBE2E1 PSMB8 PSMD9 PSMD5 PSMD6 ANAPC15 PSMD4 PSMC3 CDC27 PSMD11
"reactome_APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	0.218593200468933	0.682971680483307	-0.276271578969642	-1.14544917393339	9322	61	UBC ANAPC7 UBE2E1 PSMB8 PSMD9 PSMD5 PSMD6 ANAPC15 PSMD4 PSMC3 CDC27 PSMD11 MAD2L1 UBB PSMC2
"reactome_ATF4 activates genes"	0.867644068109967	0.976983212341266	0.242670886957528	0.70102020816526	46929	16	ATF4 EXOSC7
