pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"reactome_ABC transporter disorders"	0.129811645847202	0.7502105594561	-0.344050809571389	-1.27270612380511	6629	42	PSMC1 PSMD11 PSMA1 OS9 PSME2 DERL2 PSMC4 PSMC3 UBC RPS27A PSMA7
"reactome_ABC-family proteins mediated transport"	0.395939384446707	0.863084518544376	-0.272674130072871	-1.03331000339218	20222	47	PSMC1 PSMD11 PSMA1 OS9 PSME2 DERL2 PSMC4 PSMC3 UBC RPS27A PSMA7
"reactome_APC/C-mediated degradation of cell cycle proteins"	0.146058611502899	0.757510830110619	-0.333802263810254	-1.24704027681007	7455	44	PSMC1 PSMD11 PSMA1 PSME2 PSMC4 PSMC3 ANAPC15 CDC26 UBC RPS27A PSMA7 ANAPC16 SKP1
"reactome_APC/C:Cdc20 mediated degradation of Securin"	0.133942906371148	0.7502105594561	-0.342368078810608	-1.26648139860644	6840	42	PSMC1 PSMD11 PSMA1 PSME2 PSMC4 PSMC3 ANAPC15 CDC26 UBC RPS27A PSMA7 ANAPC16
"reactome_APC/C:Cdc20 mediated degradation of mitotic proteins"	0.132109120840356	0.7502105594561	-0.340879369624474	-1.26733054865345	6740	43	PSMC1 PSMD11 PSMA1 PSME2 PSMC4 PSMC3 ANAPC15 CDC26 UBC RPS27A PSMA7 ANAPC16
"reactome_APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	0.133942906371148	0.7502105594561	-0.342368078810608	-1.26648139860644	6840	42	PSMC1 PSMD11 PSMA1 PSME2 PSMC4 PSMC3 ANAPC15 CDC26 UBC RPS27A PSMA7 ANAPC16
"reactome_APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	0.132109120840356	0.7502105594561	-0.340879369624474	-1.26733054865345	6740	43	PSMC1 PSMD11 PSMA1 PSME2 PSMC4 PSMC3 ANAPC15 CDC26 UBC RPS27A PSMA7 ANAPC16
"reactome_AUF1 (hnRNP D0) binds and destabilizes mRNA"	0.257135580935217	0.813451070927019	-0.310577513889961	-1.13669738629024	13125	40	PSMC1 PSMD11 PSMA1 PSME2 PSMC4 HSPB1 PSMC3 UBC RPS27A PSMA7
"reactome_AURKA Activation by TPX2"	0.554061270098689	0.925343125177487	-0.280337066656464	-0.933744560871489	28014	27	ODF2 CEP57 TUBB4B CNTRL OFD1 HAUS3 DCTN2 TUBB CSNK1D HSP90AA1
"reactome_Abortive elongation of HIV-1 transcript in the absence of Tat"	0.055964771817454	0.639804698127353	0.497270510135218	1.48301619455343	2795	17	NCBP1 POLR2B NCBP2 POLR2G SUPT4H1 SUPT5H POLR2K POLR2E
