pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"reactome_ABC transporter disorders"	0.4908534586384	0.839467055546073	0.247345641183599	0.979382869089814	22458	51	PSMC5 PSMB1 RNF5 PSMA1 PSMA6 PSMA7 PSMD12 DERL1 PSMB8 PSMD8 PSMD1 PSMA3 PSMB2 PSMB5 PSMB6 PSME3 PSMB7 PSMA4 RPS27A PSMD11
"reactome_ABC-family proteins mediated transport"	0.224272893651739	0.682753004272511	0.283296051404435	1.14781219428475	10170	57	PSMC5 ABCB7 PSMB1 RNF5 PSMA1 EIF2S2 PSMA6 PSMA7 PSMD12 EIF2S1 DERL1 PSMB8 PSMD8 PSMD1 PSMA3 PSMB2 PSMB5 PSMB6 PSME3 PSMB7 PSMA4 RPS27A PSMD11 EIF2S3
"reactome_APC/C-mediated degradation of cell cycle proteins"	0.0655968344691141	0.457634019023096	0.334862543608416	1.34626030518962	2983	55	ANAPC15 PSMC5 ANAPC16 PSMB1 PSMA1 CDC26 UBE2D1 PSMA6 PSMA7 ANAPC5 PSMD12 ANAPC11 PSMB8 PSMD8 PSMD1 PSMA3 PSMB2 PSMB5 PSMB6 PSME3 PSMB7 PSMA4 RPS27A PSMD11
"reactome_APC/C:Cdc20 mediated degradation of Securin"	0.022554912031472	0.344539787265671	0.377157719981732	1.49338313837881	1031	51	ANAPC15 PSMC5 ANAPC16 PSMB1 PSMA1 CDC26 UBE2D1 PSMA6 PSMA7 ANAPC5 PSMD12 ANAPC11 PSMB8 PSMD8 PSMD1 PSMA3 PSMB2 PSMB5 PSMB6 PSME3 PSMB7 PSMA4 RPS27A PSMD11 PSMD4 CDC27 UBA52 PSMA5 PSMD7
"reactome_APC/C:Cdc20 mediated degradation of mitotic proteins"	0.0394860682469849	0.411283432392273	0.357812043295678	1.42248844643997	1803	52	ANAPC15 PSMC5 ANAPC16 PSMB1 PSMA1 CDC26 UBE2D1 PSMA6 PSMA7 ANAPC5 PSMD12 ANAPC11 PSMB8 PSMD8 PSMD1 PSMA3 PSMB2 PSMB5 PSMB6 PSME3 PSMB7 PSMA4 RPS27A PSMD11 PSMD4 CDC27 UBA52 PSMA5 PSMD7
"reactome_APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	0.022554912031472	0.344539787265671	0.377157719981732	1.49338313837881	1031	51	ANAPC15 PSMC5 ANAPC16 PSMB1 PSMA1 CDC26 UBE2D1 PSMA6 PSMA7 ANAPC5 PSMD12 ANAPC11 PSMB8 PSMD8 PSMD1 PSMA3 PSMB2 PSMB5 PSMB6 PSME3 PSMB7 PSMA4 RPS27A PSMD11 PSMD4 CDC27 UBA52 PSMA5 PSMD7
"reactome_APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	0.0394860682469849	0.411283432392273	0.357812043295678	1.42248844643997	1803	52	ANAPC15 PSMC5 ANAPC16 PSMB1 PSMA1 CDC26 UBE2D1 PSMA6 PSMA7 ANAPC5 PSMD12 ANAPC11 PSMB8 PSMD8 PSMD1 PSMA3 PSMB2 PSMB5 PSMB6 PSME3 PSMB7 PSMA4 RPS27A PSMD11 PSMD4 CDC27 UBA52 PSMA5 PSMD7
"reactome_AUF1 (hnRNP D0) binds and destabilizes mRNA"	0.19521098605015	0.649229996373077	0.303978618574118	1.18132943371801	8983	47	PSMC5 PSMB1 PSMA1 PSMA6 PSMA7 PSMD12 PSMB8 PSMD8 PSMD1 PSMA3 HNRNPD PSMB2 PSMB5 PSMB6 HSPA8 PSME3 PSMB7 PSMA4 RPS27A PSMD11 PSMD4 UBA52 PSMA5 PSMD7
"reactome_AURKA Activation by TPX2"	0.74299715392352	0.926000141864094	0.227045278540288	0.835090256173718	34720	37	CEP63 TUBB DCTN3 CEP135 PRKACA SDCCAG8 PPP2R1A TUBA4A HAUS4 YWHAG ODF2 YWHAE DYNLL1 OFD1 TUBB4B SFI1 DYNC1I2 CSNK1E CEP164 HSP90AA1 MAPRE1
"reactome_Abortive elongation of HIV-1 transcript in the absence of Tat"	0.0475342916287798	0.43822300461632	-0.49084047758959	-1.500856739595	2456	20	POLR2A POLR2B POLR2D NCBP2 GTF2F1
"reactome_Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins"	0.0394860682469849	0.411283432392273	0.357812043295678	1.42248844643997	1803	52	ANAPC15 PSMC5 ANAPC16 PSMB1 PSMA1 CDC26 UBE2D1 PSMA6 PSMA7 ANAPC5 PSMD12 ANAPC11 PSMB8 PSMD8 PSMD1 PSMA3 PSMB2 PSMB5 PSMB6 PSME3 PSMB7 PSMA4 RPS27A PSMD11 PSMD4 CDC27 UBA52 PSMA5 PSMD7
"reactome_Activation of BH3-only proteins"	0.882955225729208	0.974809059590999	0.225187379056071	0.697045300962855	42772	19	TFDP2 YWHAH TFDP1 BAD YWHAB YWHAG YWHAZ YWHAE DYNLL1
"reactome_Activation of HOX genes during differentiation"	0.0568941308621174	0.455842672725571	-0.397282077925773	-1.42262444747839	3038	38	POLR2A POLR2B POLR2D RQCD1 NCOR1 KMT2C
"reactome_Activation of NF-kappaB in B cells"	0.805054071948797	0.951054222920004	0.201835219700984	0.821012066383196	36476	58	PRKCB PSMC5 PSMB1 PSMA1 PSMA6 PSMA7 PSMD12 PSMB8 PSMD8 PSMD1 PSMA3 PSMB2 PSMB5 MALT1 PSMB6 PSME3 PSMB7 PSMA4 RPS27A PSMD11 PSMD4 RELA CHUK UBA52 PSMA5 PSMD7
"reactome_Activation of NMDA receptors and postsynaptic events"	0.00923128566633098	0.220675106936453	0.502804433968342	1.69390423341449	439	26	CAMK1 ARHGEF7 PRKAG2 PRKACA RPS6KA1 PRKX PPM1F NRAS CALM1 PRKAR2A PRKAG1 MAPK1 CAMK2D PRKACB
"reactome_Activation of anterior HOX genes in hindbrain development during early embryogenesis"	0.0568941308621174	0.455842672725571	-0.397282077925773	-1.42262444747839	3038	38	POLR2A POLR2B POLR2D RQCD1 NCOR1 KMT2C
