pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"reactome_ABC transporter disorders"	0.887082176903584	0.999902251872488	-0.200804760357677	-0.737279570431839	58809	50	PSMC4 SEL1L PSME2 PSMC3 RNF5 PSMB8 PSMB6 PSME1 PSMC1 PSMD13 PSMB9 PSMD9 PSMC5 PSMD3 PSMA4 PSMD5 PSMA3 PSMB3
"reactome_ABC-family proteins mediated transport"	0.285580815945188	0.802791350364347	-0.293757326937533	-1.11416309813246	19256	59	ABCG1 PSMC4 EIF2S1 SEL1L PSME2 ABCB7 PSMC3 ABCA2 RNF5 PSMB8 PSMB6
"reactome_APC/C-mediated degradation of cell cycle proteins"	0.972773495161555	0.999902251872488	-0.170729499254436	-0.63911199417069	65240	55	PSMC4 BUB3 PSME2 PSMC3 PSMB8 ANAPC5 PSMB6 PSME1 CDC14A PSMC1 PSMD13 PSMB9 PSMD9 PSMC5 PSMD3 PSMA4 PSMD5 PSMA3 UBE2D1 PSMB3
"reactome_APC/C:Cdc20 mediated degradation of Securin"	0.98288475433526	0.999902251872488	-0.164988129659032	-0.608136229746013	65294	51	PSMC4 PSME2 PSMC3 PSMB8 ANAPC5 PSMB6 PSME1 PSMC1 PSMD13 PSMB9 PSMD9 PSMC5 PSMD3 PSMA4 PSMD5 PSMA3 UBE2D1 PSMB3
"reactome_APC/C:Cdc20 mediated degradation of mitotic proteins"	0.935002927796045	0.999902251872488	-0.187260684360606	-0.692853247652379	62273	52	PSMC4 BUB3 PSME2 PSMC3 PSMB8 ANAPC5 PSMB6 PSME1 PSMC1 PSMD13 PSMB9 PSMD9 PSMC5 PSMD3 PSMA4 PSMD5 PSMA3 UBE2D1 PSMB3
"reactome_APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	0.98288475433526	0.999902251872488	-0.164988129659032	-0.608136229746013	65294	51	PSMC4 PSME2 PSMC3 PSMB8 ANAPC5 PSMB6 PSME1 PSMC1 PSMD13 PSMB9 PSMD9 PSMC5 PSMD3 PSMA4 PSMD5 PSMA3 UBE2D1 PSMB3
"reactome_APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	0.935002927796045	0.999902251872488	-0.187260684360606	-0.692853247652379	62273	52	PSMC4 BUB3 PSME2 PSMC3 PSMB8 ANAPC5 PSMB6 PSME1 PSMC1 PSMD13 PSMB9 PSMD9 PSMC5 PSMD3 PSMA4 PSMD5 PSMA3 UBE2D1 PSMB3
"reactome_AUF1 (hnRNP D0) binds and destabilizes mRNA"	0.785082404265633	0.999902251872488	-0.221979658352464	-0.805568096987508	51827	47	PSMC4 PABPC1 PSME2 PSMC3 PSMB8 PSMB6 PSME1 HSPB1 PSMC1 PSMD13 PSMB9 PSMD9 PSMC5 PSMD3 PSMA4 PSMD5 PSMA3 PSMB3
"reactome_AURKA Activation by TPX2"	0.117668632042204	0.674434813389486	0.340686192438812	1.28610290464791	4170	36	PCNT HAUS3 OFD1 DCTN2 PAFAH1B1 CNTRL HSP90AA1 CEP290 CKAP5 TUBA4A TUBA1A DYNLL1 NEDD1 TUBB4B CEP57 DCTN1
"reactome_Abortive elongation of HIV-1 transcript in the absence of Tat"	0.98149827680029	0.999902251872488	0.170762844725051	0.554130068330493	37876	20	POLR2D SUPT4H1 POLR2K POLR2C
"reactome_Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins"	0.935002927796045	0.999902251872488	-0.187260684360606	-0.692853247652379	62273	52	PSMC4 BUB3 PSME2 PSMC3 PSMB8 ANAPC5 PSMB6 PSME1 PSMC1 PSMD13 PSMB9 PSMD9 PSMC5 PSMD3 PSMA4 PSMD5 PSMA3 UBE2D1 PSMB3
"reactome_Activation of BH3-only proteins"	0.351403176906533	0.856502263869054	0.329956940258327	1.0707192313753	13560	20	PMAIP1 PPP3CC BCL2L11 BBC3 TFDP2 BAD YWHAB
"reactome_Activation of HOX genes during differentiation"	0.896573584438878	0.999902251872488	-0.205908414466012	-0.709592388399856	57984	37	POLR2E HIST1H2AC HDAC3 H3F3A RBBP7 YY1 EED H2AFJ H2AFZ HIST1H3A H2AFV NCOA3 ZNF335 POLR2J
"reactome_Activation of NF-kappaB in B cells"	0.864979806633215	0.999902251872488	0.188014195575105	0.791403398082204	28270	58	IKBKG PSMA6 CUL1 IKBKB PSMD4 UBB PSME4 MALT1 PSMD2
"reactome_Activation of NMDA receptors and postsynaptic events"	0.572213684786289	0.964077183252324	0.279750955880309	0.919457673409769	21968	21	MAPK1 RAC1 PRKAR1A PRKX CAMK2D NRAS PRKAG2 PRKAA1 KPNA2 PRKAG1 CALM1 PRKAR2A KRAS
"reactome_Activation of anterior HOX genes in hindbrain development during early embryogenesis"	0.896573584438878	0.999902251872488	-0.205908414466012	-0.709592388399856	57984	37	POLR2E HIST1H2AC HDAC3 H3F3A RBBP7 YY1 EED H2AFJ H2AFZ HIST1H3A H2AFV NCOA3 ZNF335 POLR2J
"reactome_Activation of gene expression by SREBF (SREBP)"	0.421868800423224	0.889186591711948	-0.360662361035484	-1.02895032590107	25517	17	MVD CYP51A1 HELZ2 CHD9 NFYC
"reactome_Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S"	0.0314312553118523	0.430193719680352	-0.389766807605776	-1.45906034257872	2107	55	EIF2S1 EIF3H PABPC1 EIF3E RPS8 EIF4A1 RPS16 RPS25 EIF3G RPS15 RPS15A RPS7 EIF3I RPS13 FAU RPS12 RPS24 RPS28 EIF2S2 RPS27 RPS21 RPS2
"reactome_Adaptive Immune System"	0.84108040201005	0.999902251872488	0.16256906088216	0.905945638921716	12050	366	RAP1B KLRC1 KLRD1 YES1 TYROBP ITK KLRB1 RAC1 CD247 IKBKG RASGRP1 UBE2E3 FBXO32 ZBTB16 KIFAP3 PSMA6 CD99 VAV1 LYN ITGAL ERAP2 TRIM11 CUL1 CD226 UBE2S ITGA4 SOCS1 IKBKB UBA5 DCTN2 UBE2F PSMD4 CDC27 TRIM4 ITPR2 CTSB WWP1 AREL1 CD3G RBX1 RAP1GAP2 UBB LAT PSME4 MALT1 RNF130 HLA-DMA AP2M1
"reactome_Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal"	0.358927772808587	0.858057313426049	0.281727432735604	1.05658565570823	12840	35	CLASP2 MAD1L1 NUDC PPP1CC PAFAH1B1 NUP133 CKAP5 PPP2R5C NUP160 CENPC PPP2R5A NUP98 DYNLL1
"reactome_Amplification of signal from the kinetochores"	0.358927772808587	0.858057313426049	0.281727432735604	1.05658565570823	12840	35	CLASP2 MAD1L1 NUDC PPP1CC PAFAH1B1 NUP133 CKAP5 PPP2R5C NUP160 CENPC PPP2R5A NUP98 DYNLL1
"reactome_Amyloid fiber formation"	0.437444017914268	0.902944448018845	-0.322909491340518	-1.01632459121306	27348	25	HIST1H2AC UBE2L6 NCSTN H3F3A GGA1 USP9X H2AFZ SIAH2 HIST1H3A
"reactome_Anchoring of the basal body to the plasma membrane"	0.422163511787249	0.889186591711948	0.256529839698494	1.01467077030474	14540	44	PCNT HAUS3 OFD1 DCTN2 PAFAH1B1 CNTRL HSP90AA1 CEP290 CKAP5 TUBA4A TUBA1A DYNLL1 RAB8A NEDD1 TUBB4B CEP57 DCTN1
"reactome_Antigen Presentation: Folding, assembly and peptide loading of class I MHC"	0.722621694882241	0.999902251872488	-0.271151845420425	-0.81788655993532	44519	21	TAP1 HLA-C TAPBP SEC31A HLA-A ERAP1 SEC24C CALR CANX PDIA3 SEC24B HLA-E
"reactome_Antigen activates B Cell Receptor (BCR) leading to generation of second messengers"	0.858864568178812	0.999902251872488	-0.247452746539961	-0.705969382184458	51950	17	PIK3CD ITPR3 PIK3R1
"reactome_Antigen processing-Cross presentation"	0.565811990814551	0.964077183252324	-0.242160894023934	-0.94030702629565	38683	67	PSMC4 CHUK NCF1 TAP1 HLA-C PSME2 LNPEP PSMC3 TAPBP PSMB8 PSMB6
"reactome_Antigen processing: Ubiquitination & Proteasome degradation"	0.951648166834847	0.999902251872488	0.158432482238578	0.794599543685238	22633	155	UBE2E3 FBXO32 ZBTB16 PSMA6 TRIM11 CUL1 UBE2S SOCS1 UBA5 UBE2F PSMD4 CDC27 TRIM4 WWP1 AREL1 RBX1 UBB PSME4 RNF130 PSMD2 NPEPPS
