pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"reactome_ABC transporter disorders"	0.415079644238983	0.731742453078793	-0.251424634574302	-1.01899389348043	16520	53	RNF5 PSMD6 UBC PSMD5 PSMB9 PSME1 PSMD12 PSMD13 PSME3 PSMB10 PSMD14 PSMA4 PSMB5 PSMC4 UBB ERLIN2 PSMD9 PSMA1 PSMB4 PSMA6 PSMD10 PSMC3 PSMB6
"reactome_ABC-family proteins mediated transport"	0.582584515564252	0.836234771767479	-0.219489344918189	-0.937062337579781	22626	68	RNF5 PSMD6 UBC PSMD5 PSMB9 PEX19 PSME1 PSMD12 PSMD13 PSME3 PSMB10 PSMD14 PSMA4 ABCD3 ABCC1 PSMB5 PSMC4 UBB ABCF1 ERLIN2 PSMD9 PSMA1 PSMB4 PSMA6 PSMD10 PSMC3 PSMB6
"reactome_APC-Cdc20 mediated degradation of Nek2A"	0.295058706679437	0.638812416698976	0.376110393168236	1.12917066979936	16635	19	MAD2L1 ANAPC10 RPS27A ANAPC15 ANAPC5 UBA52 BUB3 CDC26
"reactome_APC/C-mediated degradation of cell cycle proteins"	0.923710124115294	0.981739287422228	-0.176738215079585	-0.74978713054947	36020	66	PSMD6 UBC PSMD5 PSMB9 PSME1 PSMD12 PSMD13 PSME3 PSMB10 PSMD14 PSMA4 PSMB5 CDC23 CUL1 PSMC4 UBE2E1 UBB PSMD9 PSMA1 PSMB4 PSMA6 PSMD10 PSMC3 PSMB6
"reactome_APC/C:Cdc20 mediated degradation of Cyclin B"	0.753543447293447	0.91417339844064	0.27226929920693	0.793682566410278	42318	17	ANAPC10 RPS27A ANAPC15 ANAPC5 UBA52 CDC26 ANAPC16
"reactome_APC/C:Cdc20 mediated degradation of Securin"	0.582044359213747	0.836234771767479	-0.225263502408529	-0.934774362516234	23066	59	PSMD6 UBC PSMD5 PSMB9 PSME1 PSMD12 PSMD13 PSME3 PSMB10 PSMD14 PSMA4 PSMB5 CDC23 PSMC4 UBE2E1 UBB PSMD9 PSMA1 PSMB4 PSMA6 PSMD10 PSMC3 PSMB6
"reactome_APC/C:Cdc20 mediated degradation of mitotic proteins"	0.873322488816592	0.962551237228967	-0.187650110696602	-0.783663501916871	34359	61	PSMD6 UBC PSMD5 PSMB9 PSME1 PSMD12 PSMD13 PSME3 PSMB10 PSMD14 PSMA4 PSMB5 CDC23 PSMC4 UBE2E1 UBB PSMD9 PSMA1 PSMB4 PSMA6 PSMD10 PSMC3 PSMB6
"reactome_APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	0.615106641059335	0.856779026217228	-0.220989570893794	-0.920242971717437	24340	60	PSMD6 UBC PSMD5 PSMB9 PSME1 PSMD12 PSMD13 PSME3 PSMB10 PSMD14 PSMA4 PSMB5 CDC23 PSMC4 UBE2E1 UBB PSMD9 PSMA1 PSMB4 PSMA6 PSMD10 PSMC3 PSMB6
"reactome_APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	0.831522288486809	0.947391899437607	-0.19458945349163	-0.810307817793215	32904	60	PSMD6 UBC PSMD5 PSMB9 PSME1 PSMD12 PSMD13 PSME3 PSMB10 PSMD14 PSMA4 PSMB5 CDC23 PSMC4 UBE2E1 UBB PSMD9 PSMA1 PSMB4 PSMA6 PSMD10 PSMC3 PSMB6
"reactome_ATF4 activates genes"	0.233021374927787	0.576502292937402	-0.364001536959273	-1.178019708696	10083	21	EXOSC7 ATF3 DIS3 EXOSC8 EXOSC5 KHSRP
"reactome_AUF1 (hnRNP D0) binds and destabilizes mRNA"	0.171167139091949	0.495728215742445	-0.300857645053444	-1.20011855038989	6883	49	PSMD6 UBC PSMD5 PSMB9 PSME1 PSMD12 PSMD13 PSME3 PSMB10 PSMD14 PSMA4 PSMB5 PSMC4 UBB PSMD9 PSMA1 PSMB4 PSMA6 PSMD10 PSMC3 PSMB6
"reactome_AURKA Activation by TPX2"	0.0170279673491235	0.133127744729511	0.408932993050058	1.53713936889858	1017	49	CLASP1 ALMS1 PRKACA CEP63 DYNC1I2 PCM1 CEP57 PCNT SDCCAG8 TUBA4A CNTRL CEP78 DCTN2 FGFR1OP HAUS8 OFD1 DYNC1H1 YWHAE PAFAH1B1 CEP250 NEDD1 MAPRE1 HSP90AA1 DCTN1 TUBB4B CSNK1E
"reactome_Abortive elongation of HIV-1 transcript in the absence of Tat"	0.261513575967649	0.605116615243528	-0.354726480800695	-1.14800280534625	11316	21	NELFA NCBP1 SUPT4H1 NELFE POLR2G
"reactome_Activated NOTCH1 Transmits Signal to the Nucleus"	0.604110120201629	0.850319179253349	-0.293711336844416	-0.895138561315097	26485	17	UBC APH1A ADAM17 PSENEN UBB ARRB2 DTX2 NUMB
