pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"reactome_ABC transporter disorders"	0.0104106035156575	0.110668410941182	-0.417629738937664	-1.59095087724499	625	52	PSME2 PSMB9 PSMD1 PSME1 PSMC4 ERLEC1 PSMA4 PSMC3 PSMB10 PSMA6 PSMB2 PSMD6 PSMD3 PSME3 PSMB8 PSMD12 PSMD8 PSMA3 PSMD4 PSMC1 PSMA7 PSMD10 SEL1L
"reactome_ABC-family proteins mediated transport"	0.00957844931335213	0.107576449641135	-0.404153447658098	-1.58477347802061	580	60	PSME2 PSMB9 PSMD1 PSME1 PSMC4 ERLEC1 PSMA4 PSMC3 PSMB10 PSMA6 EIF2S1 PSMB2 ABCB8 PSMD6 PSMD3 PSME3 ABCF1 PSMB8 PSMD12 PSMD8 PSMA3 PSMD4 PSMC1 PSMA7 PSMD10 SEL1L
"reactome_APC-Cdc20 mediated degradation of Nek2A"	0.714391730718261	0.913669424023882	-0.277304636228232	-0.822381609794578	40430	18	ANAPC4 MAD2L1 UBE2E1 UBE2D1
"reactome_APC/C-mediated degradation of cell cycle proteins"	0.00540203274058749	0.0772172915272212	-0.412457682339456	-1.63340171639126	328	63	ANAPC4 PSME2 MAD2L1 PSMB9 PSMD1 PSME1 PSMC4 PSMA4 PSMC3 UBE2E1 UBE2D1 CUL1 PSMB10 PSMA6 PSMB2 PSMD6 PSMD3 PSME3 PSMB8 PSMD12 PSMD8 ANAPC7 PSMA3 PSMD4 PSMC1 ANAPC15 CDC16 PSMA7 PSMD10
"reactome_APC/C:Cdc20 mediated degradation of Cyclin B"	0.924650949874113	0.981261492275624	0.214911535262813	0.644598636026505	40397	16	CDC27 UBA52 RPS27A UBC ANAPC5 ANAPC11 ANAPC16
"reactome_APC/C:Cdc20 mediated degradation of Securin"	0.00937727002575447	0.106209503300177	-0.408916850157599	-1.59287326047567	567	58	ANAPC4 PSME2 PSMB9 PSMD1 PSME1 PSMC4 PSMA4 PSMC3 UBE2E1 UBE2D1 PSMB10 PSMA6 PSMB2 PSMD6 PSMD3 PSME3 PSMB8 PSMD12 PSMD8 ANAPC7 PSMA3 PSMD4 PSMC1 ANAPC15 CDC16 PSMA7 PSMD10
"reactome_APC/C:Cdc20 mediated degradation of mitotic proteins"	0.00624824834726412	0.0827440945355117	-0.414912812182548	-1.62696328399037	378	60	ANAPC4 PSME2 MAD2L1 PSMB9 PSMD1 PSME1 PSMC4 PSMA4 PSMC3 UBE2E1 UBE2D1 PSMB10 PSMA6 PSMB2 PSMD6 PSMD3 PSME3 PSMB8 PSMD12 PSMD8 ANAPC7 PSMA3 PSMD4 PSMC1 ANAPC15 CDC16 PSMA7 PSMD10
"reactome_APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	0.00937727002575447	0.106209503300177	-0.408916850157599	-1.59287326047567	567	58	ANAPC4 PSME2 PSMB9 PSMD1 PSME1 PSMC4 PSMA4 PSMC3 UBE2E1 UBE2D1 PSMB10 PSMA6 PSMB2 PSMD6 PSMD3 PSME3 PSMB8 PSMD12 PSMD8 ANAPC7 PSMA3 PSMD4 PSMC1 ANAPC15 CDC16 PSMA7 PSMD10
"reactome_APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	0.00417457305502846	0.0656390222123005	-0.425414031498604	-1.66246881753959	252	59	ANAPC4 PSME2 MAD2L1 PSMB9 PSMD1 PSME1 PSMC4 PSMA4 PSMC3 UBE2E1 UBE2D1 PSMB10 PSMA6 PSMB2 PSMD6 PSMD3 PSME3 PSMB8 PSMD12 PSMD8 ANAPC7 PSMA3 PSMD4 PSMC1 ANAPC15 CDC16 PSMA7 PSMD10
"reactome_ATF4 activates genes"	0.885648889906157	0.971993098724313	0.229282672780871	0.687702956280702	38693	16	KHSRP EXOSC9 EXOSC6 DCP2 EXOSC5 DIS3 ATF3 HERPUD1 EXOSC1 DDIT3 EXOSC7 ATF4 PARN EXOSC8 NFYC ATF6
