pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"reactome_ABC transporter disorders"	0.0134375859494715	0.183336683093892	0.402534604630567	1.55794506327676	683	52	PSMD2 VCP PSME3 PSMB4 PSMB2 PSMC1 PSME4 PSMD8 PSMD10 ERLEC1 PSMB7 PSMD3 OS9 PSMA4 PSMA5 PSMB6 PSMC5 PSMD14 RPS27A RNF5 PSMA7 PSMC2 DERL3
"reactome_ABC-family proteins mediated transport"	0.018546227752402	0.223600930491779	0.380987235181933	1.50767423270454	941	58	PSMD2 VCP ABCB9 PSME3 PSMB4 PSMB2 PSMC1 PSME4 PSMD8 PSMD10 ERLEC1 PSMB7 PSMD3 OS9 PSMA4 PSMA5 PSMB6 PSMC5 PSMD14 RPS27A RNF5 PSMA7 PSMC2 DERL3
"reactome_APC/C-mediated degradation of cell cycle proteins"	0.0393702338962344	0.287451614565364	0.360209878817266	1.42029380037538	1997	57	PSMD2 PSME3 PSMB4 ANAPC15 PSMB2 CDC16 PSMC1 PSME4 PSMD8 ANAPC5 PSMD10 PSMB7 PSMD3 PSMA4 PTTG1 PSMA5 ANAPC11 PSMB6 PSMC5 PSMD14 RPS27A PSMA7 PSMC2 CUL1
"reactome_APC/C:Cdc20 mediated degradation of Securin"	0.0257987189059614	0.249252885967653	0.379339718616714	1.479703590281	1312	54	PSMD2 PSME3 PSMB4 ANAPC15 PSMB2 CDC16 PSMC1 PSME4 PSMD8 ANAPC5 PSMD10 PSMB7 PSMD3 PSMA4 PTTG1 PSMA5 ANAPC11 PSMB6 PSMC5 PSMD14 RPS27A PSMA7 PSMC2
"reactome_APC/C:Cdc20 mediated degradation of mitotic proteins"	0.0268897637795276	0.249252885967653	0.375859763070895	1.47112796927923	1365	55	PSMD2 PSME3 PSMB4 ANAPC15 PSMB2 CDC16 PSMC1 PSME4 PSMD8 ANAPC5 PSMD10 PSMB7 PSMD3 PSMA4 PTTG1 PSMA5 ANAPC11 PSMB6 PSMC5 PSMD14 RPS27A PSMA7 PSMC2
"reactome_APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	0.0257987189059614	0.249252885967653	0.379339718616714	1.479703590281	1312	54	PSMD2 PSME3 PSMB4 ANAPC15 PSMB2 CDC16 PSMC1 PSME4 PSMD8 ANAPC5 PSMD10 PSMB7 PSMD3 PSMA4 PTTG1 PSMA5 ANAPC11 PSMB6 PSMC5 PSMD14 RPS27A PSMA7 PSMC2
"reactome_APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	0.0367037371792353	0.276701314469071	0.3676310840284	1.43403131346065	1867	54	PSMD2 PSME3 PSMB4 ANAPC15 PSMB2 CDC16 PSMC1 PSME4 PSMD8 ANAPC5 PSMD10 PSMB7 PSMD3 PSMA4 PSMA5 ANAPC11 PSMB6 PSMC5 PSMD14 RPS27A PSMA7 PSMC2
"reactome_AUF1 (hnRNP D0) binds and destabilizes mRNA"	0.0571439800349781	0.334192778761775	0.367322145980984	1.39101164410411	2907	47	PSMD2 PSME3 PSMB4 HNRNPD PSMB2 PSMC1 PSME4 PSMD8 PSMD10 PSMB7 PSMD3 PSMA4 PSMA5 PSMB6 PSMC5 PSMD14 RPS27A PSMA7 PSMC2
"reactome_AURKA Activation by TPX2"	0.983975782038345	1	-0.16746261473175	-0.579422276466048	48755	31	CSNK1D NDE1 DYNLL1 DCTN2 CLASP1 CNTRL OFD1 TUBB4B
"reactome_Abortive elongation of HIV-1 transcript in the absence of Tat"	0.581072229610369	0.84312766053822	0.293118286597319	0.915072524393679	29274	21	NELFB NELFE
"reactome_Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins"	0.0268897637795276	0.249252885967653	0.375859763070895	1.47112796927923	1365	55	PSMD2 PSME3 PSMB4 ANAPC15 PSMB2 CDC16 PSMC1 PSME4 PSMD8 ANAPC5 PSMD10 PSMB7 PSMD3 PSMA4 PTTG1 PSMA5 ANAPC11 PSMB6 PSMC5 PSMD14 RPS27A PSMA7 PSMC2
"reactome_Activation of BH3-only proteins"	0.0807870323989661	0.379860626339939	-0.487733986556879	-1.41882173152472	4031	16	BCL2 PMAIP1 TFDP1 DYNLL1 YWHAQ
"reactome_Activation of HOX genes during differentiation"	0.112861371284921	0.432145087770112	-0.357154809815254	-1.29590160328429	5566	38	JUN H2AFZ CREBBP POLR2F EED HIST1H2BC KDM6A HIST1H2BK HDAC3 POLR2C PAGR1 POLR2A H2AFX POLR2D POLR2K
"reactome_Activation of NF-kappaB in B cells"	0.185116754461829	0.545375300425764	0.305686563536573	1.18775740775204	9417	53	PSMD2 PSME3 PSMB4 MALT1 PSMB2 PSMC1 PSME4 PSMD8 PSMD10 PSMB7 FBXW11 PSMD3 PSMA4 PSMA5 PSMB6 PSMC5 PSMD14 RPS27A PSMA7 PSMC2 CUL1
"reactome_Activation of anterior HOX genes in hindbrain development during early embryogenesis"	0.112861371284921	0.432145087770112	-0.357154809815254	-1.29590160328429	5566	38	JUN H2AFZ CREBBP POLR2F EED HIST1H2BC KDM6A HIST1H2BK HDAC3 POLR2C PAGR1 POLR2A H2AFX POLR2D POLR2K
"reactome_Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S"	0.585276198212835	0.84312766053822	-0.235845156499132	-0.931211634483334	28818	56	RPS27 EIF2S2 EIF4A2 RPS25 RPS15A RPS29 EIF4E RPS14
"reactome_Adaptive Immune System"	0.280327937953128	0.654511993652575	-0.205235625472495	-1.05865075298565	13300	321	PSMB9 HLA-DRA HLA-DPB1 UBC HLA-B RNF4 HLA-A B2M HLA-DPA1 HLA-DQB1 HLA-E ITGB7 CD79A RBCK1 CD40 HCST KEAP1 PTPN6 CYBB AP1S1 CD74 UBE2E1 TRAF6 SKP1 HLA-F CD99 NFKBIA HLA-DQA1 RAP1B CDC42 UBE2A SELL EVL FBXO6 IFITM1 DYNLL1 ICAM2 PRKCB NFATC2 MAP3K8 KRAS TAP1 PSMA1 PSMD7 HLA-C HERC5 BLK DCTN2 CTSH NFKBIB LILRB1 UBE2Q2 PPP3CA UBA6 VAV1 NFKB1 TNFRSF14 LYN ITGB2 RASGRP2 LCP2 FBXO7 CUL3 RELA BTBD1 CD79B
"reactome_Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal"	0.875980819529207	0.95614973720399	0.216245730225667	0.726518861124368	44208	28	PPP2CA CLASP2 CENPM CLIP1 DYNC1H1 PPP2R1A KIF2A CENPC MAPRE1
"reactome_Amplification of signal from the kinetochores"	0.875980819529207	0.95614973720399	0.216245730225667	0.726518861124368	44208	28	PPP2CA CLASP2 CENPM CLIP1 DYNC1H1 PPP2R1A KIF2A CENPC MAPRE1
"reactome_Amyloid fiber formation"	0.341483555215404	0.70983893749904	-0.328954761095812	-1.07861668038863	16954	25	UBC B2M H2AFZ HIST1H2BC HIST1H2BK LYZ NCSTN H2AFX UBE2L6
