pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"reactome_ABC transporter disorders"	0.6021996347177	0.835630967446483	-0.236700606097161	-0.917375618231022	30333	49	OS9 PSMC4 PSME3 PSMB6 UBC PSMB10 PSMB9 PSMA7 PSMB1 PSMA4 PSME1
"reactome_ABC-family proteins mediated transport"	0.856429881837729	0.942755247700496	-0.19565302086476	-0.783037842470253	43414	57	OS9 PSMC4 PSME3 PSMB6 UBC PSMB10 PSMB9 PSMA7 PSMB1 PSMA4 PSME1
"reactome_APC/C-mediated degradation of cell cycle proteins"	0.847709108174409	0.940526705890635	-0.198331395799364	-0.784538250640673	42849	54	PSMC4 PSME3 PSMB6 UBC PSMB10 PSMB9 CDC16 PSMA7 ANAPC11 PSMB1 PSMA4 PSME1 ANAPC16
"reactome_APC/C:Cdc20 mediated degradation of Securin"	0.510679188460929	0.794730614953545	-0.248260307167992	-0.966633277596891	25774	50	PSMC4 PSME3 PSMB6 UBC PSMB10 PSMB9 CDC16 PSMA7 ANAPC11 PSMB1 PSMA4 PSME1 ANAPC16
"reactome_APC/C:Cdc20 mediated degradation of mitotic proteins"	0.627581559440282	0.84836603489695	-0.231738736430593	-0.906089802710676	31663	51	PSMC4 PSME3 PSMB6 UBC PSMB10 PSMB9 CDC16 PSMA7 ANAPC11 PSMB1 PSMA4 PSME1 ANAPC16
"reactome_APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	0.510679188460929	0.794730614953545	-0.248260307167992	-0.966633277596891	25774	50	PSMC4 PSME3 PSMB6 UBC PSMB10 PSMB9 CDC16 PSMA7 ANAPC11 PSMB1 PSMA4 PSME1 ANAPC16
"reactome_APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	0.627581559440282	0.84836603489695	-0.231738736430593	-0.906089802710676	31663	51	PSMC4 PSME3 PSMB6 UBC PSMB10 PSMB9 CDC16 PSMA7 ANAPC11 PSMB1 PSMA4 PSME1 ANAPC16
"reactome_ATF4 activates genes"	0.472181377419227	0.776039030371561	0.341849839874366	0.986275755195133	23762	15	EXOSC1 EXOSC8 KHSRP ATF3 EXOSC6 DDIT3 NFYC DIS3
"reactome_AUF1 (hnRNP D0) binds and destabilizes mRNA"	0.675952933706371	0.874367136159096	-0.230729168146621	-0.878023721487793	34065	45	PSMC4 PSME3 PSMB6 UBC PSMB10 PSMB9 HSPB1 PSMA7 PSMB1 PSMA4 PSME1
"reactome_AURKA Activation by TPX2"	0.0203672520246973	0.205673688662956	0.419836967772499	1.54760831028572	1015	38	HSP90AA1 TUBB4B YWHAE NDE1 ODF2 PAFAH1B1 MAPRE1 CKAP5 HAUS2 TUBA1A YWHAG NEDD1
"reactome_Abortive elongation of HIV-1 transcript in the absence of Tat"	0.873393726554394	0.950146508584931	0.227494409594027	0.712397590154045	43770	20	POLR2D POLR2E POLR2K NCBP1 SUPT4H1 GTF2F1
"reactome_Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins"	0.627581559440282	0.84836603489695	-0.231738736430593	-0.906089802710676	31663	51	PSMC4 PSME3 PSMB6 UBC PSMB10 PSMB9 CDC16 PSMA7 ANAPC11 PSMB1 PSMA4 PSME1 ANAPC16
"reactome_Activation of BH3-only proteins"	0.72374060562566	0.899309490566457	0.269661654988182	0.819331805013168	36304	18	YWHAE YWHAQ YWHAG BBC3 BCL2 TP53BP2 TFDP2 BCL2L11 PMAIP1 AKT2
"reactome_Activation of HOX genes during differentiation"	0.353284377829192	0.699018606971055	0.286729752469946	1.06213622945119	17559	39	H2AFX RARA JUN RQCD1 MAFB POLR2D POLR2E POLR2K
"reactome_Activation of NF-kappaB in B cells"	0.3482995951417	0.699018606971055	0.264146706372125	1.0592462617507	17205	56	PSMD12 MALT1 NFKB1 MAP3K7 RPS27A NFKBIA PSMC2 REL NFKBIE FBXW11 PSMA3 RELA CUL1 PSMD2 SKP1
"reactome_Activation of NMDA receptors and postsynaptic events"	0.157547302313449	0.523819226475151	-0.422400086094995	-1.2801976153735	7851	18	PRKAB1 PRKAR1A CALM1 CAMK2D RAC1 PDPK1 PRKAA1 CAMK4 PRKAG2
"reactome_Activation of anterior HOX genes in hindbrain development during early embryogenesis"	0.353284377829192	0.699018606971055	0.286729752469946	1.06213622945119	17559	39	H2AFX RARA JUN RQCD1 MAFB POLR2D POLR2E POLR2K
"reactome_Activation of gene expression by SREBF (SREBP)"	0.933993465493395	0.970688824973078	-0.208891344472574	-0.642181693120573	46595	19	FDPS IDI1
"reactome_Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S"	2.02429149797571e-05	0.000979356734490271	0.561638245266046	2.25220757027415	0	56	RPS12 RPS3 RPS23 RPS26 EIF3I RPS27A RPS13 EIF3B EIF4A2 RPS3A FAU RPS21 RPS14 RPS25 EIF3E RPSA RPS15A RPS8 RPS9 RPS5 EIF4G1 RPS16 RPS28 PABPC1 RPS2 RPS4X RPS20 RPS24 EIF4A1 EIF3H EIF3M RPS27 EIF4H
