pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"reactome_ABC transporter disorders"	0.434753271137711	0.751372265079586	0.266720358601504	1.0139400983246	29637	55	PSMC4 PSMD3 PSMB5 RNF185 PSMD10 UBA52 PSMD2 SEL1L PSME3 PSMC6 UBB PSMD1 DERL1 RPS27A
"reactome_ABC-family proteins mediated transport"	0.343030526974021	0.687430192328648	0.267171436475509	1.06953190198257	24136	73	ABCF1 PSMC4 ABCB1 PSMD3 PSMB5 ABCC1 RNF185 PSMD10 UBA52 PSMD2 SEL1L ABCB4 PSME3 PSMC6 UBB PSMD1 DERL1 RPS27A EIF2S1 PSMB2 ABCD3 ABCB8 VCP ABCC10 ABCG1 PSME2
"reactome_APC-Cdc20 mediated degradation of Nek2A"	0.390962106749654	0.721115793444482	-0.315936700553472	-1.03987061942495	14949	20	CDC26 ANAPC10 ANAPC15 UBC CDC27 ANAPC16 ANAPC11 ANAPC5
"reactome_APC/C-mediated degradation of cell cycle proteins"	0.633330000142851	0.835400025377346	0.228411846571414	0.905636258767968	44334	69	ANAPC2 PSMC4 PSMD3 PSMB5 SKP1 PSMD10 UBA52 PSMD2 UBE2D1 FBXO5 PSME3 ANAPC7 PSMC6 UBB PSMD1 RPS27A
"reactome_APC/C:Cdc20 mediated degradation of Cyclin B"	0.362103686873903	0.698789540526504	-0.333586521568764	-1.06450730099204	14024	18	CDC26 ANAPC10 ANAPC15 UBC CDC27 ANAPC16 ANAPC11 ANAPC5
"reactome_APC/C:Cdc20 mediated degradation of Securin"	0.484486029388123	0.777954815790119	-0.22703959468703	-0.982271335871992	15067	60	CDC26 ANAPC10 PSMD9 PSMB9 ANAPC15 UBC CDC27 ANAPC16 PSMB8 PSMB4 PSMB1 PSMB7 PSMA3 PSMC5 ANAPC11 PSMD8 ANAPC5
"reactome_APC/C:Cdc20 mediated degradation of mitotic proteins"	0.522401549386701	0.785393605210484	-0.221071232845585	-0.963887564841766	16183	62	CDC26 ANAPC10 PSMD9 PSMB9 ANAPC15 UBC CDC27 ANAPC16 PSMB8 PSMB4 PSMB1 PSMB7 PSMA3 PSMC5 ANAPC11 PSMD8 ANAPC5
"reactome_APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	0.538508715300194	0.79735833339925	-0.219238662392034	-0.95589741682867	16682	62	CDC26 ANAPC10 PSMD9 PSMB9 ANAPC15 UBC CDC27 ANAPC16 PSMB8 PSMB4 PSMB1 PSMB7 PSMA3 PSMC5 ANAPC11 PSMD8 ANAPC5
"reactome_APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	0.511112544756621	0.783031467771012	-0.223064253174584	-0.968962410035071	15844	61	CDC26 ANAPC10 PSMD9 PSMB9 ANAPC15 UBC CDC27 ANAPC16 PSMB8 PSMB4 PSMB1 PSMB7 PSMA3 PSMC5 ANAPC11 PSMD8 ANAPC5
"reactome_ATF4 activates genes"	0.392225179449956	0.72279854183681	0.343717175564272	1.05120972100513	24315	21	ATF3 ATF4 EXOSC4 ATF6 KHSRP NFYC DDIT3 EXOSC2 EXOSC5
"reactome_AUF1 (hnRNP D0) binds and destabilizes mRNA"	0.266643931081522	0.623846235529629	0.304715024179335	1.13309318631314	17982	49	PSMC4 PSMD3 PSMB5 PABPC1 PSMD10 UBA52 HNRNPD PSMD2 HSPA8 PSME3 PSMC6 UBB PSMD1 RPS27A
