pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"reactome_ABC transporter disorders"	0.965789107117983	0.999857630979499	-0.161814909456826	-0.684986542173015	34666	55	PSMB9 UBB PSMA1 PSMF1 PSMB10 PSME1 PSMD8 PSMD4 PSME2 PSMC5
"reactome_ABC-family proteins mediated transport"	0.846389757332142	0.999857630979499	-0.179887446033273	-0.818391778957219	28425	78	ABCA5 ABCB8 PSMB9 ABCC5 UBB ABCB10 ABCC10 PSMA1 PSMF1 PSMB10 PSME1 PSMD8 PSMD4 PSME2 PSMC5
"reactome_APC-Cdc20 mediated degradation of Nek2A"	0.588383838383838	0.955133832250835	-0.276516607705434	-0.908037200363254	23998	20	ANAPC16 UBB MAD2L1 ANAPC4 ANAPC11 ANAPC5 UBE2E1 ANAPC10 ANAPC15 UBC
"reactome_APC/C-mediated degradation of cell cycle proteins"	0.684562976765854	0.981742415403303	-0.200858988244838	-0.894674084535282	23511	70	PSMB9 ANAPC16 UBB PTTG1 PSMA1 PSMF1 PSMB10 PSME1 PSMD8 MAD2L1 PSMD4 PSME2 PSMC5 ANAPC4 ANAPC11 ANAPC5 UBE2E1 ANAPC10 PSMB1 FBXO5 ANAPC15 PSME4 PSMB2 PSMD3
"reactome_APC/C:Cdc20 mediated degradation of Cyclin B"	0.69031490518853	0.981742415403303	-0.264293988882018	-0.842040286584185	28431	18	ANAPC16 UBB ANAPC4 ANAPC11 ANAPC5 UBE2E1 ANAPC10 ANAPC15 UBC
"reactome_APC/C:Cdc20 mediated degradation of Securin"	0.469395843949946	0.911725267913834	-0.229694257617572	-0.990180874278358	16579	60	PSMB9 ANAPC16 UBB PTTG1 PSMA1 PSMF1 PSMB10 PSME1 PSMD8 PSMD4 PSME2 PSMC5 ANAPC4 ANAPC11 ANAPC5 UBE2E1 ANAPC10 PSMB1 ANAPC15 PSME4 PSMB2 PSMD3 UBC
"reactome_APC/C:Cdc20 mediated degradation of mitotic proteins"	0.408686476929219	0.885754711613961	-0.235301682617052	-1.02129045530328	14330	62	PSMB9 ANAPC16 UBB PTTG1 PSMA1 PSMF1 PSMB10 PSME1 PSMD8 MAD2L1 PSMD4 PSME2 PSMC5 ANAPC4 ANAPC11 ANAPC5 UBE2E1 ANAPC10 PSMB1 ANAPC15 PSME4 PSMB2 PSMD3 UBC
"reactome_APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	0.666685678434951	0.976598136205288	-0.207064331170043	-0.898730611297364	23377	62	PSMB9 ANAPC16 UBB PTTG1 PSMA1 PSMF1 PSMB10 PSME1 PSMD8 PSMD4 PSME2 PSMC5 ANAPC4 ANAPC11 ANAPC5 UBE2E1 ANAPC10 PSMB1 ANAPC15 PSME4 PSMB2 PSMD3 UBC
"reactome_APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	0.542886375262889	0.934708802636246	-0.220792890200367	-0.954968885952234	19101	61	PSMB9 ANAPC16 UBB PSMA1 PSMF1 PSMB10 PSME1 PSMD8 MAD2L1 PSMD4 PSME2 PSMC5 ANAPC4 ANAPC11 ANAPC5 UBE2E1 ANAPC10 PSMB1 ANAPC15 PSME4 PSMB2 PSMD3 UBC
"reactome_ATF4 activates genes"	0.738013382750004	0.994235897294089	0.257587709207263	0.811166242522585	44006	22	EXOSC8 ATF3 EXOSC9 DDIT3 IL8 ATF4 NFYA
