pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"reactome_ABC transporter disorders"	0.913295477948748	0.998729039889192	-0.189131494511264	-0.722087781491378	62083	55	ERLIN2 OS9 PSMB9 PSMC5 PSMA1 PSMC3 PSMB7 PSMF1 PSMD5
"reactome_ABC-family proteins mediated transport"	0.931379506102753	0.998729039889192	-0.178876758606135	-0.722101493670772	65624	74	ERLIN2 OS9 PSMB9 PSMC5 PSMA1 PSMC3 PSMB7 PSMF1 ABCD1 PSMD5 ABCD2 ABCC1 PSMD4 ABCC4 PSMB8 ABCB7 PSME2 ABCB9
"reactome_APC-Cdc20 mediated degradation of Nek2A"	0.988485784124534	0.998729039889192	-0.170102376401235	-0.516328089430489	61467	20	ANAPC15 CDC26 ANAPC11 MAD2L1 ANAPC2
"reactome_APC/C-mediated degradation of cell cycle proteins"	0.901064881831081	0.998729039889192	-0.187043505443099	-0.74557378547082	62869	69	ANAPC15 PSMB9 PSMC5 PSMA1 CDC26 PSMC3 PSMB7 PTTG1 PSMF1 PSMD5 ANAPC11 MAD2L1 PSMD4 ANAPC2 FZR1
"reactome_APC/C:Cdc20 mediated degradation of Cyclin B"	0.975688013564628	0.998729039889192	0.176596561474583	0.566927243155403	37402	18	CDC16 ANAPC7 CDC27 UBA52 UBE2D1
"reactome_APC/C:Cdc20 mediated degradation of Securin"	0.8384721716988	0.998729039889192	-0.20191539293531	-0.784453780752884	57623	60	ANAPC15 PSMB9 PSMC5 PSMA1 CDC26 PSMC3 PSMB7 PTTG1 PSMF1 PSMD5 ANAPC11 PSMD4 ANAPC2
"reactome_APC/C:Cdc20 mediated degradation of mitotic proteins"	0.811480397554403	0.998729039889192	-0.205328845197594	-0.802866771437732	56009	62	ANAPC15 PSMB9 PSMC5 PSMA1 CDC26 PSMC3 PSMB7 PTTG1 PSMF1 PSMD5 ANAPC11 MAD2L1 PSMD4 ANAPC2
"reactome_APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	0.810104024803686	0.998729039889192	-0.205552401741916	-0.803740911263538	55914	62	ANAPC15 PSMB9 PSMC5 PSMA1 CDC26 PSMC3 PSMB7 PTTG1 PSMF1 PSMD5 ANAPC11 PSMD4 ANAPC2 FZR1
"reactome_APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	0.903788395409237	0.998729039889192	-0.188641690385694	-0.735446600176934	62289	61	ANAPC15 PSMB9 PSMC5 PSMA1 CDC26 PSMC3 PSMB7 PSMF1 PSMD5 ANAPC11 MAD2L1 PSMD4 ANAPC2
"reactome_ATF4 activates genes"	0.829088957466792	0.998729039889192	0.223864457060315	0.760210960557652	30895	22	ATF3 DIS3 EXOSC1 HERPUD1 EXOSC8 PARN DDIT3
"reactome_AUF1 (hnRNP D0) binds and destabilizes mRNA"	0.963498878374162	0.998729039889192	-0.173659735711416	-0.651005114813742	64855	50	PSMB9 PSMC5 PSMA1 PSMC3 HSPA1A PSMB7 PSMF1 PSMD5 PSMD4 PSMB8 PSME2
"reactome_AURKA Activation by TPX2"	0.0189632170764246	0.341587671668748	0.347515688758628	1.49495586544296	596	58	CKAP5 PPP2R1A PCM1 CEP135 HSP90AA1 CLASP1 TUBB HAUS8 HAUS2 DYNC1H1 AKAP9 DCTN2 MAPRE1 CEP57 CCP110 CNTRL CEP250 HAUS5
"reactome_Abortive elongation of HIV-1 transcript in the absence of Tat"	0.855507913990149	0.998729039889192	-0.23243935190973	-0.723529182523382	53671	22	POLR2E POLR2J NELFCD POLR2D SUPT4H1
"reactome_Activated NOTCH1 Transmits Signal to the Nucleus"	0.959679111584588	0.998729039889192	-0.197135376953237	-0.590471819462249	59454	19	PSENEN APH1B ARRB1 NCSTN MIB2 NUMB NOTCH1 UBB ARRB2
"reactome_Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3"	0.303573768343816	0.885401280454921	-0.394234444431609	-1.12763730212123	18534	16	HIST1H2BN HIST1H2BC KDM4C H2AFV
"reactome_Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins"	0.811480397554403	0.998729039889192	-0.205328845197594	-0.802866771437732	56009	62	ANAPC15 PSMB9 PSMC5 PSMA1 CDC26 PSMC3 PSMB7 PTTG1 PSMF1 PSMD5 ANAPC11 MAD2L1 PSMD4 ANAPC2
"reactome_Activation of ATR in response to replication stress"	0.745883780578615	0.998729039889192	0.232498418933283	0.825864037253017	27044	26	MCM6 RAD1 ORC3 RPA2 HUS1 RPA3 RFC4
"reactome_Activation of BH3-only proteins"	0.529268950633936	0.974572409392375	0.276404630448378	0.950547078857603	19619	23	TFDP2 TP53BP2 DYNLL2 PPP3R1 BBC3 TP53 PMAIP1
"reactome_Activation of E2F1 target genes at G1/S"	0.821069931793902	0.998729039889192	-0.262379963013438	-0.737441108933783	49957	15	DHFR POLA1 PCNA LIN9 LIN37
"reactome_Activation of HOX genes during differentiation"	0.501623782163378	0.970267367547967	0.228419338351133	0.972462604886164	16063	55	RARA CREBBP CTCF JUN EZH2 HIST1H2AC ASH2L POLR2K POLR2A H2AFZ KDM6A POLR2G RBBP5 RARG NCOA6 KMT2C ZNF335 H2AFX SUZ12 RQCD1 EED
"reactome_Activation of NF-kappaB in B cells"	0.840413169786959	0.998729039889192	0.186280175042075	0.813718493967139	26035	62	PSMD2 PSMA6 PSMA3 NFKBIE PSMC4 PSMC6 NFKB1 NFKBIA SKP1 PSMD11 NFKBIB PSME3 PSMB5 UBA52 CUL1 PSMB3 FBXW11 IKBKG PSMD14 PSMC2 PSMA5 PSME4 PSMA7 RPS27A PSMD13 PSMB1
"reactome_Activation of NMDA receptors and postsynaptic events"	0.153470096404258	0.722135496111821	-0.356020889224267	-1.25442039891987	10076	37	MAPK3 PRKAB2 RPS6KA2 PRKAB1 CAMKK1 PRKACA RPS6KA3 NRGN MAPK1 PDPK1 RPS6KA1
"reactome_Activation of anterior HOX genes in hindbrain development during early embryogenesis"	0.501623782163378	0.970267367547967	0.228419338351133	0.972462604886164	16063	55	RARA CREBBP CTCF JUN EZH2 HIST1H2AC ASH2L POLR2K POLR2A H2AFZ KDM6A POLR2G RBBP5 RARG NCOA6 KMT2C ZNF335 H2AFX SUZ12 RQCD1 EED
"reactome_Activation of gene expression by SREBF (SREBP)"	0.171951894237209	0.747830814286902	0.311459812250849	1.20965413969615	5904	37	SREBF1 MTF1 TBL1X HMGCR CREBBP FDFT1 TM7SF2 GGPS1 MED1 SREBF2 PMVK NCOA6 FASN FDPS
"reactome_Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S"	0.00107469102632993	0.0495850498537226	0.412944914905108	1.7697318742764	33	57	EIF4A2 EIF2S2 RPS29 RPS26 EIF4E RPS15 RPS2 FAU RPS23 RPS5 RPSA RPS14 RPS25 RPS28 RPS21 RPS12 RPS18 RPS27 RPS9 EIF3F RPS3 RPS15A RPS11 EIF4G1 RPS16 RPS8 EIF3J EIF3C EIF3L EIF3H RPS27A RPS27L PABPC1 RPS13 RPS19
"reactome_Activation of the pre-replicative complex"	0.794409918293952	0.998729039889192	-0.241792881096252	-0.77655656503884	50363	25	POLE4 POLA2 POLA1 CDC7 MCM2 MCM8 ORC2
"reactome_Amino acid synthesis and interconversion (transamination)"	0.0326070119275056	0.422869364860545	0.499274515873069	1.57591836586935	1262	17	SERINC3 GOT1 PYCR2 GLUL PHGDH ASNS SERINC1 OAT GOT2 GLS SERINC5
"reactome_Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal"	0.0125321548710507	0.289109850566879	0.34144052924757	1.52014955662291	379	68	CKAP5 NUP98 PPP2R1A CLIP1 RCC2 ITGB3BP MAD1L1 CLASP1 RANGAP1 MIS12 CENPK DYNC1H1 BUB3 DYNLL2 SEC13 CENPN RANBP2 MAPRE1
"reactome_Amplification of signal from the kinetochores"	0.0125321548710507	0.289109850566879	0.34144052924757	1.52014955662291	379	68	CKAP5 NUP98 PPP2R1A CLIP1 RCC2 ITGB3BP MAD1L1 CLASP1 RANGAP1 MIS12 CENPK DYNC1H1 BUB3 DYNLL2 SEC13 CENPN RANBP2 MAPRE1
"reactome_Amyloid fiber formation"	0.194757923272567	0.785176967368285	-0.342940899787094	-1.20833376169081	12787	37	HIST1H2BN SORL1 TSPAN5 HIST1H2BC B2M GSN PSENEN APH1B GGA1 HIST1H2BK CST3 APP NCSTN LYZ GGA3 ITM2B
"reactome_Anchoring of the basal body to the plasma membrane"	0.0379124092613617	0.451415855076142	0.299433814885151	1.36940782088555	1101	78	CKAP5 PPP2R1A PCM1 CEP135 HSP90AA1 CLASP1 TUBB HAUS8 HAUS2 DYNC1H1 AKAP9 DCTN2 SCLT1 IQCB1 MAPRE1 TCTN1 CEP57 CCP110 CNTRL TMEM67 CEP250 SEPT2 HAUS5
