pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"reactome_ABC transporter disorders"	0.500818244206303	0.926330787985883	0.235605114415479	0.972568198655837	18973	52	PSMA3 PSMF1 PSMB7 PSMD14 PSMD11 PSMA4 PSMB2 PSMA7 PSME4 OS9 PSMB8 PSMD7 PSMB10 SEL1L PSMB5 PSMD12 PSMD6 UBA52
"reactome_ABC-family proteins mediated transport"	0.150424760564905	0.66748112409687	0.279681661179045	1.20503542966056	5559	64	EIF2S3 PSMA3 PSMF1 PSMB7 ABCC1 PSMD14 ABCB7 PSMD11 PSMA4 PSMB2 PSMA7 EIF2S2 PSME4 OS9 ABCF1 PSMB8 PSMD7 PSMB10 SEL1L PSMB5
"reactome_APC-Cdc20 mediated degradation of Nek2A"	0.948122995661196	0.999703347232065	-0.202326770417749	-0.613862672882295	55285	19	ANAPC16 ANAPC11 UBB ANAPC4 UBE2E1
"reactome_APC/C-mediated degradation of cell cycle proteins"	0.75928798889524	0.986678055563387	0.197398452677275	0.855151662378555	27896	66	PSMA3 PSMF1 PSMB7 PSMD14 PSMD11 CDC27 PSMA4 SKP1 ANAPC10 PSMB2 PSMA7 PSME4 CDC16 PSMB8 PSMD7 PSMB10 PSMB5 ANAPC15 PSMD12 BUB3 ANAPC7 PSMD6 CDC14A UBA52
"reactome_APC/C:Cdc20 mediated degradation of Cyclin B"	0.912641386186269	0.999703347232065	-0.220291728621459	-0.658948138297574	53091	18	ANAPC16 ANAPC11 UBB ANAPC4 UBE2E1
"reactome_APC/C:Cdc20 mediated degradation of Securin"	0.795837944343977	0.992120807215299	0.195686088231214	0.831247464387386	29484	60	PSMA3 PSMF1 PSMB7 PSMD14 PSMD11 CDC27 PSMA4 ANAPC10 PSMB2 PSMA7 PSME4 CDC16 PSMB8 PSMD7 PSMB10 PSMB5 ANAPC15 PSMD12 ANAPC7 PSMD6
"reactome_APC/C:Cdc20 mediated degradation of mitotic proteins"	0.736793728034604	0.98375871130117	0.202635563699059	0.863693100932292	27253	61	PSMA3 PSMF1 PSMB7 PSMD14 PSMD11 CDC27 PSMA4 ANAPC10 PSMB2 PSMA7 PSME4 CDC16 PSMB8 PSMD7 PSMB10 PSMB5 ANAPC15 PSMD12 BUB3 ANAPC7 PSMD6
"reactome_APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	0.807245201405785	0.994745466870314	0.19394834626494	0.826665593878841	29859	61	PSMA3 PSMF1 PSMB7 PSMD14 PSMD11 CDC27 PSMA4 ANAPC10 PSMB2 PSMA7 PSME4 CDC16 PSMB8 PSMD7 PSMB10 PSMB5 ANAPC15 PSMD12 ANAPC7 PSMD6
"reactome_APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	0.719560581932036	0.98375871130117	0.20509478344709	0.871214301642318	26658	60	PSMA3 PSMF1 PSMB7 PSMD14 PSMD11 CDC27 PSMA4 ANAPC10 PSMB2 PSMA7 PSME4 CDC16 PSMB8 PSMD7 PSMB10 PSMB5 ANAPC15 PSMD12 BUB3 ANAPC7 PSMD6
"reactome_ATF4 activates genes"	0.182537059767727	0.713911789010707	0.408318055042532	1.24751822698767	7732	16	DDIT3 EXOSC8 ATF3
"reactome_AUF1 (hnRNP D0) binds and destabilizes mRNA"	0.395915782808295	0.881589189863994	0.251587332488832	1.02809796977472	15005	50	HNRNPD PSMA3 PSMF1 PSMB7 PSMD14 HSPA8 PSMD11 PSMA4 PSMB2 PSMA7 PSME4 PSMB8 PSMD7 PSMB10 PSMB5
"reactome_AURKA Activation by TPX2"	0.926538180298757	0.999703347232065	0.178775327554914	0.721123331004798	35478	47	NEDD1 TUBB4B CEP57 PPP2R1A PCNT TUBB YWHAE CLASP1 TUBA1A HSP90AA1 HAUS3 PCM1 DCTN3 AKAP9 NDE1 CSNK1D
"reactome_Abortive elongation of HIV-1 transcript in the absence of Tat"	0.993018809954597	0.999703347232065	-0.158762903009665	-0.494625535862822	58176	21	POLR2D POLR2L NELFE POLR2E POLR2F POLR2J POLR2K SUPT4H1 POLR2C NCBP1
"reactome_Activated NOTCH1 Transmits Signal to the Nucleus"	0.704015994436718	0.98375871130117	-0.290263503208124	-0.82572990899501	40494	15	ITCH UBB APH1A PSENEN MIB2 NCSTN UBC
"reactome_Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins"	0.736793728034604	0.98375871130117	0.202635563699059	0.863693100932292	27253	61	PSMA3 PSMF1 PSMB7 PSMD14 PSMD11 CDC27 PSMA4 ANAPC10 PSMB2 PSMA7 PSME4 CDC16 PSMB8 PSMD7 PSMB10 PSMB5 ANAPC15 PSMD12 BUB3 ANAPC7 PSMD6
"reactome_Activation of ATR in response to replication stress"	0.0927847374964139	0.566865912030722	0.438992956780892	1.387114574917	3880	18	MCM6 RPA1 ORC4 ORC5 CDC7 MCM5 MCM7
"reactome_Activation of BH3-only proteins"	0.91315323187456	0.999703347232065	0.203364224004533	0.679740817119825	37620	22	YWHAQ DYNLL2 YWHAE PMAIP1 BCL2L11 BID TFDP2 MAPK8 TP53BP2 DYNLL1
"reactome_Activation of HOX genes during differentiation"	0.955191080229458	0.999703347232065	-0.176702909550233	-0.669128797858377	59111	48	HIST1H3A PIAS2 NCOA3 ASH2L POLR2D HIST1H2BK RBBP7 POLR2L MAFB HDAC3 H3F3A POLR2E POLR2F
"reactome_Activation of NF-kappaB in B cells"	0.815142841713021	0.995581169834989	0.192096512440106	0.822179006500934	30187	62	PSMA3 PSMF1 PSMB7 FBXW11 PSMD14 PSMD11 PSMA4 SKP1 PSMB2 PSMA7 RELA NFKBIA PSME4
