pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"reactome_ABC transporter disorders"	0.438925045380086	0.777304570727072	-0.245896852464396	-1.00576425976722	19827	55	PSMB10 PSMB9 PSMA6 PSMD8 PSME2 PSMD5 OS9 SEL1L PSMD7 PSME1 PSMD6 PSMD4 PSMD12
"reactome_ABC-family proteins mediated transport"	0.7080682734522	0.911716228206151	-0.204094831851829	-0.88025656131759	31610	71	PSMB10 PSMB9 PSMA6 PSMD8 PSME2 PSMD5 OS9 EIF2S1 SEL1L PSMD7 PEX3 PSME1 PSMD6 PSMD4 PSMD12 ABCB8 ABCC5 PSMB6
"reactome_APC-Cdc20 mediated degradation of Nek2A"	0.0752239259146804	0.362765394439528	0.453971400016891	1.42209423214484	3963	20	CDC23 CDC27 RPS27A CDC16 UBA52 BUB3 ANAPC10
"reactome_APC/C-mediated degradation of cell cycle proteins"	0.77545431462875	0.947566249647601	0.202409230531767	0.835880839533983	42756	67	CDC23 PSMD11 CDC27 CDC14A RPS27A CDC16 UBA52 CUL1 PSMA3 BUB3 PSMC2 PSMD10 ANAPC10 PSMC6 PSMA4
"reactome_APC/C:Cdc20 mediated degradation of Cyclin B"	0.0429343893987282	0.282783910422487	0.500009452810082	1.52295804869369	2254	18	CDC23 CDC27 RPS27A CDC16 UBA52
"reactome_APC/C:Cdc20 mediated degradation of Securin"	0.826835117012301	0.967669646157466	-0.19428499553748	-0.809345533254373	37238	60	PSMB10 PSMB9 PSMA6 PSMD8 PSME2 PSMD5 ANAPC11 ANAPC7 PSMD7 PSME1 PSMD6 UBE2E1 PSMD4 PSMD12
"reactome_APC/C:Cdc20 mediated degradation of mitotic proteins"	0.861897023796274	0.9698663063635	-0.188041482532402	-0.788770700274481	38718	62	PSMB10 PSMB9 PSMA6 PSMD8 PSME2 PSMD5 ANAPC11 ANAPC7 PSMD7 PSME1 PSMD6 UBE2E1 PSMD4 PSMD12 MAD2L1 PSMB6
"reactome_APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	0.85127771723417	0.9698663063635	-0.190113914989497	-0.794743213145644	38275	61	PSMB10 PSMB9 PSMA6 PSMD8 PSME2 PSMD5 ANAPC11 ANAPC7 PSMD7 PSME1 PSMD6 UBE2E1 PSMD4 PSMD12
"reactome_APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	0.84783043836043	0.9698663063635	-0.190657670214166	-0.797016301753817	38120	61	PSMB10 PSMB9 PSMA6 PSMD8 PSME2 PSMD5 ANAPC11 ANAPC7 PSMD7 PSME1 PSMD6 UBE2E1 PSMD4 PSMD12 MAD2L1 PSMB6
"reactome_ATF4 activates genes"	0.791258844964196	0.955106122045722	-0.240190000218595	-0.777373535130574	37348	21	HERPUD1 ATF3 NFYA EXOSC1 KHSRP ATF4 EXOSC5
"reactome_AUF1 (hnRNP D0) binds and destabilizes mRNA"	0.935015136226034	0.992368518255814	0.180257218572551	0.701738292718987	50962	50	HSPB1 PSMD11 RPS27A HNRNPD UBA52 HSPA8 PSMA3 PSMC2 PSMD10 PSMC6 PSMA4 PSMD9 PSME4 PSMB4 PABPC1
"reactome_AURKA Activation by TPX2"	0.0720264639228014	0.355797393544579	0.343373773488257	1.34861203055579	3940	52	TUBA1A CEP192 CSNK1E OFD1 SFI1 CEP63 CEP135 PPP2R1A PCM1 CEP78 HAUS3 DCTN2 CSNK1D NEDD1 PRKACA DYNC1I2 MAPRE1
"reactome_Abortive elongation of HIV-1 transcript in the absence of Tat"	0.974436175651878	0.999498857856938	0.17879885580673	0.574361106785515	51458	22	NCBP1 POLR2B POLR2I SUPT5H NELFA POLR2C NCBP2 POLR2F GTF2F1
"reactome_Activated NOTCH1 Transmits Signal to the Nucleus"	0.592691659646167	0.871724599305312	-0.291871016476749	-0.904566158423401	28140	18	MIB1 NCSTN ITCH APH1A PSENEN MIB2 ARRB2
"reactome_Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3"	0.25897290841662	0.635714938528834	-0.397394977813092	-1.16888536521703	12359	15	KDM1A HIST2H2AC H2AFV H3F3A
"reactome_Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins"	0.861897023796274	0.9698663063635	-0.188041482532402	-0.788770700274481	38718	62	PSMB10 PSMB9 PSMA6 PSMD8 PSME2 PSMD5 ANAPC11 ANAPC7 PSMD7 PSME1 PSMD6 UBE2E1 PSMD4 PSMD12 MAD2L1 PSMB6
"reactome_Activation of ATR in response to replication stress"	0.0178972620996916	0.180722826438841	0.542767152654442	1.65319195278416	939	18	RAD17 ORC3 ORC4 RAD1 MCM7 ORC5 MCM6
"reactome_Activation of BH3-only proteins"	0.746886820519359	0.931716567608133	-0.244958338815378	-0.812191547543293	35146	23	BID BCL2L11 YWHAG YWHAB YWHAQ PMAIP1
"reactome_Activation of HOX genes during differentiation"	0.996746838219168	0.999802501950981	0.138747638805321	0.544936012448445	54537	52	KDM6A POLR2B H2AFZ WDR5 POLR2I EZH2 HIST1H3A HIST1H2BK RBBP4 PIAS2 ASH2L RQCD1 H2AFX CTCF POLR2C POLR2F ZNF335 NCOA6 EED RARA KMT2C
"reactome_Activation of NF-kappaB in B cells"	0.399973287625493	0.757737237379599	-0.245063145700332	-1.02795737643799	17967	62	PRKCB PSMB10 PSMB9 PSMA6 PSMD8 PSME2 NFKBIA PSMD5 PSMD7 REL PSME1 PSMD6 PSMD4 SKP1 PSMD12 MAP3K7 PSMB6
"reactome_Activation of NMDA receptors and postsynaptic events"	0.130036551279295	0.487408665860682	-0.355963633897824	-1.28470889919431	6047	32	PRKAB1 DLG1 CREB1 RAC1 CAMKK2 PRKAR1B PRKX MAPK1 NRGN KPNA2 PRKAR2A NRAS ARHGEF7
"reactome_Activation of anterior HOX genes in hindbrain development during early embryogenesis"	0.996746838219168	0.999802501950981	0.138747638805321	0.544936012448445	54537	52	KDM6A POLR2B H2AFZ WDR5 POLR2I EZH2 HIST1H3A HIST1H2BK RBBP4 PIAS2 ASH2L RQCD1 H2AFX CTCF POLR2C POLR2F ZNF335 NCOA6 EED RARA KMT2C
"reactome_Activation of gene expression by SREBF (SREBP)"	0.175299103626749	0.549363336548124	0.355454905936889	1.23312552012215	9347	30	FDFT1 SREBF2 SC5D MED1 SQLE MTF1 NFYC
"reactome_Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S"	1.82421832244883e-05	0.000860540546353187	0.65344965430018	2.61454696664999	0	57	RPS29 RPS25 RPS3 RPS21 RPSA RPS14 RPS15A RPS15 RPS12 RPS20 RPS23 RPS27 RPS3A RPS28 RPS13 RPS27A RPS2 RPS18 RPS5 RPS19 RPS26 RPS6 RPS4X FAU EIF3E RPS16 RPS10 EIF2S2 EIF3D RPS8 EIF3H RPS11 EIF3L EIF3I
"reactome_Activation of the pre-replicative complex"	0.239004607593009	0.617975564543797	0.388209690462257	1.18243179073445	12552	18	ORC3 ORC4 MCM7 POLE3 ORC5 MCM6
"reactome_Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal"	0.31891546467044	0.694821551275101	0.27145635867746	1.08187385484658	17466	56	CENPK CENPP RPS27 DSN1 CLASP2 PPP2R1A XPO1 MAD1L1 BUB3 KIF2A CENPH NUP133 NUP98 DYNC1I2 MAPRE1
"reactome_Amplification of signal from the kinetochores"	0.31891546467044	0.694821551275101	0.27145635867746	1.08187385484658	17466	56	CENPK CENPP RPS27 DSN1 CLASP2 PPP2R1A XPO1 MAD1L1 BUB3 KIF2A CENPH NUP133 NUP98 DYNC1I2 MAPRE1
"reactome_Amyloid fiber formation"	0.673044079814947	0.902942523950523	-0.232119699507312	-0.874335642987883	31132	38	HIST2H2AC CST3 GSN TGFBI NCSTN B2M APH1A H3F3A ITM2B PSENEN LYZ
"reactome_Anchoring of the basal body to the plasma membrane"	0.16436915040267	0.531997624306316	0.292020200822287	1.20239569376543	9061	66	AHI1 TUBA1A C2CD3 CEP192 CSNK1E OFD1 SFI1 CEP63 CEP135 PPP2R1A PCM1 CEP78 HAUS3 DCTN2 CSNK1D NEDD1
"reactome_Antigen Presentation: Folding, assembly and peptide loading of class I MHC"	0.125609084360832	0.475828022531389	-0.407224732975161	-1.3179804736975	5928	21	HLA-A CANX HLA-C HLA-F HLA-E HLA-B
"reactome_Antigen activates B Cell Receptor (BCR) leading to generation of second messengers"	2.12883722910546e-05	0.000860540546353187	-0.65992032196429	-2.21193619198011	0	24	PTPN6 PLCG2 BTK SYK CD79A CD79B GRB2 NCK1 VAV1 LYN PIK3R1 ORAI2 ITPR1 DAPP1 ORAI1 SH3KBP1
"reactome_Antigen processing-Cross presentation"	0.00114606741573034	0.024787579714546	-0.385014874926712	-1.70872191379361	50	82	HLA-A VAMP3 STX4 CTSS BTK CYBB PSMB10 HLA-C HLA-F CD14 PSMB9 PSMA6 NCF4 PSMD8 HLA-E HLA-B PSME2 PSMD5 VAMP8 NCF1 PSMD7 PSME1 PSMD6 CYBA PSMD4 SEC61G PSMD12
