pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"reactome_ABC transporter disorders"	0.116706978005832	0.345139042673763	-0.304553908008899	-1.25950423527493	5162	56	PSMF1 OS9 PSMC5 PSMB8 PSMD10 PSMB9 PSMD13 PSME3 PSMD3 PSMD4 PSMB2 PSMD7 PSMA3 PSMD1 PSMD9 RNF5 PSMC3 PSMD8 UBB PSMB10 ERLIN2 PSMB7 PSMC1 UBC PSMA4 PSMD14 PSME1 PSMB6
"reactome_ABC-family proteins mediated transport"	0.24956014445782	0.519782143963603	-0.253653110170567	-1.11434613695979	10779	76	ABCC3 PSMF1 OS9 PSMC5 PSMB8 PSMD10 PSMB9 PSMD13 PSME3 PSMD3 ABCD1 PSMD4 PSMB2 PSMD7 PSMA3 PSMD1 ABCC1 PSMD9 RNF5 PSMC3 PSMD8 ABCC4 UBB PSMB10 ERLIN2 ABCA7 PSMB7 ABCB7 PSMC1
"reactome_ADP signalling through P2Y purinoceptor 1"	0.0791697971450038	0.275588132891096	0.485445577991627	1.42546193031981	4214	16	GNG2 GNG11 MAPK14 GNG5 GNA15 GNB5 SRC
"reactome_APC-Cdc20 mediated degradation of Nek2A"	0.87725321888412	0.939515021316849	-0.223246546224101	-0.706294551668858	40879	19	ANAPC5 ANAPC16 CDC16 ANAPC7 ANAPC11 UBB BUB3 UBC
"reactome_APC/C-mediated degradation of cell cycle proteins"	0.0199953927666436	0.129951842242959	-0.341136618898559	-1.46993309332363	867	69	PSMF1 SKP2 PSMC5 PSMB8 PSMD10 PSMB9 PSMD13 ANAPC5 PSME3 PSMD3 ANAPC16 PSMD4 PSMB2 PSMD7 PSMA3 CDC16 PSMD1 ANAPC7 PSMD9 SKP1 PSMC3 PSMD8 ANAPC11 UBB PSMB10 PSMB7 PSMC1 BUB3 UBC BTRC PSMA4 PSMD14
"reactome_APC/C:Cdc20 mediated degradation of Cyclin B"	0.930106373852621	0.970072944140938	-0.207298043431921	-0.645421418665837	43368	18	ANAPC5 ANAPC16 CDC16 ANAPC7 ANAPC11 UBB
"reactome_APC/C:Cdc20 mediated degradation of Securin"	0.0545127750096694	0.221024524130114	-0.325527423800679	-1.36448237369035	2395	60	PSMF1 PSMC5 PSMB8 PSMD10 PSMB9 PSMD13 ANAPC5 PSME3 PSMD3 ANAPC16 PSMD4 PSMB2 PSMD7 PSMA3 CDC16 PSMD1 ANAPC7 PSMD9 PSMC3 PSMD8 ANAPC11 UBB PSMB10 PSMB7 PSMC1 UBC PSMA4 PSMD14 PSME1 PSMB6
"reactome_APC/C:Cdc20 mediated degradation of mitotic proteins"	0.0445910590376522	0.200300972144667	-0.33016545318238	-1.38926454168867	1959	61	PSMF1 PSMC5 PSMB8 PSMD10 PSMB9 PSMD13 ANAPC5 PSME3 PSMD3 ANAPC16 PSMD4 PSMB2 PSMD7 PSMA3 CDC16 PSMD1 ANAPC7 PSMD9 PSMC3 PSMD8 ANAPC11 UBB PSMB10 PSMB7 PSMC1 BUB3 UBC PSMA4 PSMD14 PSME1 PSMB6
"reactome_APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	0.0352061291499453	0.176775643962755	-0.334464270907695	-1.41682240006542	1543	63	PSMF1 SKP2 PSMC5 PSMB8 PSMD10 PSMB9 PSMD13 ANAPC5 PSME3 PSMD3 ANAPC16 PSMD4 PSMB2 PSMD7 PSMA3 CDC16 PSMD1 ANAPC7 PSMD9 PSMC3 PSMD8 ANAPC11 UBB PSMB10 PSMB7 PSMC1 UBC PSMA4 PSMD14 PSME1 PSMB6
"reactome_APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	0.0396332446021887	0.187299889722661	-0.335520717415832	-1.40637031306512	1741	60	PSMF1 PSMC5 PSMB8 PSMD10 PSMB9 PSMD13 ANAPC5 PSME3 PSMD3 ANAPC16 PSMD4 PSMB2 PSMD7 PSMA3 CDC16 PSMD1 ANAPC7 PSMD9 PSMC3 PSMD8 ANAPC11 UBB PSMB10 PSMB7 PSMC1 BUB3 UBC PSMA4 PSMD14 PSME1 PSMB6
"reactome_ATF4 activates genes"	0.0749378579920026	0.267645923238704	-0.421764811228387	-1.40572060590923	3466	23	EXOSC5 ATF6 EXOSC2 EXOSC3 DIS3 NFYA NFYC NFYB EXOSC9 EXOSC6 PARN EXOSC7 KHSRP
"reactome_AUF1 (hnRNP D0) binds and destabilizes mRNA"	0.102806678501607	0.318968894690202	-0.319409252030149	-1.28823127136856	4574	50	PSMF1 PSMC5 PSMB8 PSMD10 PSMB9 PSMD13 PSME3 PSMD3 PSMD4 PSMB2 PSMD7 PSMA3 PSMD1 PSMD9 PSMC3 PSMD8 UBB PSMB10 PSMB7 PSMC1 UBC PSMA4 PSMD14 PSME1 PSMB6
"reactome_AURKA Activation by TPX2"	0.100152435556162	0.314627566006716	-0.304742598329669	-1.27736059554858	4401	60	ODF2 CEP192 CENPJ CEP164 DCTN1 PCNT HAUS8 ALMS1 PPP2R1A SSNA1 HAUS1 CKAP5 TUBB CEP290 MAPRE1 CEP57 DYNLL1 CETN2 YWHAE TUBG1 HAUS7 PRKAR2B DCTN2 HAUS5 NDE1 HAUS4
"reactome_Abortive elongation of HIV-1 transcript in the absence of Tat"	0.958199633896845	0.986417605866422	-0.186955205929731	-0.61592389053819	44493	22	SUPT4H1 POLR2D NCBP2 POLR2F NELFCD NELFE POLR2E POLR2C
"reactome_Activated NOTCH1 Transmits Signal to the Nucleus"	0.325853603897922	0.583950607085779	0.342714181770468	1.0965495515216	17454	22	ADAM17 ITCH NOTCH1 PSEN1 JAG1
"reactome_Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3"	0.04572862439609	0.202682896702173	0.489395054885483	1.50793422433312	2441	19	H2AFX HIST1H2BH HIST1H2BN KDM4C HIST1H2BD HIST1H3A PKN1 HIST2H2BE HIST1H2BC HIST2H2AC HIST1H2AC NCOA2
"reactome_Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins"	0.0445910590376522	0.200300972144667	-0.33016545318238	-1.38926454168867	1959	61	PSMF1 PSMC5 PSMB8 PSMD10 PSMB9 PSMD13 ANAPC5 PSME3 PSMD3 ANAPC16 PSMD4 PSMB2 PSMD7 PSMA3 CDC16 PSMD1 ANAPC7 PSMD9 PSMC3 PSMD8 ANAPC11 UBB PSMB10 PSMB7 PSMC1 BUB3 UBC PSMA4 PSMD14 PSME1 PSMB6
"reactome_Activation of ATR in response to replication stress"	0.00376094239706041	0.0518950567922164	-0.545850194506073	-1.81929086004581	173	23	RFC3 RAD17 DBF4 RPA1 RPA3 MCM3 RFC2 MCM5 MCM6 RFC5
"reactome_Activation of BH3-only proteins"	0.45942179777786	0.69428927338899	0.304318710397914	0.99616465507351	24726	24	TFDP1 DYNLL2 YWHAH BCL2 YWHAZ MAPK8 BMF
"reactome_Activation of E2F1 target genes at G1/S"	0.714831329608098	0.851307805087347	0.283815326442073	0.817965384801214	37993	15	TFDP1 LIN52 E2F4 RBL1
