pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"reactome_ABC transporter disorders"	0.852955122777307	0.999958150240636	0.216576824994769	0.74438212885177	50366	32	VCP DERL2 PSMD11 PSMD6 PSME2 PSMC5
"reactome_ABC-family proteins mediated transport"	0.921316455696203	0.999958150240636	0.196346581794601	0.684005316276117	54587	34	VCP DERL2 PSMD11 PSMD6 PSME2 PSMC5
"reactome_APC/C-mediated degradation of cell cycle proteins"	0.356464464563239	0.931393948947025	-0.28195320942641	-1.05806867451246	14449	36	PSMA5 ANAPC16 PSMA1 PSMD7 PSMD13 ANAPC5 PSMB6 PSMB7 SKP1 PSMC1 ANAPC15 UBE2E1 PSMB2 PSMB9 UBA52 PSMD12 UBC ANAPC11
"reactome_APC/C:Cdc20 mediated degradation of Securin"	0.443881441397122	0.985513172805724	-0.268986253939669	-1.00328350933574	18045	35	PSMA5 ANAPC16 PSMA1 PSMD7 PSMD13 ANAPC5 PSMB6 PSMB7 PSMC1 ANAPC15 UBE2E1 PSMB2 PSMB9 UBA52 PSMD12 UBC ANAPC11
"reactome_APC/C:Cdc20 mediated degradation of mitotic proteins"	0.443881441397122	0.985513172805724	-0.268986253939669	-1.00328350933574	18045	35	PSMA5 ANAPC16 PSMA1 PSMD7 PSMD13 ANAPC5 PSMB6 PSMB7 PSMC1 ANAPC15 UBE2E1 PSMB2 PSMB9 UBA52 PSMD12 UBC ANAPC11
"reactome_APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	0.443881441397122	0.985513172805724	-0.268986253939669	-1.00328350933574	18045	35	PSMA5 ANAPC16 PSMA1 PSMD7 PSMD13 ANAPC5 PSMB6 PSMB7 PSMC1 ANAPC15 UBE2E1 PSMB2 PSMB9 UBA52 PSMD12 UBC ANAPC11
"reactome_APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	0.443881441397122	0.985513172805724	-0.268986253939669	-1.00328350933574	18045	35	PSMA5 ANAPC16 PSMA1 PSMD7 PSMD13 ANAPC5 PSMB6 PSMB7 PSMC1 ANAPC15 UBE2E1 PSMB2 PSMB9 UBA52 PSMD12 UBC ANAPC11
"reactome_AUF1 (hnRNP D0) binds and destabilizes mRNA"	0.627710490330143	0.999958150240636	-0.246252044749644	-0.897757221037539	25705	32	PSMA5 PSMA1 HSPA8 PSMD7 PSMD13 PSMB6 PSMB7 PSMC1 PSMB2 PSMB9 PABPC1 UBA52 PSMD12 UBC
"reactome_Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins"	0.443881441397122	0.985513172805724	-0.268986253939669	-1.00328350933574	18045	35	PSMA5 ANAPC16 PSMA1 PSMD7 PSMD13 ANAPC5 PSMB6 PSMB7 PSMC1 ANAPC15 UBE2E1 PSMB2 PSMB9 UBA52 PSMD12 UBC ANAPC11
"reactome_Activation of HOX genes during differentiation"	0.336646552785743	0.929730873690523	0.368092819984522	1.09435108243	19135	18	CREBBP NCOA3 JUN KMT2C POLR2G H2AFZ POLR2L POLR2F
"reactome_Activation of NF-kappaB in B cells"	0.773372766602303	0.999958150240636	-0.221351514972642	-0.814129161280209	31640	33	PSMA5 PSMA1 PSMD7 PSMD13 PRKCB PSMB6 PSMB7 SKP1 PSMC1 PSMB2 PSMB9 UBA52 PSMD12 UBC
"reactome_Activation of anterior HOX genes in hindbrain development during early embryogenesis"	0.336646552785743	0.929730873690523	0.368092819984522	1.09435108243	19135	18	CREBBP NCOA3 JUN KMT2C POLR2G H2AFZ POLR2L POLR2F
"reactome_Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S"	0.62354055714871	0.999958150240636	-0.223671832832477	-0.913488524418364	24352	52	RPSA EIF3L EIF4B RPS10 EIF4A2 EIF3K RPS3 RPS5 EIF2S3 RPS7 RPS25 EIF3E EIF4A1 EIF3F RPS11 PABPC1 EIF4EBP1
"reactome_Adaptive Immune System"	0.237035155133539	0.872994408150463	-0.215398276445275	-1.08926828585528	7463	177	ITGB2 CYBB VAMP3 VAMP8 SELL HLA-C PSMA5 UBE2D2 RAB7A RNF144B DYNLL1 CTSB PAK2 RAC1 PTPN6 AP2S1 CANX HLA-B CD14 PSMA1 UBE2J1 AP1S2 CTSS HLA-A PSMD7 PSMD13 PRKCB FKBP1A PPP2R1A CLTA SOCS3 FBXW5 ANAPC5 STUB1 PSMB6 AP2M1 PPIA CAPZA2 HLA-DPA1 LILRA2 PTPRC CTSH RAP1A UBE2E3 PSMB7 SEC13
"reactome_Amyloid fiber formation"	0.533461767808816	0.999958150240636	-0.316820121171138	-0.940001830159206	23259	15	CST3 APH1A ITM2B TGFBI B2M UBA52 UBC GSN
"reactome_Anchoring of the basal body to the plasma membrane"	0.552222657059325	0.999958150240636	-0.306711666964988	-0.927833572168279	23987	16	RAB8A DYNLL1 SSNA1 PPP2R1A HSP90AA1 TUBB AKAP9
"reactome_Antigen processing-Cross presentation"	0.0793476034412126	0.653481227280982	-0.323127891847276	-1.31967274280379	3098	52	CYBB VAMP3 VAMP8 HLA-C PSMA5 HLA-B CD14 PSMA1 CTSS HLA-A PSMD7 PSMD13
"reactome_Antigen processing: Ubiquitination & Proteasome degradation"	0.798408188305189	0.999958150240636	0.206155706402688	0.814332466828791	49454	62	UBE2N WSB1 UBR4 PSMD11 RNF213 RNF4 VHL RBX1 PSMD6 PSME2
"reactome_Antiviral mechanism by IFN-stimulated genes"	0.94620163795538	0.999958150240636	-0.19408663679428	-0.634119024187739	40205	21	EIF4G2 PIN1 EIF4A2 SEC13 EIF4A1 UBE2E1 UBA52 UBC EIF4E2
